Nome: PIATA
Codigo Estacao: A430
Latitude: -13.155681
Longitude: -41.774125
Altitude: 1283.95
Situacao: Operante
Data Inicial: 2008-05-02
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;4;null;875,340705;18,850481;6,9;2,418269;
2008-06-30;15;75,8;876,666241;16,863395;7,2;2,962696;
2008-07-31;13;58,2;877,613575;15,992608;7,6;3;
2008-08-31;10;27,6;875,965054;17,480108;7,7;2,837097;
2008-09-30;9;16,4;876,057083;19,102361;7,2;2,641528;
2008-10-31;5;18,6;875,349866;20,627554;7,3;3,151747;
2008-11-30;11;154,8;873,030851;21,069559;7,2;2,259336;
2008-12-31;20;163;872,745296;20,245161;9,6;2,329704;
2009-01-31;19;201,2;873,753436;20,569343;7,3;2,348533;
2009-02-28;10;58,4;873,381074;21,198323;6,7;2,435701;
2009-03-31;11;96,2;872,8125;22,027823;7,5;2,051478;
2009-04-30;23;261,4;874,273611;19,825556;6,5;2,111667;
2009-05-31;15;104,4;875,272984;18,167742;7,2;2,495027;
2009-06-30;12;63;876,54125;17,674444;8,1;2,534444;
2009-07-31;10;56,8;876,914516;17,612634;7,5;2,383871;
2009-08-31;13;45,6;876,655645;17,786828;7,3;2,906586;
2009-09-30;7;27,2;875,923792;20,371075;8;2,57846;
2009-10-31;12;174,6;873,210201;20,644397;7,5;2,158621;
2009-11-30;5;42,6;873,32;20,817222;6;2,231667;
2009-12-31;12;103;873,700269;20,990054;6,4;2,263172;
2010-01-31;12;75,4;874,152065;21,155828;7;2,375244;
2010-02-28;10;79,6;874,085714;21,383333;8;2,448066;
2010-03-31;20;177,8;873,895968;21,09086;9;2,266801;
2010-04-30;14;107,4;874,508333;19,870556;8,8;2,512917;
2010-05-31;7;18,6;874,890591;19,930376;7;2,114113;
2010-06-30;9;19,4;877,330417;17,782778;6,8;2,878056;
2010-07-31;23;111,8;877,510349;16,566129;6,8;3,544624;
2010-08-31;12;21,6;877,385791;16,694686;7,4;2,904106;
2010-09-30;8;39,6;876,002917;18,305972;9;3,0325;
2010-10-31;6;46,8;873,82836;21,591398;7,8;2,51586;
2010-11-30;15;268,2;872,642917;20,426806;6,3;2,065833;
2010-12-31;16;154,4;871,535484;20,725672;6,1;2,230108;
2011-01-31;14;83,4;872,575806;20,407258;6,7;2,268548;
2011-02-28;11;48,4;873,172173;21,142857;6,5;2,322917;
2011-03-31;21;162,2;872,834122;20,678997;7,2;2,089591;
2011-04-30;19;111,4;874,237778;19,750556;6,3;2,681528;
2011-05-31;14;38,2;875,086425;18,271102;6,5;2,466935;
2011-06-30;8;29,4;876,162083;18,057639;7,5;2,486667;
2011-07-31;15;59,4;876,624328;16,939651;7,3;2,8375;
2011-08-31;5;33,6;876,736559;18,21371;8,2;2,578226;
2011-09-30;7;17,8;877,120417;17,770833;7,8;3,081806;
