Nome: MARAU
Codigo Estacao: A438
Latitude: -13.90694444
Longitude: -38.97222221
Altitude: 6.24
Situacao: Pane
Data Inicial: 2008-06-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;6;null;null;null;null;null;
2008-07-31;25;178,6;1018,856452;22,39422;6,1;2,478226;
2008-08-31;22;68,8;1016,938172;23,170699;5,8;2,14664;
2008-09-30;12;165,6;1016,832639;23,850833;5,6;2,205417;
2008-10-31;10;22,2;1015,716801;25,478091;6,7;2,531317;
2008-11-30;15;139;1012,381292;26,141425;5,7;2,529849;
2008-12-31;24;250,8;1011,480511;25,830242;7,2;2,189382;
2009-01-31;15;50,6;1012,334765;26,942391;5,5;2,206668;
2009-02-28;24;239;1011,987568;26,575338;4,7;1,931034;
2009-03-31;14;50,2;1010,660081;27,503495;4,7;2,083333;
2009-04-30;24;305,2;1012,457222;26,007083;5,5;2,006111;
2009-05-31;20;330,6;1014,329523;24,889633;6,1;2,574141;
2009-06-30;22;175,4;1016,380417;23,99125;5,8;2,080278;
2009-07-31;23;188;1017,252419;23,765457;6,6;1,928495;
2009-08-31;26;269,4;1017,283737;23,689785;5,7;2,208065;
2009-09-30;19;98,2;1016,235695;25,081111;5,7;2,308889;
2009-10-31;15;141,2;1012,306322;25,970977;5,9;2,561638;
2009-11-30;14;76,2;1012,553472;26,455695;5,4;2,391389;
2009-12-31;11;55,8;1012,372043;27,274731;5,7;2,485215;
2010-01-31;23;182,6;1012,939993;26,977199;5,8;1,994893;
2010-02-28;20;143,4;1012,579911;27,123809;5,7;1,87247;
2010-03-31;23;270,4;1011,631855;27,352151;5,4;1,970027;
2010-04-30;26;335,6;1012,809861;26,079028;6,4;2,196389;
2010-05-31;21;207,4;1013,625538;25,463306;5,3;1,876613;
2010-06-30;11;null;null;23,617544;6,5;null;
2010-07-31;4;null;null;null;5,5;null;
2010-08-31;3;null;null;null;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;13;85,6;1011,728889;26,317778;5,1;2,542361;
2010-12-31;18;156;1009,960484;26,346774;4,8;2,126075;
2011-01-31;27;276,8;1011,292742;26,262097;5,3;1,98078;
2011-02-28;22;290;1011,901339;26,568899;6,3;1,945238;
2011-03-31;19;251,6;1010,683096;27,05017;6;2,218519;
2011-04-30;25;458,6;1012,761944;25,934306;5,9;1,934445;
2011-05-31;25;221,6;1014,562366;24,401344;4,9;2,15914;
2011-06-30;26;330,4;1016,365695;23,138611;6,9;2,104722;
2011-07-31;29;218,4;1017,566801;22,878091;6,9;2,013978;
2011-08-31;20;114;1017,680376;23,168548;6,6;1,902823;
2011-09-30;21;133,8;1018,651389;22,954722;6,4;2,359583;
2011-10-31;22;219,4;1013,401344;24,799462;6,8;2,466129;
2011-11-30;23;267,2;1013,447024;24,43204;5,7;2,190655;
2011-12-31;13;148,4;1012,441667;26,033602;5,6;2,099328;
2012-01-31;21;76,2;1013,213172;26,142473;6;2,049059;
2012-02-29;22;214,2;1013,159626;25,639943;5,9;1,887356;
2012-03-31;19;130,8;1013,432392;25,909677;4,9;1,84785;
2012-04-30;16;185,2;1013,409028;25,520417;4,9;1,727083;
2012-05-31;23;348,6;1015,555511;24,317876;5,9;2,08078;
2012-06-30;24;304,4;1017,125;23,750278;5,3;1,685695;
2012-07-31;25;122,2;1017,944086;23,05336;6,2;2,065995;
2012-08-31;24;157,8;1019,898809;22,892361;6;2,37429;
2012-09-30;14;34,4;1018,302639;23,794722;7,1;2,370417;
2012-10-31;18;91,4;1015,388979;24,508602;5,4;2,369355;
2012-11-30;14;40;1012,003348;25,924856;6,8;2,286184;
