Nome: CURACA
Codigo Estacao: A448
Latitude: -9.00138888
Longitude: -39.9125
Altitude: 370
Situacao: Operante
Data Inicial: 2015-08-19
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;null;null;null;null;null;
2015-09-30;0;0;972,906945;27,728611;7,4;3,51125;
2015-10-31;0;0;972,183065;28,734946;7;3,625;
2015-11-30;0;0;969,533889;30,598889;7,2;3,216528;
2015-12-31;3;5;971,277285;29,997984;9,7;3,654973;
2016-01-31;15;297,2;971,020027;27,102151;6,1;2,316413;
2016-02-29;6;41;971,662213;27,266954;8,6;2,623851;
2016-03-31;3;20,2;971,513306;29,305645;7,6;2,962769;
2016-04-30;2;12,4;971,267778;28,556111;6,2;3,164583;
2016-05-31;5;24,8;973,448253;27,200672;5,9;2,970161;
2016-06-30;2;2,4;975,103194;25,800417;6,1;3,109167;
2016-07-31;3;3,2;975,166398;25,194624;7,1;3,402285;
2016-08-31;1;,2;974,609543;25,885887;6,4;3,44664;
2016-09-30;1;,8;973,52875;27,459722;6,5;3,581389;
2016-10-31;0;0;971,012903;28,896371;7,2;3,668414;
2016-11-30;4;3,4;969,911111;29,395556;7,3;3,506667;
2016-12-31;5;11,8;969,868414;29,406317;6,9;3,347984;
2017-01-31;1;,2;970,323656;29,679704;7,7;3,430511;
2017-02-28;6;42;970,071875;29,077976;8,1;2,958482;
2017-03-31;2;13,8;970,141263;29,312366;6,6;2,913575;
2017-04-30;2;null;null;null;7;null;
2017-05-31;null;null;null;null;6,5;null;
2017-06-30;null;null;null;null;6,5;null;
2017-07-31;2;null;null;null;7,4;null;
2017-08-31;2;null;null;null;7,1;null;
2017-09-30;9;28,4;975,244583;24,858889;7,2;4,165;
2017-10-31;0;0;971,93871;27,743548;7,2;4,106586;
2017-11-30;3;3,2;969,509306;29,3225;7,7;3,358055;
2017-12-31;6;27,2;969,495833;29,37043;7,2;3,211559;
2018-01-31;9;92,4;970,245833;28,136425;10,8;3,122633;
2018-02-28;12;99,4;969,901637;27,308631;6;2,412331;
2018-03-31;9;29,4;970,182258;27,98078;5,8;2,516166;
2018-04-30;7;137;971,838195;26,488889;5,5;2,485512;
2018-05-31;4;22,4;973,067473;26,044893;6,4;3,010484;
2018-06-30;1;1,2;974,808889;25,429445;6,7;3,29375;
2018-07-31;1;4,4;975,117204;24,818011;6,3;3,269624;
2018-08-31;1;,2;974,85457;26,049866;6,6;3,482392;
2018-09-30;0;0;972,249583;27,512639;7;3,834583;
2018-10-31;3;15,6;970,696505;28,782392;7,2;3,278027;
2018-11-30;4;8,8;970,052083;29,059306;8,1;3,675;
2018-12-31;13;121,4;971,47836;26,711022;6,8;2,50413;
2019-01-31;0;0;971,80457;28,768414;7,4;3,306855;
2019-02-28;null;null;970,427083;28,644048;6,6;2,514137;
2019-03-31;null;null;971,113441;27,579301;9,9;2,265591;
