Nome: TIMOTEO
Codigo Estacao: A511
Latitude: -19.57388888
Longitude: -42.62249999
Altitude: 493.42
Situacao: Operante
Data Inicial: 2006-02-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-02-28;3;null;null;null;null;null;
2006-03-31;16;322,6;957,605227;24,131871;3,9;1,02557;
2006-04-30;10;null;958,524843;22,821243;2,9;null;
2006-05-31;2;null;null;20,241692;3;null;
2006-06-30;4;30,6;964,774569;19,072845;3,3;,786782;
2006-07-31;1;2,2;964,309751;19,710985;4,1;,887158;
2006-08-31;6;4,2;962,996186;21,200537;4,1;1,451817;
2006-09-30;14;153,6;962,070947;21,109381;4,6;1,46649;
2006-10-31;15;128,4;959,077554;22,446102;4,5;1,252554;
2006-11-30;20;268,6;957,764891;22,367361;3,9;1,146769;
2006-12-31;21;488,4;958,398596;23,178436;3,6;1,042268;
2007-01-31;22;282,4;957,56922;24,122312;3,8;1,123387;
2007-02-28;20;192,2;958,617003;23,623175;4,2;1,156542;
2007-03-31;10;55,6;959,732196;24,549318;3,1;null;
2007-04-30;14;89;960,256944;23,263472;3,1;,87875;
2007-05-31;3;7;961,424518;20,800749;3,8;,905705;
2007-06-30;6;15;963,757101;19,865368;4,1;,87032;
2007-07-31;2;2,6;963,34444;20,502212;3,8;1,102639;
2007-08-31;1;1,2;964,609777;21,195074;3,8;1,366263;
2007-09-30;5;9;964,056624;22,123647;5,6;1,542053;
2007-10-31;6;47,2;959,696143;24,504774;4,4;1,643835;
2007-11-30;10;null;956,932222;24,414744;4,1;1,254568;
2007-12-31;14;162,6;957,040995;24,779032;3,9;1,296909;
2008-01-31;16;173,6;957,450269;23,486694;4,1;1,152688;
2008-02-29;12;234,2;957,676724;24,208333;4,1;1,122414;
2008-03-31;18;291,6;957,777419;23,800403;3,8;,943414;
2008-04-30;9;92,6;957,351528;23,794444;3,3;,83;
2008-05-31;5;9;960,963575;20,820564;3,3;,680242;
2008-06-30;1;,2;963,314088;20,253931;3,5;,813714;
2008-07-31;0;0;964,869624;19,602823;3,9;,928898;
2008-08-31;4;41,6;962,176075;22,180511;4,2;1,440188;
2008-09-30;7;41,2;961,602083;21,874028;4,7;1,420417;
2008-10-31;4;65,6;960,506452;24,459543;4,4;1,43012;
2008-11-30;24;369,4;957,733708;22,565127;4,6;,877603;
2008-12-31;21;412,2;956,695699;22,787038;4,1;null;
2009-01-31;7;null;null;null;null;null;
2009-02-28;9;null;null;24,819167;3,5;null;
2009-03-31;13;276;956,980511;24,558199;5,9;null;
2009-04-30;14;179;959,355278;22,490833;null;null;
2009-05-31;3;null;null;20,957341;null;null;
2009-06-30;4;null;null;19,899444;null;null;
2009-07-31;0;0;962,762097;20,672715;null;null;
2009-08-31;3;9;963,00336;21,168817;null;null;
2009-09-30;9;110;960,687639;23,595833;null;null;
2009-10-31;14;325,2;957,368535;23,36092;null;null;
2009-11-30;9;94,6;956,878333;24,900972;5,1;1,617222;
2009-12-31;21;352,4;956,95121;23,802957;5,4;1,313306;
2010-01-31;4;62;958,464858;25,760301;4,2;1,617779;
2010-02-28;9;64,6;958,501935;26,311756;4,8;1,550744;
2010-03-31;22;314;957,366263;24,570027;6,7;1,102688;
2010-04-30;11;205,2;959,897639;22,627917;3,9;1,130139;
2010-05-31;10;43,2;960,121774;20,908199;4,6;,964651;
2010-06-30;9;17,4;964,300278;18,555556;4,1;,942361;
2010-07-31;4;2,4;965,011693;20,068145;3,8;1,166801;
2010-08-31;1;,2;964,092874;20,28006;4,4;1,583261;
2010-09-30;3;5,6;961,989028;22,17875;4,8;1,924306;
2010-10-31;13;112,6;958,168049;22,824729;5,2;null;
2010-11-30;17;null;956,354227;23,573827;4,3;1,581092;
2010-12-31;10;null;null;null;4,4;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;3;null;null;25,572149;4;null;
2011-03-31;19;398,6;956,849894;23,115376;4;,843034;
2011-04-30;14;100;959,8175;22,710694;3,2;,910694;
2011-05-31;6;12,6;961,211828;20,103226;3,2;,762097;
2011-06-30;6;14,4;962,222361;19,107917;3,3;,8625;
2011-07-31;3;1,4;963,199059;19,16922;3,8;,96922;
2011-08-31;3;13,4;962,27379;21,745296;4,2;1,386425;
2011-09-30;5;12,2;963,522361;21,171111;3,8;1,539028;
2011-10-31;15;207,4;958,823521;21,595833;4,1;1,248118;
2011-11-30;18;387,8;958,628055;21,181528;3,5;1,287639;
2011-12-31;23;489,6;957,04207;22,565188;3,4;1,219758;
2012-01-31;16;303;958,297446;23,202823;4,4;1,359409;
2012-02-29;9;32,4;958,85977;24,586925;3,9;1,346408;
2012-03-31;12;80,6;959,077419;23,616398;3,7;,979839;
2012-04-30;5;41,2;959,047639;23,181944;2,9;,820139;
2012-05-31;17;87,8;962,183472;20,047083;3;,740833;
2012-06-30;4;null;963,056667;20,608833;3;,779833;
2012-07-31;2;,4;963,368817;20,353495;3,2;,907661;
2012-08-31;9;31,8;966,242896;19,927222;3,6;1,053456;
2012-09-30;8;27,2;962,784167;22,422778;4,1;1,541806;
2012-10-31;10;40;959,63414;24,166398;4,2;1,626344;
2012-11-30;13;null;956,926105;22,52837;4,3;1,189946;
2012-12-31;1;null;null;null;null;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;2;null;null;null;null;null;
2013-03-31;17;156,2;958,614306;23,775;3,4;,901528;
2013-04-30;13;103;960,253889;21,59125;2,8;,764722;
2013-05-31;13;51,8;961,229301;20,308064;2,9;,690995;
2013-06-30;9;40,8;962,55425;20,121375;2,9;,600773;
2013-07-31;3;1;963,822043;20,184677;3,1;,87836;
2013-08-31;3;3,6;963,251075;20,63414;3,7;1,110349;
2013-09-30;8;34,8;962,111806;22,08;5,2;1,347639;
2013-10-31;15;151,4;960,531989;21,698925;4,3;1,232796;
2013-11-30;15;458;958,212083;22,745417;3,8;1,051389;
2013-12-31;25;721,2;955,432661;23,254167;3,8;,811828;
2014-01-31;5;52,2;959,583737;24,82164;3,6;1,202823;
2014-02-28;7;75,4;959,153423;24,85;3,3;1,247768;
2014-03-31;8;null;959,43965;23,466532;4,5;,919624;
2014-04-30;12;86,6;959,703472;22,522361;3,9;,711389;
2014-05-31;4;45,2;961,115995;20,672581;2,8;,576882;
2014-06-30;3;null;null;null;null;null;
2014-07-31;5;null;null;19,060294;3,1;null;
2014-08-31;4;23,2;963,928629;20,609677;5,5;1,049597;
2014-09-30;2;6;961,912778;22,670417;4,6;1,578472;
2014-10-31;10;140,8;961,087903;23,28871;5;1,277151;
2014-11-30;16;220,8;958,097639;null;3,7;1,193194;
2014-12-31;14;159,2;958,554459;24,316667;4;1,16638;
2015-01-31;3;7;959,283661;26,282872;4,4;1,316421;
2015-02-28;11;157,6;958,832589;24,687649;3,5;1,128125;
2015-03-31;11;103,2;958,614919;24,632796;2,7;,903763;
2015-04-30;14;130,6;959,565556;22,672917;2,9;,745;
2015-05-31;15;140,4;962,425672;20,100941;2,7;,63414;
