Nome: ITUIUTABA
Codigo Estacao: A512
Latitude: -18.95277777
Longitude: -49.52499999
Altitude: 540.08
Situacao: Operante
Data Inicial: 2006-05-11
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-05-31;null;null;null;null;5,1;null;
2006-06-30;1;21,8;956,346408;19,844109;7,1;1,721552;
2006-07-31;1;,2;956,228091;20,681989;6,3;1,708199;
2006-08-31;3;17;954,298342;23,545634;6,8;2,165064;
2006-09-30;9;44;953,461061;23,728573;8,8;2,256692;
2006-10-31;18;137;950,97621;24,325806;6,8;1,774462;
2006-11-30;15;248,6;949,99732;24,569706;10,7;1,783673;
2006-12-31;20;284;950,585255;24,52071;7;1,716193;
2007-01-31;15;null;null;24,569678;9;null;
2007-02-28;6;null;null;null;8,4;null;
2007-03-31;null;null;null;25,929374;6,1;null;
2007-04-30;1;null;952,654034;null;7,8;1,529666;
2007-05-31;null;null;null;null;6,8;null;
2007-06-30;1;null;955,79878;null;5,9;1,468502;
2007-07-31;null;null;null;null;6,7;null;
2007-08-31;0;0;955,400869;22,761327;7,7;2,355618;
2007-09-30;1;,2;953,992917;26,376944;9,1;2,887415;
2007-10-31;14;198;950,87358;26,413342;10,4;2,131031;
2007-11-30;16;null;949,479722;25,133654;10,1;1,806975;
2007-12-31;21;173;949,809274;24,882661;9,1;1,471909;
2008-01-31;22;407,2;949,97957;24,204704;8,1;1,54207;
2008-02-29;21;361,8;951,090086;23,86408;7;1,349856;
2008-03-31;16;154;950,958333;23,985484;8,5;1,382124;
2008-04-30;16;107,8;950,855;23,395;7,7;1,350555;
2008-05-31;8;39,4;954,447207;20,323679;9,1;1,369255;
2008-06-30;1;,2;955,570785;20,763801;6,4;1,410363;
2008-07-31;0;0;956,629032;20,060753;7,8;1,744355;
2008-08-31;1;6,6;953,567339;23,576344;8;2,131317;
2008-09-30;4;15,2;953,200139;24,377361;8,4;2,529722;
2008-10-31;10;127,8;952,143683;25,442339;10;2,168817;
2008-11-30;15;140,8;949,948551;24,704469;10,8;1,760181;
2008-12-31;18;342,6;949,123118;24,485887;10,2;1,675403;
2009-01-31;18;318,2;950,837144;24,519331;7,6;1,7197;
2009-02-28;19;191;950,84003;24,831548;7,1;1,433333;
2009-03-31;18;201,4;950,543683;24,614516;10,1;1,166532;
2009-04-30;9;65,6;952,587083;23,036944;4,8;1,064306;
2009-05-31;6;25,4;953,871505;21,684274;7;,873521;
2009-06-30;8;31,2;955,751945;19,38375;7,4;1,126389;
2009-07-31;1;7,4;955,085349;21,623925;7,3;1,333737;
2009-08-31;5;23,2;954,534543;22,568414;8,8;1,954301;
2009-09-30;12;154,6;953,16375;24,452083;8,9;1,503194;
2009-10-31;15;133;950,375312;24,589961;9,2;1,208671;
2009-11-30;19;241,2;949,854445;25,611944;9,8;1,027778;
2009-12-31;28;226,8;950,28078;24,05793;6,4;,952419;
2010-01-31;23;234,4;951,258944;25,008908;7,2;,906977;
2010-02-28;11;112,4;951,238244;25,635268;6,5;1,047619;
2010-03-31;15;160,6;950,702016;25,026747;7,4;,961559;
2010-04-30;5;81;953,113611;23,012083;6;1,057222;
2010-05-31;3;3,8;953,65672;20,479167;6,2;,955645;
2010-06-30;3;21,8;956,512361;19,55;6;,867361;
2010-07-31;2;3,4;956,102151;21,649597;7,6;1,514919;
2010-08-31;null;0;955,568358;22,041377;7,4;1,62064;
2010-09-30;4;25,2;952,327083;26,239167;10;2,360139;
2010-10-31;11;182,4;950,827554;25,051344;11,2;1,816129;
2010-11-30;17;180,6;949,238889;24,534861;7,4;1,182639;
2010-12-31;18;205,4;947,985081;25,259274;7,2;,833333;
2011-01-31;16;221,4;949,186559;24,800941;7,2;,366936;
2011-02-28;16;208;950,745833;24,745238;6,4;,371726;
2011-03-31;25;384,4;950,041199;23,877467;5,9;1,307213;
2011-04-30;8;63,2;952,504028;23,545972;9;1,070972;
2011-05-31;1;,4;954,237769;20,997043;5,3;1,264382;
2011-06-30;3;24;955,076389;19,305417;9,6;1,306389;
2011-07-31;0;0;955,075403;20,872849;9,3;1,582392;
2011-08-31;1;5,4;954,275134;23,136022;10,3;1,964113;
2011-09-30;1;,4;953,949583;25,595972;10,9;2,523195;
2011-10-31;15;99,2;950,703898;24,688441;11,2;2,27164;
2011-11-30;10;202,6;950,255695;24,381806;10,6;1,807361;
2011-12-31;17;277,6;949,684005;24,706989;8;1,400806;
2012-01-31;25;247,4;950,905779;23,573387;8,3;1,503629;
2012-02-29;17;195,2;951,390086;24,685345;7,2;1,286207;
2012-03-31;11;159,2;951,796121;24,803592;6,8;1,22658;
2012-04-30;4;null;null;23,577604;7,8;null;
2012-05-31;11;49;954,859812;20,756855;7;1,299194;
2012-06-30;8;62,8;955,399722;21,077917;9,9;1,248195;
2012-07-31;2;4,8;955,856855;19,635618;7,4;1,348521;
2012-08-31;null;0;957,197811;21,991806;7,7;2,636194;
2012-09-30;5;39;953,997917;25,256389;13,9;2,080417;
2012-10-31;7;3,8;950,592876;27,306452;7,7;2,036425;
2012-11-30;19;191,4;949,04375;25,30375;8,2;1,611805;
2012-12-31;19;192,2;950,252419;25,702285;7,7;1,347984;
2013-01-31;22;285,2;950,598387;24,394892;7,3;1,326882;
2013-02-28;13;178,8;951,479018;24,524256;6,9;1,247619;
2013-03-31;16;157,6;951,654674;24,692411;10,5;1,375129;
2013-04-30;11;141,8;953,380417;22,429861;7,4;1,156806;
2013-05-31;3;44;954,102285;21,449731;7,4;1,188172;
2013-06-30;4;16;955,023813;21,624545;8,2;1,145846;
2013-07-31;0;0;956,634677;19,718011;8,4;1,758065;
2013-08-31;0;0;955,263038;21,45336;7,2;2,08078;
2013-09-30;5;36,2;953,58;24,53625;10,4;2,475278;
2013-10-31;12;60;951,916263;25,555914;9;2,192876;
2013-11-30;15;177,4;950,101667;25,120278;7,3;1,618472;
2013-12-31;17;208,2;948,921237;25,151344;8,9;1,135484;
2014-01-31;15;119,8;952,358602;25,13965;7,7;1,320833;
2014-02-28;11;127,2;951,376786;25,09494;7,6;1,535268;
2014-03-31;20;217,2;952,046505;24,435753;7,8;1,283064;
2014-04-30;15;68,8;952,828611;23,917778;8,1;1,171389;
2014-05-31;3;1;954,198522;20,898118;5,1;1,175403;
2014-06-30;4;7,4;955,481806;21,040695;5,6;1,445;
2014-07-31;4;73,2;957,560081;20,597312;8,6;1,621102;
2014-08-31;null;0;955,734861;22,611528;8,2;1,764028;
2014-09-30;8;39,2;953,025833;25,375556;8,9;2,231944;
2014-10-31;8;27,8;952,091129;26,948387;9,8;2,149597;
2014-11-30;19;216,2;950,540278;25,186667;7,3;1,69;
2014-12-31;18;134,8;951,220161;24,516263;8,2;1,431317;
2015-01-31;10;112,8;952,349123;26,323621;6,3;1,300088;
2015-02-28;20;210;951,743452;24,87753;5,5;1,502976;
2015-03-31;21;174,6;952,050538;24,047312;7,4;1,214651;
2015-04-30;11;121,8;952,614028;24,194722;5,7;1,162917;
2015-05-31;10;93,4;954,828629;21,70457;8,7;1,32621;
2015-06-30;5;1,8;956,974583;21,048056;6,2;1,650833;
2015-07-31;3;9;955,987769;21,613844;7;1,622984;
2015-08-31;0;0;955,225269;22,983871;8,8;2,035081;
2015-09-30;8;53;952,065139;25,826944;7,9;1,816806;
2015-10-31;8;55;951,467339;28,130107;8,9;2,095968;
2015-11-30;20;238,8;950,292361;26,064583;9,6;1,749444;
2015-12-31;17;196,2;952,243952;25,506048;8,7;1,476613;
2016-01-31;18;443;949,564059;24,718269;5,4;1,405328;
2016-02-29;null;null;null;null;null;null;
2016-03-31;5;null;null;null;null;null;
2016-04-30;3;1;953,0575;24,50875;6,3;1,390556;
2016-05-31;11;34,4;955,380511;22,023253;7,6;1,460753;
2016-06-30;4;34,6;957,041389;20,079306;5,9;1,453195;
2016-07-31;0;0;956,14543;20,979301;9;1,672581;
2016-08-31;8;32,2;954,766263;22,529301;6,9;1,796774;
2016-09-30;2;4,4;953,673889;25,522083;9,9;2,356111;
2016-10-31;11;86,8;951,2437;25,718303;8,6;2,172879;
2016-11-30;18;183;950,610139;24,757083;13,9;1,646528;
2016-12-31;16;227,2;951,043145;25,154436;8,5;1,584677;
2017-01-31;24;183,2;951,706586;24,979436;8,2;1,33871;
2017-02-28;16;117,2;951,357589;25,444643;7,1;1,592262;
2017-03-31;21;156,4;951,79422;24,879032;7,8;1,229436;
2017-04-30;13;126,8;952,919306;24,074306;8,7;1,498056;
2017-05-31;14;76;953,975134;22,581989;8,1;1,13414;
2017-06-30;4;,8;956,364028;20,292222;7,2;1,639305;
2017-07-31;0;0;959,522177;18,834543;9,6;2,114247;
2017-08-31;null;null;null;21,98588;11,3;null;
2017-09-30;null;null;null;null;7,6;null;
2017-10-31;9;67;950,996774;26,94207;8,8;2,275;
2017-11-30;20;328,2;949,940695;24,38375;6,2;1,61875;
2017-12-31;20;283,2;950,014247;24,834677;7,4;1,225806;
2018-01-31;17;319,8;951,124194;24,742204;7,8;1,126344;
2018-02-28;16;132;950,5875;24,76756;5,9;,943155;
2018-03-31;11;47;950,941935;25,767742;6,3;,926747;
2018-04-30;14;116,8;953,991528;23,236944;6,4;1,062361;
2018-05-31;8;25,4;955,435484;20,920027;6,8;,973253;
2018-06-30;2;,4;956,294583;21,404167;4,8;1,035556;
2018-07-31;0;0;956,246371;20,628091;6,2;1,163306;
2018-08-31;7;3,8;955,538844;22,651882;8;1,849462;
2018-09-30;null;null;952,089722;24,4875;9,8;1,642917;
2018-10-31;null;null;951,016263;25,739516;7,6;1,442473;
2018-11-30;7;71,2;950,6225;24,404028;7,1;1,306667;
2018-12-31;13;145,6;951,491269;25,963639;7,5;1,14948;
2019-01-31;13;101,8;953,068011;26,053495;8,6;1,071371;
2019-02-28;17;396,8;951,296131;25,476786;8,1;,883929;
2019-03-31;16;148;952,672581;24,869489;8,9;,856452;
2019-04-30;13;125,6;952,595139;24,325556;5,2;,666805;
2019-05-31;11;26,2;953,764651;22,475134;6,4;,764919;
2019-06-30;3;,6;956,936944;20,65375;6,3;1,079445;
2019-07-31;2;1,6;956,423656;20,006183;6,1;1,387097;
2019-08-31;2;2,8;956,710081;23,244758;8,4;1,879973;
2019-09-30;3;27,8;952,695139;27,568333;11,2;2,22625;
2019-10-31;9;95,8;951,128091;27,212097;12,1;1,742876;
2019-11-30;21;201,6;950,013056;25,74;6,6;1,154306;
2019-12-31;18;237,4;950,864382;25,087903;6;,885081;
2020-01-31;5;null;null;null;null;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;20,724545;7,4;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;18;245,6;950,703086;25,077315;6,7;,949691;
2021-01-31;16;152,2;951,031452;25,076478;6,4;,740591;
2021-02-28;14;125;950,026042;24,726339;8,4;,96875;
2021-03-31;13;46,6;951,776075;24,74543;8,8;,874866;
2021-04-30;3;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;5;null;null;25,006246;11,7;null;
2021-11-30;10;null;949,456372;25,601908;8,7;1,547093;
2021-12-31;17;279,2;948,589495;24,809702;4,5;1,357083;
2022-01-31;25;187,6;950,249615;24,307056;6,4;1,229109;
2022-02-28;12;null;950,639068;25,03294;7,5;1,222707;
2022-03-31;13;124,8;951,298563;25,318372;6,2;1,465386;
2022-04-30;12;72,8;952,213194;24,057222;8;1,157361;
2022-05-31;6;45,4;954,834543;19,760215;7,1;1,279032;
2022-06-30;0;0;954,925351;20,087627;8,4;1,207089;
2022-07-31;0;0;955,454134;21,452757;5,6;1,504078;
2022-08-31;0;0;954,749585;22,993303;9;2,206089;
2022-09-30;null;null;952,600388;25,013941;8,7;2,339415;
2022-10-31;6;null;951,441759;25,394311;9;1,734902;
2022-11-30;11;null;950,301216;24,308076;9,5;1,919923;
2022-12-31;16;198,2;949,379919;24,343521;7,2;1,332524;
2023-01-31;17;null;null;23,586864;5,5;null;
2023-02-28;null;null;null;null;4,6;null;
2023-03-31;11;null;952,650238;24,533758;6,5;1,085187;
2023-04-30;18;82;952,141591;23,432714;6,6;1,131576;
2023-05-31;1;,2;954,781679;20,613708;5,2;,952331;
2023-06-30;0;0;956,739306;18,992083;4;,909444;
2023-07-31;1;6,2;956,318414;21,065054;6,8;1,251479;
2023-08-31;3;12,2;953,931989;23,297043;9,4;1,478091;
2023-09-30;1;10,8;952,115663;26,893306;10,6;1,939387;
2023-10-31;null;null;null;null;null;null;

