Nome: PASSOS
Codigo Estacao: A516
Latitude: -20.745237
Longitude: -46.633916
Altitude: 781.7
Situacao: Operante
Data Inicial: 2006-07-15
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;1;null;null;null;null;null;
2006-08-31;3;28,6;928,773867;20,577917;6,8;1,938479;
2006-09-30;8;46,4;927,923396;20,577109;9,7;2,458712;
2006-10-31;17;130,4;925,392339;21,803629;6,7;2,311962;
2006-11-30;13;147,8;924,333742;22,113808;12,5;2,277438;
2006-12-31;22;459,4;924,988994;22,701375;7,2;2,34703;
2007-01-31;30;526,4;924,564516;22,53535;11,1;1,641129;
2007-02-28;14;123,6;925,115974;23,062105;6,4;1,995808;
2007-03-31;8;79,4;926,587491;23,279263;7,4;1,541143;
2007-04-30;9;61,2;927,279445;21,939861;7,2;1,806389;
2007-05-31;5;48;928,345091;18,464727;7,2;1,630196;
2007-06-30;4;1,4;930,23567;17,759046;5,6;1,260453;
2007-07-31;5;49,6;929,568576;17,878436;8,6;1,647814;
2007-08-31;0;0;930,345712;19,725926;7,4;2,175195;
2007-09-30;2;,6;929,340556;22,780278;7,6;2,634722;
2007-10-31;9;48,8;925,784233;24,101385;8,5;2,459771;
2007-11-30;20;null;924,038967;22,261045;9,1;2,327556;
2007-12-31;19;263,4;924,008602;23,071505;7,8;1,874597;
2008-01-31;21;495;924,222946;22,222609;12,1;2,016221;
2008-02-29;20;132,6;924,981541;22,27673;9;1,598245;
2008-03-31;16;161;925,082213;21,736806;6,4;1,683065;
2008-04-30;19;107,6;924,956949;20,96727;5,5;1,439787;
2008-05-31;11;2,6;928,386301;17,89984;4,8;1,418537;
2008-06-30;8;14,4;929,73362;18,265295;5,5;1,375034;
2008-07-31;0;0;931,216263;17,106452;6,2;1,49422;
2008-08-31;4;16,2;928,274444;20,094861;7,3;1,772083;
2008-09-30;7;58,2;927,722361;20,756389;8,6;2,293333;
2008-10-31;10;50,8;926,9923;22,866111;12,1;2,344931;
2008-11-30;17;264,4;924,478635;22,209662;10,8;2,488031;
