Nome: JUIZ DE FORA
Codigo Estacao: A518
Latitude: -21.769965
Longitude: -43.364329
Altitude: 936.88
Situacao: Operante
Data Inicial: 2007-05-25
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;2;null;null;null;null;null;
2007-06-30;3;6,4;914,178274;17,194009;7,3;2,789175;
2007-07-31;6;4,8;913,858263;16,492911;11,2;3,314019;
2007-08-31;2;1;915,318899;17,497855;6;3,051823;
2007-09-30;3;6,2;914,944028;18,559444;10,7;3,575556;
2007-10-31;11;107,8;911,035922;20,201379;13,1;3,064703;
2007-11-30;16;null;908,464346;19,649352;8,1;3,188942;
2007-12-31;14;272;908,557527;21,316398;9,8;3,068414;
2008-01-31;21;277,2;908,95578;20,009543;10,5;2,955511;
2008-02-29;19;320,8;909,300603;20,909226;9,1;2,760374;
2008-03-31;19;256,6;909,569074;20,492191;14,9;2,828672;
2008-04-30;18;131,4;909,186944;19,837222;7,1;2,542917;
2008-05-31;8;5,4;912,176667;17,345833;8,7;2,59;
2008-06-30;14;24,4;914,079004;16,129819;6,3;2,701316;
2008-07-31;2;,4;915,498644;16,411351;7,1;2,685728;
2008-08-31;6;4,6;913,015457;18,016935;8,7;3,255376;
2008-09-30;10;58,6;912,710833;17,101667;8,5;3,336389;
2008-10-31;15;173,2;912,173522;19,47621;9,1;3,314382;
2008-11-30;25;248;909,600694;18,429861;11,2;3,311528;
2008-12-31;23;444;908,043952;19,240054;8,3;2,816532;
2009-01-31;23;154,4;909,327466;20,703962;9,9;3,002466;
2009-02-28;16;242,6;909,648512;21,675893;11,3;2,542262;
2009-03-31;14;213,4;909,069624;21,511022;6,9;1,933602;
2009-04-30;13;66,4;911,26375;18,893056;6,5;2,161667;
2009-05-31;11;16,4;912,347043;17,638979;6,3;1,917204;
2009-06-30;12;26;913,368889;15,687083;6,6;2,298194;
2009-07-31;14;35,6;913,613575;16,777151;7,5;2,606989;
2009-08-31;6;5,4;913,997312;17,00336;9,6;2,903495;
2009-09-30;8;48;912,012639;19,803889;12,6;2,953195;
2009-10-31;19;249,2;909,426149;19,2875;10,5;2,025718;
2009-11-30;17;248,2;908,402778;22,108194;10,1;1,069306;
2009-12-31;24;436,6;908,386559;20,75457;10,7;1,08293;
2010-01-31;12;164,2;909,960991;22,711883;8,3;,912564;
2010-02-28;7;70;910,613839;22,914583;9,7;,610268;
2010-03-31;11;null;908,865532;21,632514;9,3;,47118;
2010-04-30;15;96,6;911,841558;19,168786;10,2;1,061486;
2010-05-31;9;46,4;911,396806;17,459583;8,7;1,029583;
2010-06-30;6;2;915,076944;15,435833;10,7;2,867778;
2010-07-31;11;24,4;915,888844;16,814382;6,6;2,851344;
2010-08-31;4;1,4;914,916795;16,790247;9,7;3,363523;
2010-09-30;7;43,6;912,838333;18,261389;8;3,529722;
2010-10-31;13;121;909,868011;18,14543;9,6;3,599866;
2010-11-30;19;300;908,002222;19,136944;8,9;3,125139;
2010-12-31;23;502,2;906,293548;21,484274;10;2,807661;
2011-01-31;17;357,2;908,03172;21,961021;9,6;3,05914;
2011-02-28;5;55,4;909,481399;23,005357;9;2,870387;
2011-03-31;21;348;909,176698;20,125567;8,8;2,799487;
2011-04-30;14;163;911,589444;19,806667;9;2,685278;
2011-05-31;10;18;912,680278;16,367576;7,7;2,776111;
2011-06-30;11;20,8;913,086389;15,386806;10,4;2,883611;
2011-07-31;7;5,2;913,851613;16,22836;7,1;2,905511;
2011-08-31;5;null;null;18,431537;9,4;null;
2011-09-30;1;null;null;null;7,9;null;
2011-10-31;16;132,2;910,064037;18,942608;8,8;3,614481;
2011-11-30;17;328;909,915;17,820139;8,9;3,306806;
2011-12-31;19;324,6;908,415732;19,748709;8,3;3,08847;
2012-01-31;17;430,2;909,657796;20,048656;11,1;2,887097;
2012-02-29;11;116,8;910,510345;21,828161;8,5;2,889943;
2012-03-31;14;99,2;910,891019;20,868389;7,9;2,869184;
2012-04-30;12;79,6;910,803195;20,004722;7,6;2,658194;
2012-05-31;17;129,6;913,643414;16,589247;6,7;2,857527;
2012-06-30;15;60,8;913,79875;17,348056;10,5;2,729167;
2012-07-31;10;7,4;914,193502;16,941036;7,9;2,883246;
2012-08-31;7;7,2;917,455361;16,229662;9;3,162527;
2012-09-30;6;73,6;913,890694;18,536806;11,5;3,361667;
2012-10-31;9;55,8;910,968548;20,708468;10,2;3,102285;
2012-11-30;22;289;908,867361;19,009861;9,8;3,109167;
2012-12-31;6;null;908,745027;22,85914;7,8;2,579839;
2013-01-31;22;316,6;909,771505;20,591936;8,2;2,717204;
2013-02-28;9;108,4;910,177232;22,548512;7,2;2,498214;
2013-03-31;24;371,4;910,767944;20,550431;9,1;2,489556;
2013-04-30;14;64;912,03125;18,295833;7,5;2,537639;
2013-05-31;10;61,4;912,543817;17,264247;7,6;2,599059;
2013-06-30;11;32;913,532727;17,307601;6;2,222184;
2013-07-31;13;71;914,915323;15,74086;6,8;2,592876;
2013-08-31;8;13,8;914,135753;17,231855;8,1;3,11707;
2013-09-30;10;101,8;913,227083;17,974861;9;3,026111;
2013-10-31;14;67,2;911,761559;18,280914;8,9;3,08871;
2013-11-30;15;181;910,035417;19,31;7,5;2,929269;
2013-12-31;23;512,4;907,447849;20,674866;9,1;2,690323;
2014-01-31;7;138,6;911,202554;23,078629;8,9;2,604839;
2014-02-28;6;62,2;910,875298;22,65997;7,8;2,70119;
2014-03-31;13;102,4;911,221237;21,079167;7,5;2,65457;
2014-04-30;15;133,6;911,795694;19,358056;8,8;2,405417;
2014-05-31;6;12,8;912,567473;17,842608;7,6;2,402823;
2014-06-30;11;33,8;914,183333;17,389306;8,7;2,606111;
2014-07-31;8;33,8;916,504436;16,021909;7,1;2,376478;
2014-08-31;6;12,2;914,91371;17,099328;10,2;2,806048;
2014-09-30;7;6;912,873611;19,196389;10,7;3,503194;
2014-10-31;6;64,8;912,576747;19,900269;10;3,541667;
2014-11-30;14;194,8;909,76875;20,100139;8;3,143472;
2014-12-31;13;164,2;910,096909;21,881183;8,5;2,915323;
2015-01-31;11;152,6;911,136209;23,742239;10,6;2,239797;
2015-02-28;15;108,8;910,373363;21,881696;8,7;2,686309;
2015-03-31;15;175,2;910,689382;21,080376;11,2;2,487634;
2015-04-30;5;41;911,550556;19,404583;8,8;2,72375;
2015-05-31;14;57;913,668548;17,195968;9,1;2,677688;
2015-06-30;13;36,2;915,97625;16,855833;8,9;2,841111;
2015-07-31;6;29;914,934005;17,456183;8,3;2,650134;
2015-08-31;7;27,4;914,905511;17,57043;8,8;2,751613;
2015-09-30;14;134,4;911,484028;20,027639;11,1;3,089722;
2015-10-31;12;67,2;911,86828;20,965726;9,7;3,09543;
2015-11-30;21;252,2;908,949167;21,512917;9,7;2,446806;
2015-12-31;20;282,6;910,631183;22,177688;10,5;2,734946;
2016-01-31;19;334,8;909,138441;21,375941;9;3,068145;
2016-02-29;11;215;910,98319;22,82227;10,9;2,44842;
2016-03-31;18;157,4;912,14328;21,640591;8,5;2,431855;
2016-04-30;4;35;912,023194;21,734305;6;2,220864;
2016-05-31;5;15,6;913,730108;17,763172;9,7;2,639247;
2016-06-30;10;31,6;915,260556;15,501111;7,6;2,214444;
2016-07-31;2;8,2;914,797715;16,739113;9,4;2,134005;
2016-08-31;3;9;913,690323;17,741801;9,7;3,094892;
2016-09-30;10;57;913,069028;18,646806;10,8;2,978611;
2016-10-31;17;68,8;910,942204;19,086559;9,2;3,070027;
