Nome: PATROCINIO
Codigo Estacao: A523
Latitude: -18.996684
Longitude: -46.985935
Altitude: 978.11
Situacao: Operante
Data Inicial: 2006-08-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;3;null;null;null;null;null;
2006-09-30;6;112,8;907,302449;20,499129;10,1;2,063573;
2006-10-31;19;165;905,086828;20,743817;6,3;1,887903;
2006-11-30;18;103,4;903,960844;21,276654;7,3;2,253741;
2006-12-31;21;null;null;21,181289;7,9;null;
2007-01-31;1;null;null;null;6,8;null;
2007-02-28;4;null;null;null;5,3;null;
2007-03-31;null;null;null;null;6,3;null;
2007-04-30;null;null;null;null;4,4;null;
2007-05-31;4;null;null;17,976808;7,3;null;
2007-06-30;2;12,6;909,517663;17,78654;6,1;1,265695;
2007-07-31;3;2,6;908,583333;18,184226;6,9;1,509524;
2007-08-31;0;0;909,455061;18,905406;7,4;1,914861;
2007-09-30;2;3,4;908,582083;21,920556;6,9;2,234861;
2007-10-31;9;74,8;905,35592;23,103793;7,1;2,056475;
2007-11-30;20;null;903,579722;21,958333;9,7;2,046667;
2007-12-31;20;316;903,948522;21,846102;6,4;2,105645;
2008-01-31;21;356,4;903,993011;21,266801;5,8;1,829301;
2008-02-29;21;321,4;904,772701;21,573994;7,6;1,686782;
2008-03-31;25;318,4;904,759677;21,01129;6,6;1,587769;
2008-04-30;19;91,6;904,568889;20,918056;6,1;1,370556;
2008-05-31;7;25,4;907,511711;18,315282;4,6;1,20218;
2008-06-30;8;9,2;909,00724;17,901969;5,8;1,318369;
2008-07-31;0;0;910,222312;16,736559;6,7;1,412231;
2008-08-31;1;7,4;907,643011;19,825672;10;1,765995;
2008-09-30;7;60,6;906,941389;20,922222;7,8;2,107778;
2008-10-31;11;27,8;906,347715;22,762769;6,8;2,255645;
2008-11-30;20;100,4;904,000079;21,659354;7,6;2,074185;
2008-12-31;22;421,2;903,220161;21,072581;6,4;1,82957;
2009-01-31;20;245,8;904,786571;21,650608;10,3;1,821774;
2009-02-28;16;169;904,877083;22,150595;6,6;1,690625;
2009-03-31;22;238,2;904,39328;21,844892;9,2;1,441935;
2009-04-30;16;33,8;906,193056;20,259028;5,5;1,4075;
2009-05-31;12;57,4;907,525403;18,65914;6,5;1,231586;
2009-06-30;11;49,4;908,741805;17,173333;6,5;1,335972;
2009-07-31;3;7,6;908,684274;18,675941;7;1,530511;
2009-08-31;5;30,6;908,419086;19,064516;7,5;1,985081;
2009-09-30;12;71;907,060972;21,842361;6,4;1,894583;
2009-10-31;19;154,4;904,26092;21,597701;6,6;1,821264;
2009-11-30;14;147,4;903,981528;22,809305;6,8;1,822083;
2009-12-31;23;378,8;904,197177;21,655511;9,4;2,076075;
2010-01-31;16;207,4;905,422373;22,461681;6;1,452835;
2010-02-28;12;101;905,507143;22,713839;5,7;1,530804;
2010-03-31;20;186;904,805511;21,950134;6,2;1,521371;
2010-04-30;8;80;906,774028;20,292361;7,3;1,286944;
2010-05-31;8;9,8;906,771909;18,774194;5,6;1,031183;
2010-06-30;9;16;909,923889;16,686528;5,9;,981389;
2010-07-31;0;0;910,105376;18,241936;7,9;1,408737;
2010-08-31;null;0;909,35404;18,835242;6,1;1,400737;
2010-09-30;5;39,2;906,991111;21,73625;7,8;1,867778;
2010-10-31;15;155,4;904,588593;22,080943;8,1;1,840644;
2010-11-30;22;247,2;903,244306;21,170278;10,2;2,006667;
2010-12-31;18;212,8;901,877554;22,552016;9,9;1,914651;
2011-01-31;14;142,2;903,357796;21,905511;7,2;2,084274;
2011-02-28;null;null;904,569792;22,479464;5,5;1,510268;
2011-03-31;null;null;904,040598;21,184417;5,4;1,491211;
2011-04-30;6;null;906,452222;20,613194;7,4;1,461944;
2011-05-31;9;1,8;907,464516;18,605914;5;1,077957;
2011-06-30;8;11;908,273472;16,931667;9,6;1,005972;
2011-07-31;2;,4;908,759543;17,902688;5,8;1,257393;
2011-08-31;0;0;908,096909;20,359677;8,6;1,506452;
2011-09-30;1;17,6;908,217083;21,589167;6,5;1,76875;
2011-10-31;18;158,2;904,854839;20,806586;8,2;1,938306;
2011-11-30;10;126,4;904,325972;20,824861;7,9;2,098056;
2011-12-31;25;529;903,743145;21,040054;6,8;1,710349;
2012-01-31;26;247,6;904,816398;20,65121;6,7;1,793548;
2012-02-29;11;74,8;905,41681;22,064224;6,6;1,556897;
2012-03-31;14;94,2;905,914919;21,627419;5,9;1,439247;
2012-04-30;19;40,6;905,931528;21,158611;5,3;1,263194;
2012-05-31;10;12,6;908,29879;18,018817;7,4;1,370699;
2012-06-30;13;85;908,917778;18,535695;6,9;1,307639;
2012-07-31;2;,4;909,22836;17,64328;6,3;1,390591;
2012-08-31;null;0;911,09808;18,220278;7,4;2,107335;
2012-09-30;6;44,6;908,313889;21,478472;6,6;1,876528;
2012-10-31;10;95,4;905,377554;23,156586;7,8;1,794758;
2012-11-30;20;223,6;903,279444;22,032083;6,4;1,927361;
2012-12-31;19;183,2;904,354436;22,729973;6,1;1,472581;
2013-01-31;19;296,4;904,744086;21,638441;7,3;1,758737;
2013-02-28;14;103,2;905,354464;22,358482;5,5;1,340625;
2013-03-31;20;198,8;905,706945;21,866667;6,7;1,507417;
2013-04-30;19;117,4;906,965139;19,667639;4,7;1,220833;
2013-05-31;11;79;907,708199;18,883737;5,3;1,174731;
2013-06-30;15;23,4;908,669268;18,552588;5;1,065669;
2013-07-31;2;,4;909,758199;17,615591;5,7;1,409677;
2013-08-31;2;4,8;908,741532;18,588978;6,2;1,425538;
2013-09-30;4;15;907,6275;20,869445;8,9;1,880972;
2013-10-31;13;155,8;906,133199;21,260618;6,3;1,686962;
2013-11-30;16;234;904,290972;21,732083;6,1;1,445694;
2013-12-31;25;278;902,930914;22,195161;6,2;1,716398;
2014-01-31;14;80;906,417608;22,104301;6,2;1,324597;
2014-02-28;7;80,2;905,544643;22,365327;5,9;1,446429;
2014-03-31;16;116,6;906,054839;21,654973;5,4;1,225;
2014-04-30;18;93;906,649028;20,869444;6,9;1,08;
2014-05-31;11;19,8;907,614247;18,402823;4,9;,917204;
2014-06-30;8;2;909,085139;17,894583;5,7;,990556;
2014-07-31;8;80;911,029301;17,135753;6,7;1,128226;
2014-08-31;0;0;909,452554;19,210215;6,2;1,12621;
2014-09-30;3;8,2;907,268333;22,118889;7,1;1,631528;
2014-10-31;7;89,2;906,566129;22,757393;8,1;1,661828;
2014-11-30;21;299;904,632083;21,934583;6,6;1,501111;
2014-12-31;20;208,6;905,378091;21,68871;6,4;1,452957;
2015-01-31;8;66,6;906,498165;23,230534;7;1,171517;
2015-02-28;20;272,4;905,887946;21,652679;6,6;1,541816;
