Nome: PASSA QUATRO
Codigo Estacao: A529
Latitude: -22.39583333
Longitude: -44.96194444
Altitude: 1017.1
Situacao: Operante
Data Inicial: 2007-05-29
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;null;904,315003;15,946196;6,4;1,469697;
2007-07-31;6;72,4;903,424649;15,115124;9,8;2,102186;
2007-08-31;0;0;904,566176;16,809198;8,8;1,940568;
2007-09-30;3;17,8;904,020417;19,050695;8,6;2,169167;
2007-10-31;9;114;900,400269;20,677016;9,3;2,137231;
2007-11-30;3;null;null;null;null;null;
2007-12-31;null;null;null;null;null;null;
2008-01-31;null;null;null;null;null;null;
2008-02-29;null;null;null;null;null;null;
2008-03-31;7;null;null;null;8,3;null;
2008-04-30;15;139,4;899,1075;18,943056;8;1,694722;
2008-05-31;5;42;901,960556;15,975694;7,5;1,835972;
2008-06-30;11;41,4;903,573859;15,222482;8,6;1,730676;
2008-07-31;1;,2;905,072312;14,593011;7;1,356452;
2008-08-31;8;99;902,507258;17,230511;8,8;2,075806;
2008-09-30;8;76,4;902,007778;16,924445;8,1;2,509306;
2008-10-31;16;124;901,559543;19,475134;14,2;2,476613;
2008-11-30;24;221,4;898,978333;18,8725;6,8;2,532639;
2008-12-31;22;222,8;897,602688;19,493683;7,8;2,091532;
2009-01-31;24;261,6;899,123948;20,078518;9;2,487956;
2009-02-28;20;199,2;899,422768;20,954018;9,5;1,806845;
2009-03-31;19;61,4;898,888575;21,094624;7,3;1,804436;
2009-04-30;10;34,2;900,939028;18,777639;7;2,035833;
2009-05-31;12;50,2;901,97043;16,596909;7,1;1,918548;
2009-06-30;10;31,6;903,035556;14,2825;8;2,01;
2009-07-31;15;70,8;903,151882;15,84879;8,3;2,027016;
2009-08-31;8;58,2;903,370699;16,233199;9,3;2,272312;
2009-09-30;13;154,4;901,690556;18,776111;8,5;2,18125;
2009-10-31;15;226,8;899,050431;19,381897;9,3;2,438362;
2009-11-30;16;124,8;898,278472;21,686806;9,1;2,082778;
2009-12-31;26;431,6;898,204032;20,447312;12,2;2,497715;
2010-01-31;20;190,2;900,072677;21,480556;6,8;1,858199;
2010-02-28;13;95,4;900,463095;21,406697;8,1;1,649554;
2010-03-31;19;198,2;899,315591;20,606855;8,9;1,720027;
2010-04-30;12;79,4;901,621667;18,688056;7,1;1,910556;
2010-05-31;5;20,6;901,21707;16,769489;8,6;2,033736;
2010-06-30;6;16,4;904,600694;14,398194;8,3;1,843056;
2010-07-31;7;45,4;905,188978;15,946909;8,5;1,684812;
2010-08-31;0;0;904,224194;16,007661;8,1;1,950538;
2010-09-30;6;74,8;902,063333;18,285417;8,9;2,569028;
2010-10-31;11;95,2;899,323656;18,549866;10;2,934409;
2010-11-30;18;183,4;897,500694;19,504028;10,2;2,553472;
2010-12-31;21;336,2;896,149193;21,388575;8,7;2,154032;
2011-01-31;22;464,8;897,702554;21,306183;10,1;2,273387;
2011-02-28;17;142,6;899,283631;21,787054;9,4;1,432589;
2011-03-31;15;121,8;898,86703;20,564838;7,5;2,027882;
2011-04-30;16;60,2;901,179028;19,596111;6,7;1,758889;
2011-05-31;8;20;902,188966;16,280731;6,7;1,952505;
2011-06-30;7;42,8;902,588611;14,422917;12,4;1,821944;
2011-07-31;2;,4;903,283602;15,650269;7,8;1,766263;
2011-08-31;5;11,2;902,697043;17,686022;10,1;2,487903;
2011-09-30;4;4,8;903,469445;18,073472;7,9;2,480694;
2011-10-31;12;105,2;899,422849;19,368548;8,6;2,815188;
2011-11-30;16;110;899,156291;18,577592;10,6;2,794946;
2011-12-31;null;null;null;null;6,6;null;
2012-01-31;2;null;null;null;10,3;null;
2012-02-29;null;null;null;null;7,8;null;
2012-03-31;8;null;null;19,957399;7,9;null;
2012-04-30;11;72,4;900,435278;19,450278;9,1;1,864028;
2012-05-31;16;null;903,149462;15,874194;7;2,058199;
2012-06-30;14;71,2;903,362778;16,215;8,1;2,139722;
2012-07-31;9;37,6;903,78414;15,236022;8,4;1,985618;
2012-08-31;5;5,2;906,482623;16,155278;7,6;1,754435;
2012-09-30;5;34,6;903,221945;18,428472;8,3;2,330278;
2012-10-31;7;53,8;900,331048;21,058736;8,7;2,192204;
2012-11-30;16;null;898,193333;19,742222;7,7;2,574861;
2012-12-31;25;240,4;898,736022;22,107661;8,5;2,020699;
2013-01-31;25;377;899,43414;20,178091;7,4;2,522715;
2013-02-28;19;208;899,974851;21,276637;8,5;1,70878;
2013-03-31;19;132,2;900,503861;20,375287;7,9;2,105583;
2013-04-30;13;129,4;901,522361;18,215556;9,3;2,032917;
2013-05-31;12;48;902,250922;16,524861;7,1;1,681644;
2013-06-30;15;21;903,138624;16,526604;10,4;1,636439;
2013-07-31;13;78,4;904,404704;15,118548;8,8;1,904435;
2013-08-31;5;2,6;903,518683;16,379704;8,1;1,900538;
2013-09-30;11;86;902,528194;18,137639;7,9;2,191528;
2013-10-31;12;137;901,135618;18,336425;7,5;2,51828;
2013-11-30;16;102,4;899,414305;19,754722;6,8;1,9725;
2013-12-31;30;94,8;897,245565;21,128763;7,6;2,454032;
2014-01-31;14;37;900,950269;22,568011;6,8;1,669624;
2014-02-28;8;57,4;900,356845;22,663393;7,5;1,666518;
2014-03-31;14;112;900,801344;21,163306;8,3;2,120833;
2014-04-30;12;48;901,444445;19,559861;7,4;2,269306;
2014-05-31;8;27,4;902,267607;17,043548;7,3;2,082527;
2014-06-30;4;8,2;903,745;16,654583;7,3;1,753472;
2014-07-31;9;38,6;905,801344;15,410081;9,4;2,091398;
2014-08-31;7;20,4;904,269086;16,686828;8,8;2,069758;
2014-09-30;9;43;902,255139;19,163333;8,3;2,630833;
2014-10-31;5;37;901,883736;20,182661;9,3;2,715995;
2014-11-30;16;139,2;899,194861;20,570833;8,5;2,799028;
2014-12-31;15;153,4;899,825672;21,493548;8,9;2,397043;
2015-01-31;17;109;901,120833;22,792876;8,2;1,84086;
2015-02-28;16;174,2;900,161161;21,128571;9,4;2,297619;
2015-03-31;22;221,6;900,484543;20,293817;9;2,216667;
2015-04-30;10;45,4;901,143195;19,517361;7,3;2,183611;
2015-05-31;5;4,4;903,168145;16,68078;8,2;1,9125;
2015-06-30;1;15,8;905,498472;15,923889;7,6;2,010833;
2015-07-31;0;0;904,368952;16,536694;9,8;2,0125;
2015-08-31;0;0;904,167473;17,26828;8,3;1,828226;
2015-09-30;6;68,6;901,10247;19,317144;8,6;2,346081;
2015-10-31;9;97,4;901,263038;21,404167;9,1;2,302285;
2015-11-30;17;204,8;898,708789;21,411494;7,2;2,071249;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;null;null;null;null;null;
2016-04-30;4;null;null;20,444298;7,5;null;
2016-05-31;9;34,6;903,387231;17,132527;8,7;2,046371;
2016-06-30;14;124,4;904,686806;14,911945;8,7;1,933611;
2016-07-31;4;,8;904,205914;16,082527;7,4;1,693011;
2016-08-31;5;32,8;903,132796;17,069086;9,2;2,228091;
2016-09-30;5;34,2;902,298333;19,021667;7,7;2,40875;
2016-10-31;14;117,4;900,275403;19,775538;9,2;2,416667;
2016-11-30;18;172,2;899,303194;19,786389;7,3;2,263472;
2016-12-31;16;107;899,426613;21,50793;9,1;2,222446;
2017-01-31;23;222,4;900,105511;21,769624;16,1;1,959274;
2017-02-28;14;129,8;900,311161;21,986607;9,1;1,765923;
2017-03-31;16;173,2;900,684677;20,543817;6,1;1,916935;
2017-04-30;8;46,2;901,807083;19,124861;7;2,183889;
2017-05-31;10;79;902,44543;17,143548;8,7;1,726478;
2017-06-30;9;21,4;904,61375;16,161389;7,2;1,584306;
2017-07-31;7;2,2;908,243817;14,306855;7;1,546236;
2017-08-31;5;6,6;903,626042;16,336905;10,4;2,140923;
2017-09-30;3;48;904,409306;19,1775;9,1;1,950417;
2017-10-31;16;115;900,533871;20,480376;9,4;2,463844;
2017-11-30;14;142,6;898,742917;19,625417;9,6;2,871945;
2017-12-31;20;170;898,428763;20,978898;10,3;2,281855;
2018-01-31;25;308,8;899,638978;20,766667;7,4;2,020161;
2018-02-28;19;75;899,13935;20,888807;6,9;2,264816;
2018-03-31;19;196,4;899,318975;21,641714;6,6;1,591293;
2018-04-30;5;25,8;902,666667;19,275278;7,1;1,637639;
2018-05-31;7;26,8;903,604301;17,027151;9,6;1,763038;
2018-06-30;4;null;903,543841;16,768116;7,1;1,520109;
2018-07-31;2;11,4;904,386694;15,891263;5,9;1,435081;
2018-08-31;12;90;903,976075;16,194892;9,2;2,406183;
2018-09-30;10;62,4;900,817639;18,789028;9,6;2,396528;
2018-10-31;20;146,4;899,934812;19,584677;8,3;2,442742;
2018-11-30;23;134,6;900,062083;19,840139;8;2,376667;
2018-12-31;19;183,2;899,814516;21,243011;6,3;1,90578;
2019-01-31;15;106,4;901,703091;22,790726;6,1;1,773656;
2019-02-28;23;156;899,723661;21,188095;9,9;2,312054;
2019-03-31;29;103,6;901,250672;20,924059;8,5;2,106989;
2019-04-30;11;56,8;900,735139;20,535;7,3;1,6775;
2019-05-31;10;25,4;901,755107;18,558468;9,2;1,856183;
2019-06-30;4;9,8;905,3;16,529861;8;1,667083;
2019-07-31;8;31,8;904,495699;15,138441;9;2,011559;
2019-08-31;12;26,6;905,836425;16,14879;7,6;2,227285;
2019-09-30;9;89;902,619028;19,386528;7,7;2,306528;
2019-10-31;9;116;900,571102;20,71371;7,9;2,234677;
2019-11-30;15;132,2;899,079306;20,4775;9,9;2,526111;
2019-12-31;18;235,8;899,363978;20,914247;6,9;2,19086;
2020-01-31;22;232,4;898,447178;21,31129;9,7;2,115323;
2020-02-29;22;246,2;900,126006;20,690948;8,6;2,400431;
2020-03-31;12;109,4;900,875906;19,976245;7,1;1,969028;
