Nome: DORES DO INDAIA
Codigo Estacao: A536
Latitude: -19.48194443
Longitude: -45.59388888
Altitude: 721.09
Situacao: Operante
Data Inicial: 2007-05-31
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;null;null;null;null;null;
2007-06-30;2;2,2;936,41077;19,657182;7,6;1,927436;
2007-07-31;3;21;935,823975;19,59427;8;2,228078;
2007-08-31;0;0;936,675766;20,609403;8,7;2,68487;
2007-09-30;1;2,4;935,681111;23,196945;8,4;2,984167;
2007-10-31;7;58,2;931,903226;24,928898;12,3;2,809946;
2007-11-30;17;null;929,818513;23,050892;14,7;2,439089;
2007-12-31;13;179,2;930,236156;23,972043;7,7;2,546102;
2008-01-31;21;425,8;930,436693;22,98965;10,7;2,507796;
2008-02-29;14;165,6;931,045948;23,567857;10,7;2,207385;
2008-03-31;21;270,2;931,158544;22,717602;11,6;2,079342;
2008-04-30;9;130;930,938889;22,650833;10,5;1,794444;
2008-05-31;3;5;934,259306;20,064583;5,6;1,759167;
2008-06-30;0;0;935,923164;19,92785;7;1,838617;
2008-07-31;0;0;937,410753;18,760484;7,3;1,984274;
2008-08-31;3;11,4;934,550806;21,581317;11,1;2,499866;
2008-09-30;8;124,8;933,825103;21,917349;10,5;2,637742;
2008-10-31;8;62;932,96707;24,215726;11,3;2,523118;
2008-11-30;22;235;930,564028;22,859444;12,4;2,370972;
2008-12-31;17;391,8;929,610618;22,674194;10,7;2,464113;
2009-01-31;22;354,6;931,170638;23,260459;12,2;2,281085;
2009-02-28;13;153,2;931,252232;23,960714;9,1;2,320685;
2009-03-31;16;237,2;930,633468;23,71922;11,4;1,961962;
2009-04-30;10;117;932,757415;21,91369;8,6;1,752832;
2009-05-31;7;24;934,290188;20,421774;7,5;1,729032;
2009-06-30;6;null;935,542908;18,357625;6,4;2,059918;
2009-07-31;1;,8;935,458602;20,712097;7,4;2,205511;
2009-08-31;5;41,2;935,500152;20,650591;8,5;2,615566;
2009-09-30;9;41,8;933,566806;23,494167;11,3;2,453333;
2009-10-31;15;193,4;930,659339;23,143103;12,9;2,381465;
