Nome: CAPELINHA
Codigo Estacao: A541
Latitude: -17.70555555
Longitude: -42.38916666
Altitude: 932.06
Situacao: Operante
Data Inicial: 2007-08-30
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-08-31;null;null;null;null;null;null;
2007-09-30;null;7,2;914,814583;18,646667;7,6;3,152778;
2007-10-31;null;,2;911,140819;21,661793;7,2;2,932655;
2007-11-30;null;null;908,610247;22,366186;7,7;2,681204;
2007-12-31;null;75,8;909,02621;21,864516;8,1;2,240188;
2008-01-31;null;164,6;909,197446;21,116398;7,6;2,241398;
2008-02-29;null;110,8;909,572558;21,467385;6,9;1,902443;
2008-03-31;null;128,4;909,61922;20,935618;11;1,933737;
2008-04-30;null;65,8;909,239444;21,203333;8,3;1,37375;
2008-05-31;null;1,8;912,127367;18,078214;5,9;1,498539;
2008-06-30;null;7,6;914,203635;17,203345;6,6;1,938829;
2008-07-31;null;1,6;915,433871;15,872043;6,3;1,783065;
2008-08-31;null;2,8;913,260618;18,172043;7,2;2,599597;
2008-09-30;null;27,2;912,672917;19,448333;6,9;2,651667;
2008-10-31;null;1,2;911,831241;22,476531;8,2;2,995173;
2008-11-30;null;236;909,133889;21,036902;7,9;2,054432;
2008-12-31;null;387,8;908,575134;20,619489;6,6;2,055914;
2009-01-31;null;255,8;909,796786;21,483368;6,7;2,050958;
2009-02-28;null;123;909,863393;21,770536;10;1,967113;
2009-03-31;null;72;908,970027;21,886962;6;1,694624;
2009-04-30;null;86;910,908472;19,917222;6;1,728611;
2009-05-31;null;6,4;912,470968;17,864919;5,6;1,59664;
2009-06-30;null;16;913,577917;17,446806;6,3;1,660139;
2009-07-31;null;8;914,026478;17,677823;5,6;1,793952;
2009-08-31;null;11,2;914,049462;18,086962;7,6;2,603763;
2009-09-30;null;24;912,401528;20,853056;7,8;2,22875;
2009-10-31;null;265;909,167385;21,16092;7,2;2,037069;
2009-11-30;null;191,6;909,203472;21,814722;6,3;1,719861;
2009-12-31;null;201;909,43414;21,203629;7,1;2,060753;
2010-01-31;null;35;910,556183;22,333871;11,8;2,173399;
2010-02-28;null;41;910,626637;22,451042;8,4;2,25997;
2010-03-31;null;219,6;909,708737;21,954167;9,2;1,770027;
2010-04-30;null;39,8;911,440278;20,12125;5,9;1,780833;
2010-05-31;null;50;911,569892;19,097446;5,6;1,109543;
2010-06-30;null;8,4;915,05375;16,308472;5,3;1,541945;
2010-07-31;null;16,6;915,718091;17,053611;7;2,378871;
2010-08-31;null;,8;915,026117;16,809831;7,8;2,146298;
2010-09-30;null;5,2;913,19875;19,178194;7,9;2,726944;
2010-10-31;null;100,6;910,020968;20,802151;8;2,420699;
2010-11-30;null;271,2;908,568333;20,506389;11,7;2,070972;
2010-12-31;null;198,8;906,917607;21,789785;5,6;2,030376;
2011-01-31;null;90,2;908,855376;21,436425;7;2,245833;
2011-02-28;null;63,6;909,660863;22,044792;7,4;2,174851;
2011-03-31;null;288,6;908,817663;21,275693;6,2;2,061459;
2011-04-30;null;91,8;911,37875;20,022083;5,6;2,0225;
2011-05-31;null;16;912,380914;17,648925;5,6;1,715054;
2011-06-30;null;11,2;913,308194;17,050694;6,1;1,72;
2011-07-31;null;14,4;914,0625;16,716801;8;1,841129;
2011-08-31;null;1,2;913,710484;18,386694;7,7;2,001613;
2011-09-30;null;1,6;914,500417;18,228056;7,1;2,565556;
2011-10-31;null;213,2;910,197581;19,511828;6,2;2,398925;
2011-11-30;null;165,2;910,087222;18,975139;6,4;2,610417;
2011-12-31;null;284,6;909,147177;20,574731;6,4;1,880242;
2012-01-31;null;125,2;910,251075;20,812903;5,9;2,202957;
2012-02-29;null;31,2;910,62227;21,208046;5,7;2,435776;
2012-03-31;null;29,8;910,83871;21,344086;8,1;2,123253;
2012-04-30;null;7,2;910,77125;21,302222;5,6;2,013611;
2012-05-31;null;80;913,153898;18,173521;6;2,02621;
2012-06-30;null;15,8;914,005972;18,220833;5,8;1,525833;
2012-07-31;null;7,2;914,450941;17,376747;6;1,873656;
2012-08-31;null;38,2;916,597254;16,751945;7,7;2,759831;
2012-09-30;null;8,4;914,0875;19,772361;7,9;2,742083;
2012-10-31;null;36,2;911,281855;21,316936;7,7;2,818011;
2012-11-30;null;447,4;908,775556;20,732639;7,4;2,151806;
2012-12-31;null;98,4;909,166801;22,733333;6,1;1,852016;
2013-01-31;null;180,8;909,911425;22,004301;5,8;2,200538;
2013-02-28;null;63,6;910,48006;21,827827;7;2,271429;
2013-03-31;null;29,4;910,486222;22,107471;5,7;2,009945;
2013-04-30;null;121,8;911,765;19,607917;5,9;1,982778;
2013-05-31;null;10,4;912,560618;18,518548;5,9;1,85914;
2013-06-30;null;28,4;913,795051;18,092803;5,3;1,783927;
2013-07-31;null;3,8;914,806317;17,622312;6,4;2,01828;
2013-08-31;null;10,8;914,204167;18,030242;6,6;2,381586;
2013-09-30;null;10,6;913,279306;19,740833;7,3;2,826667;
2013-10-31;null;97,8;911,880107;19,747984;7,3;2,725134;
2013-11-30;null;230,2;909,722361;21,079722;7,7;2,75375;
2013-12-31;null;930;907,885887;21,493011;7;1,993548;
2014-01-31;null;70,2;911,535215;21,480107;5,9;2,257393;
