Nome: UNAI
Codigo Estacao: A542
Latitude: -16.55416666
Longitude: -46.88194443
Altitude: 640.85
Situacao: Operante
Data Inicial: 2007-06-15
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;1;null;null;null;5,1;null;
2007-07-31;1;8,4;944,319514;21,81575;8,9;2,023021;
2007-08-31;0;0;944,887471;22,274532;8,7;2,518881;
2007-09-30;1;,2;943,7525;25,159167;7,9;2,626944;
2007-10-31;4;60,8;940,165597;26,895465;8,8;2,301181;
2007-11-30;15;null;938,49213;25,244551;9,5;2,126605;
2007-12-31;22;336,6;939,372446;24,192339;8,2;1,801344;
2008-01-31;17;262,6;939,440995;24,064516;8,1;1,842876;
2008-02-29;16;166,6;940,101006;24,070259;7,1;1,660488;
2008-03-31;18;130,4;940,15336;23,512231;7,8;1,573387;
2008-04-30;11;107,2;939,708472;23,876667;6,2;1,360833;
2008-05-31;2;,6;942,938125;21,354295;4,2;1,567327;
2008-06-30;0;0;944,605906;20,830115;4,8;1,655646;
2008-07-31;0;0;945,83414;20,028226;5,7;1,943011;
2008-08-31;1;,2;942,990591;23,006048;7,3;1,981317;
2008-09-30;6;44;942,071667;25,069028;7,1;2,060695;
2008-10-31;3;3,8;940,876613;27,415188;9,7;2,385618;
2008-11-30;20;250,2;939,201546;24,597681;7,6;1,969438;
2008-12-31;20;335,2;938,791935;23,79879;7,2;1,690591;
2009-01-31;17;187,8;940,181189;24,158859;7,5;1,511799;
2009-02-28;11;196,4;940,070685;24,458631;8;1,618304;
2009-03-31;15;83,8;939,486156;24,739919;5,6;1,527016;
2009-04-30;17;139,2;941,500139;22,948472;5,7;1,528333;
2009-05-31;6;3;943,045699;21,514785;5,9;1,584409;
2009-06-30;6;16,6;944,387778;20,556806;4,8;1,5075;
2009-07-31;0;0;944,220564;21,664785;5,6;1,641129;
2009-08-31;4;22,2;943,85;22,519355;6,2;2,125538;
2009-09-30;6;57,6;942,150972;25,546528;8,3;1,984028;
2009-10-31;14;204,2;939,363974;24,530216;9,1;1,826955;
2009-11-30;13;84,2;939,244722;24,948056;7,1;1,681806;
2009-12-31;21;331,8;939,928763;23,655511;6,9;1,734409;
2010-01-31;14;106,8;940,554032;24,642363;6,9;1,380572;
2010-02-28;8;63;940,406399;25,541369;7,7;1,502232;
2010-03-31;20;211,4;940,134812;24,412231;11,5;1,541129;
2010-04-30;7;76;941,964306;22,9975;5,2;1,317917;
2010-05-31;4;23;942,027823;22,523253;5,6;1,192876;
2010-06-30;1;15,4;945,587083;19,838056;5,3;1,370556;
2010-07-31;0;0;945,589651;21,134946;6,1;1,808871;
2010-08-31;null;0;944,879402;21,599704;6,2;1,764022;
2010-09-30;1;17,6;942,281944;24,881667;6,4;1,962083;
2010-10-31;15;150,6;939,579839;25,799462;10,3;1,786425;
2010-11-30;8;null;null;null;6,9;null;
2010-12-31;1;null;null;null;8,7;null;
2011-01-31;null;null;null;null;6,9;null;
2011-02-28;10;52,8;939,578274;25,094048;7,3;1,584226;
2011-03-31;22;438,8;939,402205;23,474373;5,1;1,359257;
2011-04-30;6;62,4;941,656944;23,02;8,2;1,542778;
2011-05-31;3;17,4;942,800806;21,346102;4,5;1,472312;
2011-06-30;2;1,4;943,932639;20,479861;5,8;1,570694;
2011-07-31;1;,2;944,331989;20,889382;7,2;1,727554;
2011-08-31;0;0;943,501882;23,457527;7;1,967473;
2011-09-30;0;0;943,479722;24,856806;6;2,225972;
2011-10-31;18;200;940,163978;23,710349;9,1;2,034274;
2011-11-30;14;159,6;939,846667;23,343472;7;1,735;
2011-12-31;25;303,4;939,423118;23,426478;8;1,473925;
2012-01-31;21;249,8;940,361828;23,203898;7,7;1,506317;
2012-02-29;10;69,8;940,595977;23,926006;6,7;1,60977;
2012-03-31;11;114,8;941,011156;24,299462;7,5;1,639247;
