Nome: MANHUACU
Codigo Estacao: A556
Latitude: -20.26333333
Longitude: -42.18277777
Altitude: 819.47
Situacao: Operante
Data Inicial: 2010-09-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-09-30;2;null;null;null;null;null;
2010-10-31;11;136,2;922,265591;19,881452;7,8;2,615726;
2010-11-30;22;328,8;920,503207;20,524672;7,2;2,470934;
2010-12-31;21;627,2;918,622397;22,168426;7,6;2,086559;
2011-01-31;10;69,4;920,792582;22,629938;7,4;2,40158;
2011-02-28;6;63,2;921,933036;22,73497;6,6;2,095387;
2011-03-31;10;null;921,237762;21,160607;7,4;1,512739;
2011-04-30;9;null;null;20,658185;6,1;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;6;1,4;925,652361;18,346667;7,8;1,996111;
2011-09-30;5;4,8;926,570278;18,219861;7,5;2,270694;
2011-10-31;14;null;921,88868;19,653261;6,4;2,511279;
2011-11-30;6;null;null;19,81947;8,7;null;
2011-12-31;6;null;null;null;7,5;null;
2012-01-31;5;null;null;21,673055;8,9;null;
2012-02-29;8;7;922,506897;22,031609;8,8;2,572126;
2012-03-31;14;101;922,717742;21,153898;6,3;1,793011;
2012-04-30;14;48,4;922,676643;20,469499;5,5;1,60125;
2012-05-31;17;78,6;925,296371;17,69879;7,1;1,576882;
2012-06-30;18;5,2;925,975694;17,869167;5,6;1,433333;
2012-07-31;10;2;926,444892;16,568548;6,5;1,667339;
2012-08-31;9;4,6;929,148963;17,005278;7,2;2,160753;
2012-09-30;6;11,8;926,007083;19,49;8,7;2,314861;
2012-10-31;6;114,2;923,202285;21,076344;8,5;2,967608;
2012-11-30;24;284;920,557361;20,508472;8,2;2,404306;
2012-12-31;13;144,2;920,734005;23,247715;7,8;1,99086;
2013-01-31;19;324;921,649731;21,819355;8,9;2,339919;
2013-02-28;11;61;922,287649;22,070982;8,7;1,968899;
2013-03-31;21;272,8;922,36367;21,805316;8,8;1,768421;
2013-04-30;18;46,2;923,69875;19,346389;5,9;1,614028;
2013-05-31;19;76,6;924,481452;17,826882;6,3;1,477016;
2013-06-30;23;22,4;925,726126;17,482533;5,4;1,219467;
