Nome: CORONEL PACHECO
Codigo Estacao: A557
Latitude: -21.54666666
Longitude: -43.26111111
Altitude: 411.14
Situacao: Operante
Data Inicial: 2012-10-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-10-31;3;null;null;null;null;null;
2012-11-30;21;354,4;964,221944;22,157639;6,4;1,469861;
2012-12-31;14;153;963,431586;25,001747;7,8;1,520968;
2013-01-31;22;236,2;964,853495;23,441935;7,2;1,392204;
2013-02-28;10;143,6;965,060714;24,252679;7,4;1,438393;
2013-03-31;20;292,6;965,787611;23,297414;5,8;1,251716;
2013-04-30;17;65,6;967,702639;20,938056;4,3;1,197083;
2013-05-31;21;78,8;968,570833;18,534543;4,3;1,191129;
2013-06-30;16;null;969,543952;18,751878;3,5;1,051185;
2013-07-31;21;34,2;971,37043;17,233737;4,9;1,250538;
2013-08-31;13;11,8;970,376747;18,234946;6,1;1,491667;
2013-09-30;11;61,6;969,188889;19,900417;5,9;1,551667;
2013-10-31;17;112,4;967,491936;21,184812;5,9;1,56707;
2013-11-30;13;183,4;965,439028;22,199167;6,5;1,426564;
2013-12-31;23;425,4;null;23,704704;7,9;1,441129;
2014-01-31;13;120,2;966,059677;24,851075;6,6;1,525269;
2014-02-28;4;31;965,765179;24,510119;4,7;1,521429;
2014-03-31;18;122,4;966,395699;23,216398;6,1;1,340323;
2014-04-30;17;101,4;967,189167;22,044444;6,7;1,209583;
2014-05-31;16;13;968,450269;19,031989;4,2;1,257124;
2014-06-30;17;9,8;970,337778;18,467778;4,6;1,314306;
2014-07-31;16;38,6;973,025269;17,667742;5,5;1,310081;
2014-08-31;10;20,4;971,214785;18,17164;4,4;1,414919;
2014-09-30;5;3,4;968,624583;21,095;6,4;1,819722;
2014-10-31;7;46,4;968,30625;22,452151;6,1;1,840323;
2014-11-30;16;238,4;965,000139;23,261528;6,3;1,655;
2014-12-31;16;284,2;965,098118;24,010349;8,1;1,526478;
2015-01-31;11;53;null;25,260098;4,8;1,467193;
2015-02-28;14;110,2;965,351786;23,988393;7;1,433482;
2015-03-31;17;216,4;965,748522;23,523387;6,3;1,272581;
2015-04-30;15;38,6;966,96125;21,91875;3,7;1,218472;
2015-05-31;19;41,4;969,756183;19,296774;4,4;1,184677;
2015-06-30;21;8,2;972,310139;18,084722;5;1,244306;
2015-07-31;15;10,6;971,183199;18,488172;4,5;1,267204;
2015-08-31;8;33,6;971,049328;18,920833;4,5;1,500806;
2015-09-30;14;103,4;966,947222;21,680695;5;1,408194;
2015-10-31;9;54,4;967,045296;23,459812;8,5;1,624193;
2015-11-30;16;199,2;963,7675;24,349861;8,2;1,322639;
2015-12-31;19;199,8;965,577151;24,697177;8,2;1,529704;
2016-01-31;21;505,4;964,074193;24,001075;6,4;1,396237;
2016-02-29;13;151;965,844333;24,7875;6,3;1,415517;
2016-03-31;19;111;967,177688;24,203898;5;1,235887;
2016-04-30;11;44,4;967,085972;23,034167;4,3;1,264028;
2016-05-31;14;16,4;969,633199;19,95914;6,8;1,195564;
2016-06-30;17;29;971,774444;17,28125;6,3;1,138056;
2016-07-31;14;6,6;971,10578;17,96129;6,7;1,257796;
2016-08-31;6;12;969,768145;19,365054;7,1;1,534274;
2016-09-30;10;53;968,783194;21,352361;6,3;1,602373;
2016-10-31;13;53;966,417111;22,44886;5,3;1,613301;
2016-11-30;19;280,2;null;22,667917;5,6;1,522361;
2016-12-31;18;150,2;964,748815;23,979607;7,7;1,465017;
2017-01-31;8;null;null;null;null;null;
2017-02-28;4;null;null;27,058889;4,3;null;
2017-03-31;14;93,6;965,915054;26,417473;4,9;1,339382;
2017-04-30;13;97,2;967,701945;24,489028;4,6;1,169722;
2017-05-31;22;68,4;968,955645;21,614382;5,1;1,142742;
2017-06-30;23;23,6;971,153194;20,978194;5,3;1,17125;
2017-07-31;14;7,8;975,97164;19,333199;4,5;1,433602;
2017-08-31;8;4,8;970,645833;20,535081;5,2;1,478495;
2017-09-30;2;1,4;971,600694;22,575139;5;1,641806;
2017-10-31;9;97,6;966,299194;25,767473;5,7;1,744624;
2017-11-30;16;144,4;964,670694;24,949722;5,9;1,484306;
2017-12-31;19;152,4;963,744489;26,383064;7,2;1,355242;
2018-01-31;18;250,6;964,500807;26,999328;6;1,380376;
2018-02-28;8;null;null;null;5,8;null;
