Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;1;null;null;null;null;null;
2017-11-30;18;223,8;924,204445;22,765972;7,6;2,239444;
2017-12-31;15;354,8;923,700806;23,584677;8,2;2,010618;
2018-01-31;16;346;924,858602;23,87957;null;null;
2018-02-28;16;150,4;924,361309;23,254762;6,1;1,989137;
2018-03-31;12;62,6;924,586693;23,984274;6,6;1,746237;
2018-04-30;3;3;927,956528;21,694722;6,1;2,070694;
2018-05-31;2;23,4;929,254167;18,970027;7,1;2,01586;
2018-06-30;3;9,6;930,158472;19,213195;5,7;1,786389;
2018-07-31;0;0;930,095565;18,455645;5;1,862634;
2018-08-31;9;46,6;929,56129;19,366532;null;null;
2018-09-30;9;48,2;926,237639;22,147778;6,3;2,147222;
2018-10-31;16;132,8;925,051344;23,588441;7,9;2,19207;
2018-11-30;18;350,2;925,414722;22,360139;7,5;2,038333;
2018-12-31;15;201,2;925,213306;23,639598;8,4;2,003302;
2019-01-31;9;115,8;926,966801;25,20457;8,1;1,872043;
2019-02-28;14;378,4;925,064732;24,017708;9,4;1,920387;
2019-03-31;13;167,6;926,380511;23,384812;6,3;2,03414;
2019-04-30;9;92;926,093611;22,862222;5,5;1,762361;
2019-05-31;8;19,8;927,236021;20,990054;5,4;1,712634;
2019-06-30;2;15,8;931,024306;18,635833;9,1;2,035278;
2019-07-31;1;,8;930,394892;17,449866;7;2,161425;
2019-08-31;0;0;931,170699;20,063441;8,3;2,483468;
2019-09-30;2;57,2;927,614444;23,917083;7,2;2,346944;
2019-10-31;8;95,8;925,589516;24,322715;8,6;2,297446;
2019-11-30;18;156,6;924,180695;23,445139;8,9;2,301667;
2019-12-31;14;309,8;924,806183;23,715995;6,4;2,061828;
2020-01-31;18;312,6;923,733403;24,10537;7,4;2,061337;
2020-02-29;19;311,4;925,652299;23,395546;7;1,969971;
2020-03-31;16;115,8;926,040054;22,628763;8,4;2,025269;
2020-04-30;12;60,6;927,403889;21,714686;5,5;2,03846;
2020-05-31;11;32;928,943011;18,157661;5;1,875134;
2020-06-30;1;,2;930,099444;18,736528;6,5;1,877361;
2020-07-31;1;,2;929,770296;19,31901;6,3;1,953296;
2020-08-31;2;11,2;929,956452;19,349059;6,8;2,305511;
2020-09-30;2;12,8;927,973478;23,512017;7,5;2,239535;
2020-10-31;12;94,2;924,960618;24,069489;8,6;2,455242;
2020-11-30;14;127,6;925,03875;23,349583;7,7;2,255;
2020-12-31;23;191,4;924,571237;23,717742;8,6;1,972581;
2021-01-31;13;198,8;925,005107;24,115457;7,9;1,941532;
2021-02-28;20;212;923,865923;22,954762;7,1;1,963542;
2021-03-31;10;80,6;925,41129;23,656855;5,1;1,730511;
2021-04-30;null;null;926,427361;21,358333;5,8;2,226528;
2021-05-31;1;3,2;928,117742;20,116129;7,1;1,990188;
2021-06-30;5;17,8;929,151111;18,546667;5,4;2,000972;
2021-07-31;0;0;930,944086;17,012097;5,4;2,289919;
2021-08-31;2;2,4;930,125941;20,091532;7,6;2,259005;
2021-09-30;3;5;926,84;24,687639;9,3;2,419306;
2021-10-31;20;212,6;925,483333;22,840591;7,6;2,412903;
2021-11-30;11;141,4;923,623195;22,946667;6,8;2,285;
2021-12-31;19;277,2;923,122043;22,85914;9,2;2,148656;
2022-01-31;21;624,6;924,474731;23,178898;7,2;2,008871;
2022-02-28;21;302,6;924,813141;22,927789;6;1,765069;
2022-03-31;2;20,4;925,588172;24,470296;8,1;1,906989;
2022-04-30;6;66,2;926,205694;22,624722;5,8;2,061528;
2022-05-31;4;27,6;928,292473;18,36371;5,8;1,893952;
2022-06-30;0;0;928,6025;18,071944;5,5;1,922376;
2022-07-31;1;1,6;930,199595;18,516642;5,3;null;
2022-08-31;2;2,4;929,338139;19,831989;null;null;
2022-09-30;3;36,2;927,16285;21,971667;null;null;
2022-10-31;10;124,8;925,876923;23,792473;null;null;
2022-11-30;22;201,2;924,536087;21,746528;null;null;
2022-12-31;26;378,4;923,618805;22,304167;null;null;
2023-01-31;29;530,8;924,960151;22,711694;null;null;
2023-02-28;15;149;925,711607;24,15372;null;null;
2023-03-31;10;85;926,439785;23,959005;null;null;
2023-04-30;14;72;925,956111;21,971111;null;null;
2023-05-31;11;9;928,533199;19,141801;null;null;
2023-06-30;11;6,4;930,556111;17,799595;null;null;
2023-07-31;2;2;930,504704;18,788844;7,2;2,04543;
2023-08-31;5;null;null;20,824603;8,2;null;
2023-09-30;5;20,6;927,045308;24,866944;8,6;2,171111;
2023-10-31;5;null;null;null;null;null;

