Nome: MACHADO
Codigo Estacao: A567
Latitude: -21.680722
Longitude: -45.944389
Altitude: 969
Situacao: Operante
Data Inicial: 2017-07-20
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-07-31;null;null;null;null;null;null;
2017-08-31;5;13,8;908,856183;18,708956;11,3;1,759023;
2017-09-30;3;47;909,767533;21,501974;7,6;2,089253;
2017-10-31;14;132;905,868319;22,153496;8,1;2,104567;
2017-11-30;13;156,6;904,127361;20,866806;10,1;2,172361;
2017-12-31;21;212,6;903,888172;21,86371;11,8;1,739785;
2018-01-31;21;155,4;905,010753;22,212366;9,6;1,837097;
2018-02-28;20;110,2;904,584821;21,775149;8,4;1,719643;
2018-03-31;20;126,6;904,766801;22,809274;7,5;1,45672;
2018-04-30;6;27,6;908,186111;20,653333;6;1,507361;
2018-05-31;5;80,4;909,204704;18,601613;7,3;1,279032;
2018-06-30;6;31,8;909,997778;18,622361;5,2;1,177639;
2018-07-31;2;9,8;909,919758;18,377285;4,2;1,180511;
2018-08-31;12;63,2;909,524328;17,788575;10,3;1,670565;
2018-09-30;10;86;906,287525;20,409773;9,3;1,893573;
2018-10-31;null;null;null;null;11,9;null;
2018-11-30;null;null;null;null;6,5;null;
2018-12-31;19;248;905,302151;22,358602;9,7;1,762634;
2019-01-31;13;142,4;907,183871;23,623253;8;1,819624;
2019-02-28;18;173,2;905,191518;22,335566;7,4;1,607143;
2019-03-31;18;140,2;906,756452;21,815188;6,6;1,499328;
2019-04-30;14;121,6;906,234227;21,840284;8,3;1,330851;
2019-05-31;6;95,6;907,342339;19,934946;6,6;1,242876;
2019-06-30;1;,4;910,907222;18,155833;7,9;1,434444;
2019-07-31;4;22,4;910,134409;16,873118;6,5;1,559274;
2019-08-31;7;18,8;911,267932;17,965505;5,7;1,567189;
2019-09-30;8;91,2;907,855417;21,944722;9;1,931389;
2019-10-31;9;34,8;905,915995;22,737366;9,4;1,902822;
2019-11-30;19;143,2;904,470054;21,676214;14,7;1,932246;
2019-12-31;17;162,8;904,857392;22,142473;7,6;1,75672;
2020-01-31;21;165,8;903,949328;22,084274;8;1,646774;
2020-02-29;24;508,2;905,586457;21,291991;8,5;1,677012;
2020-03-31;14;112,2;906,351822;21,266239;9,5;1,685053;
2020-04-30;4;9,4;907,518472;20,184444;6,6;1,520556;
2020-05-31;6;38,6;908,651747;17,309946;7;1,412903;
2020-06-30;6;17,6;909,843889;18,379167;6,1;1,3375;
2020-07-31;0;0;909,497849;18,709005;5,6;1,498387;
2020-08-31;3;14,2;909,818548;18,50793;7,5;1,883064;
2020-09-30;6;41;908,040556;23,138056;7;1,852083;
2020-10-31;11;77,8;905,18871;22,528898;9,2;2,265995;
2020-11-30;13;108,4;905,129195;21,503971;10,6;1,129028;
2020-12-31;25;440,4;904,774782;21,558827;0;0;
2021-01-31;12;null;905,222799;23,07288;0;0;
2021-02-28;22;244,2;903,959822;21,532143;0;0;
2021-03-31;10;136,4;905,498925;22,348522;0;0;
2021-04-30;3;11,6;906,767639;19,865833;0;0;
2021-05-31;6;7,8;908,10336;18,887634;0;0;
2021-06-30;8;33;909,119445;17,257778;0;0;
2021-07-31;2;2,6;910,800806;16,115457;0;0;
2021-08-31;2;1,8;909,997849;19,329436;,2;,000269;
2021-09-30;4;15,4;907,07375;23,212083;0;0;
2021-10-31;21;254,8;905,791801;19,911828;0;0;
2021-11-30;12;217,6;903,703889;21,314722;0;0;
2021-12-31;16;null;903,108128;21,288622;0;0;
2022-01-31;21;null;904,406272;21,239049;0;0;
2022-02-28;2;null;null;null;3,7;null;
2022-03-31;2;null;null;null;null;null;
2022-04-30;8;50,2;906,500833;21,111944;6,2;1,54375;
2022-05-31;6;34,2;908,0875;17,249597;5,7;1,459677;
2022-06-30;3;5,8;908,424263;17,712482;7,6;1,243847;
2022-07-31;0;0;909,862804;18,607644;7;1,305008;
2022-08-31;4;12,2;909,196301;18,401455;7,1;1,913657;
2022-09-30;9;72,4;907,238617;19,760429;5,3;1,984426;
2022-10-31;12;126,2;906,00825;21,58563;7,3;1,875602;
2022-11-30;13;null;904,7456;19,668178;8,4;2,05537;
2022-12-31;24;257,6;903,612012;20,846992;6,3;1,853453;
2023-01-31;24;451;904,817371;21,064082;6,6;1,569729;
2023-02-28;24;251,4;905,894846;21,787823;8,8;1,457889;
2023-03-31;17;95,8;906,786747;22,226415;6,2;,903381;
2023-04-30;12;157,6;906,167077;20,057754;0;0;
2023-05-31;1;16,8;908,608055;18,190242;4,3;,246009;
2023-06-30;3;50,2;910,430139;17,029444;6;,785417;
2023-07-31;1;3,8;910,393548;17,641129;5,9;1,201075;
2023-08-31;7;27;908,151613;19,971774;7,4;1,416263;
2023-09-30;5;39,2;907,15526;23,128992;7,2;1,623146;
2023-10-31;9;null;null;null;null;null;

