Nome: SEROPEDICA-ECOLOGIA AGRICOLA
Codigo Estacao: A601
Latitude: -22.75777777
Longitude: -43.68472221
Altitude: 35
Situacao: Operante
Data Inicial: 2000-05-23
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2000-05-31;4;null;null;null;7,1;null;
2000-06-30;4;2,6;1014,645833;21,715139;7,7;2,263889;
2000-07-31;12;77;1015,333737;19,62836;7,8;2,356855;
2000-08-31;11;null;1015,703205;20,757372;8,7;2,420032;
2000-09-30;7;null;1014,38219;22,026736;10;2,481381;
2000-10-31;11;57;1011,339785;24,34086;8;2,408871;
2000-11-30;16;161;1008,535972;24,403889;7,5;2,161389;
2000-12-31;10;null;1006,671424;26,501754;7,6;2,472196;
2001-01-31;5;null;null;27,934384;8,2;null;
2001-02-28;9;null;1008,175868;27,885069;7,6;2,208681;
2001-03-31;13;122,6;1009,339516;26,835618;7,4;2,217876;
2001-04-30;6;null;1011,916451;25,679006;7,7;1,853827;
2001-05-31;8;null;null;22,586404;8,6;null;
2001-06-30;null;null;null;null;null;null;
2001-07-31;11;null;1015,506091;21,571043;8,8;2,342825;
2001-08-31;9;30,2;1018,063441;22,199731;6,5;2,134005;
2001-09-30;10;40;1013,633055;21,921806;8,6;2,358056;
2001-10-31;7;118;1011,151754;22,423664;8,1;2,529476;
2001-11-30;10;null;1008,283573;24,102365;8,1;2,261523;
2001-12-31;13;258,8;1007,279448;25,405175;8;2,297337;
2002-01-31;11;null;1007,475138;26,420675;9,6;2,069016;
2002-02-28;18;null;1008,589647;25,619928;7,2;1,851163;
2002-03-31;8;115;1009,381565;27,371929;7,5;2,253561;
2002-04-30;7;46;1010,771339;25,313889;8;1,930402;
2002-05-31;15;75,2;1012,801148;22,705115;7,1;1,666941;
2002-06-30;9;null;1015,713116;22,970174;6,8;1,837641;
2002-07-31;3;null;null;null;6,6;null;
