Nome: RIO DE JANEIRO-MARAMBAIA
Codigo Estacao: A602
Latitude: -23.05027777
Longitude: -43.59555555
Altitude: 12
Situacao: Operante
Data Inicial: 2002-11-07
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-11-30;10;null;1011,875292;24,881216;11,9;3,832262;
2002-12-31;14;null;1010,315387;25,755427;12,2;3,591086;
2003-01-31;11;null;1009,778833;24,831685;10;3,134993;
2003-02-28;2;null;1011,117081;27,240839;8,3;null;
2003-03-31;null;null;null;null;null;null;
2003-04-30;null;null;null;null;null;null;
2003-05-31;null;null;null;null;null;null;
2003-06-30;null;null;null;null;null;null;
2003-07-31;null;null;null;null;null;null;
2003-08-31;null;null;null;null;null;null;
2003-09-30;null;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;5;null;null;null;9,9;null;
2004-01-31;12;100,4;1010,144889;23,778103;11,5;3,199666;
2004-02-29;18;176,2;1011,444878;22,130361;10,8;2,998326;
2004-03-31;14;23,2;1012,308795;23,364764;10,4;3,329256;
2004-04-30;13;127;1013,09625;24,639716;10,6;2,916715;
2004-05-31;12;125,2;1015,852349;21,553144;12,7;3,115007;
2004-06-30;11;51,4;1019,056297;20,852068;14,3;3,505179;
2004-07-31;15;167,6;1019,258529;19,701099;14;3,312532;
2004-08-31;11;9,2;1019,497346;19,880408;12,6;3,181905;
2004-09-30;8;19,2;1015,844737;21,99598;11,6;3,260864;
2004-10-31;15;58,4;1013,89247;22,003925;12,7;3,693828;
2004-11-30;14;120,2;1011,358671;23,144825;10,6;3,523551;
2004-12-31;10;null;1010,678912;23,910743;11,2;3,509387;
2005-01-31;21;151,4;1009,180394;24,827717;11,9;3,01295;
2005-02-28;14;96,6;1010,661724;23,884828;8;3,235106;
2005-03-31;15;226,8;1011,648533;24,537932;9,4;2,979687;
2005-04-30;9;null;1013,574414;24,172138;11,7;3,192579;
2005-05-31;11;96,4;1015,347446;22,37836;13,4;3,158065;
2005-06-30;8;21,4;1017,478195;21,091111;12;2,785139;
2005-07-31;17;123,2;1019,824994;19,436454;13,2;3,086997;
2005-08-31;7;7,4;1016,753091;21,961156;11,7;3,290457;
2005-09-30;15;null;1016,840049;20,232125;14,9;4,310238;
2005-10-31;8;null;1012,777139;22,696394;12,6;3,511356;
2005-11-30;7;null;null;null;10,8;null;
2005-12-31;null;null;null;null;9,4;null;
2006-01-31;null;null;null;null;null;null;
2006-02-28;null;null;null;null;null;null;
2006-03-31;null;null;null;null;null;null;
2006-04-30;null;null;null;null;null;null;
2006-05-31;null;null;null;null;null;null;
2006-06-30;10;67;1019,010714;19,103017;13;3,473512;
2006-07-31;11;11;1017,587089;18,573774;11;3,112905;
2006-08-31;7;null;1015,308295;18,131522;14,5;3,657705;
2006-09-30;10;null;1015,007914;17,998465;12,2;3,899596;
2006-10-31;8;null;1012,801634;null;10,7;3,55657;
2006-11-30;20;124,4;1011,467645;23,366685;14,8;3,770296;
2006-12-31;9;81,8;1011,354121;24,727446;15;3,618441;
2007-01-31;13;null;null;25,000923;8,1;null;
2007-02-28;8;146,8;1010,855952;26,067857;10,4;3,234524;
2007-03-31;7;22;1011,895641;26,082486;9;3,075438;
2007-04-30;6;51,2;1013,865;25,06875;13,4;3,037911;
2007-05-31;12;null;1015,301567;22,584231;14,3;3,530313;
2007-06-30;1;null;null;null;null;null;
2007-07-31;17;78,6;1017,297291;20,474149;14,3;3,940494;
2007-08-31;14;21,2;1018,810408;20,815533;13,7;3,588675;
2007-09-30;9;16,8;1018,004722;21,432917;11,5;3,542494;
2007-10-31;9;123,2;1013,505674;21,94737;11,5;3,300701;
2007-11-30;10;null;1010,535925;23,442412;11,7;3,26836;
2007-12-31;11;null;null;24,469841;12,4;null;
2008-01-31;1;null;null;null;null;null;
2008-02-29;4;null;null;null;null;null;
2008-03-31;11;188,6;1011,097544;24,498926;10,5;2,922269;
2008-04-30;20;124,8;1010,918056;23,903333;11,9;3,088333;
2008-05-31;12;79,4;1015,425374;21,527156;13,5;3,036799;
2008-06-30;12;52;1017,426957;20,928363;12,2;3,169807;
2008-07-31;13;19,8;1019,161559;20,192876;9,2;3,046774;
2008-08-31;12;87,6;1015,884409;21,82164;13,9;3,622312;
2008-09-30;18;106,4;1016,562222;20,371389;12,4;3,592029;
2008-10-31;13;97;1014,810081;22,080242;null;null;
2008-11-30;20;140,6;1012,563333;22,082083;null;null;
2008-12-31;14;135,4;1010,20672;22,734543;null;null;
2009-01-31;21;150,6;1010,451712;25,290919;null;null;
2009-02-28;8;null;1009,90614;26,228961;null;null;
2009-03-31;0;0;1010,26707;25,723253;11,8;2,781855;
2009-04-30;0;0;1013,735139;23,31;11,6;2,738194;
2009-05-31;0;0;1014,684274;22,538307;11,6;3,151075;
2009-06-30;0;0;1016,995139;20,25375;11,1;3,775694;
2009-07-31;0;0;1016,79086;20,644892;15,3;3,756317;
2009-08-31;0;0;1016,891801;21,105511;15,4;3,721371;
2009-09-30;0;0;1014,198055;22,695278;13,2;3,494583;
2009-10-31;5;18,8;1011,937931;22,709195;13,7;3,904454;
2009-11-30;10;179,8;1008,568056;26,860278;11,3;3,265417;
2009-12-31;15;334;1009,214919;25,311022;13,6;3,306317;
2010-01-31;9;115,6;1010,077664;27,638734;11,8;3,184861;
2010-02-28;8;144,2;1010,547917;27,8375;12,1;3,376786;
2010-03-31;18;351,4;1010,392374;25,246552;13,6;3,021394;
2010-04-30;17;294,2;1013,987917;24,042917;15,8;3,724444;
2010-05-31;17;65,8;1014,032258;22,233737;14,6;3,6;
2010-06-30;16;55;1018,730417;20,069583;12,4;3,371806;
2010-07-31;15;161,4;1019,003898;21,217608;13,1;3,359274;
2010-08-31;11;28,4;1018,597312;20,615726;11,4;4,110215;
2010-09-30;11;71,2;1015,450556;21,590417;16;3,486389;
2010-10-31;16;66,6;1012,877957;21,680376;12,4;3,916801;
