Nome: CAMBUCI
Codigo Estacao: A604
Latitude: -21.58749999
Longitude: -41.95833333
Altitude: 46
Situacao: Operante
Data Inicial: 2002-11-19
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-11-30;null;null;null;null;null;null;
2002-12-31;8;null;null;25,978037;6,3;null;
2003-01-31;16;null;1004,843116;26,729983;6,7;1,254844;
2003-02-28;2;null;1007,204002;27,653111;5,9;1,534804;
2003-03-31;10;40;1007,076761;26,160505;9,6;1,13573;
2003-04-30;8;51,8;1009,091732;24,604702;5,4;1,057127;
2003-05-31;10;40,4;1010,888393;21,226822;5,1;,919841;
2003-06-30;1;,2;1011,219847;20,637516;5;,768236;
2003-07-31;7;14,6;1014,433609;19,672239;5,2;1,036971;
2003-08-31;10;61,4;1013,260244;20,645375;5,7;1,342318;
2003-09-30;9;64,8;1011,936944;21,876944;6;1,672639;
2003-10-31;10;82,8;1009,444502;23,367948;5,7;1,78127;
2003-11-30;13;135,4;1006,524281;24,953448;7,5;1,453822;
2003-12-31;13;null;null;25,892529;7,7;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;10;null;null;25,64756;null;null;
2005-01-31;18;234;1004,423346;26,0893;null;null;
2005-02-28;14;142,8;1005,190515;25,303681;null;null;
2005-03-31;14;221,6;1006,723989;25,964464;null;null;
2005-04-30;6;46;1008,564112;25,061002;null;null;
2005-05-31;13;53,2;1010,710081;22,238575;null;null;
2005-06-30;17;78,6;1013,174722;20,225556;null;null;
2005-07-31;18;37;1014,891947;19,024334;null;null;
2005-08-31;5;3,2;1012,590726;21,758333;null;null;
2005-09-30;8;null;1011,475348;22,392212;null;null;
2005-10-31;3;null;1007,653929;25,725224;null;null;
2005-11-30;9;null;1006,444053;null;null;null;
2005-12-31;13;199,8;1005,704167;24,701882;null;null;
2006-01-31;8;81,2;1006,581586;27,076882;null;null;
2006-02-28;9;null;1004,219367;27,705057;null;null;
2006-03-31;14;91,8;1005,629021;26,146348;null;null;
2006-04-30;9;null;1007,014827;23,81505;null;null;
2006-05-31;6;null;null;20,042882;null;null;
2006-06-30;6;15,6;1014,307971;19,436087;null;null;
2006-07-31;11;28,2;1013,320033;18,619939;null;null;
2006-08-31;8;31,6;1011,666724;21,190833;null;null;
2006-09-30;12;104,6;1011,10279;21,485922;null;null;
2006-10-31;11;68,6;1007,928629;23,557083;null;null;
2006-11-30;16;342,6;1006,140238;24,331946;null;null;
2006-12-31;17;219,4;1006,65218;25,282363;null;null;
2007-01-31;25;594,4;1005,249059;25,3875;null;null;
2007-02-28;7;99,6;1006,584931;26,049942;null;null;
2007-03-31;6;19,8;1007,47545;27,115849;null;null;
2007-04-30;10;68,6;1008,755139;24,947361;null;null;
2007-05-31;11;25,8;1010,453052;20,741995;null;null;
2007-06-30;16;8;1012,384858;19,636943;null;null;
2007-07-31;7;null;1011,697099;20,23217;null;null;
2007-08-31;3;1,6;1013,954337;21,508841;null;null;
2007-09-30;8;22,4;1013,218941;23,02788;null;null;
2007-10-31;8;53,6;1008,384559;24,741717;null;null;
2007-11-30;17;65,8;1005,858472;25,079167;null;null;
