Nome: CAMPOS DOS GOYTACAZES
Codigo Estacao: A607
Latitude: -21.71472222
Longitude: -41.34388888
Altitude: 17
Situacao: Operante
Data Inicial: 2006-09-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;1;null;null;null;null;null;
2006-10-31;14;122,6;1012,481855;23,001747;10;3,922849;
2006-11-30;16;192,8;1010,547996;23,895978;10,3;3,810455;
2006-12-31;13;149,4;1010,980998;25,025045;9,2;3,42982;
2007-01-31;21;429,4;1009,468548;25,198387;9,4;3,004839;
2007-02-28;8;50,4;1010,90581;26,129322;9,4;3,442417;
2007-03-31;5;67,2;1011,801151;26,911401;9,8;3,161262;
2007-04-30;13;91,8;1012,984444;25,009722;null;null;
2007-05-31;14;122;1014,599209;21,810857;null;null;
2007-06-30;15;13,8;1016,446944;21,475417;null;null;
2007-07-31;12;19,8;1016,521971;21,133689;null;null;
2007-08-31;9;9,8;1018,506254;21,506222;null;null;
2007-09-30;12;27,2;1018,125;22,169583;null;null;
2007-10-31;4;84,6;1013,124579;23,868484;null;null;
2007-11-30;17;82,6;1010,384722;24,103889;null;null;
2007-12-31;13;116,2;1009,312903;25,663575;null;null;
2008-01-31;17;156,6;1009,925134;24,68871;null;null;
2008-02-29;12;136,2;1009,829339;25,491815;null;null;
2008-03-31;18;104,4;1009,996605;25,502623;7,7;2,599074;
2008-04-30;15;220,8;1009,686667;24,913056;12,4;2,589583;
2008-05-31;12;22,8;1014,276332;21,80623;9,2;2,665141;
2008-06-30;14;53,6;1016,787847;21,116265;9,1;2,797087;
2008-07-31;18;14;1018,563488;20,117572;7,6;2,663885;
2008-08-31;8;3,8;1015,520278;22,183842;10,6;3,767245;
2008-09-30;14;63,2;1015,554722;21,476945;9;3,531667;
2008-10-31;16;72,4;1014,209409;23,425269;9,9;3,704704;
2008-11-30;21;506,4;1011,305972;23,48875;9,8;3,070278;
2008-12-31;19;406,6;1009,417492;24,127917;9;3,051959;
2009-01-31;13;156;1009,928337;25,718765;9,1;3,570816;
2009-02-28;10;67,4;1010,068873;26,853973;8,3;3,215211;
2009-03-31;13;146,4;1009,356317;26,254167;7,7;2,722446;
2009-04-30;17;105,6;1012,520417;24,058889;7,9;2,506389;
2009-05-31;20;39,2;1014,308065;22,553898;7,2;2,556989;
2009-06-30;17;49,2;1016,196944;20,485972;7,3;2,656667;
2009-07-31;13;36,4;1016,217608;21,284543;10,5;2,940995;
2009-08-31;12;19;1016,779167;21,591398;10;3,243817;
2009-09-30;11;33,4;1013,804167;23,461944;10,6;3,638194;
2009-10-31;18;216,2;1010,894397;23,896121;9,4;3,434052;
2009-11-30;8;76,2;1008,675556;26,255;10;3,845417;
2009-12-31;18;153;1008,703226;26,004435;9,4;3,035484;
2010-01-31;1;23,8;1010,317742;27,654839;9,7;4,082661;
2010-02-28;4;63,2;1010,86622;27,914881;10,2;3,979613;
2010-03-31;18;110,8;1009,658064;26,494758;7,7;2,933199;
2010-04-30;16;31,4;1013,009028;24,410833;9,9;3,010278;
2010-05-31;18;43;1013,290188;22,49328;9,3;2,608871;
2010-06-30;22;44,8;1018,139861;19,879167;7,5;2,69625;
2010-07-31;19;57,6;1019,024059;21,208199;7,8;2,718011;
2010-08-31;10;6,4;1018,099597;20,632796;10,7;3,41586;
2010-09-30;7;9,4;1015,541111;22,408194;11,7;4,217222;
2010-10-31;10;99,2;1011,912675;23,103121;11,8;3,872838;
2010-11-30;23;171,2;1009,465695;23,743333;8,9;3,15;
2010-12-31;3;null;null;null;7,4;null;
2011-01-31;null;null;null;null;8,6;null;
2011-02-28;8;null;null;26,965365;8,9;null;
2011-03-31;22;242;1009,867141;24,881559;7,6;2,485229;
2011-04-30;18;57,8;1012,834861;24,654861;7,1;2,65;
2011-05-31;15;47,6;1014,89889;21,478945;8,8;2,530762;
2011-06-30;15;17,8;1016,019722;20,387917;8,2;2,692083;
2011-07-31;17;7,4;1016,906317;20,41828;8;3,135215;
2011-08-31;11;23,4;1015,747581;21,789651;9,9;3,517607;
2011-09-30;8;15,2;1018,090139;21,077639;9,7;3,914167;
2011-10-31;16;151,6;1012,212769;22,83629;10,4;3,918817;
2011-11-30;14;118,6;1012,374722;22,724167;8,6;3,752639;
2011-12-31;17;120,2;1009,6423;24,325278;9;3,096156;
2012-01-31;14;208,2;1011,032258;24,907661;9,3;3,634005;
2012-02-29;4;18,2;1011,486925;26,034483;10;3,871839;
2012-03-31;12;90,2;1011,757845;25,463184;7,9;3,13574;
2012-04-30;10;17,2;1011,846111;24,888889;8;2,66375;
2012-05-31;21;149,4;1016,049194;21,365995;7,5;2,647984;
2012-06-30;17;97;1015,933732;22,08878;8,4;2,523696;
2012-07-31;13;15,4;1016,769355;21,392742;9;3,0875;
2012-08-31;26;70,8;1021,124462;20,992778;11,3;2,842127;
2012-09-30;9;30;1016,569722;21,876667;11,3;3,799583;
2012-10-31;3;5,6;1012,787193;24,380833;10,5;4,457392;
2012-11-30;21;169;1010,572222;23,826806;9,3;3,416111;
2012-12-31;5;14;1008,77043;27,345833;10,6;3,579435;
2013-01-31;3;67;1010,561021;25,939516;10,8;3,643145;
2013-02-28;1;47;1010,75;26,488095;8,4;3,732589;
2013-03-31;null;null;1011,347222;25,803879;8,7;2,86375;
2013-04-30;5;null;null;null;6,7;null;
2013-05-31;11;54,8;1014,544489;22,074731;12,2;2,704167;
2013-06-30;11;23,4;1015,780631;22,098157;8,2;2,427702;
2013-07-31;13;76,8;1017,784397;20,737652;8,3;2,750368;
2013-08-31;14;58,2;1017,019355;21,224462;8,8;3,428763;
2013-09-30;6;52,4;1015,858472;22,214444;9,6;3,515972;
2013-10-31;6;13,4;1014,015188;23,007661;11;3,490054;
2013-11-30;2;null;1011,648659;23,752333;9,5;3,538689;
2013-12-31;22;343,2;1008,010198;25,129418;7,2;2,980189;
2014-01-31;2;34,6;1011,988038;26,6;9,7;3,7;
2014-02-28;3;10,6;1011,795685;26,952679;8,9;3,820387;
2014-03-31;11;112,2;1012,103763;25,984005;8,6;3,35672;
2014-04-30;15;134,4;1013,010417;24,355139;7,9;null;
2014-05-31;19;7,6;1014,43494;22,608602;null;null;
2014-06-30;20;32,2;1016,587083;22,090417;null;null;
2014-07-31;16;113,8;1019,933737;20,810618;null;null;
2014-08-31;17;19;1017,895699;20,835753;11,2;3,029973;
2014-09-30;6;10,4;1015,33625;22,947639;9,8;4,191528;
2014-10-31;11;34,6;1014,884159;23,141667;11,4;4,003091;
2014-11-30;11;74,8;1011,33375;24,570972;11;4,131806;
2014-12-31;6;27,8;1010,835215;26,373253;9,3;3,932258;
2015-01-31;0;0;1011,391532;27,595027;9,9;4,357661;
2015-02-28;8;50,2;1010,737798;27,383929;10;3,703869;
2015-03-31;12;114,2;1011,232527;26,615457;8,9;2,712769;
2015-04-30;13;62,4;1012,89125;24,434028;10,2;2,718194;
2015-05-31;26;125,8;1016,067607;22,031183;6,1;2,38078;
2015-06-30;23;44,4;1018,610278;21,580972;7,6;2,702083;
2015-07-31;16;18;1017,650403;21,993011;8,8;2,929295;
2015-08-31;16;36,4;1017,845296;21,738575;7,8;2,933871;
2015-09-30;12;82,4;1013,02625;23,251667;10,8;3,455972;
2015-10-31;9;96;1013,629973;24,300672;9,6;3,886559;
2015-11-30;15;151,8;1009,60875;25,617222;10,2;2,962917;
2015-12-31;9;106,4;1011,198253;26,448925;9;3,526344;
2016-01-31;17;215,6;1009,650538;26,036962;7,9;3,102688;
2016-02-29;7;79,6;1010,982328;27,403017;7,6;3,132902;
2016-03-31;11;63,6;1012,741801;26,764919;7,6;2,856989;
2016-04-30;12;18,6;1012,683194;26,155417;8;2,695833;
2016-05-31;14;28,6;1015,731048;22,715457;8,8;2,621774;
2016-06-30;14;59;1018,3925;20,3425;6,5;2,475833;
2016-07-31;13;27,8;1017,713575;20,954032;7,4;2,815591;
2016-08-31;12;17;1016,421236;21,699328;9,4;3,236559;
2016-09-30;9;40,6;1015,682361;22,8875;8,5;3,559583;
2016-10-31;15;88,8;1013,248118;23,080108;9,4;3,55121;
2016-11-30;15;223,8;1011,354583;24,234722;9,9;3,685556;
2016-12-31;15;168,4;1010,422581;25,733333;8,2;3,232796;
2017-01-31;6;71,2;1010,638172;27,008736;8,8;3,711962;
2017-02-28;14;44,2;1011,624851;26,717113;8,2;3,065179;
2017-03-31;12;86,8;1011,554436;25,898253;8,6;2,957527;
2017-04-30;11;66,8;1013,6875;24,309583;7,9;2,685;
2017-05-31;19;76;1015,284489;22,158472;7,5;2,561495;
2017-06-30;18;28,8;1017,360278;21,876389;8;2,561806;
2017-07-31;26;79;1023,176479;19,503764;7,5;2,379946;
2017-08-31;1;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;6;null;1013,273342;24,42392;10,2;4,387606;
2017-11-30;14;121,8;1011,00375;23,908333;9,2;3,537917;
2017-12-31;11;114,6;1009,826344;25,350538;8,5;2,956452;
2018-01-31;10;138;1010,008333;26,720296;9;3,383871;
2018-02-28;15;119,4;1010,158631;25,850893;8,6;2,714434;
2018-03-31;16;412,8;1009,906183;26,248118;7;2,334274;
2018-04-30;15;50,4;1014,838889;24,014861;6,3;1,982361;
2018-05-31;13;38,8;1016,404973;22,268548;6,2;2,22164;
2018-06-30;11;4,6;1017,081944;21,979306;7,1;2,528333;
2018-07-31;13;33;1017,250941;21,461694;6,9;2,429301;
2018-08-31;12;78,8;1017,812366;20,879704;9,1;2,493683;
2018-09-30;10;34;1013,681167;22,626762;10,1;2,870861;
2018-10-31;16;94,4;1012,064785;23,496237;7,6;3,373387;
2018-11-30;16;128,4;1012,274167;24,342639;8,7;3,285833;
2018-12-31;12;53;1010,717742;25,670968;7,6;2,896774;
2019-01-31;2;32,2;1011,979839;27,655376;8,6;3,859274;
2019-02-28;14;106,6;1009,575744;27,48125;8,1;2,779911;
2019-03-31;13;100,6;1011,742876;26,62621;6,9;2,500134;
2019-04-30;10;46;1011,4625;25,941111;6,7;2,255556;
2019-05-31;15;133,2;1013,080242;24,100403;7,9;2,191532;
2019-06-30;16;23,2;1017,943194;22,455139;8,9;2,283424;
2019-07-31;11;7,2;1017,771909;20,685081;8,8;2,685887;
2019-08-31;14;58;1019,984946;20,775269;8;2,98871;
2019-09-30;8;72,2;1015,575556;22,677917;8,2;3,194722;
2019-10-31;10;25,4;1012,986828;24,255645;9,5;3,532661;
2019-11-30;17;336;1011,015278;24,280278;8,2;3,095417;
2019-12-31;18;127,2;1010,835887;25,381317;8,1;3,021102;
2020-01-31;11;167;1008,644624;26,176075;9,1;2,74879;
2020-02-29;12;135,2;1010,972126;26,013362;7,8;2,851868;
2020-03-31;16;148,6;1012,479032;24,801344;8,7;2,286156;
2020-04-30;13;79,2;1014,225972;23,51375;6,7;2,340694;
2020-05-31;11;75,4;1015,512097;21,62836;7,6;2,50914;
2020-06-30;13;10,2;1016,698194;21,926944;6;2,544583;
2020-07-31;13;28,8;1017,165995;21,403091;8,6;2,692876;
2020-08-31;10;32;1018,005376;21,3375;7,6;3,065457;
2020-09-30;9;64;1014,915;23,68875;7,6;3,220556;
2020-10-31;15;152,6;1011,794086;23,936828;10,4;3,252957;
2020-11-30;19;195,4;1011,927361;23,994444;8,9;2,872778;
2020-12-31;14;202;1009,846102;25,679032;7,6;3,019624;
2021-01-31;3;43,8;1010,713844;26,515188;8,7;3,656317;
2021-02-28;13;189,6;1009,288244;25,46994;8,2;2,70372;
2021-03-31;10;110,8;1010,547715;26,039651;6,5;2,420968;
2021-04-30;15;55,4;1012,995278;23,639583;7,8;2,26375;
2021-05-31;8;14,8;1014,670161;22,631049;7,3;2,296774;
2021-06-30;13;110,6;1016,580833;21,017917;7,8;2,367083;
2021-07-31;10;4,6;1019,075807;19,79086;6,4;2,441801;
2021-08-31;13;133,6;1018,6375;20,965591;8,8;2,903091;
2021-09-30;6;49,6;1014,594849;23,09218;8,5;3,288131;
2021-10-31;24;244,8;1013,531048;22,343414;7,5;2,808333;
2021-11-30;19;125,2;1010,713056;23,003889;9,3;2,810555;
2021-12-31;19;105,8;1009,190726;24,663172;7,5;2,839651;
2022-01-31;12;117,2;1009,811736;26,176667;8;2,999632;
2022-02-28;14;197;1010,157292;25,641071;7,5;2,598661;
2022-03-31;4;22;1011,085157;26,54625;8,6;3,033756;
2022-04-30;10;59,4;1012,268194;24,867917;7,9;2,288194;
