Nome: MACAE
Codigo Estacao: A608
Latitude: -22.3761111
Longitude: -41.81194444
Altitude: 28
Situacao: Operante
Data Inicial: 2006-09-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;4;null;null;null;null;null;
2006-10-31;14;77;1011,927419;22,73293;8,8;3,347715;
2006-11-30;21;170,6;1009,998649;23,461359;10;3,20658;
2006-12-31;15;128,6;1010,270995;25,022574;8,4;3,142961;
2007-01-31;21;328,4;1008,59664;25,130914;8,6;2,731855;
2007-02-28;7;88;1010,158489;25,531024;7,9;3,309181;
2007-03-31;6;47,6;1011,134543;26,079973;8,6;2,994758;
2007-04-30;16;93,6;1012,457917;24,765833;7,6;2,224445;
2007-05-31;15;74,8;1014,036016;21,533037;6,2;2,335922;
2007-06-30;13;17,6;1015,593394;21,296993;6,9;2,387071;
2007-07-31;8;29,6;1015,781635;21,007759;7,9;2,841483;
2007-08-31;6;23,6;1017,790837;21,312418;8,3;3,361138;
2007-09-30;12;25;1017,427083;21,734167;9,1;3,99625;
2007-10-31;9;246,4;1012,532615;23,257743;9,6;3,709736;
2007-11-30;17;174;1009,904444;23,5225;8;2,780278;
2007-12-31;14;135;1008,707124;25,100269;8,5;2,949328;
2008-01-31;16;345;1009,369489;24,324462;7,8;2,603763;
2008-02-29;15;133,4;1009,248707;24,994684;7,3;2,294109;
2008-03-31;15;141;1009,512654;24,774228;6,3;2,0125;
2008-04-30;22;256;1009,250695;24,303472;5,6;1,894861;
2008-05-31;10;41,6;1013,741895;21,494045;6,6;2,055394;
2008-06-30;13;43,2;1016,101674;20,997086;7,9;2,293792;
2008-07-31;13;29,8;1017,894758;20,063172;7,3;2,288038;
2008-08-31;4;null;null;null;7,2;null;
2008-09-30;16;141,4;1015,066944;20,895139;8;2,706111;
2008-10-31;16;158;1013,65;22,764516;9,6;3,129973;
2008-11-30;24;352,6;1011,057711;22,836377;7,5;2,242035;
2008-12-31;22;223,6;1008,804032;23,471909;7,6;2,625941;
2009-01-31;20;291;1009,215095;25,204091;7,1;2,646815;
2009-02-28;10;143;1009,37615;26,168047;7,9;2,882238;
2009-03-31;11;79;1008,982796;25,600403;6,6;1,9197;
2009-04-30;17;142,2;1012,184306;23,398056;7,1;1,670556;
2009-05-31;12;53,8;1013,665995;22,39086;6,6;2,112769;
2009-06-30;15;65,4;1015,557222;20,188056;5,9;1,972639;
2009-07-31;14;47;1015,477285;21,029973;6;2,391398;
2009-08-31;10;26,2;1016,047849;21,340591;7,7;2,827285;
2009-09-30;12;89,6;1013,118901;22,848074;7,9;2,787766;
2009-10-31;20;137,4;1010,50704;23,179885;7,4;2,525144;
2009-11-30;10;105,4;1008,213021;26,044583;8,5;3,110556;
2009-12-31;18;273,2;null;25,660618;7,6;2,266398;
2010-01-31;6;52,6;null;27,016593;8,2;3,323656;
2010-02-28;2;180,4;null;27,15372;8,8;3,510268;
2010-03-31;16;168,2;null;25,829301;7,3;1,978495;
2010-04-30;19;100;null;23,931528;6;2,178889;
2010-05-31;12;57;1012,371121;22,24181;6,5;2,030979;
2010-06-30;13;42,8;1017,289583;19,674583;6,8;2,0975;
2010-07-31;10;112;1018,089247;21,111156;7;2,584812;
2010-08-31;10;9,8;1017,176667;20,359891;7,8;2,751715;
2010-09-30;10;30,8;1014,583889;21,995;8,9;3,336944;
2010-10-31;13;75,4;1011,172312;22,505107;8,3;2,973387;
2010-11-30;22;302,2;1008,599722;23,220417;8,1;2,494583;
2010-12-31;18;124,4;1005,617473;25,510215;7,6;2,259543;
2011-01-31;12;106,6;1007,40793;25,93172;8,5;3,449866;
2011-02-28;4;5;1009,179762;26,195089;8,8;3,412351;
2011-03-31;22;187,8;1009,295385;24,460776;6,8;1,782232;
2011-04-30;15;92,4;1011,985139;24,318194;6,7;2,344167;
2011-05-31;16;70,4;1014,166398;21,075;5,7;1,827419;
2011-06-30;5;null;null;null;7,5;null;
2011-07-31;3;null;null;null;6,9;null;
2011-08-31;10;51,2;1014,719355;21,647043;7,1;null;
2011-09-30;8;39;1017,273333;20,72625;8,7;3,372083;
2011-10-31;17;129,4;1011,349462;22,44543;8,8;3,226075;
2011-11-30;15;138;1011,509444;22,155972;8,2;3,160417;
2011-12-31;20;124,8;1008,558871;23,991532;7,7;2,774194;
2012-01-31;16;364,6;1010,05;24,166263;8,9;3,021505;
2012-02-29;5;19,6;1010,509339;25,531034;7,6;3,535489;
2012-03-31;14;103;1011,029032;24,897984;7,3;2,300269;
2012-04-30;13;31,4;1010,984444;24,450833;6,5;2,156111;
2012-05-31;18;178,4;1015,281855;21,255376;6,1;1,752151;
2012-06-30;11;214,2;1014,958472;22,154583;7,1;1,926389;
2012-07-31;9;25,4;1015,767204;21,182124;7,3;2,316263;
2012-08-31;17;71;1020,37308;20,782917;7,5;2,689247;
2012-09-30;10;29,4;1015,568611;21,691945;8,3;3,307917;
2012-10-31;5;32,2;1011,856144;23,795417;9,6;3,816989;
2012-11-30;7;null;null;null;null;null;
2012-12-31;4;null;null;26,866667;7,8;null;
2013-01-31;17;290,2;1009,795833;25,338844;8,7;2,569489;
2013-02-28;9;84,6;1009,780655;25,99375;7;3,222024;
2013-03-31;17;220,8;1010,667611;25,252299;6,7;1,940222;
2013-04-30;15;38,8;1013,046805;23,094444;6,4;1,917361;
2013-05-31;12;46,2;1013,689896;22,032679;6,3;2,004009;
2013-06-30;11;59,8;1014,796577;22,161728;6,4;1,962776;
2013-07-31;8;null;null;20,975358;6,7;null;
2013-08-31;null;null;null;null;null;null;
2013-09-30;1;null;null;null;null;null;
2013-10-31;13;88,6;1013,277285;22,586828;9,4;2,816398;
2013-11-30;15;204,4;1010,999444;23,593611;8,8;2,965;
2013-12-31;23;353,2;1007,191129;25,045161;7,3;2,156989;
2014-01-31;3;4,8;1010,989113;26,245968;8,9;3,733333;
2014-02-28;4;17,8;1010,825;26,319345;8,3;3,716964;
2014-03-31;9;49,2;1011,261156;25,40578;7,8;2,829436;
2014-04-30;14;79,2;1012,420417;24,108611;7;2,016111;
2014-05-31;16;77,2;1013,647446;22,212097;6,8;1,87836;
2014-06-30;13;60;1015,58875;21,880556;6,5;2,257361;
2014-07-31;13;123,4;1019,152285;20,610887;7,7;2,335349;
2014-08-31;15;27,2;1017,033602;20,612635;8,2;2,470564;
2014-09-30;7;7;1014,350833;22,705972;9,2;3,500278;
2014-10-31;9;28;1014,035805;22,905055;9,6;3,281525;
2014-11-30;12;85,6;1010,543056;24,155139;9,2;3,244583;
2014-12-31;8;46;1009,866935;25,860484;8,5;3,378629;
2015-01-31;0;0;1010,48629;27,072984;8;3,659005;
2015-02-28;10;68;1009,773661;26,55625;7,9;3,18378;
2015-03-31;13;141,2;1010,542742;25,860484;7,2;2,069355;
2015-04-30;16;76,2;1012,250556;23,806389;6,7;2,018472;
2015-05-31;20;75,4;1015,213844;21,963172;6,4;1,934409;
2015-06-30;16;78,8;1017,717778;21,616528;6,3;2,193472;
2015-07-31;9;34,8;1016,558468;21,889785;8,1;2,866667;
2015-08-31;9;5,6;1016,900269;21,812231;8,1;3,192608;
2015-09-30;12;122,4;1012,0775;22,689444;8,5;2,783889;
2015-10-31;13;69,6;1012,847581;23,597715;8,5;3,149059;
2015-11-30;18;206,8;1008,899583;24,9975;7,4;2,391667;
2015-12-31;12;159,2;1010,174731;26,246505;7,7;3,156586;
2016-01-31;17;292,6;1008,849731;25,526882;7,6;2,275;
2016-02-29;5;60,6;1010,038362;26,962356;10,6;2,651293;
2016-03-31;11;94,8;1011,928763;26,008199;7,4;2,385887;
2016-04-30;5;23,4;1011,865972;25,566806;7,4;2,607778;
2016-05-31;12;36,4;1014,988172;22,238441;5,8;1,881586;
2016-06-30;14;83;1017,658194;19,899444;5,8;1,982778;
2016-07-31;5;30,2;1016,726882;21,087917;6,7;2,560426;
2016-08-31;8;6,8;1015,407393;21,764247;8,1;3,233602;
