Nome: VALENCA
Codigo Estacao: A611
Latitude: -22.35805555
Longitude: -43.69555555
Altitude: 370
Situacao: Operante
Data Inicial: 2006-09-26
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;1;null;null;null;null;null;
2006-10-31;15;106,4;973,010349;21,754704;5,3;1,838306;
2006-11-30;20;201,8;971,588446;22,451559;5,6;1,719418;
2006-12-31;17;137,2;971,801857;23,78664;5,1;1,752827;
2007-01-31;25;370,8;970,52836;23,494355;5,1;1,424597;
2007-02-28;6;107,2;971,714538;24,682369;4,8;1,594546;
2007-03-31;8;47,6;972,773326;25,058798;5,1;1,381403;
2007-04-30;7;32,6;974,273333;23,335833;4,4;1,311667;
2007-05-31;14;30,8;975,761316;19,170882;5,9;1,300044;
2007-06-30;10;5,6;977,157639;18,992778;4,6;1,295417;
2007-07-31;6;20,6;976,922264;18,867083;6,7;1,516739;
2007-08-31;3;3,6;978,533006;19,500584;4,9;1,601549;
2007-09-30;2;12,4;977,810306;21,681374;5,6;2,069736;
2007-10-31;6;21,6;973,403927;23,335184;5,7;1,888108;
2007-11-30;17;null;970,420093;22,510326;5,5;1,821299;
2007-12-31;8;null;970,392275;24,535096;5,2;1,637927;
2008-01-31;10;null;970,259383;24,164254;5;1,581215;
2008-02-29;11;null;null;23,801728;6,7;null;
2008-03-31;15;201,2;971,555317;23,104489;4,5;1,248625;
2008-04-30;20;209,4;971,44875;21,962083;4,3;1,019444;
2008-05-31;13;19,2;975,404763;18,926759;4,4;1,012091;
2008-06-30;12;13,8;977,416461;18,597615;4,7;1,316957;
2008-07-31;6;7,2;979,081989;17,203226;5;1,09328;
2008-08-31;12;18,2;975,968952;20,13629;5,7;1,69664;
2008-09-30;7;1,6;976,101806;19,334861;5,6;1,711528;
2008-10-31;11;103,2;974,762903;22,246774;5,6;1,97621;
2008-11-30;23;218,6;972,282639;21,679028;7;1,443889;
2008-12-31;21;287;970,319086;22,42043;4,9;1,414785;
2009-01-31;23;269;971,237506;23,713488;6,4;1,530037;
2009-02-28;17;248,4;971,283617;24,595942;5,4;1,422037;
