Nome: VITORIA
Codigo Estacao: A612
Latitude: -20.27083332
Longitude: -40.30583333
Altitude: 9
Situacao: Operante
Data Inicial: 2006-10-30
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;null;null;null;null;null;null;
2006-11-30;14;191,2;1013,055333;24,328038;5,8;2,401974;
2006-12-31;17;340,8;1013,528364;25,09342;6,2;2,187189;
2007-01-31;14;202;1012,168952;26,348118;5,6;2,293011;
2007-02-28;14;98,4;1013,583993;25,765897;4,9;1,844953;
2007-03-31;7;32,2;1014,409706;26,649103;4,9;1,897504;
2007-04-30;15;123,4;1015,058194;25,34625;6;1,685833;
2007-05-31;10;20,8;1016,696427;22,90724;6;1,92289;
2007-06-30;11;22,6;1019,104505;21,978104;4,9;1,74119;
2007-07-31;4;2,4;1019,191655;22,387588;5,5;2,142415;
2007-08-31;15;39,6;1021,074597;21,667742;5,1;1,806183;
2007-09-30;16;66,6;1020,769305;22,080694;6,3;2,170139;
2007-10-31;5;20,6;1015,920828;24,195027;6,1;2,39886;
2007-11-30;8;121;1012,7825;25,187917;6,5;2,497222;
2007-12-31;14;59,8;1012,112903;26,018952;6,4;2,495699;
2008-01-31;17;192,2;1012,47957;25,347715;5,7;2,272715;
2008-02-29;11;157,8;1012,349145;26,172768;6;2,199682;
2008-03-31;11;57,4;1012,251778;25,896491;4,6;1,693022;
2008-04-30;10;38,6;1011,828333;26,077639;4,4;1,684028;
2008-05-31;9;53;1016,314031;22,673849;5;1,66887;
2008-06-30;9;47,6;1019,092399;21,781001;5,4;1,686393;
2008-07-31;9;21;1020,949597;20,954973;5;1,732527;
2008-08-31;7;30,6;1018,350672;22,629032;4,7;2,009946;
2008-09-30;10;35,6;1017,934583;22,349861;5,6;2,160139;
2008-10-31;12;116,2;1016,618145;24,544489;5,4;2,524462;
2008-11-30;23;619;1013,304445;23,850556;5,3;1,822917;
2008-12-31;17;139,2;1011,924005;25,042083;5,1;1,990968;
2009-01-31;17;279,6;1012,727554;26,084812;19,1;2,226344;
2009-02-28;10;61,2;1012,862992;27,126598;5,4;2,177226;
2009-03-31;15;238,4;1011,46922;26,725672;4,7;1,846909;
2009-04-30;17;225,2;1014,242361;24,778333;4,4;1,591945;
2009-05-31;13;56;1016,55336;23,00914;4,9;1,586156;
2009-06-30;8;54;1018,358889;21,460139;3,9;1,520417;
