Nome: SANTA TERESA
Codigo Estacao: A613
Latitude: -19.98833333
Longitude: -40.57944443
Altitude: 975.92
Situacao: Operante
Data Inicial: 2007-08-08
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-08-31;14;null;null;15,657955;6,5;null;
2007-09-30;21;161,2;910,415694;15,6925;8;1,971528;
2007-10-31;20;42;906,818034;17,917754;7,6;1,957474;
2007-11-30;12;null;903,893376;19,347833;6,8;2,257265;
2007-12-31;18;97,2;904,220565;19,997984;6,2;2,004839;
2008-01-31;20;116,2;904,362634;19,133602;6;2,202016;
2008-02-29;16;203,6;904,627278;20,256845;6,8;2,110961;
2008-03-31;18;149,6;904,574186;19,980471;6;1,913973;
2008-04-30;16;51,8;904,267732;20,181897;6,9;1,973935;
2008-05-31;17;44;907,052608;17,115972;6,8;2,251909;
2008-06-30;16;56;909,214589;16,142603;6,1;2,292687;
2008-07-31;18;32,6;910,499462;15,107124;7,5;2,313172;
2008-08-31;21;53,6;908,527016;16,41586;6,6;1,867607;
2008-09-30;19;57;908,004596;16,204381;7,1;2,283119;
2008-10-31;22;164;907,584409;18,397177;7,6;2,288038;
2008-11-30;28;450;904,568889;18,07875;6,6;2,102083;
2008-12-31;26;288,4;903,65226;18,792363;8,4;1,873314;
2009-01-31;21;329,6;904,893805;20,08002;10;1,96707;
2009-02-28;16;84,8;905,224702;20,597768;6,2;1,854464;
2009-03-31;21;174,8;904,03414;20,752688;6,5;2,08629;
2009-04-30;24;163;905,857639;18,687222;6,1;2,422083;
2009-05-31;23;54,4;907,376747;16,99879;9;2,299866;
2009-06-30;15;88,2;908,457083;15,859167;8,6;2,361528;
2009-07-31;14;78,2;908,985081;16,570699;7,8;2,378629;
2009-08-31;20;86,8;909,343414;16,044355;7,5;2,224731;
2009-09-30;21;65,8;907,6175;18,184444;6,7;2,372778;
2009-10-31;20;380,8;904,588632;18,674812;8;1,968122;
2009-11-30;8;175;904,256667;20,259444;8,6;2,289444;
2009-12-31;15;281,8;904,144355;20,572715;9,7;2,416801;
2010-01-31;9;12,6;906,03535;21,415995;5,9;1,521371;
2010-02-28;17;48,8;906,140774;21,409077;6,1;1,470833;
2010-03-31;24;273,4;904,65672;21,188306;6,6;1,768414;
2010-04-30;19;163,4;906,490139;18,714722;8,3;2,022361;
2010-05-31;26;164,8;906,484678;17,562231;7,8;1,67164;
2010-06-30;21;44,4;909,929583;15,217639;8,8;2,1125;
2010-07-31;27;237;911,160452;15,619646;5,6;1,218007;
2010-08-31;9;null;909,993463;14,395782;8;2,243765;
2010-09-30;6;null;null;null;7,7;null;
2010-10-31;7;null;null;null;null;null;
2010-11-30;22;337;903,615694;18,590833;6,9;1,562361;
2010-12-31;21;366;901,810484;20,339651;7,9;1,814516;
2011-01-31;23;213,2;904,065726;20,26922;5,2;1,341935;
2011-02-28;19;44,8;905,100446;20,537946;6,5;1,090179;
2011-03-31;26;400;903,798583;19,609017;6,1;1,547637;
2011-04-30;26;263,6;906,568194;18,833333;6,7;1,325695;
2011-05-31;19;37,4;907,317204;16,477554;7,6;1,480645;
2011-06-30;21;43,6;908,179444;15,595556;7,2;1,541111;
2011-07-31;23;106;909,160887;15,374462;6,2;1,399059;
2011-08-31;14;33,6;908,734543;16,684005;6,8;1,940726;
2011-09-30;19;125,4;909,913333;15,200695;7,9;1,804861;
2011-10-31;26;259,6;905,551882;16,869624;6;1,489247;
2011-11-30;25;313;905,402222;16,559167;6,2;1,2175;
2011-12-31;24;293,6;904,159409;18,72379;9,5;1,345564;
2012-01-31;23;441,8;905,559543;19,341667;5,9;1,020161;
2012-02-29;19;99;906,164512;19,453161;5,4;1,100862;
2012-03-31;14;45,8;906,110753;19,755242;5,3;1,432124;
2012-04-30;20;79,4;905,995694;19,083056;6,4;1,363194;
2012-05-31;22;120,4;908,245235;16,565433;5,7;2,105889;
2012-06-30;13;181,4;909,022778;17,099445;6,5;2,217778;
2012-07-31;14;63,8;909,525269;16,195699;6,4;2,005108;
2012-08-31;26;588,6;912,251056;14,875556;6,2;2,333045;
2012-09-30;19;61,2;909,365694;16,364167;8,4;2,745417;
2012-10-31;19;87;906,831452;18,012903;7,9;1,96371;
2012-11-30;28;353;904,104028;18,158889;8,3;1,932639;
2012-12-31;12;153,6;904,385081;21,411962;6;1,889785;
2013-01-31;24;233,2;905,243952;19,977285;7,4;1,846505;
2013-02-28;19;160,4;905,879167;20,405208;4,8;1,525446;
2013-03-31;21;258,8;905,723528;20,307184;6,6;2,019917;
2013-04-30;16;null;907,4282;17,662897;6,7;1,929891;
2013-05-31;8;null;null;17,51224;7,4;null;
2013-06-30;14;null;908,728254;17,005579;5,7;2,047057;
2013-07-31;16;80,8;909,968373;15,847113;6,4;2,405049;
2013-08-31;16;122;909,550806;15,81371;7,3;2,299462;
2013-09-30;19;86;908,7725;16,410139;6,3;1,925;
2013-10-31;26;143;907,254973;16,772312;5,8;2,209005;
2013-11-30;18;null;905,777621;18,127762;6,7;1,946389;
2013-12-31;21;837,8;902,666204;19,848765;7;2,230401;
2014-01-31;14;70;906,88871;20,23871;6,4;1,693952;
2014-02-28;17;null;906,654167;19,945673;4,5;1,353365;
2014-03-31;15;86,8;906,510081;19,666129;6,1;1,688306;
2014-04-30;14;122,8;906,56015;18,958951;6,4;1,998379;
2014-05-31;9;null;907,507069;17,362551;6,5;2,136499;
2014-06-30;1;null;909,49336;16,832622;5,3;1,951467;
2014-07-31;14;null;911,424151;15,076575;6,8;2,023168;
2014-08-31;11;null;910,192786;16,091304;7,1;2,631595;
2014-09-30;15;49,4;908,940625;16,630952;6,5;1,935863;
2014-10-31;22;111,6;908,061156;16,954435;6,3;2,310484;
2014-11-30;20;197,6;905,279722;18,414722;6,2;2,04625;
2014-12-31;16;208,2;905,840054;19,828091;7;1,907527;
2015-01-31;6;20,2;906,938382;21,090872;7,2;1,792719;
2015-02-28;11;148,2;906,249973;20,60253;6,2;2,024784;
2015-03-31;14;76,6;905,965726;20,428898;5,2;1,962769;
2015-04-30;14;null;906,479054;18,625641;7,4;2,111095;
2015-05-31;16;null;908,104015;17,035682;6,2;2,134251;
2015-06-30;21;null;911,258657;16,127752;7,1;2,234667;
2015-07-31;19;40,6;910,658843;16,686306;5,4;1,590701;
2015-08-31;18;110,2;910,286728;15,76821;5,6;1,763426;
2015-09-30;18;47,8;907,226389;18,726389;7,9;2,153056;
2015-10-31;3;null;null;null;6,5;null;
2015-11-30;9;null;null;21,293627;9,4;null;
2015-12-31;11;66;906,53965;21,562769;8,6;1,741263;
2016-01-31;16;null;904,569008;20,539378;7,9;2,012144;
2016-02-29;5;null;906,365625;22,142188;5,4;1,784549;
2016-03-31;12;78,4;907,506667;21,026806;4,6;1,526341;
2016-04-30;11;null;907,057395;20,154809;4,8;1,614822;
2016-05-31;11;21,2;908,706409;18,110201;6,1;1,96629;
2016-06-30;17;81,2;910,208333;16,341944;6,5;1,9475;
2016-07-31;19;58;910,159812;16,055914;6,3;1,941935;
2016-08-31;14;16;909,356586;16,617339;6,6;1,863172;
2016-09-30;16;null;908,98157;17,095333;5,7;1,500417;
2016-10-31;21;166,2;906,587886;17,515393;5,6;1,742485;
2016-11-30;23;286,4;905,318056;18,425;8,2;1,837917;
2016-12-31;21;157,8;905,214785;20,292339;7,5;2,210887;
2017-01-31;14;21,8;906,197849;20,69543;5;1,592876;
2017-02-28;20;130,2;906,355952;20,157292;4,2;1,330952;
2017-03-31;15;120,4;905,879973;19,796505;5,9;1,872984;
2017-04-30;18;36,2;907,133333;18,415417;5,4;1,95;
2017-05-31;null;null;908,090323;16,67957;6;1,389113;
2017-06-30;null;null;909,967083;16,789722;5,4;1,909028;
2017-07-31;null;null;913,750333;14,014655;6,6;1,944472;
2017-08-31;2;null;909,491801;14,564785;6,5;1,737097;
2017-09-30;15;7,8;911,504444;15,419444;5,2;,894722;
2017-10-31;null;null;906,992608;18,515995;5,1;1,517204;
2017-11-30;null;null;904,945694;17,885139;4,7;1,610694;
2017-12-31;null;null;904,231048;19,433871;5;1,35578;
2018-01-31;4;11,6;905,376613;20,734543;6,5;1,626479;
2018-02-28;null;null;904,813393;19,8125;4,3;1,288244;
2018-03-31;null;null;904,777554;20,678091;5;1,425806;
2018-04-30;null;null;907,958333;18,195;3,6;1,243472;
2018-05-31;null;null;908,964785;16,830108;6,3;1,363172;
2018-06-30;null;null;909,999444;16,852222;5;1,553056;
2018-07-31;1;null;909,837649;16,626637;5;1,245387;
2018-08-31;19;114,8;909,812903;16,013441;5,6;1,674731;
2018-09-30;13;26,6;907,109195;16,988218;5,8;1,821839;
2018-10-31;11;null;null;18,502696;6,8;null;
2018-11-30;null;null;null;null;null;null;
2018-12-31;9;null;null;20,739792;7,4;null;
2019-01-31;7;27;907,585081;21,481989;5,6;1,639651;
2019-02-28;13;122;905,157751;21,970756;5,7;2,054852;
2019-03-31;14;null;906,346701;20,592014;5,3;2,148958;
2019-04-30;9;null;null;20,412302;5,1;null;
2019-05-31;12;null;null;18,695175;4,8;null;
2019-06-30;15;null;911,293484;16,821377;5,8;1,480233;
2019-07-31;19;80,8;910,06922;15,9;7;2,133065;
2019-08-31;21;81,2;911,700672;15,430511;6,7;2,095161;
2019-09-30;15;79,4;908,809499;17,320477;7,2;2,115139;
2019-10-31;21;79,4;906,83771;18,590521;5,9;1,469536;
2019-11-30;20;336;904,86414;19,10257;6,3;1,961556;
2019-12-31;17;170,4;905,476403;19,728454;6,9;1,60582;
2020-01-31;19;272;904,015323;20,762903;6,6;2,516801;
2020-02-29;18;183,8;905,868678;20,958046;9,1;1,885489;
2020-03-31;25;228,4;906,116667;19,118817;6,8;1,874328;
2020-04-30;19;44,8;907,385278;17,940833;8,6;2,195139;
2020-05-31;18;112,4;908,389382;16,593011;8,5;2,328764;
2020-06-30;8;107,8;909,810139;17,157917;8;2,278194;
2020-07-31;21;118;909,827151;16,204704;7;2,053629;
2020-08-31;22;100,8;910,116936;15,392742;7,7;2,33871;
2020-09-30;14;30,4;908,756806;18,331806;7,7;2,221111;
2020-10-31;21;262,4;905,664785;18,79879;7;2,358737;
2020-11-30;24;145,6;905,606389;18,315278;6,2;1,998472;
2020-12-31;15;167,2;905,069624;20,22957;5;1,641263;
2021-01-31;14;42;905,877151;20,063441;5,5;1,28965;
2021-02-28;20;221,6;904,323214;19,914434;7,8;1,755357;
