Nome: LINHARES
Codigo Estacao: A614
Latitude: -19.35694444
Longitude: -40.0686111
Altitude: 40
Situacao: Operante
Data Inicial: 2006-10-26
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;2;null;null;null;null;null;
2006-11-30;21;384;1008,81556;23,943857;9;3,321113;
2006-12-31;19;275,6;1009,372328;25,094171;8,3;3,080564;
2007-01-31;13;118,8;1008,245564;26,331855;8,3;3,213575;
2007-02-28;21;213,6;1009,356263;25,593841;10,8;2,613464;
2007-03-31;18;50,2;1010,244887;26,414317;7,4;2,440469;
2007-04-30;18;182,4;1010,698056;25,260417;8,6;2,579444;
2007-05-31;8;18,6;1012,34038;22,874396;11,7;3,012328;
2007-06-30;16;14,6;1014,976111;22,186473;9,2;2,521322;
2007-07-31;13;4,4;1014,976719;22,038748;12;3,157208;
2007-08-31;19;38,4;1016,645921;21,555885;7,5;2,674281;
2007-09-30;16;42;1016,31875;21,99625;12,9;3,142917;
2007-10-31;12;21,4;1011,791258;23,936179;8,6;3,121552;
2007-11-30;10;149,8;1008,578611;25,262917;9,7;3,633056;
2007-12-31;15;84,4;1008,097581;25,723118;9;3,275134;
2008-01-31;13;136,6;1008,370565;25,237903;8,1;3,285618;
2008-02-29;14;159,2;1008,247557;26,127874;8,5;2,923563;
2008-03-31;14;86,4;1008,019599;25,933796;10,9;2,571914;
2008-04-30;10;101,2;1007,696111;26,046944;8,2;2,481806;
2008-05-31;15;12,6;1011,862021;22,850374;10,7;2,568437;
2008-06-30;14;25,4;1014,70689;21,914777;9,4;2,804052;
2008-07-31;13;30,8;1016,572984;20,838844;8,4;2,08871;
2008-08-31;13;27;1014,080873;22,310338;9;1,959426;
2008-09-30;5;25,4;1013,614445;22,563889;8,6;2,789306;
2008-10-31;10;86,2;1012,347984;24,570161;8,4;3,411962;
2008-11-30;22;436,4;1008,843708;23,977307;9;2,613442;
2008-12-31;15;297,6;1007,583343;24,737189;9,3;2,688285;
2009-01-31;19;378;1008,727039;25,952975;11;2,852145;
2009-02-28;14;97,8;1008,802584;26,837243;7,4;2,593493;
2009-03-31;17;202,4;1007,250806;26,692204;8,7;2,537231;
2009-04-30;16;243;1009,753194;24,895833;7,9;2,522639;
2009-05-31;15;17,8;1012,258871;22,921505;7,7;2,405914;
2009-06-30;15;26;1013,981389;21,807222;8;2,526806;
2009-07-31;23;86,2;1014,476747;22,207392;7,2;2,489651;
2009-08-31;14;134,4;1014,957392;21,998656;9,5;2,952554;
2009-09-30;10;32;1012,57625;24,15;10,5;3,403056;
