Nome: CAMPOS DOS GOYTACAZES - SAO TOME
Codigo Estacao: A620
Latitude: -22.04166666
Longitude: -41.05166666
Altitude: 7
Situacao: Operante
Data Inicial: 2008-06-12
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;6;null;null;21,477067;9,8;null;
2008-07-31;6;5,8;1020,36129;21,588844;8,6;3,276478;
2008-08-31;6;3,4;1017,394355;22,55;9,6;4,763575;
2008-09-30;13;77,8;1017,383333;21,834722;11,1;4,118889;
2008-10-31;12;71,6;1016,091935;23,515188;10,1;4,658333;
2008-11-30;24;239,6;1013,134306;23,905695;9,5;3,949444;
2008-12-31;21;270,4;1011,295968;24,15457;9,1;3,828629;
2009-01-31;18;197,8;1011,802671;25,153495;9,7;4,249363;
2009-02-28;12;60,8;1012,012869;26,633657;8,7;4,18552;
2009-03-31;12;91,2;1011,173521;26,298253;7,8;3,060618;
2009-04-30;18;107,8;1014,237083;24,768611;8,6;2,768472;
2009-05-31;7;9,2;1016,051882;23,754435;7,4;3,097043;
2009-06-30;8;64;1017,893611;21,31375;7,6;3,039167;
2009-07-31;6;22;1017,985484;21,984274;8,7;3,43629;
2009-08-31;7;36,2;1018,595296;22,299731;9,1;3,923253;
2009-09-30;18;62,8;1015,693472;23,257778;9,9;4,496806;
2009-10-31;16;348;1012,758764;23,649856;9,7;3,568103;
2009-11-30;8;74;1010,619583;25,694306;9,8;5,293611;
2009-12-31;14;171,4;1010,506855;25,814651;9,2;3,753898;
2010-01-31;3;4;1012,326613;27,263441;9,4;5,385215;
2010-02-28;4;55,6;1012,866667;27,224554;9,5;4,207441;
2010-03-31;16;84,4;1011,4768;26,465258;8,9;3,144501;
2010-04-30;21;41,4;1014,751944;24,709861;10,6;3,098056;
2010-05-31;15;24,6;1015,024194;23,262366;9,2;2,870296;
2010-06-30;19;48,6;1019,838194;20,816806;9,6;2,755972;
2010-07-31;9;72,8;1020,877957;22,172446;9,4;3,077823;
2010-08-31;9;18,2;1019,953226;21,276478;9,1;3,797984;
2010-09-30;13;23,6;1017,475417;22,516944;10,9;4,805833;
2010-10-31;12;100,2;1013,807135;22,873416;10,2;4,026893;
