Nome: RIO DE JANEIRO - VILA MILITAR
Codigo Estacao: A621
Latitude: -22.86138888
Longitude: -43.41138888
Altitude: 30.43
Situacao: Operante
Data Inicial: 2007-04-12
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-04-30;3;null;null;null;6,4;null;
2007-05-31;8;null;1013,931407;21,831604;6,9;1,55567;
2007-06-30;12;44,8;1015,247112;21,06628;6,8;,976577;
2007-07-31;13;38,6;1015,661457;20,236347;9,2;1,439642;
2007-08-31;5;10,8;1017,150257;21,282873;7,3;1,49898;
2007-09-30;6;20;1016,245843;23,21967;9,3;1,715242;
2007-10-31;9;157,2;1011,680376;24,465188;8,2;1,778495;
2007-11-30;12;null;1008,812904;24,666088;9,3;1,798202;
2007-12-31;12;188,2;1008,129032;26,308199;6,9;1,528091;
2008-01-31;18;186,4;1008,913038;25,589113;8,7;1,421371;
2008-02-29;18;277,8;1008,941178;25,98497;8,9;1,331437;
2008-03-31;13;173,6;1009,360098;25,594062;6,5;1,499067;
2008-04-30;16;107,4;1009,254445;24,406528;8,2;1,240833;
2008-05-31;8;44,4;1013,771476;21,351484;6,5;1,060168;
2008-06-30;8;36,2;1015,848198;20,624358;7,9;1,131366;
2008-07-31;6;18,4;1017,56465;19,44664;7,6;,927688;
2008-08-31;13;62,6;1014,235484;21,988844;9,6;1,430242;
2008-09-30;18;54,2;1014,868889;20,932083;6,4;1,479722;
2008-10-31;20;62;1013,0625;23,927957;7,1;1,650134;
2008-11-30;29;59;1010,802778;23,585833;5,8;1,699444;
2008-12-31;24;20,6;1008,406317;24,305108;7,2;1,5375;
