Nome: RIO DE JANEIRO - JACAREPAGUA
Codigo Estacao: A636
Latitude: -22.93999999
Longitude: -43.40277777
Altitude: 20
Situacao: Operante
Data Inicial: 2017-08-09
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;6;null;null;19,417917;4,8;null;
2017-09-30;4;7,2;null;21,703194;4,1;1,001528;
2017-10-31;12;103,8;null;23,594624;4,2;1,041532;
2017-11-30;15;148,8;null;23,600278;6,1;,990417;
2017-12-31;16;69,8;null;24,867608;4,1;,920161;
2018-01-31;15;238,6;1010,022312;25,922581;3,5;,845833;
2018-02-28;15;189,4;1010,391667;25,210268;3,8;,734226;
2018-03-31;12;131,6;1009,967473;25,842742;4,4;,763844;
2018-04-30;9;85,8;1015,107778;23,441944;4;,732639;
2018-05-31;5;26,2;1016,73414;21,373387;4;,707124;
2018-06-30;13;84,6;1017,194305;20,589167;3,4;,574444;
2018-07-31;7;23,4;1017,177823;20,479839;3,6;,696237;
2018-08-31;9;61,2;1018,100941;19,813306;5,3;,735753;
2018-09-30;10;60,8;1013,755139;22,040417;3,9;,951111;
2018-10-31;17;126,2;1012,348118;23,090054;7,7;,860349;
2018-11-30;17;286,6;1012,231389;24,033056;5;,944722;
2018-12-31;8;58,8;1010,84879;25,236641;4,5;,943414;
2019-01-31;5;36,4;1011,203226;27,784946;4,4;1,037634;
2019-02-28;17;334;1009,764732;26,111458;7,1;,885863;
2019-03-31;19;316,2;1012,141936;25,499328;3,4;,732527;
2019-04-30;7;214;1011,664028;24,773333;6,3;,729722;
2019-05-31;10;106;1013,210618;23,083333;3,9;,622043;
2019-06-30;14;94;1017,776944;21,390139;3,9;,583333;
2019-07-31;10;40;1017,745161;19,398253;3,6;,730914;
2019-08-31;14;106;1019,907258;19,906452;5,7;,822581;
2019-09-30;14;119,2;1015,489861;21,941667;4,5;,876389;
2019-10-31;9;51,6;1012,627419;23,766667;3,6;,889785;
2019-11-30;12;154;1011,275556;23,519583;3,7;,832083;
2019-12-31;15;118,4;1010,509543;24,947715;4,1;,891532;
2020-01-31;16;107,6;1008,850941;25,731452;3,8;,808333;
2020-02-29;17;302,4;1010,915374;25,273276;4;,741092;
2020-03-31;10;221,8;1013,004973;23,878495;3;,719355;
2020-04-30;11;35,4;1014,681667;22,534861;3,4;,660556;
2020-05-31;11;null;null;20,846005;3,8;null;
2020-06-30;2;null;null;null;4,6;null;
2020-07-31;10;68,6;1016,750941;20,661962;4,4;,722177;
2020-08-31;15;114,6;1018,031989;20,363441;6,3;,829704;
2020-09-30;8;119,8;1014,624583;23,440694;4,8;,913194;
2020-10-31;12;125,4;1011,896371;23,559005;4,3;,846371;
2020-11-30;16;161,6;1012,189167;23,125;4,4;,785555;
2020-12-31;19;218;1009,906048;25,268952;3,8;,755645;
2021-01-31;5;74,2;1009,643414;26,840188;3,9;,863038;
2021-02-28;14;121,6;1009,203125;25,286161;3,5;,765179;
2021-03-31;6;53,8;1010,364516;25,692742;3,8;,779436;
2021-04-30;16;133;1013,828333;22,6425;3,4;,7875;
2021-05-31;10;125,8;1015,109677;21,172715;4,9;,596102;
2021-06-30;12;40,4;1016,777639;20,076528;3,8;,615278;
2021-07-31;11;26,6;1019,462769;18,038978;5,2;,634677;
2021-08-31;7;55;1018,156294;20,503249;4,9;,793168;
2021-09-30;8;null;1014,528352;22,675129;5,2;,891479;
2021-10-31;17;153,2;1013,65216;21,998374;4,6;,841155;
2021-11-30;14;108,2;1010,912222;22,170139;3,5;,813889;
2021-12-31;19;241,2;1009,461694;23,977554;4,2;,878629;
2022-01-31;17;115,4;1009,083602;26,036828;4;,819086;
2022-02-28;14;185,4;1010,21875;25,076488;4;,777232;
2022-03-31;5;75,6;1010,518414;26,261425;4,1;,861425;
2022-04-30;10;332,6;1012,794306;23,561528;4,1;,667917;
2022-05-31;16;62;1014,52264;21,192326;3,8;,657574;
2022-06-30;20;86,8;1015,9625;19,317917;4,1;,609028;
2022-07-31;9;49,2;1016,807527;20,657124;4,4;,722849;
2022-08-31;14;135,6;1017,589919;20,033333;4,8;,875941;
2022-09-30;17;125,2;1015,742708;20,074554;5,4;,818601;
2022-10-31;22;40,8;1012,609274;23,231317;3,8;,833737;
2022-11-30;20;291,8;1012,3425;22,221389;3,7;,76125;
2022-12-31;20;308,2;1009,414516;24,220296;3,8;,83078;
2023-01-31;19;283,2;1009,828763;25,208602;4,1;,747043;
2023-02-28;16;259,6;1010,137946;26,654167;4,1;,858185;
2023-03-31;10;70,2;1012,043683;25,595027;3,8;,77379;
2023-04-30;16;113,6;1012,587639;23,056389;3,3;,609722;
2023-05-31;11;85,6;1016,008736;21,357661;2,7;,561694;
2023-06-30;13;28;1017,520833;20,142639;3,5;,530139;
2023-07-31;12;67,4;1018,123521;19,988306;3,4;,658468;
2023-08-31;13;153;1015,240241;21,513856;5,3;,769379;
2023-09-30;8;45,8;1013,3725;23,623194;4,1;,88625;
2023-10-31;11;null;null;null;null;null;

