Nome: RIO DE JANEIRO - FORTE DE COPACABANA
Codigo Estacao: A652
Latitude: -22.98833333
Longitude: -43.19055555
Altitude: 25.59
Situacao: Operante
Data Inicial: 2007-05-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;5;null;null;null;null;null;
2007-06-30;8;42,4;1014,099428;22,258781;14,7;2,425273;
2007-07-31;11;91,6;1014,459312;21,306349;15;3,291523;
2007-08-31;9;28,4;1016,073709;21,102944;13,6;3,424977;
2007-09-30;5;14;1015,354185;21,289215;14,9;3,481797;
2007-10-31;9;145,4;1010,866398;21,278278;13,2;3,064195;
2007-11-30;14;null;1007,778261;23,429306;12,6;3,361559;
2007-12-31;15;192,4;1007,220027;25,08871;10,4;2,872177;
2008-01-31;16;175,4;1007,945699;24,45121;11,9;2,430376;
2008-02-29;19;83,8;1007,992816;24,733036;10,6;2,085661;
2008-03-31;12;188,4;1008,339562;24,40949;11,2;2,28436;
2008-04-30;14;41,6;1008,182929;24,301128;16,2;2,59393;
2008-05-31;8;86,4;1012,620296;22,393414;13,2;2,492339;
2008-06-30;12;122;1014,624306;21,661667;11,8;2,755556;
2008-07-31;6;25,2;1016,411962;21,422849;13,1;2,399462;
2008-08-31;11;95,2;1013,117368;22,24986;12,8;3,547703;
2008-09-30;17;184,4;1013,789928;21,198122;14,5;3,66055;
2008-10-31;16;121,4;1012,113856;21,855318;13,6;3,446067;
2008-11-30;23;256,4;1009,914396;22,098231;13,5;2,971793;
2008-12-31;16;171;1007,444624;22,738575;14,3;2,789785;
2009-01-31;24;203,8;1007,75208;25,415293;14;2,831399;
2009-02-28;9;82;1007,704491;26,174405;16,4;2,291464;
2009-03-31;14;113,6;1007,81828;26,373387;12;2,23629;
2009-04-30;18;168;1011,199028;24,084583;11,4;2,363611;
2009-05-31;20;79,2;1012,213844;23,588844;10,4;2,58871;
2009-06-30;16;114,4;1014,38375;21,174861;11,6;3,142361;
2009-07-31;25;67,8;1014,17102;21,173785;15,7;3,481422;
2009-08-31;15;127,2;1014,395296;21,847177;17,2;3,351747;
2009-09-30;17;86,4;1011,705;22,835139;17,2;3,215139;
2009-10-31;12;22,2;1009,418417;22,89902;15,5;4,088584;
2009-11-30;12;77,2;1006,165278;26,696528;12,3;2,83;
2009-12-31;19;397,6;1006,76586;25,587634;13,2;2,710618;
2010-01-31;11;188,4;1007,654129;28,240453;11,1;2,4238;
2010-02-28;13;17,8;1008,204911;27,269643;12,8;2,445387;
2010-03-31;27;210;1007,94185;25,643219;11,9;2,026833;
2010-04-30;21;385,8;1011,425139;24,632083;13,4;3,135694;
2010-05-31;7;null;null;null;12,1;null;
2010-06-30;10;38,6;1016;21,144048;11;2,526637;
2010-07-31;8;119,4;1016,44122;21,95;13,6;3,294048;
2010-08-31;6;9;1015,870037;21,322917;18,1;3,209974;
2010-09-30;10;46,6;1012,969537;21,834339;17,2;3,37037;
2010-10-31;13;92;1010,279032;22,05457;14,9;3,588979;
2010-11-30;16;78;1007,41125;23,427361;10,1;2,536944;
2010-12-31;13;213;1004,662938;26,209514;11,7;2,61683;
2011-01-31;18;85,2;1005,484946;26,556586;12;2,020564;
2011-02-28;7;24,2;1007,444643;25,927679;9,9;1,939732;
2011-03-31;28;40,6;1008,638189;24,139286;9,3;1,607349;
2011-04-30;21;41,8;1010,760417;25,172222;10,4;2,073889;
2011-05-31;23;83,8;1013,128019;22,335776;12,4;2,082602;
2011-06-30;6;null;1013,964137;20,875153;11,3;2,47669;
2011-07-31;7;35;1014,621795;20,773017;16,9;2,376381;
2011-08-31;10;43;1013,485618;21,56586;15;3,528629;
2011-09-30;9;21,8;1015,885942;20,4766;15,2;4,049318;
2011-10-31;15;110,6;1009,970161;21,247043;12,1;2,837097;
2011-11-30;12;17,8;1010,148055;21,434444;10,1;2,270972;
2011-12-31;10;179,6;1007,167258;23,057083;12,8;2,490242;
2012-01-31;17;162,8;1008,43293;23,589113;7,6;2,14328;
2012-02-29;4;22,4;1008,550431;24,845402;11,4;2,164799;
2012-03-31;10;37;1009,977787;24,534128;9,3;2,027425;
2012-04-30;12;88,2;1009,935808;24,693737;11,8;2,313134;
2012-05-31;17;145,4;1014,296236;22,290591;11,7;2,505487;
2012-06-30;24;30,8;1013,823841;22,5144;11,1;2,685862;
2012-07-31;10;8,4;1014,492777;21,956796;12,5;2,623381;
2012-08-31;6;17,8;1018,696219;21,076347;13;3,060755;
2012-09-30;8;102;1014,257222;21,571945;14,6;3,349426;
2012-10-31;7;57;1010,067876;22,451747;12,1;2,768781;
2012-11-30;19;105,4;1008,883889;21,852917;15;2,466289;
2012-12-31;7;26;1006,454839;26,070296;7,3;2,248271;
2013-01-31;22;220,8;1008,645161;25,224731;10,1;2,926142;
2013-02-28;8;40,8;1008,239881;26,432292;9,7;2,297173;
2013-03-31;26;47,4;1009,738833;25,487787;14,9;2,734137;
2013-04-30;10;57;1012,009139;23,722414;12;2,362968;
2013-05-31;12;124,8;1012,621774;22,836828;13,8;2,495809;
2013-06-30;9;47,6;1013,597626;22,734167;9,5;2,122715;
2013-07-31;11;92;1015,96842;21,007223;11,6;3,060525;
2013-08-31;4;20;1014,781452;21,481183;17,8;3,397744;
2013-09-30;11;80;1013,285695;22,329028;12,7;3,703472;
2013-10-31;14;96,4;1011,97043;22,348925;13;3,834005;
2013-11-30;16;130,4;1009,640417;22,22875;14,2;2,810316;
2013-12-31;15;149,4;1006,257258;24,786156;12;2,283199;
2014-01-31;3;49,2;1009,11129;26,860618;10,7;2,457796;
2014-02-28;4;22,2;1008,740328;24,910565;7,6;2,16503;
2014-03-31;13;74,6;1009,8125;25,10914;8,7;2,062903;
2014-04-30;13;122,6;1011,696528;23,528611;10,2;2,179692;
2014-05-31;8;71,2;1012,645833;22,770296;8,8;2,302554;
2014-06-30;6;64;1014,176945;22,607361;11;2,385972;
2014-07-31;10;189,2;1017,790001;21,140422;12;null;
2014-08-31;7;54;1015,67715;21,409946;12,5;2,766935;
2014-09-30;8;28;1012,708889;21,928333;12,9;3,279167;
2014-10-31;7;30;1012,707392;22,192917;13,7;3,331452;
2014-11-30;10;53,4;1009,281389;23,053611;13,8;2,930972;
2014-12-31;6;33,2;1008,306048;25,229704;10,4;2,647581;
2015-01-31;6;83,4;1008,943976;28,747385;10,1;2,561901;
2015-02-28;15;37,4;1008,295387;27,300893;10,4;2,474851;
