Nome: SAO PAULO - MIRANTE
Codigo Estacao: A701
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.64
Situacao: Operante
Data Inicial: 2006-07-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;4;null;null;null;null;null;
2006-08-31;4;6,4;928,069547;18,434167;6,1;2,005664;
2006-09-30;7;71,2;927,477651;18,297197;6,7;2,455694;
2006-10-31;15;95,8;925,562184;19,730242;5,7;2,304114;
2006-11-30;17;219,4;924,570761;20,589505;6,1;2,482446;
2006-12-31;21;290,4;924,613832;22,230207;9,2;2,636244;
2007-01-31;19;212,2;923,450269;22,301479;6,7;1,817876;
2007-02-28;13;278,8;924,853908;23,313723;5,3;2,076061;
2007-03-31;13;178,2;925,994786;23,790757;5,8;1,8928;
2007-04-30;12;118,6;927,3925;21,548333;5,6;2,137778;
2007-05-31;11;59,2;928,103544;17,524801;6,3;2,073942;
2007-06-30;6;30,6;929,245;18,412222;6,7;1,706528;
2007-07-31;12;144,4;928,966369;16,118887;7,2;2,011074;
2007-08-31;0;0;930,283795;18,079038;5,3;2,062564;
2007-09-30;4;17;929,731178;20,066226;5,7;2,26256;
2007-10-31;13;104,8;926,129704;20,805511;7,8;2,200538;
2007-11-30;18;201,6;924,124713;20,159195;6,5;2,607759;
2007-12-31;15;219,6;923,687231;22,227419;6,3;2,002151;
2008-01-31;19;304,4;924,112903;21,173253;5,9;2,462903;
2008-02-29;18;226,6;924,382902;22,284914;6,5;2,140374;
2008-03-31;18;173,4;924,888844;21,683065;6,5;2,206183;
2008-04-30;12;94,2;924,605278;20,770139;7;1,888333;
2008-05-31;7;74,8;927,87805;17,461471;6,2;2,041334;
2008-06-30;10;73;929,20122;16,747307;6,7;1,985682;
2008-07-31;1;,2;930,840457;17,333333;4,6;1,035349;
2008-08-31;10;73,2;928,21408;18,557589;5;1,199795;
2008-09-30;15;39,6;928,265556;17,659167;5,8;2,494583;
2008-10-31;13;161,6;927,321237;20,521505;6,9;2,430779;
2008-11-30;14;null;924,479667;20,342667;6,7;2,682667;
2008-12-31;15;214,2;923,445565;20,866935;6,5;2,246909;
2009-01-31;22;323;924,490948;21,922844;6,6;2,527413;
2009-02-28;17;194,8;924,643989;23,232007;6,9;1,911471;
2009-03-31;13;121;924,584274;22,983737;5,9;2,103495;
2009-04-30;11;69;927,17375;20,246111;5,4;1,989861;
2009-05-31;8;50,8;927,673656;19,053226;5,6;1,909543;
2009-06-30;8;51,8;929,155833;15,544583;5,5;1,862639;
2009-07-31;16;180,6;928,960618;16,485887;5,9;1,715323;
2009-08-31;10;98,6;928,989651;18,090188;5,8;2,228495;
2009-09-30;17;187,4;927,290556;19,559444;7,4;2,16625;
2009-10-31;14;154,4;925,19454;19,617098;9,5;2,300431;
2009-11-30;16;178;923,307778;23,739583;6,5;2,357639;
2009-12-31;18;350;923,597446;22,206452;6,4;2,270699;
2010-01-31;28;482,2;925,085191;23,511039;7,4;1,870381;
2010-02-28;15;288,2;925,502679;24,481696;8,1;2,059226;
2010-03-31;17;182,4;924,704436;22,728898;7,1;2,315726;
2010-04-30;11;118,2;927,760417;20,399861;6,3;2,270556;
2010-05-31;14;64,8;927,24879;18,256586;6,7;2,009274;
2010-06-30;8;15;930,683611;16,631945;5,2;2,091806;
2010-07-31;7;88,6;930,992485;18,17095;5,4;2,075128;
2010-08-31;5;1,4;930,590107;17,279281;7,3;2,120357;
2010-09-30;10;96;927,708007;19,432228;5,7;2,294952;
2010-10-31;14;70;925,593952;18,405242;7,7;2,504032;
2010-11-30;12;105,6;923,149076;20,772144;6,6;2,350272;
2010-12-31;20;321,2;921,870161;22,511828;5,6;2,161694;
2011-01-31;21;485,2;922,560753;23,488844;6,2;1,764919;
2011-02-28;18;286,8;924,508631;24,046726;5,6;1,794643;
2011-03-31;14;153;925,232299;21,394956;4,9;2,270208;
2011-04-30;12;127;926,959028;21,224167;5,8;1,917639;
2011-05-31;8;26,2;928,67342;17,432385;4,6;1,886779;
2011-06-30;8;76,8;928,562613;15,763618;8,2;1,605376;
2011-07-31;2;4,6;929,114955;17,346848;5,4;1,561652;
2011-08-31;10;49,2;928,524907;18,1134;8,4;2,219612;
2011-09-30;3;4,2;929,849306;18,014167;6;2,493333;
2011-10-31;15;141;925,234274;20,061425;6,1;2,410887;
2011-11-30;7;133,2;925,14151;19,627409;6,2;2,412512;
2011-12-31;16;137,4;923,383333;21,809274;6,7;2,186694;
2012-01-31;22;317,4;924,66828;20,995699;6,2;1,911694;
2012-02-29;17;222,6;925,149138;24,136925;8,1;1,579741;
2012-03-31;11;179;926,125887;22,156053;5,8;1,999813;
2012-04-30;12;154,4;926,077222;20,916667;7,7;1,917361;
2012-05-31;11;71;929,368163;17,803945;6,9;1,723375;
2012-06-30;12;219;928,967886;17,505779;5,9;1,427096;
2012-07-31;8;68,8;929,468163;17,513394;5,6;1,439867;
2012-08-31;2;,6;932,4298;18,73;5,7;2,028379;
2012-09-30;5;19,6;929,03151;19,998678;7;2,327047;
2012-10-31;12;125,8;925,750695;21,919618;5,1;,916912;
2012-11-30;14;97;924,338195;20,541944;4,9;2,158056;
2012-12-31;20;381,4;923,753629;24,093952;6,6;1,699328;
2013-01-31;21;164,6;925,200403;21,495161;5,4;2,001613;
2013-02-28;20;271,2;925,323661;23,01994;10,5;1,779315;
2013-03-31;20;176,4;926,155778;21,840517;5,8;2,084417;
2013-04-30;9;70,8;927,570006;19,774921;5,8;1,801232;
2013-05-31;9;43,8;928,056586;18,555242;5,6;1,629839;
2013-06-30;11;139,4;928,739487;18,020586;6,3;1,269855;
2013-07-31;10;61,6;930,57192;16,636381;7,2;1,530177;
2013-08-31;5;8,2;929,404861;17,653127;7,4;1,988515;
2013-09-30;12;80;928,33721;18,920151;5,9;1,883285;
2013-10-31;13;124,2;927,069665;19,527227;5,5;2,145407;
2013-11-30;15;120;925,182008;21,268005;7,6;2,205821;
2013-12-31;7;79,8;922,898118;23,021371;6;2,366263;
2014-01-31;16;223;926,155645;24,951747;6;1,900672;
2014-02-28;14;188,8;925,530247;25,323738;5,1;1,846247;
2014-03-31;18;212,6;926,324597;22,744758;6,1;2,039785;
2014-04-30;8;77,2;927,585694;20,767361;5,3;1,920278;
2014-05-31;6;50,2;928,168817;18,550538;7,4;1,652419;
2014-06-30;5;9,8;929,354861;18,435278;6;1,661806;
2014-07-31;4;null;null;17,427083;5,5;null;
2014-08-31;6;31,6;930,336694;18,227285;6,2;1,848387;
2014-09-30;12;60,6;927,826111;20,193611;5,8;2,160694;
2014-10-31;8;25;927,777016;21,348118;6,2;2,366801;
2014-11-30;13;119,6;925,087778;21,300694;5,2;2,245833;
2014-12-31;15;207,8;925,139651;23,075806;5,9;2,101613;
2015-01-31;19;158,4;926,339247;25,140323;6,5;1,902151;
2015-02-28;17;268,4;925,256399;23,216667;5;1,789435;
2015-03-31;19;327,8;925,96922;21,87957;5,1;1,671237;
2015-04-30;9;105,4;927,18625;20,682917;5,3;2,130139;
2015-05-31;10;50,8;928,945564;18,454167;5,2;1,920296;
2015-06-30;9;21,2;931,295972;17,895139;8,3;1,734167;
2015-07-31;11;66,8;929,81371;17,891398;6,2;1,630914;
2015-08-31;7;30,8;929,77379;19,862231;6,2;1,624328;
2015-09-30;13;202,4;926,384028;20,875694;7,3;1,815695;
2015-10-31;11;90,6;927,02957;21,833333;5,5;2,273521;
2015-11-30;22;253;924,292639;22,11375;6,6;1,754028;
2015-12-31;21;315;925,543279;23,21129;7,5;2,049462;
2016-01-31;18;181,8;924,440995;22,757392;5,7;2,238575;
2016-02-29;15;null;925,895449;24,039667;6,6;1,78984;
2016-03-31;16;249,8;927,047984;22,904704;6,1;1,942608;
2016-04-30;3;2,4;927,067361;23,638333;7,4;1,578889;
2016-05-31;11;106,4;929,323522;17,948656;6;1,806317;
2016-06-30;12;197,6;930,868889;15,300972;5,4;1,346111;
2016-07-31;2;6,4;929,914247;17,615188;8,5;1,859946;
2016-08-31;7;84;928,879301;17,931177;6,8;1,795968;
2016-09-30;6;22,2;928,616944;18,425139;6,3;2,274722;
2016-10-31;14;103,2;926,194489;20,26828;6,8;2,294892;
2016-11-30;19;174,2;925,174444;20,584444;5,4;2,204028;
2016-12-31;14;163;924,673387;23,075;7;2,134409;
2017-01-31;24;485,8;925,18965;23,094086;9,1;1,850269;
2017-02-28;12;130,4;925,292411;24,369196;5;1,979167;
2017-03-31;14;156,2;926,434946;22,143683;5,8;2,186425;
2017-04-30;13;139;927,716944;20,135139;5,8;2,184722;
2017-05-31;7;null;928,537037;18,878858;6,7;1,824383;
2017-06-30;9;99,2;930,321389;17,686111;6,7;1,811111;
2017-07-31;4;1,4;934,449866;16,422446;5,2;1,923925;
2017-08-31;9;61,8;929,480242;17,275;6,8;2,125269;
2017-09-30;2;12,8;929,897361;21,267917;5,9;1,973889;
2017-10-31;15;146,4;925,816398;21,31586;7,5;2,382258;
2017-11-30;17;163,2;924,236806;20,63875;7,2;2,412083;
2017-12-31;16;153,8;923,816667;22,430914;7,5;2,209409;
2018-01-31;24;256,8;924,842742;22,64086;8,2;2,087231;
2018-02-28;13;104,2;924,986756;22,142262;6,3;2,116667;
2018-03-31;18;229,6;924,582124;23,497177;6,2;1,660484;
2018-04-30;6;27,6;928,58375;21,138333;5,1;1,932361;
2018-05-31;3;11,6;929,467473;19,063575;6,5;1,949194;
2018-06-30;9;14,8;930,072778;18,462083;4,9;1,562083;
