Nome: CAMPO GRANDE
Codigo Estacao: A702
Latitude: -20.447195
Longitude: -54.722615
Altitude: 528.47
Situacao: Operante
Data Inicial: 2001-09-09
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2001-09-30;6;null;null;22,848246;10,4;null;
2001-10-31;14;100;951,642906;24,097072;10,8;3,194846;
2001-11-30;16;null;949,888134;24,513143;10,4;2,859689;
2001-12-31;16;209,6;949,766748;23,906033;8,1;2,595266;
2002-01-31;7;null;949,890721;25,596788;9,4;3,252153;
2002-02-28;11;null;null;24,854076;9;null;
2002-03-31;17;99,2;951,763774;25,65313;8,9;2,420565;
2002-04-30;8;48,2;952,122327;25,848363;null;null;
2002-05-31;5;71,4;953,675131;23,084239;null;null;
2002-06-30;2;null;955,982747;22,429404;null;null;
2002-07-31;3;null;955,570989;21,233478;null;null;
2002-08-31;5;null;954,082537;24,364587;null;null;
2002-09-30;11;null;953,063741;22,644972;null;null;
2002-10-31;11;null;950,508035;26,36762;null;null;
2002-11-30;6;null;951,299542;25,072875;11;null;
2002-12-31;4;null;950,375839;26,852581;6,7;null;
2003-01-31;18;null;950,06691;24,617345;null;null;
2003-02-28;6;null;null;null;null;null;
2003-03-31;11;null;952,217543;24,239037;null;null;
2003-04-30;10;139,2;953,676777;23,621946;null;null;
2003-05-31;5;62,2;955,178695;20,994994;null;null;
2003-06-30;1;30,6;955,099122;22,137461;null;null;
2003-07-31;1;22,8;956,436807;21,673816;null;null;
2003-08-31;6;103,8;956,79438;19,561124;null;null;
2003-09-30;3;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;
2003-11-30;3;null;null;null;null;null;
2003-12-31;16;111,6;950,314072;25,399942;9,9;3,31305;
2004-01-31;9;58,8;948,656048;25,998056;10,6;3,406221;
2004-02-29;14;103,2;950,977624;25,023377;9,2;3,363461;
2004-03-31;12;59,4;951,335745;25,155839;8,5;3,179748;
2004-04-30;17;146,8;952,248418;24,146824;7,8;3,235398;
2004-05-31;17;167;955,787634;18,616801;9,4;3,350538;
2004-06-30;8;83;956,87474;19,8796;9,6;3,88039;
2004-07-31;7;54,6;955,88885;19,662377;10,7;4,320822;
2004-08-31;null;0;956,235898;22,187996;10,6;4,345948;
2004-09-30;5;42;952,91526;25,688647;10,8;3,759004;
2004-10-31;13;180,6;951,383064;23,971774;12,9;4,392204;
2004-11-30;10;94,6;950,404419;24,613203;8,7;3,484657;
2004-12-31;14;266,6;950,1259;24,909614;10,5;3,196057;
2005-01-31;22;221,6;948,776838;24,64122;7,9;2,863691;
2005-02-28;8;150,6;950,754254;25,909622;8,5;3,097363;
2005-03-31;11;90,4;951,448266;25,317564;12,6;2,932059;
2005-04-30;9;null;null;22,930351;8;null;
2005-05-31;4;114,8;953,479681;22,555376;8,7;3,818548;
2005-06-30;5;null;null;22,100838;9,5;null;
2005-07-31;5;20,2;957,528945;18,786694;10;4,616076;
2005-08-31;2;6,8;954,571848;22,978893;10,1;4,38501;
2005-09-30;5;null;954,504544;21,271697;11,2;4,862374;
2005-10-31;7;null;951,636646;24,390724;9,2;3,499175;
2005-11-30;7;null;null;null;9,4;null;
2005-12-31;8;null;949,041055;25,02191;8,9;3,665291;
2006-01-31;22;154,4;950,845161;25,121371;8,9;2,808333;
2006-02-28;18;null;950,292001;24,719044;7,6;2,597289;
2006-03-31;15;143,8;950,963669;24,79176;8,2;2,520512;
2006-04-30;10;null;952,113183;23,994802;10;3,058598;
2006-05-31;null;null;null;20,248882;7,9;null;
2006-06-30;3;19,6;956,08756;21,632071;8;4,119191;
2006-07-31;2;6;955,951531;22,152945;11,6;4,226835;
2006-08-31;3;34,6;954,349885;23,156389;11,7;4,410311;
2006-09-30;8;131,6;953,939394;22,7718;11,2;4,177726;
2006-10-31;10;91,6;951,004167;24,955914;9,8;3,329435;
2006-11-30;16;210,8;950,34575;24,890027;9,4;3,319961;
2006-12-31;20;159,2;950,695436;25,265299;11,5;2,923393;
2007-01-31;26;452,4;950,175672;24,416935;7;2,855242;
2007-02-28;20;183,2;950,751708;24,839674;9,3;2,71567;
2007-03-31;8;72,2;952,390346;25,486717;6,4;2,865469;
2007-04-30;6;81,8;953,224444;24,743889;9,3;3,372778;
2007-05-31;8;null;954,630586;21,253846;8,7;3,375309;
2007-06-30;null;null;null;null;null;null;
2007-07-31;4;null;null;18,898315;12,5;null;
2007-08-31;0;0;955,296272;22,172773;9;4,510455;
2007-09-30;4;4,2;953,629981;27,267241;10,6;4,678573;
2007-10-31;12;103,4;951,112097;26,326479;12,2;3,701075;
2007-11-30;18;165,2;949,751293;24,968103;9,9;3,865948;
2007-12-31;15;228,8;949,88078;25,038575;7,8;2,815457;
2008-01-31;27;256,6;949,680376;24,259409;9,1;2,69664;
2008-02-29;18;144,6;951,146839;24,247126;9,4;2,799282;
2008-03-31;15;219;951,483333;24,223522;8,4;2,799462;
2008-04-30;11;93,4;951,492639;23,363333;8,3;3,048194;
2008-05-31;11;82,2;955,186466;20,078319;8;3,331405;
2008-06-30;6;6;956,068384;19,817247;10,3;3,44096;
2008-07-31;0;0;956,0375;22,779973;9,5;4,10672;
2008-08-31;7;52,4;953,1875;23,737231;10,7;4,348521;
2008-09-30;8;55,6;954,098333;22,518194;11,1;4,636944;
2008-10-31;10;99,8;952,29086;25,223656;10,8;3,79543;
2008-11-30;15;97,2;950,162893;25,369789;9,5;3,423992;
2008-12-31;15;186,4;949,280779;25,391801;9,5;3,055914;
2009-01-31;16;226,2;950,942344;24,365387;8,6;2,982001;
2009-02-28;13;154;950,861377;24,823782;9,7;2,627597;
2009-03-31;17;267,8;951,143011;24,994624;9,2;2,463306;
2009-04-30;0;0;953,270278;24,844167;7,9;3,024306;
2009-05-31;7;76,8;954,047177;22,339919;9,8;3,384946;
2009-06-30;8;86,2;956,004861;19,377778;8,2;3,554861;
2009-07-31;10;48,4;955,215591;20,460887;8,5;3,70793;
2009-08-31;8;154,4;954,347715;21,923387;11,5;4,371237;
2009-09-30;11;65,2;953,361323;23,064082;10;4,169281;
2009-10-31;13;124,6;950,356806;24,726006;9,3;3,773;
2009-11-30;17;174,8;949,134583;25,936667;8,8;3,340417;
2009-12-31;20;305,4;949,938575;24,746505;8,8;2,836022;
2010-01-31;23;244,8;950,545357;24,917058;8,3;2,988148;
2010-02-28;18;251,6;951,047619;25,501934;7,8;2,810714;
2010-03-31;11;76,8;951,113978;25,483737;7,1;2,782124;
2010-04-30;6;108;953,774583;23,665972;9,3;3,502917;
2010-05-31;9;67,2;954,826613;19,465995;8,5;3,389516;
2010-06-30;2;8,8;956,295278;21,561805;10,4;3,888333;
2010-07-31;5;21,6;955,988172;20,476747;8,4;4,059812;
2010-08-31;null;0;955,498412;22,960157;10,7;4,508037;
2010-09-30;8;123,8;951,983889;25,1732;12,1;4,660833;
2010-10-31;9;122,8;951,623925;23,764247;9,8;4,122715;
2010-11-30;4;null;null;23,69939;10,5;null;
2010-12-31;2;null;null;null;7,7;null;
2011-01-31;2;null;null;null;6,5;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;1;null;null;null;null;null;
2011-06-30;3;34;955,0125;20,155972;8,2;3,5025;
2011-07-31;3;13,2;954,742473;21,886022;8,4;3,470296;
2011-08-31;5;27,4;954,423656;22,692876;9,3;3,871371;
2011-09-30;6;57,4;954,188194;24,896528;11,2;4,129583;
2011-10-31;12;227,2;950,556452;24,836022;12,6;3,376344;
2011-11-30;7;121,4;950,288472;25,40125;10,4;3,356111;
2011-12-31;11;121,6;949,863441;25,641667;7,8;2,515054;
2012-01-31;20;244,4;950,104839;24,887769;8,7;2,510887;
2012-02-29;15;171,8;951,399425;25,10273;8;2,235919;
2012-03-31;12;86,8;952,668011;25,136022;9,7;2,526747;
2012-04-30;12;234,8;952,570374;23,905694;6,9;2,909674;
2012-05-31;9;76,8;954,93078;21,342607;8,2;3,327688;
2012-06-30;9;244,4;955,359028;20,229444;8,3;3,309028;
2012-07-31;1;14,8;955,984409;20,14207;8,6;3,253091;
2012-08-31;1;1,2;956,432085;23,891667;8,8;4,24255;
2012-09-30;5;122;953,893472;25,724167;10,7;4,296806;
2012-10-31;12;125;950,872178;26,292473;10,9;3,33078;
2012-11-30;12;190,2;949,58625;25,615278;11,2;2,726389;
2012-12-31;15;181;949,951075;25,94543;7,6;2,694758;
2013-01-31;15;210,8;950,587903;25,5875;7,7;3,064785;
2013-02-28;18;212;951,271577;24,675446;10;2,649405;
2013-03-31;13;191,6;951,841528;25,085488;8;2,813472;
2013-04-30;11;227,6;953,770139;22,812361;7,3;2,948056;
2013-05-31;6;15,2;954,329032;22,610753;9,1;2,99543;
2013-06-30;11;182,4;955,068106;21,29774;8,4;2,689419;
2013-07-31;3;51;956,951262;19,973971;10,6;3,810688;
2013-08-31;0;0;955,709005;20,65672;9,6;3,736962;
2013-09-30;10;90,8;953,6;24,002778;9,9;4,025139;
2013-10-31;14;139,2;952,358737;24,522581;8,5;3,300538;
2013-11-30;14;235,2;950,277778;25,325139;9,5;3,085417;
2013-12-31;16;179,4;949,132258;25,362903;11,8;2,300269;
2014-01-31;22;164,2;952,464919;24,638172;7;2,440323;
2014-02-28;15;112,8;951,189286;25,213691;7,8;2,66622;
2014-03-31;15;155;952,005376;24,326344;7,4;2,594892;
2014-04-30;9;49,4;953,439306;24,212778;8,8;3,019722;
2014-05-31;10;183;954,612903;20,689516;9,9;3,145565;
2014-06-30;7;54,2;955,440972;20,980972;8,8;3,353611;
2014-07-31;11;119,2;957,377688;20,357392;9,4;3,688979;
2014-08-31;3;17,2;955,694086;23,535618;8,6;3,620027;
2014-09-30;9;65,8;952,515556;25,791528;8,8;3,638611;
2014-10-31;5;19;952,252957;27,262634;12,5;3,636694;
2014-11-30;16;217,4;950,751806;24,587639;10;2,857083;
2014-12-31;22;372,4;950,65;24,841263;8,3;2,683064;
2015-01-31;15;245,8;952,93809;25,729173;8,2;2,478424;
2015-02-28;19;161;951,572173;25,033185;7,2;2,313839;
2015-03-31;11;71,6;952,115054;24,869086;7,6;2,404032;
