Nome: TRES LAGOAS
Codigo Estacao: A704
Latitude: -20.79499999
Longitude: -51.71333333
Altitude: 328.94
Situacao: Operante
Data Inicial: 2001-09-02
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2001-09-30;6;null;976,533479;24,50657;8,2;1,788028;
2001-10-31;12;115,6;975,212911;25,290164;7;1,42702;
2001-11-30;17;263,6;973,257702;26,266219;8,3;1,5592;
2001-12-31;19;180,6;973,024883;25,72803;5,4;1,634269;
2002-01-31;15;229,6;973,506765;26,627149;null;null;
2002-02-28;17;304;974,49494;25,972403;4,6;null;
2002-03-31;8;41,2;975,095871;28,017386;6;1,459255;
2002-04-30;1;3,2;975,515677;27,894932;6,2;1,264411;
2002-05-31;6;89;977,789081;22,969334;5,9;1,348607;
2002-06-30;null;null;980,036747;23,055337;4;1,158756;
2002-07-31;5;null;980,224221;20,428914;5,6;1,258124;
2002-08-31;7;79,4;978,413032;24,351731;5,8;1,467521;
2002-09-30;9;50;977,639669;22,719558;5,7;1,496726;
2002-10-31;7;20,6;973,705918;28,466456;6,5;1,63467;
2002-11-30;1;null;null;null;null;null;
2002-12-31;5;null;null;null;5,2;null;
2003-01-31;21;323,8;973,332764;26,387284;8,5;1,609374;
2003-02-28;11;null;975,459689;27,264381;5,6;1,513013;
2003-03-31;9;122,2;975,573166;26,363837;5,3;1,483414;
2003-04-30;6;103,2;977,413587;24,604884;4,9;1,170757;
2003-05-31;3;null;979,002834;21,161888;5,5;1,257561;
2003-06-30;null;null;null;null;null;null;
2003-07-31;null;null;null;null;null;null;
2003-08-31;null;null;null;null;null;null;
2003-09-30;null;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;null;null;null;null;null;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;2;null;null;null;null;null;
2004-12-31;14;204,2;973,70336;25,942473;7,5;1,694086;
2005-01-31;24;391,8;972,296237;25,917473;5,4;1,63172;
2005-02-28;4;1,4;973,663244;27,972024;4;1,546875;
2005-03-31;8;29,4;974,599059;27,911828;4,5;1,647446;
2005-04-30;10;null;976,728472;26,637917;5,4;1,353194;
2005-05-31;6;null;977,736115;23,122213;5,8;1,322972;
2005-06-30;10;47,2;979,605139;22,034306;4,3;1,183333;
2005-07-31;5;19,6;982,026747;19,537366;5,2;1,501479;
2005-08-31;3;4,8;978,851613;23,129704;5,7;1,611559;
2005-09-30;6;32,6;978,278029;22,471833;6,9;1,980301;
2005-10-31;11;null;975,069362;26,849125;9;1,684227;
2005-11-30;3;null;null;null;6,7;null;
