Nome: CAMPOS DO JORDAO
Codigo Estacao: A706
Latitude: -22.75027777
Longitude: -45.60388888
Altitude: 1662.95
Situacao: Operante
Data Inicial: 2002-03-12
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-03-31;null;null;null;null;null;null;
2002-04-30;6;48;836,955885;16,096839;5,9;1,90011;
2002-05-31;20;60,8;837,445062;13,196021;7,4;2,005012;
2002-06-30;17;null;839,670795;12,718687;7,9;1,816255;
2002-07-31;15;null;838,435753;11,387372;7,5;2,243103;
2002-08-31;7;null;null;13,932693;6,1;null;
2002-09-30;15;null;836,806643;13,075436;7,8;2,445102;
2002-10-31;8;null;null;17,025976;6;null;
2002-11-30;13;null;null;15,458152;6,6;null;
2002-12-31;11;null;null;null;null;null;
2003-01-31;null;null;null;null;null;null;
2003-02-28;null;null;null;null;null;null;
2003-03-31;null;null;null;null;null;null;
2003-04-30;null;null;null;null;null;null;
2003-05-31;12;null;null;11,800827;8,8;null;
2003-06-30;23;7,6;838,183273;12,180442;6,1;1,763392;
2003-07-31;16;17,6;839,641013;11,184449;6,4;1,990173;
2003-08-31;13;23,6;838,16975;11,308856;5,4;1,741944;
2003-09-30;13;40,6;837,595694;13,834028;6,5;2,14625;
2003-10-31;19;203,2;836,171294;14,767778;6,4;2,113767;
2003-11-30;24;211,2;834,559886;15,329243;6,1;2,619179;
2003-12-31;20;null;835,096468;16,855781;6,7;2,28494;
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;16;null;null;15,771875;5,5;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;4;null;null;null;null;null;
2004-09-30;1;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;null;null;null;null;null;null;
2005-06-30;null;null;null;null;null;null;
2005-07-31;null;null;null;null;null;null;
2005-08-31;null;null;null;null;null;null;
2005-09-30;null;null;null;null;null;null;
2005-10-31;null;null;null;null;null;null;
2005-11-30;null;null;null;null;null;null;
2005-12-31;null;null;null;null;null;null;
2006-01-31;null;null;null;null;null;null;
2006-02-28;null;null;null;null;null;null;
2006-03-31;null;null;null;null;null;null;
2006-04-30;null;null;null;null;null;null;
2006-05-31;null;null;null;null;null;null;
2006-06-30;null;null;null;null;null;null;
2006-07-31;null;null;null;null;null;null;
2006-08-31;null;null;null;null;null;null;
2006-09-30;3;null;null;null;null;null;
2006-10-31;18;null;null;14,780906;6,9;null;
2006-11-30;1;null;null;null;null;null;
2006-12-31;26;294,8;833,789528;16,668905;null;null;
2007-01-31;28;388;833,26925;16,930739;null;null;
2007-02-28;21;102,4;834,545063;17,052032;null;null;
2007-03-31;23;150;835,856551;16,95852;null;null;
2007-04-30;28;135,8;836,308267;15,584873;null;null;
2007-05-31;24;78,2;835,929118;11,599384;null;null;
2007-06-30;22;31,2;837,559595;11,776594;null;null;
2007-07-31;16;175,2;836,770283;11,086865;null;null;
2007-08-31;10;2,6;838,250644;12,839813;null;null;
2007-09-30;11;73;838,182083;14,484861;null;null;
2007-10-31;17;120,2;835,130598;16,288943;null;null;
2007-11-30;21;243,4;833,082328;15,209339;null;null;
2007-12-31;21;249,8;833,208468;16,781452;null;null;
2008-01-31;20;90,4;833,262366;15,873253;null;null;
2008-02-29;25;240;833,918966;16,486638;null;null;
2008-03-31;25;336,6;834,067473;15,575269;null;null;
2008-04-30;25;198,8;833,704444;14,966806;null;null;
2008-05-31;24;24,8;835,672248;11,735022;4,6;1,78559;
2008-06-30;23;71,8;836,999526;11,877841;7,4;2,119453;
2008-07-31;16;3,8;838,43997;10,603017;null;null;
2008-08-31;12;null;null;13,578922;null;null;
2008-09-30;4;null;null;null;null;null;
2008-10-31;5;null;null;null;null;null;
2008-11-30;null;null;null;null;null;null;
2008-12-31;null;null;null;null;null;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;null;null;null;null;null;null;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;10;null;837,449457;12,678261;5,7;null;
2009-08-31;8;67,6;837,975;12,47043;null;null;
2009-09-30;20;138,4;836,953889;15,162361;null;null;
2009-10-31;19;149,4;834,700287;15,790517;null;null;
2009-11-30;16;125,6;834,320139;18,243333;null;null;
2009-12-31;30;430,8;834,012366;17,08172;5,7;1,712634;
2010-01-31;23;183,4;835,946615;18,084995;3,8;1,533908;
2010-02-28;21;126,8;836,473363;17,984077;6;1,569494;
2010-03-31;24;243,8;835,197189;17,075374;7,1;1,692421;
2010-04-30;23;128,8;837,001111;14,59625;5,6;1,630417;
2010-05-31;22;53;836,133468;12,567742;null;null;
2010-06-30;21;24;null;10,889306;null;null;
2010-07-31;21;65,6;null;12,170699;null;null;
2010-08-31;10;2,2;null;12,123703;null;null;
2010-09-30;11;88,6;null;14,649167;null;null;
2010-10-31;21;184,4;null;14,535753;null;null;
2010-11-30;20;170,6;null;15,830417;null;null;
2010-12-31;25;259,2;null;17,612769;4,5;1,491026;
2011-01-31;27;385,4;null;17,76707;4,4;1,513575;
2011-02-28;20;301;null;17,713542;4,4;1,37753;
2011-03-31;29;311,2;834,794966;16,518341;7;1,91305;
2011-04-30;28;179,2;836,689167;15,288889;4,8;1,415972;
2011-05-31;21;38;836,987962;11,844852;4,5;null;
2011-06-30;23;45,8;836,877343;10,34811;null;null;
2011-07-31;16;5;837,881978;11,980791;null;null;
2011-08-31;13;20,2;837,625806;13,875538;null;null;
2011-09-30;11;27,4;838,424444;13,983333;null;null;
2011-10-31;16;176,2;834,813392;15,087378;null;null;
2011-11-30;19;247;834,346111;14,444722;null;null;
2011-12-31;21;205,2;833,602688;16,446237;null;null;
2012-01-31;26;291,2;834,729167;15,806317;null;null;
2012-02-29;21;169,4;835,988293;17,559145;4,4;null;
2012-03-31;24;99,2;836,27074;16,449521;4,7;1,358604;
2012-04-30;24;162,4;835,940664;15,557174;5;1,345556;
2012-05-31;23;80,6;837,755207;11,779792;null;null;
2012-06-30;23;142,8;837,890568;12,563714;null;null;
2012-07-31;17;63,8;838,188441;11,532124;null;null;
2012-08-31;15;11,6;840,78781;12,078647;null;null;
2012-09-30;10;36,8;838,298611;14,355694;null;null;
2012-10-31;16;155,2;836,096885;16,753909;null;null;
2012-11-30;19;169,6;833,891359;15,975073;null;null;
2012-12-31;26;296,2;834,883871;18,57043;null;null;
2013-01-31;31;391;835,128495;16,499866;null;null;
2013-02-28;23;285,2;835,965179;17,172024;null;null;
2013-03-31;26;184,8;836,181728;16,716267;null;null;
2013-04-30;18;80;836,685833;14,185556;null;null;
2013-05-31;23;91,4;837,074866;12,700403;null;null;
2013-06-30;25;34,2;837,757034;12,711383;null;null;
2013-07-31;19;85,2;838,737938;11,381978;null;null;
2013-08-31;11;9,6;838,12164;12,401478;null;null;
2013-09-30;15;56,4;837,477923;14,033194;null;null;
2013-10-31;18;171,8;836,209408;14,481855;null;null;
2013-11-30;22;182,4;834,95;15,987083;null;null;
2013-12-31;24;232;833,268011;17,274328;null;null;
