Nome: FRANCA
Codigo Estacao: A708
Latitude: -20.58444444
Longitude: -47.38249999
Altitude: 1002.74
Situacao: Operante
Data Inicial: 2002-12-11
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-12-31;9;null;null;22,916715;6,9;null;
2003-01-31;25;498,2;901,80585;22,035189;7,8;2,588717;
2003-02-28;13;138,2;903,686292;23,635393;5,7;2,16639;
2003-03-31;9;null;null;null;null;null;
2003-04-30;null;null;null;null;null;null;
2003-05-31;null;null;null;null;null;null;
2003-06-30;null;null;null;null;null;null;
2003-07-31;null;null;null;null;null;null;
2003-08-31;null;null;null;null;null;null;
2003-09-30;null;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;
2003-11-30;2;null;null;null;null;null;
2003-12-31;19;253,4;902,708505;23,40059;6,3;2,659877;
2004-01-31;21;261,6;900,892098;23,152334;8,5;2,422312;
2004-02-29;21;295,2;902,710389;22,303435;7,5;2,403464;
2004-03-31;13;106,6;903,200299;22,35182;7;2,132546;
2004-04-30;18;147,8;904,287132;22,038273;5,7;1,90968;
2004-05-31;16;111,6;906,099322;19,034543;5,9;1,799193;
2004-06-30;6;17,6;908,582663;18,458068;6,2;2,049111;
2004-07-31;5;32;907,543866;18,097364;6,6;2,440767;
2004-08-31;null;0;907,876537;21,000429;7,1;2,208336;
2004-09-30;2;5,2;905,3125;25,314795;7,6;2,704873;
2004-10-31;14;175,2;903,402817;22,034379;7,1;2,616468;
2004-11-30;12;125,6;902,120535;22,597701;7,5;2,431964;
2004-12-31;22;414,2;901,773691;21,734952;7,7;2,218093;
2005-01-31;28;425,2;901,022119;22,227034;7;2,416263;
2005-02-28;10;121,2;901,842864;22,788445;6,3;2,066492;
2005-03-31;17;255,2;903,024018;22,478524;7,1;2,04186;
2005-04-30;8;79,4;904,686969;22,549638;5,1;1,8734;
2005-05-31;7;147,8;905,488575;19,584274;7;2,1875;
2005-06-30;1;17;907,182778;18,812083;5,6;2,128194;
2005-07-31;5;19;908,390241;17,957878;6,3;2,266889;
2005-08-31;1;1,2;906,633065;20,999597;6,4;2,350269;
2005-09-30;12;null;905,131207;21,039719;6,6;2,460304;
2005-10-31;10;null;903,164673;24,148898;8;2,33775;
2005-11-30;5;null;901,031407;null;5,8;2,371474;
2005-12-31;20;366,2;901,408468;20,946102;6;2,537097;
2006-01-31;17;253;902,918414;22,911156;6,7;2,075672;
2006-02-28;17;null;901,810897;22,413255;5,3;2,029557;
2006-03-31;21;166,2;902,307917;22,399583;5,9;1,986111;
2006-04-30;4;null;903,059588;21,390155;4,7;1,746509;
2006-05-31;1;null;null;19,158286;5,4;null;
2006-06-30;1;13,2;907,560201;18,398563;7,4;2,219109;
2006-07-31;2;10,6;907,469624;19,905107;5,5;2,084812;
2006-08-31;5;27,6;905,862922;21,599583;6,5;2,471121;
2006-09-30;8;42,8;904,926881;20,965379;7,3;2,597904;
2006-10-31;18;349,8;902,630581;21,464943;6,9;2,383246;
2006-11-30;16;362,8;901,64685;21,543642;7;2,347629;
2006-12-31;27;445,8;902,39884;22,002946;6,2;2,414576;
2007-01-31;27;436,4;902,01371;21,901344;6,1;2,45336;
2007-02-28;26;135,6;902,507615;22,653183;6;2,117786;
2007-03-31;14;109,4;904,09152;23,416153;5,6;1,986987;
2007-04-30;9;69;904,562071;22,152325;6,6;1,984312;
2007-05-31;8;42,6;905,379286;18,985459;5,7;1,971794;
2007-06-30;3;,6;907,193919;19,651498;6,2;1,9791;
2007-07-31;9;48,2;906,396219;18,771327;7,4;2,406415;
2007-08-31;2;,8;907,133257;20,865381;6,7;2,590737;
2007-09-30;3;6,2;906,269124;23,46503;6,4;2,702554;
2007-10-31;10;68;903,0482;24,116567;6,9;2,273352;
2007-11-30;19;203,4;901,362213;21,84454;6,5;2,387787;
2007-12-31;18;283,8;901,428629;22,633602;6,9;2,225538;
2008-01-31;25;361;901,501747;21,568683;6,6;2,132124;
2008-02-29;20;231,6;902,425862;21,858621;6,2;1,795546;
2008-03-31;18;211;902,476572;21,605359;5,1;1,820489;
2008-04-30;17;157,2;902,381667;21,181944;4,8;1,707361;
2008-05-31;6;46,8;905,32836;18,587313;4,7;1,449316;
2008-06-30;6;13,4;906,676625;19,033931;5,5;1,801039;
2008-07-31;0;0;907,977688;18,972849;5,8;1,818011;
2008-08-31;6;52,2;905,287769;21,216667;6,3;2,359005;
2008-09-30;3;27,2;904,724306;21,264861;5,9;2,308889;
2008-10-31;14;121,4;904,134543;22,923165;8,1;2,131867;
2008-11-30;16;155;901,649861;21,907639;5,8;2,124305;
2008-12-31;16;null;900,896701;21,546007;5,4;1,789931;
2009-01-31;null;null;null;null;null;null;
2009-02-28;null;null;null;null;null;null;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;
2009-10-31;9;null;null;22,095833;5,6;null;
2009-11-30;20;237,6;901,520139;23,330972;7,4;2,292639;
2009-12-31;26;464;901,625806;21,707258;6,7;2,186156;
2010-01-31;22;441,8;903,149808;22,542917;6,5;1,963306;
2010-02-28;16;202,6;903,332143;23,222173;7,5;2,135119;
2010-03-31;18;223,2;902,378226;23,054973;7,2;2,064516;
2010-04-30;6;40,8;904,71125;21,101806;5,4;1,981111;
2010-05-31;5;36,6;904,549059;19,283065;6,6;1,767339;
2010-06-30;3;12,2;907,509167;18,36625;6,2;1,99;
2010-07-31;2;3,4;907,691263;20,031452;6,9;2,576882;
2010-08-31;null;0;906,955882;20,736431;6,1;2,35901;
2010-09-30;8;116;904,508194;22,574583;7,2;2,572917;
2010-10-31;15;167,4;902,324059;21,911425;9,1;2,157661;
2010-11-30;21;249,6;900,646806;21,868056;6,4;2,216944;
2010-12-31;20;299,6;899,478226;23,045161;6,4;1,884946;
2011-01-31;25;322,2;900,847984;22,531586;6,3;2,105376;
2011-02-28;15;170,4;902,425446;22,868452;5,8;1,556399;
2011-03-31;25;409;901,810313;21,140988;5,3;1,647259;
2011-04-30;13;133,4;904,232917;21,409583;7,6;1,696667;
2011-05-31;2;1,8;905,402957;18,977151;4,7;1,493548;
2011-06-30;6;36,4;905,867639;17,515;7,5;1,865278;
2011-07-31;1;,6;906,341263;19,528226;6;2,193952;
2011-08-31;4;25,4;905,669892;21,522043;7;2,438306;
2011-09-30;4;15,4;905,887222;22,535972;6,4;2,453611;
2011-10-31;14;160,6;902,366532;21,375368;7;2,415188;
2011-11-30;15;153,2;901,853472;20,927446;7;2,277083;
2011-12-31;23;291,4;901,076882;21,459143;6,8;2,142339;
2012-01-31;26;330,8;902,34879;20,498175;6,2;2,011694;
2012-02-29;11;132,6;903,118966;22,709108;7,8;1,96092;
2012-03-31;15;197,6;903,635799;21,915502;6;1,822832;
2012-04-30;9;51,4;903,596528;21,572385;7,2;1,865556;
2012-05-31;7;32,8;906,089113;18,047774;5,4;1,802151;
2012-06-30;9;93,2;906,40532;19,066873;6;1,9896;
2012-07-31;3;35,6;906,503313;18,917011;6,4;2,19332;
2012-08-31;null;0;908,589727;19,555694;6,6;2,615668;
2012-09-30;7;81,4;905,560833;22,718889;6,3;2,599722;
2012-10-31;7;85,4;902,58414;24,603763;6,8;2,548656;
2012-11-30;13;190,2;900,530139;22,748611;6;2,4325;
2012-12-31;22;280;901,719758;23,448118;5,9;1,912903;
2013-01-31;22;267,6;901,916935;22,357661;6,9;2,280242;
2013-02-28;20;285,2;902,822768;22,418304;7,2;1,822321;
2013-03-31;21;271,6;903,121;22,152155;5,5;2,104;
2013-04-30;12;118,2;904,353611;20,327639;4,9;1,817083;
2013-05-31;5;127;905,043145;19,786828;6,3;1,852688;
2013-06-30;7;81,4;905,915758;19,582412;5,6;1,966945;
2013-07-31;5;12,4;907,196909;18,328889;5,8;1,970134;
2013-08-31;1;21;906,105063;20,104306;6,3;2,423566;
2013-09-30;8;68,2;904,985556;21,29;6,4;2,565417;
2013-10-31;13;111;903,489247;21,453091;6,6;2,418683;
2013-11-30;18;159;901,720972;21,891806;6,2;2,175556;
2013-12-31;11;128,4;900,158736;22,769355;6,4;2,137097;
2014-01-31;null;null;903,763978;23,777554;6;2,026075;
2014-02-28;null;null;902,961309;24,19375;5,4;2,191667;
2014-03-31;null;null;903,43293;22,624194;7,2;2,060349;
2014-04-30;null;null;904,140139;21,482917;6,4;1,772222;
2014-05-31;4;13,8;905,021102;19,610618;5,1;1,920968;
2014-06-30;2;7,8;906,395833;19,622083;5,3;2,171528;
2014-07-31;6;61,4;908,272043;18,44207;6,4;2,139516;
2014-08-31;0;0;906,771237;21,606183;5,8;2,214113;
2014-09-30;8;46;904,613194;22,960556;7,5;2,486667;
2014-10-31;5;23,4;903,978629;24,156989;6,3;2,521237;
2014-11-30;16;227;901,835695;22,523333;8,2;2,210556;
2014-12-31;18;219,8;902,591667;22,450806;7;2,303091;
2015-01-31;9;189,6;903,950941;24,925403;5,1;1,883468;
2015-02-28;26;90,8;903,04628;22,593006;8;2,366667;
2015-03-31;19;136;903,308064;21,593817;6;1,876478;
2015-04-30;13;138,4;903,871806;21,568056;5,1;1,63;
2015-05-31;10;81;905,755914;19,081183;6,2;1,797849;
2015-06-30;4;30;907,997639;19,037222;5,8;2,064583;
2015-07-31;2;13;907,02043;19,844892;6,1;2,010887;
2015-08-31;1;2,2;906,650941;21,128763;5,4;2,10121;
2015-09-30;9;131;903,715556;23,462222;7,1;2,156944;
2015-10-31;5;136,8;903,487769;25,273521;6,9;2,169892;
2015-11-30;20;235;901,812639;23,089028;6,4;1,969722;
2015-12-31;16;161,2;903,572715;22,775;7,7;2,265457;
2016-01-31;27;331;901,334409;22,506989;6,6;2,374328;
2016-02-29;19;176,4;903,875575;23,447845;6,3;1,430747;
2016-03-31;19;311,8;904,543952;22,782527;6,1;1,707258;
2016-04-30;5;10,8;904,644306;23,188333;4,8;1,471528;
2016-05-31;11;32,2;906,261156;19,841263;5,9;1,463307;
2016-06-30;7;59,4;907,63597;18,183783;5,9;1,499204;
2016-07-31;1;,2;907,062654;20,146944;6;1,984946;
2016-08-31;8;26,4;905,823954;20,891766;6,4;2,262821;
2016-09-30;4;2,4;904,878333;22,822917;6,5;2,0625;
2016-10-31;12;174;902,749597;22,614785;6,9;2,022581;
2016-11-30;20;81,6;901,959861;21,835;6,3;1,735;
2016-12-31;16;66,2;902,417876;22,758199;5,7;1,980242;
2017-01-31;18;220,6;903,094758;22,382796;6,2;1,562097;
