Nome: SAO CARLOS
Codigo Estacao: A711
Latitude: -21.980353
Longitude: -47.883927
Altitude: 859.29
Situacao: Operante
Data Inicial: 2006-09-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;null;null;null;null;null;null;
2006-10-31;null;null;null;null;null;null;
2006-11-30;null;null;null;null;null;null;
2006-12-31;null;null;null;null;null;null;
2007-01-31;null;null;null;null;null;null;
2007-02-28;null;null;null;null;null;null;
2007-03-31;null;null;null;null;null;null;
2007-04-30;null;null;null;null;null;null;
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;null;null;null;null;null;
2007-07-31;8;null;null;15,373242;7,3;null;
2007-08-31;0;0;922,634894;19,263125;7,2;2,763049;
2007-09-30;2;,6;921,802639;22,137222;8;3,027639;
2007-10-31;6;57;918,354167;23,521774;9;2,670565;
2007-11-30;11;null;916,294997;21,350843;6,5;2,775369;
2007-12-31;14;131;916,532392;22,754704;6,3;2,366935;
2008-01-31;20;182,8;916,664113;21,693683;8,5;2,567876;
2008-02-29;15;183,2;917,474195;22,465625;6,2;2,042127;
2008-03-31;17;177,6;917,725912;21,559099;6,4;2,310618;
2008-04-30;17;98,8;917,627639;20,5525;5,4;1,952639;
2008-05-31;5;31,6;920,822803;17,21922;5,2;1,955517;
2008-06-30;8;32,4;922,073539;17,394061;5,6;2,026842;
2008-07-31;0;0;923,521371;17,578495;5,2;2,071505;
2008-08-31;7;47,4;920,655645;19,826479;6,3;2,534274;
2008-09-30;7;35,2;920,334861;19,430417;7,1;2,774167;
2008-10-31;8;81,6;919,509812;22,327823;7,4;2,641801;
2008-11-30;15;51,2;917,039028;21,829444;6,7;2,649444;
2008-12-31;16;175,2;915,875403;21,716667;7,5;2,008158;
2009-01-31;20;333,8;917,481855;21,637903;6,9;2,302554;
2009-02-28;14;180,2;917,574165;22,834919;5,4;1,649101;
2009-03-31;13;304;917,336694;22,752151;6,6;1,593145;
2009-04-30;8;105,2;919,620278;20,526667;5,4;1,766806;
2009-05-31;8;35,4;920,482661;18,957393;5,6;1,581855;
2009-06-30;9;31,6;921,929444;15,634306;5,1;1,462917;
2009-07-31;10;71;921,585081;17,933468;5,9;1,456989;
2009-08-31;6;153,4;921,593145;18,592742;5,9;1,846774;
2009-09-30;12;132,8;919,946805;20,695555;5,8;2,083472;
2009-10-31;9;80,2;917,408908;21,466379;7,8;2,35977;
2009-11-30;15;244,2;916,471111;23,640694;5,9;2,054722;
2009-12-31;22;394,2;916,572715;22,212903;6,8;2,032124;
2010-01-31;22;348,8;918,234236;22,560694;6,5;1,799597;
2010-02-28;14;111,8;918,448046;23,571267;7,1;2,001863;
2010-03-31;15;193,6;917,478898;22,76707;6;1,752285;
2010-04-30;7;123,8;920,218195;20,650417;6,3;2,193611;
2010-05-31;6;13;920,051075;18,129167;6;1,707796;
2010-06-30;2;19;923,084167;16,902083;5,8;1,865972;
2010-07-31;2;33,8;923,203629;18,799462;4,9;,782392;
2010-08-31;0;0;922,555511;18,881452;5,2;,138844;
2010-09-30;8;78;919,899861;21,310417;5,3;,468889;
2010-10-31;12;87,2;917,754704;20,752688;7;,863441;
2010-11-30;12;61,4;915,693889;22,101944;5,8;,91125;
2010-12-31;21;151,8;914,564125;23,184876;5,6;,158713;
2011-01-31;24;429,6;915,751613;23,052419;5,6;,617876;
2011-02-28;19;336,8;917,551637;23,191369;5,4;,690625;
2011-03-31;20;279,4;917,245134;21,449878;6,7;,648753;
2011-04-30;12;88,6;919,55625;21,074444;5,3;,247361;
2011-05-31;2;6;921,028799;17,841497;4,6;,84252;
2011-06-30;6;44;921,277917;16,206111;8;,576389;
2011-07-31;1;,2;921,685753;18,460753;4,3;,119758;
2011-08-31;5;13,2;920,940188;19,986962;6,6;,73078;
2011-09-30;4;13;921,46125;21,060833;6,8;1,332778;
2011-10-31;12;175;917,699328;21,133064;6,5;1,331855;
2011-11-30;11;131,6;917,264028;21,073194;6,6;1,169028;
2011-12-31;15;227;916,108065;22,250134;5,1;,714785;
2012-01-31;2;null;null;null;null;null;
2012-02-29;null;null;null;null;null;null;
2012-03-31;4;null;null;21,986389;5,7;null;
2012-04-30;9;151,8;918,580139;21,646528;5,5;1,846944;
2012-05-31;10;100,8;921,587769;17,693683;5,7;1,896774;
2012-06-30;13;194;921,624463;17,855942;5,4;1,777838;
2012-07-31;5;41,2;922,083871;17,331989;5,1;1,858065;
2012-08-31;1;2,4;924,470565;19,2325;6,4;2,627112;
2012-09-30;5;77,8;921,171389;21,210278;7,1;2,427083;
2012-10-31;9;98,2;917,950941;23,564516;5,6;2,403898;
2012-11-30;14;176,2;916,090278;22,241944;7;2,535139;
2012-12-31;19;232,8;916,686828;23,867742;5,9;1,979973;
2013-01-31;16;280,8;917,225403;21,953495;7,3;2,421774;
2013-02-28;18;201;917,972321;22,725149;6,1;1,834226;
2013-03-31;17;208,8;918,454972;22,107328;6,7;2,145722;
2013-04-30;10;71,8;919,870694;20,116805;4,8;1,879722;
2013-05-31;7;156;920,654839;18,975;5,2;1,865457;
2013-06-30;13;63;921,441629;18,357487;4,7;1,731275;
2013-07-31;7;44,2;923,03587;16,678939;6,1;2,010192;
2013-08-31;4;23,2;921,730242;18,224866;6,8;2,208065;
2013-09-30;8;62,8;920,504861;20,461806;5,2;2,275556;
2013-10-31;11;175,4;919,028629;20,806048;6,7;2,398925;
2013-11-30;15;160,6;917,134306;21,911806;6,6;2,325;
2013-12-31;17;122,6;915,269758;23,07043;6,1;2,153629;
2014-01-31;13;71,4;918,765457;24,450672;6,2;1,789516;
2014-02-28;14;20,6;918,130357;24,638542;5,2;1,838542;
2014-03-31;28;33,2;918,799866;22,68172;5,9;2,034005;
2014-04-30;null;null;919,742065;21,428194;7,1;2,13288;
2014-05-31;10;11;920,763172;18,866398;5,3;1,922849;
2014-06-30;null;null;922,063611;18,677361;5,8;1,910972;
2014-07-31;null;null;924,220296;17,638441;5,8;2,077823;
2014-08-31;2;,4;922,438978;19,938978;6,8;2,130645;
2014-09-30;11;21,8;920,088889;21,786667;7,4;2,570972;
2014-10-31;4;57,8;919,47957;23,27621;7,5;2,569893;
2014-11-30;15;193,2;917,21125;22,41625;5,1;2,176389;
2014-12-31;16;296,2;917,722715;22,499059;5,3;2,222581;
2015-01-31;17;127,6;918,851882;24,659005;8,2;1,746102;
2015-02-28;19;209,2;918,003869;22,59881;6,9;1,756101;
2015-03-31;21;222,8;918,500134;21,630108;5,5;1,618952;
2015-04-30;6;48;919,280833;21,337639;5,2;1,839583;
2015-05-31;12;59,2;921,474194;18,528091;5,1;1,879704;
2015-06-30;6;23,2;923,744444;18,228889;5,7;1,946806;
2015-07-31;12;73,4;922,516667;18,432393;4,6;1,829839;
2015-08-31;2;9;922,172715;19,953091;8,3;1,995833;
2015-09-30;11;163,6;918,679306;22,038889;7,2;2,003333;
