Nome: NHUMIRIM
Codigo Estacao: A717
Latitude: -18.9886111
Longitude: -56.62277777
Altitude: 102.26
Situacao: Operante
Data Inicial: 2006-08-01
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;3;null;null;24,335879;8,8;null;
2006-09-30;4;29,6;1001,189251;24,707041;12,5;2,679565;
2006-10-31;10;111,4;997,791532;26,974328;9,5;2,201613;
2006-11-30;12;174;997,164513;26,738933;7,2;2,323725;
2006-12-31;20;209,2;997,662541;27,092561;7,8;2,220722;
2007-01-31;23;282,2;997,061781;27,428898;9;2,40651;
2007-02-28;20;208;997,661526;27,015781;6,6;1,945318;
2007-03-31;6;null;null;27,076521;7,6;null;
2007-04-30;null;null;null;null;null;null;
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;null;null;null;null;null;
2007-07-31;1;null;1003,407133;19,278897;8,3;2,509949;
2007-08-31;0;0;1003,331977;20,637891;8,5;3,00969;
2007-09-30;0;0;1000,251945;26,661528;8,7;2,431806;
2007-10-31;7;75,8;997,842035;27,544057;9;2,225602;
2007-11-30;8;174,2;996,688218;26,94842;9,3;2,4125;
2007-12-31;11;105,8;996,84086;26,958468;7,6;2,133333;
2008-01-31;24;391,6;996,741263;26,467339;9,3;2,111559;
2008-02-29;14;161,8;998,261925;27,032615;7,5;2,016236;
2008-03-31;16;118,6;998,465726;26,684409;6,7;1,464919;
2008-04-30;10;28;998,898591;25,086782;7,5;1,820278;
2008-05-31;9;94,2;1003,092036;21,712564;7,7;1,83293;
2008-06-30;9;24,2;1004,314529;20,18561;7,3;1,821389;
2008-07-31;3;,6;1002,934678;22,044086;7,2;1,69664;
2008-08-31;3;4,6;1000,138441;24,4125;8;2,129032;
2008-09-30;3;40,8;1001,506389;23,560833;11,4;1,328889;
2008-10-31;10;87,6;999,206586;26,934028;9,6;1,373253;
2008-11-30;11;110,6;996,884227;27,492114;13,6;1,567494;
2008-12-31;13;121;996,216532;27,286156;11,9;1,708871;
2009-01-31;17;85,8;998,062459;26,708164;7,2;1,812447;
2009-02-28;15;145,2;997,734375;27,090246;7,2;1,819183;
2009-03-31;16;204,4;998,117339;26,98172;9,9;1,163172;
2009-04-30;3;26,4;1000,225972;25,635972;4,5;1,008056;
2009-05-31;2;52,4;1001,394355;23,476075;7,9;1,854704;
