Nome: AQUIDAUANA
Codigo Estacao: A719
Latitude: -20.47555554
Longitude: -55.78388888
Altitude: 151.35
Situacao: Operante
Data Inicial: 2006-10-31
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;null;null;null;null;null;null;
2006-11-30;9;164;991,593303;26,897114;5,9;1,570146;
2006-12-31;16;119,2;991,778214;27,311816;5,5;1,604254;
2007-01-31;20;225,2;991,204874;26,881925;7,6;1,436939;
2007-02-28;15;166,8;991,915367;26,952233;7,2;1,348164;
2007-03-31;6;95,2;993,540738;27,206107;6,2;1,238371;
2007-04-30;5;84,4;994,603919;26,067089;5,3;1,259547;
2007-05-31;8;82;997,348431;21,113581;5,1;1,310991;
2007-06-30;1;,2;997,590145;20,719897;5,8;1,126063;
2007-07-31;5;54,4;997,685827;19,861262;6,5;1,581739;
2007-08-31;2;,4;997,41317;21,263611;6,6;1,869481;
2007-09-30;1;1,2;994,671528;27,9225;7,6;1,703472;
2007-10-31;8;62,6;992,1707;27,837307;8,4;1,558412;
2007-11-30;14;175,4;990,950287;27,169109;8,1;1,91408;
2007-12-31;14;197,6;991,123387;26,771102;8,3;1,372849;
2008-01-31;21;411,8;990,92905;26,542748;7;1,460916;
2008-02-29;11;77,2;992,480501;26,581399;6,5;1,353715;
2008-03-31;11;120,6;992,835683;26,3643;6;1,197625;
2008-04-30;9;31,8;993,147866;24,627424;5,4;1,356831;
2008-05-31;6;null;996,583785;22,18428;5,4;1,288629;
2008-06-30;5;null;997,491795;20,551765;4,8;1,074171;
2008-07-31;2;4,8;997,484617;22,715202;7,2;1,4054;
2008-08-31;6;42,6;994,551158;24,246695;6,7;1,563565;
2008-09-30;3;22,8;995,783005;24,339352;6,7;1,876909;
2008-10-31;7;78;993,175006;27,34172;8,3;1,786016;
2008-11-30;11;130,2;991,337373;27,383243;7,5;1,515133;
2008-12-31;10;91,4;990,48629;27,793548;6,3;1,502688;
2009-01-31;13;217;992,343408;26,40862;6;1,40814;
2009-02-28;11;63,4;992,072105;27,055546;6,1;1,371753;
2009-03-31;15;126,4;992,40914;27,260484;4,8;1,188441;
2009-04-30;2;3,2;994,6575;26,006944;4,4;1,023611;
2009-05-31;8;42,4;995,730645;23,767339;6;1,372312;
2009-06-30;9;79,4;998,336667;20,194583;5,4;1,259583;
2009-07-31;9;76,4;997,400046;21,659878;8,1;1,323913;
2009-08-31;9;138,8;996,110887;22,700134;5,9;1,590591;
2009-09-30;4;23;995,125694;24,460494;6,3;2,018601;
2009-10-31;12;153;991,707759;26,525862;7,6;1,631034;
2009-11-30;14;91,2;989,845695;28,342778;7,7;1,767222;
2009-12-31;16;292,8;991,042294;27,34125;6,8;1,538978;
2010-01-31;19;309,8;991,640567;27,129888;6,1;1,547067;
2010-02-28;15;83,2;992,018899;27,989583;7,3;1,500893;
2010-03-31;10;117;992,317742;27,464382;7,8;1,254301;
2010-04-30;5;21,4;995,388056;25,119028;5;1,364861;
2010-05-31;12;120;997,234128;20,232564;4,1;1,10292;
2010-06-30;3;4,8;998,129028;21,784028;5,7;1,338194;
2010-07-31;2;null;997,04074;21,499882;6,5;1,370861;
2010-08-31;null;0;997,331944;22,325103;6,8;1,330616;
2010-09-30;8;58,8;993,385613;25,929217;6,6;1,867953;
2010-10-31;7;119,4;992,855406;25,383459;8,3;1,506354;
2010-11-30;8;203,6;991,349197;25,153617;6,4;1,468478;
2010-12-31;8;95;989,110476;27,846893;8,2;1,609054;
2011-01-31;20;351,4;990,556978;26,672205;6,7;1,232747;
2011-02-28;17;null;992,03429;26,416696;6,6;1,124633;
2011-03-31;16;null;991,17262;25,724155;4,7;1,319867;
2011-04-30;5;null;994,255597;25,175713;4,5;,812568;
2011-05-31;10;4,6;997,388807;21,59035;5,1;,753032;
2011-06-30;7;null;997,151379;20,587591;5;1,061237;
2011-07-31;7;23,6;996,675;21,613172;5,4;1,339113;
2011-08-31;3;19,2;996,348387;23,00793;6,6;1,39086;
2011-09-30;5;67,6;995,779167;25,752361;6,4;1,58375;
2011-10-31;13;160,8;991,813306;26,723118;8,2;1,645565;
2011-11-30;6;82,2;991,529028;27,082083;6,7;1,525278;
2011-12-31;11;79,8;991,1375;27,623387;7,3;1,365188;
2012-01-31;14;null;991,329139;27,323315;7;1,12803;
2012-02-29;8;null;null;26,958336;6,9;null;
2012-03-31;14;145,8;994,191593;25,939761;6,3;,747532;
2012-04-30;9;104,8;994,120139;25,325;5;,825417;
2012-05-31;11;35;996,793683;22,501613;5,3;,827016;
2012-06-30;13;187,4;997,474028;21,002639;5,1;,856528;
2012-07-31;8;10,2;998,264382;19,780645;5,2;,750807;
2012-08-31;1;,2;998,022005;24,174167;6,2;1,095315;
2012-09-30;6;90,4;995,227071;26,458216;6,4;1,37684;
2012-10-31;10;134,4;991,904704;27,601478;5,4;1,073253;
2012-11-30;10;102,8;990,816806;27,683194;6,8;,886389;
2012-12-31;9;113,6;990,886828;28,47164;5,5;1,520968;
2013-01-31;7;59,2;991,778091;28,131855;5,8;1,564919;
2013-02-28;20;127;992,459077;27,129613;6,9;1,60744;
2013-03-31;17;107,6;993,159861;27,120402;5,2;1,127555;
2013-04-30;15;281,8;995,44;24,037917;5,2;1,000694;
2013-05-31;10;63,6;996,176479;23,152285;5,2;,913172;
2013-06-30;21;177,2;997,074924;21,721162;5,8;,894432;
2013-07-31;8;48,4;999,249597;20,339113;5,5;1,254167;
2013-08-31;1;,2;998,142473;20,136156;7;1,544624;
2013-09-30;9;39,4;995,264306;24,760278;5,8;1,6275;
2013-10-31;17;87;993,842608;26,273387;5,8;1,623521;
2013-11-30;11;147,2;991,457464;27,842065;5,8;1,605513;
2013-12-31;15;117,6;990,221301;27,806896;5,7;1,402706;
2014-01-31;21;233;993,774238;26,709052;7,4;1,074334;
2014-02-28;null;null;null;null;null;null;
2014-03-31;null;null;null;null;null;null;
2014-04-30;null;null;null;null;null;null;
2014-05-31;2;null;null;null;null;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;null;null;null;null;null;
2014-09-30;3;null;null;null;6,3;null;
2014-10-31;null;null;null;null;null;null;
2014-11-30;12;null;null;25,615079;5,4;null;
2014-12-31;19;204,4;991,84543;27,111021;6,7;1,472446;
2015-01-31;16;58,6;994,090863;28,148357;5,4;1,440248;
2015-02-28;14;null;992,595192;27,26;6,2;1,378793;
2015-03-31;17;49;993,472867;26,7462;7,1;1,148739;
2015-04-30;12;75,6;994,804306;25,805139;4,5;1,035417;
2015-05-31;13;95,4;996,834141;23,118959;5,9;,671278;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;1;,8;995,49879;24,868548;6,1;,856317;
2015-09-30;8;157,4;993,325;26,028333;5,6;1,068611;
2015-10-31;8;57,4;993,230645;27,239785;6,7;,986962;
2015-11-30;14;224;991,385833;27,625;6,6;1,16125;
2015-12-31;18;157,2;992,75457;27,709946;7,3;1,389113;
2016-01-31;22;308,4;990,995296;26,888575;8,4;1,134409;
2016-02-29;22;211,4;993,479023;27,568822;6,5;1,066379;
2016-03-31;22;173,8;995,206989;26,30336;6,2;,761828;
2016-04-30;23;74;994,809306;26,181528;7,7;1,178194;
2016-05-31;13;130,8;998,426075;21,527688;5,3;1,064382;
2016-06-30;12;8;1000,611458;19,66358;4,1;,709481;
2016-07-31;0;0;998,053495;20,896909;6;,834274;
2016-08-31;null;null;996,675;22,527419;5,4;,898521;
2016-09-30;null;null;996,9872;23,157421;6,3;,857515;
2016-10-31;null;null;993,233602;26,531048;7,4;1,407796;
2016-11-30;11;60,2;992,506754;26,937356;6,5;1,068472;
2016-12-31;17;162;992,211694;27,020161;6,9;1,447984;
2017-01-31;18;86,6;992,808871;27,416398;9,4;1,026882;
2017-02-28;17;146,4;992,641072;27,318006;5,1;,885863;
2017-03-31;13;138,8;993,529973;27,082258;6,2;,81922;
2017-04-30;13;199,6;995,305318;24,670141;7,4;,98182;
2017-05-31;8;91,2;995,555737;25,136889;5,6;,728458;
2017-06-30;1;null;null;null;6,7;null;
2017-07-31;null;null;null;null;7,8;null;
2017-08-31;null;null;null;26,402222;6;null;
2017-09-30;2;null;null;null;7;null;
2017-10-31;9;199,2;992,534409;26,622177;7,5;1,227688;
2017-11-30;14;263,6;991,178472;26,338611;5,7;,986945;
2017-12-31;20;210,2;991,217608;27,058468;5,9;,881989;
2018-01-31;20;251,8;992,373656;26,794624;5,9;1,104301;
2018-02-28;14;265,4;992,385565;26,395536;6,2;,918304;
2018-03-31;15;98,4;992,794624;27,205914;4,1;,685887;
2018-04-30;9;96,6;995,869583;25,709583;7,3;,430278;
2018-05-31;7;67,2;997,431582;22,969879;5,5;,330845;
2018-06-30;3;null;999,148913;21,03913;4,5;,709601;
2018-07-31;null;0;998,646355;20,746537;5,5;,653332;
2018-08-31;2;null;null;null;6;null;
2018-09-30;null;null;null;null;7,9;null;
2018-10-31;null;null;null;null;5,1;null;
2018-11-30;null;null;null;null;6,3;null;
2018-12-31;null;null;null;null;5,1;null;
2019-01-31;null;null;null;null;5,3;null;
2019-02-28;4;null;null;null;3,8;null;
2019-03-31;8;null;994,592193;26,816013;4,4;,570746;
2019-04-30;null;null;null;null;3,3;null;
2019-05-31;null;null;null;null;4,9;null;
2019-06-30;3;null;null;22,864881;7;null;
2019-07-31;null;null;null;19,667892;4,4;null;
2019-08-31;1;null;null;22,733055;7;null;
2019-09-30;1;null;null;26,969722;5;null;
2019-10-31;2;null;null;null;5;null;
2019-11-30;null;null;null;null;5,3;null;
2019-12-31;10;null;null;26,504167;6,3;null;
2020-01-31;3;null;null;null;3,1;null;
2020-02-29;5;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;2;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;2;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;6;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;10;171,4;995,229861;23,977222;6,5;1,747222;
2022-10-31;11;104,2;993,589785;25,275941;7;1,445968;
2022-11-30;4;62,4;993,450278;25,975556;7,7;1,849306;
2022-12-31;9;77,2;990,528705;28,539335;8;1,67642;
2023-01-31;19;152,4;992,260887;26,569758;5,4;1,277016;
2023-02-28;20;195,6;993,712946;25,785863;6;,787054;
2023-03-31;17;192,6;993,944086;26,46371;5,6;,544437;
2023-04-30;14;188,6;994,484167;25,053611;4,2;,694722;
2023-05-31;9;93,2;997,178763;23,036694;5,7;,773118;
2023-06-30;11;70;999,478194;19,923611;4,3;,656806;
2023-07-31;0;0;998,267204;22,436559;6,5;,943414;
2023-08-31;4;36,2;994,998118;25,403763;7,7;,915726;
2023-09-30;4;78,2;993,317258;27,501014;6,7;1,055187;
2023-10-31;5;null;null;null;null;null;

