Nome: DOURADOS
Codigo Estacao: A721
Latitude: -22.19388888
Longitude: -54.91138888
Altitude: 463.3
Situacao: Operante
Data Inicial: 2006-10-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;1;null;null;null;null;null;
2006-11-30;12;71,6;957,686173;24,953287;7,5;2,816026;
2006-12-31;17;283,2;957,643677;25,820074;6,8;2,353892;
2007-01-31;24;262,8;956,831183;24,914382;9,3;2,116935;
2007-02-28;14;279,6;957,903746;25,11501;7,2;2,156373;
2007-03-31;10;179,6;959,638539;25,711584;9,2;1,988844;
2007-04-30;9;46,8;960,892147;24,13202;7,2;2,486111;
2007-05-31;6;82,6;962,827744;18,992693;8;2,589075;
2007-06-30;2;6,4;963,1475;19,707222;7,1;2,208195;
2007-07-31;6;121,2;963,104505;17,431854;8,5;2,745266;
2007-08-31;3;37,2;963,295553;19,289101;7,3;3,169004;
2007-09-30;1;6,6;961,483056;25,337222;8,9;3,248611;
2007-10-31;12;118,8;958,608883;25,027916;9,3;2,752875;
2007-11-30;14;201,8;957,146695;24,245115;9,6;2,909914;
2007-12-31;11;149,2;957,095564;25,207124;7,4;2,051075;
2008-01-31;18;175,4;956,948609;24,489481;7,1;2,410098;
2008-02-29;15;229,4;958,233621;24,288937;9;2,074856;
2008-03-31;12;50,8;958,919892;24,399328;7;2,213575;
2008-04-30;8;140,6;959,015;22,704167;6,9;2,196806;
2008-05-31;5;27,8;962,73205;19,841519;7;2,189005;
2008-06-30;9;18,4;963,710572;17,739156;8,3;2,238471;
2008-07-31;3;21,4;963,709946;21,625941;6,7;2,599866;
2008-08-31;7;32;960,924851;22,055556;9,1;2,956994;
2008-09-30;6;38,6;962,114583;20,596389;7,4;3,215417;
2008-10-31;6;74,8;959,823387;24,578226;11,3;2,789919;
2008-11-30;2;6;957,790329;25,054411;6,9;2,349112;
2008-12-31;7;17,6;956,70457;25,924059;7,3;2,189516;
2009-01-31;14;71;958,227802;24,297518;7;2,255665;
2009-02-28;14;157,8;958,046253;25,108834;9,8;2,017248;
2009-03-31;12;66,6;958,501344;25,674597;6,2;1,818011;
2009-04-30;1;,2;961,033194;24,762917;5,5;1,771111;
2009-05-31;7;96,8;961,519861;21,805;7,5;2,189583;
2009-06-30;8;null;963,737451;17,516833;5,7;2,327924;
2009-07-31;7;null;962,666377;19,210514;8,9;2,456494;
2009-08-31;6;102,2;961,947301;20,866657;6,9;2,500483;
2009-09-30;9;38;960,9375;21,029861;7,6;2,873333;
2009-10-31;11;184;958,052677;23,857143;10,1;2,617204;
2009-11-30;15;120,4;955,844028;26,52;8,3;2,662917;
2009-12-31;16;331,8;956,970833;25,018548;6,6;2,25457;
2010-01-31;15;null;957,655038;24,999011;7,3;2,073354;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;2;null;null;null;null;null;
2010-08-31;null;null;962,90131;22,752778;8,7;2,918167;
2010-09-30;null;null;null;23,86407;8,3;null;
2010-10-31;1;null;null;23,622965;9,2;null;
2010-11-30;4;null;957,145038;23,931532;9,8;2,590578;
2010-12-31;1;null;null;null;8,2;null;
2011-01-31;5;null;956,487758;null;6,4;1,710806;
2011-02-28;10;null;null;null;5,9;null;
2011-03-31;15;95,2;957,880331;24,226084;7,1;2,635397;
2011-04-30;10;171;960,548056;22,945139;8,1;2,002361;
2011-05-31;4;7;963,30121;19,567204;5,4;1,953763;
