Nome: JOSE BONIFACIO
Codigo Estacao: A735
Latitude: -21.08555555
Longitude: -49.92027777
Altitude: 408.35
Situacao: Pane
Data Inicial: 2007-09-02
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-09-30;null;null;null;null;null;null;
2007-10-31;8;70;964,803898;26,538172;12;2,864516;
2007-11-30;14;null;963,255017;24,186343;9,6;2,823307;
2007-12-31;14;147,8;963,181451;25,624462;8,6;2,245296;
2008-01-31;26;472,6;963,415188;24,304435;12,5;2,200538;
2008-02-29;17;80,6;964,49023;24,718601;8,3;1,845172;
2008-03-31;16;123,4;964,760425;24,080552;6,1;1,993057;
2008-04-30;18;123,2;964,712639;23,248333;8;1,832917;
2008-05-31;9;89,6;968,752741;19,22244;5,5;1,705616;
2008-06-30;8;3,8;969,779589;19,660151;5,8;1,777983;
2008-07-31;0;0;970,80914;19,916263;7,1;2,057796;
2008-08-31;5;32,8;967,631317;22,329167;8,3;2,642742;
2008-09-30;6;26,4;967,816667;21,949028;8,5;3,051111;
2008-10-31;12;102,6;966,162366;25,00914;11;2,711559;
2008-11-30;9;30;963,762222;25,398472;11,6;2,805972;
2008-12-31;14;198,4;962,579301;25,406989;11,2;2,505242;
2009-01-31;17;184,2;964,350538;24,560472;8;2,519098;
2009-02-28;26;229,2;964,254316;25,575243;7,4;1,860687;
2009-03-31;28;75,4;964,194758;25,14664;8,6;1,624731;
2009-04-30;20;77,8;966,7775;22,924444;6,1;1,750833;
2009-05-31;7;6,8;967,841936;21,327151;9,1;1,679839;
2009-06-30;20;121,4;970,0725;17,769861;6,2;1,485972;
2009-07-31;14;14,8;969,191935;20,085618;12,7;1,786962;
2009-08-31;13;29,8;968,875;20,745564;8,3;2,410484;
2009-09-30;14;67;966,991528;23,486944;11,6;2,147917;
2009-10-31;12;115;964,391954;24,054023;9,6;2,315086;
2009-11-30;2;,4;962,993611;26,180833;8,4;1,663333;
2009-12-31;0;0;963,340591;25,003898;8,9;1,691129;
2010-01-31;null;0;964,745219;25,258333;9;1,55841;
2010-02-28;0;0;964,904018;26,020536;7,7;1,456696;
2010-03-31;0;0;964,178091;25,479704;6,9;1,493145;
2010-04-30;0;0;967,307361;23,0575;8,2;1,911806;
2010-05-31;0;0;967,955108;19,751613;7,4;1,483871;
2010-06-30;0;0;970,7025;19,140972;7,4;1,715972;
2010-07-31;0;0;970,245161;21,097581;8,4;2,326075;
2010-08-31;0;0;969,832714;21,18123;8,7;2,631814;
2010-09-30;null;null;null;null;7,9;null;
2010-10-31;5;null;null;24,1;10,2;null;
2010-11-30;6;39,4;962,693056;24,806389;8,4;2,146806;
2010-12-31;16;31,4;961,395296;25,713306;8,3;1,921505;
2011-01-31;21;110,8;962,414113;25,630511;8,7;1,598521;
2011-02-28;18;414,2;964,321577;25,136607;9,9;1,391369;
2011-03-31;18;341;963,963534;23,79117;7,4;1,900027;
2011-04-30;11;39,6;966,505139;23,504306;8,8;1,554306;
2011-05-31;3;3;968,7696;20,050351;6,9;1,680423;
2011-06-30;6;1,8;969,206944;17,975694;12,1;1,666389;
2011-07-31;3;3,4;969,021102;20,422581;7,4;2,029167;
2011-08-31;5;2,2;968,236828;21,842608;8,4;2,504704;
2011-09-30;9;5,4;968,395417;23,544583;9;3,146528;
2011-10-31;13;264,2;964,54414;24,468056;11,1;3,021795;
2011-11-30;7;95,4;964,2075;24,086111;10,3;2,674167;
2011-12-31;9;133,8;962,880511;25,539247;6,8;2,201613;
2012-01-31;21;298;964,333871;23,823656;8,2;2,191667;
2012-02-29;11;56,6;964,80273;25,79023;8;1,703305;
2012-03-31;7;44,6;965,792204;25,163172;12,3;1,861425;
2012-04-30;11;94,6;965,904028;23,902222;8,5;1,95;
2012-05-31;9;83,4;969,257796;20,236962;7,1;2,182661;
2012-06-30;17;151,8;969,377917;19,930694;6,3;1,748055;
2012-07-31;5;13;969,918683;19,059812;6,4;1,948522;
2012-08-31;null;0;971,568318;21,942917;8,9;2,641955;
2012-09-30;5;97,8;968,097639;23,757222;9,4;2,77625;
2012-10-31;8;39,8;964,475134;26,39207;10;2,650538;
2012-11-30;12;134,6;962,831866;25,604849;8,4;2,480767;
2012-12-31;17;172,6;963,574866;26,279435;8,5;1,974194;
2013-01-31;14;267,6;964,223387;25,015591;8,5;2,363441;
2013-02-28;16;226,2;965,099702;25,03378;9,6;1,788095;
2013-03-31;15;209,4;965,414861;24,878161;6,3;1,895167;
2013-04-30;13;79,4;967,40625;22,428056;6;1,658056;
2013-05-31;7;118,6;968,099194;21,160215;7,3;1,770296;
2013-06-30;12;53,6;969,040871;21,041376;6,7;1,715897;
2013-07-31;6;9,2;971,063441;18,90121;9,5;2,309543;
2013-08-31;0;0;969,505914;20,082258;7;2,368414;
2013-09-30;7;66;967,705556;23,048194;9,4;2,660833;
2013-10-31;10;66,6;966,07379;24,190054;9,1;2,68871;
2013-11-30;12;165,6;963,917083;25,246806;10;2,680833;
2013-12-31;12;122,6;962,189382;26,07957;9,8;2,056586;
2014-01-31;16;43;965,883871;26,081989;10;1,674731;
2014-02-28;14;102,2;964,925595;26,222024;8,1;1,856548;
2014-03-31;19;154,8;965,749731;24,850806;6,6;1,711962;
2014-04-30;8;30,8;966,927083;24,072222;6,4;1,984028;
2014-05-31;6;14,4;968,271505;20,587097;6,3;1,621774;
2014-06-30;4;2,4;969,470694;20,559445;7,2;1,953056;
2014-07-31;8;37;971,866129;19,451344;8,9;2,242742;
