Nome: ITAPIRA
Codigo Estacao: A739
Latitude: -22.415
Longitude: -46.80527777
Altitude: 634.89
Situacao: Operante
Data Inicial: 2007-11-04
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;null;null;null;null;null;
2007-12-31;null;null;null;null;null;null;
2008-01-31;11;null;null;null;null;null;
2008-02-29;15;136;940,936695;23,515774;5;1,215316;
2008-03-31;16;184;941,29529;22,607089;5,8;1,093934;
2008-04-30;17;189;941,251389;21,604722;4,1;1,065972;
2008-05-31;10;36,4;944,786203;18,136653;4,2;1,041702;
2008-06-30;11;64,4;946,06468;18,38006;4,7;1,157198;
2008-07-31;0;0;947,667876;17,547849;4,8;1,177285;
2008-08-31;7;49;944,548925;20,352554;6,7;1,256586;
2008-09-30;7;54,6;944,245556;20,078889;6,6;1,510139;
2008-10-31;14;118,6;943,202151;23,469892;6,5;1,620565;
2008-11-30;17;140,4;940,7325;22,850972;6,8;1,667083;
2008-12-31;16;178,2;939,410887;23,193548;6,2;1,481183;
2009-01-31;21;322,4;941,068414;23,291801;5,4;1,495161;
2009-02-28;14;205,4;941,064991;24,080292;5,9;1,137545;
2009-03-31;17;187,8;940,731317;24,109409;4,9;,970699;
2009-04-30;11;61,2;943,324583;21,23;4,7;1,048889;
2009-05-31;10;32,8;944,342742;19,755376;5,9;1,147849;
2009-06-30;15;40,4;946,093611;16,230972;5;1,075278;
2009-07-31;11;65,6;945,603267;18,779546;5,9;1,236279;
2009-08-31;10;92,6;945,587231;19,481586;5,6;1,444355;
2009-09-30;13;137;943,690694;21,734306;6;1,346944;
2009-10-31;2;null;null;null;null;null;
2009-11-30;11;null;null;24,714461;5,2;null;
2009-12-31;23;238,4;940,019489;23,864247;5,9;1,420161;
2010-01-31;23;295,4;941,851944;23,862361;5,3;1,255;
2010-02-28;16;73,8;941,993155;24,487351;6,9;1,365179;
2010-03-31;14;184,2;940,54753;23,851389;5,5;1,224762;
2010-04-30;7;42,6;943,929445;21,752639;5,2;1,332639;
2010-05-31;9;15,2;943,911022;18,925403;4,7;1,200134;
2010-06-30;3;16,8;947,24625;17,377778;5,3;1,310139;
2010-07-31;6;31,6;947,309005;19,344086;6,2;1,489785;
2010-08-31;11;9,8;946,57971;19,12596;6,2;1,339173;
2010-09-30;12;81,8;943,736806;21,911111;8,6;1,604167;
2010-10-31;12;68,8;941,441532;21,816532;5,8;1,596102;
