Nome: MOELA
Codigo Estacao: A745
Latitude: -24.047845
Longitude: -46.26334
Altitude: 32.47
Situacao: Desativada
Data Inicial: 2008-07-24
Data Final: 2017-05-17
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;null;null;null;null;null;null;
2008-08-31;4;null;null;null;14,1;null;
2008-09-30;7;null;null;null;14,5;null;
2008-10-31;null;null;null;null;15,1;null;
2008-11-30;1;null;null;null;16,1;null;
2008-12-31;null;null;null;null;10,8;null;
2009-01-31;5;null;null;null;19,8;null;
2009-02-28;1;null;null;null;13,2;null;
2009-03-31;5;null;null;null;15,1;null;
2009-04-30;8;null;1010,579455;24,395602;16,5;3,481411;
2009-05-31;8;null;1011,057912;22,879514;13,1;,853;
2009-06-30;4;null;null;19,706074;0;null;
2009-07-31;1;null;null;null;11,7;null;
2009-08-31;10;null;null;null;13,4;null;
2009-09-30;1;null;null;null;14,7;null;
2009-10-31;4;null;null;null;14,1;null;
2009-11-30;3;null;null;null;19,3;null;
2009-12-31;3;null;null;null;11,7;null;
2010-01-31;null;null;null;null;16,5;null;
2010-02-28;3;null;null;29,44761;12;null;
2010-03-31;5;null;null;26,498574;14,6;null;
2010-04-30;4;null;null;null;12,3;null;
2010-05-31;5;null;null;22,471905;14,5;null;
2010-06-30;4;null;null;21,012004;15;null;
2010-07-31;6;null;null;21,144318;13,4;null;
2010-08-31;5;null;null;null;16;null;
2010-09-30;1;null;null;null;16,1;null;
2010-10-31;1;null;null;null;15,8;null;
2010-11-30;7;null;null;23,654738;19,8;null;
2010-12-31;19;254,4;1004,537378;24,874894;14,9;2,489468;
2011-01-31;18;183,2;1004,437361;26,806394;13,3;2,220596;
2011-02-28;11;null;1006,384769;27,470878;15,3;2,063648;
2011-03-31;5;null;null;null;16;null;
2011-04-30;1;null;null;null;12;null;
2011-05-31;1;null;null;null;15,8;null;
2011-06-30;1;null;null;null;11,2;null;
2011-07-31;null;null;null;null;13,6;null;
2011-08-31;null;null;null;null;13,8;null;
2011-09-30;null;null;null;null;15,4;null;
2011-10-31;null;null;null;null;11,2;null;
2011-11-30;7;null;null;null;null;null;
2011-12-31;null;null;null;null;null;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;4;null;null;26,455555;null;null;
2012-03-31;13;109,2;1009,044758;24,541935;null;null;
2012-04-30;14;214,4;1008,905747;24,383477;null;null;
2012-05-31;15;85,8;1013,08063;22,259796;null;null;
2012-06-30;4;null;null;null;null;null;
2012-07-31;4;null;1013,040845;20,340152;null;null;
2012-08-31;null;null;1016,888001;20,62445;null;null;
2012-09-30;null;null;1012,720271;21,753;null;null;
2012-10-31;null;null;1008,965173;22,75045;null;null;
2012-11-30;null;null;1007,871544;22,841588;null;null;
2012-12-31;null;null;1005,552734;27,025;null;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;null;null;1007,02163;28,073377;null;null;
2013-03-31;null;null;null;null;null;null;
2013-04-30;null;null;null;null;null;null;
2013-05-31;null;null;null;null;null;null;
2013-06-30;null;null;null;null;null;null;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;
2013-09-30;12;null;null;20,081042;null;null;
2013-10-31;19;132;1010,910215;21,548656;null;null;
2013-11-30;14;169,8;1008,438333;23,02625;null;null;
2013-12-31;15;59,6;1005,37164;25,391667;null;null;
2014-01-31;12;171;1007,924866;27,961559;null;null;
2014-02-28;null;null;1007,495238;27,217113;null;null;
2014-03-31;null;null;1008,674328;25,852285;null;null;
2014-04-30;null;null;1010,816389;23,969444;null;null;
2014-05-31;null;null;1011,725497;22,20977;null;null;
2014-06-30;null;null;1013,060139;20,965972;null;null;
2014-07-31;null;null;1016,458333;19,90672;null;null;
2014-08-31;null;null;1014,483871;20,499194;null;null;
2014-09-30;null;null;1011,459722;21,62625;null;null;
2014-10-31;null;null;1011,650538;22,48629;null;null;
2014-11-30;null;null;1008,3475;23,902361;null;null;
2014-12-31;null;null;1007,912414;24,738495;null;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;null;null;null;null;null;
2015-11-30;null;null;null;null;null;null;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;null;null;null;null;null;
2016-04-30;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;null;null;null;null;null;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;null;null;null;null;null;null;
2016-11-30;null;null;null;null;null;null;
2016-12-31;null;null;null;null;null;null;
2017-01-31;null;null;null;null;null;null;
2017-02-28;null;null;null;null;null;null;
2017-03-31;null;null;null;null;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;

