Nome: BARRA DO TURVO
Codigo Estacao: A746
Latitude: -24.96277777
Longitude: -48.41638888
Altitude: 659.89
Situacao: Operante
Data Inicial: 2008-07-02
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;9;33,8;945,475744;14,255804;4,7;,780208;
2008-08-31;18;132,4;942,867608;15,66371;4,8;1,00914;
2008-09-30;25;133,4;943,425417;14,540972;5,3;,999722;
2008-10-31;27;195,8;942,271774;17,728898;5,2;1,184677;
2008-11-30;19;null;null;18,160059;4,3;null;
2008-12-31;null;null;null;null;null;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;null;null;null;null;null;null;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;
2009-10-31;null;null;null;null;null;null;
2009-11-30;null;null;null;null;null;null;
2009-12-31;20;183;938,198056;21,091667;4,9;,993472;
2010-01-31;30;414;938,950317;21,804457;5;1,181429;
2010-02-28;18;218,4;939,577232;22,898958;4,9;,965476;
2010-03-31;23;234,6;939,149194;20,998656;4;,928226;
2010-04-30;22;241,2;942,937963;17,845525;3,1;,862654;
2010-05-31;19;null;942,167223;16,336667;3,7;,987819;
2010-06-30;20;null;945,467838;13,940877;4,6;,800053;
2010-07-31;16;null;944,759161;15,626762;4,5;,895649;
2010-08-31;17;null;944,948889;14,072283;4,4;,914444;
2010-09-30;20;58,2;942,770473;16,20108;4,7;1,092042;
2010-10-31;19;127,8;940,23179;16,385648;4,3;1,058951;
2010-11-30;20;123;937,863889;18,560417;4,7;,929028;
2010-12-31;20;257;936,360791;20,617262;5,8;1,141712;
2011-01-31;29;440;936,639382;22,143817;4,3;,885618;
2011-02-28;25;253,8;938,856101;21,934673;4,9;,857589;
2011-03-31;21;235,8;940,391871;19,419444;3,9;,60317;
2011-04-30;null;null;941,594167;19,068611;4,3;,454861;
2011-05-31;null;null;943,648522;15,019892;3,2;,415457;
2011-06-30;null;null;943,092917;12,74375;4,7;,432778;
2011-07-31;7;43,6;943,612231;14,160081;3,3;,424731;
2011-08-31;10;286,6;943,127823;14,270699;5,1;,717742;
2011-09-30;13;53,4;945,174305;14,685972;4,4;,584306;
2011-10-31;4;2,4;939,975403;17,332392;3,8;,673118;
2011-11-30;null;null;940,285139;17,623333;4;,665139;
2011-12-31;null;null;937,946505;19,520565;3,5;,673387;
2012-01-31;null;null;938,874597;20,151613;4,9;,780108;
2012-02-29;null;null;939,502155;22,072988;4;,48319;
2012-03-31;null;null;940,90914;20,03965;3,3;,488575;
2012-04-30;null;null;940,765833;18,602361;3,8;,395278;
2012-05-31;null;null;944,248387;15,760887;3,2;,468548;
2012-06-30;null;null;943,541713;14,30431;4,5;,460694;
2012-07-31;null;null;943,90578;13,311156;4,5;,578764;
2012-08-31;null;null;947,334812;15,493056;3,4;,468855;
2012-09-30;null;null;943,868056;16,453472;5,2;,665417;
2012-10-31;8;57,8;940,356183;18,925672;4,4;,790457;
2012-11-30;22;84,6;939,425694;18,756389;3,2;,651389;
2012-12-31;22;205,2;937,836425;22,381586;4,1;,818817;
2013-01-31;2;null;null;null;null;null;
2013-02-28;5;null;null;null;null;null;
2013-03-31;24;169,4;940,693444;19,896408;4,9;,621139;
