Nome: ITUVERAVA
Codigo Estacao: A753
Latitude: -20.35972222
Longitude: -47.77527777
Altitude: 610.58
Situacao: Operante
Data Inicial: 2008-07-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;2;null;null;null;null;null;
2008-10-31;11;65,8;944,564987;24,506633;9,5;1,863925;
2008-11-30;12;95,4;942,137672;23,95816;7,9;1,867057;
2008-12-31;20;389,8;941,266799;23,061099;6,8;1,568787;
2009-01-31;23;374,8;943,007288;23,192619;6,8;1,53441;
2009-02-28;10;null;942,874583;24,12159;6,5;1,379285;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;
2009-10-31;7;null;null;23,919792;8,7;null;
2009-11-30;20;147,8;941,893889;25,030694;6;1,634028;
2009-12-31;26;289,8;942,241129;23,6375;6,1;1,576478;
2010-01-31;4;18,2;943,583724;24,156965;6,5;1,475513;
2010-02-28;0;0;943,63497;24,537054;6,2;1,517113;
2010-03-31;0;0;942,799731;23,929167;8,6;1,454032;
2010-04-30;0;0;945,428611;21,718611;8,1;1,717222;
2010-05-31;0;0;945,650134;19,328763;4,7;1,526747;
2010-06-30;0;0;948,795833;17,90875;5,2;1,545417;
2010-07-31;0;0;948,694624;20,173118;6,6;1,849328;
2010-08-31;0;0;947,947616;20,357515;6;1,890054;
2010-09-30;0;0;945,063194;23,959583;8,6;2,120694;
2010-10-31;4;40,8;942,945594;23,477145;9,5;2,039633;
2010-11-30;20;223,4;941,221945;23,306806;6,8;1,702083;
2010-12-31;20;228,8;939,871909;24,462097;7,2;1,475;
2011-01-31;22;375,6;941,307258;23,874328;5,2;1,365995;
2011-02-28;15;126,6;942,840476;24,122917;6,8;1,430953;
2011-03-31;21;299;942,365457;23,078763;5,7;1,336021;
2011-04-30;13;114,8;944,848472;22,186111;6,7;1,456667;
2011-05-31;5;2;946,467403;19,051823;7,7;1,3169;
2011-06-30;7;47,2;947,242917;17,315139;14,1;1,55875;
2011-07-31;1;,2;947,445027;19,222715;6;1,714382;
2011-08-31;3;24,6;946,517373;21,330179;10,1;1,908912;
2011-09-30;4;9,6;946,523195;23,551806;9,8;2,165139;
2011-10-31;17;172;943,061156;23,31586;8,9;2,016398;
2011-11-30;10;166,6;942,503056;23,2225;8,4;1,884861;
2011-12-31;17;245,6;941,664785;23,649866;8,9;1,567608;
2012-01-31;26;365,8;943,102419;22,488978;8;1,432124;
2012-02-29;11;79,2;943,534483;24,269253;6,1;1,516667;
2012-03-31;13;145,6;944,206586;23,645833;7,4;1,51828;
2012-04-30;14;94;944,253611;22,617083;9,5;1,394028;
2012-05-31;13;25,2;947,25672;19,06828;8;1,495161;
2012-06-30;12;111,6;947,603768;19,795054;6;1,454457;
2012-07-31;3;23,2;948,089113;18,402016;7,7;1,565188;
2012-08-31;null;0;949,971021;20,408859;9;2,265664;
2012-09-30;5;69,8;946,520417;23,340972;10,7;2,097361;
2012-10-31;8;82,4;943,124439;25,827349;8,1;1,852227;
2012-11-30;14;203,4;941,245278;24,379583;12,7;1,774444;
2012-12-31;15;103,8;942,40163;24,953173;6,5;1,575421;
2013-01-31;4;71,4;942,810887;23,902285;6;1,535081;
2013-02-28;null;null;943,65;24,042113;8;1,513244;
2013-03-31;null;null;943,980694;23,920546;6,6;1,601417;
2013-04-30;null;null;945,593472;21,413195;7,3;1,364444;
2013-05-31;null;null;946,349866;20,231358;8,4;1,468186;
2013-06-30;null;null;947,289697;20,011616;10,6;1,339293;
2013-07-31;5;16,4;948,897797;18,120372;6,5;1,656902;
2013-08-31;2;,6;947,532094;19,790223;5,5;1,832796;
2013-09-30;10;55,4;946,082222;22,370417;9,7;1,965278;
2013-10-31;13;107;944,431586;23,111694;8,2;1,943011;
2013-11-30;15;157,4;942,49375;23,689722;5,4;1,679722;
2013-12-31;19;185,2;940,90914;24,321505;6,9;1,545296;
2014-01-31;15;127;944,516263;24,559812;8;1,5625;
2014-02-28;11;55,2;943,640625;24,48244;5,4;1,632143;
2014-03-31;17;150,6;944,299638;23,641608;4,8;1,479167;
2014-04-30;11;116,8;945,115417;22,557639;8,2;1,376667;
2014-05-31;6;12,2;946,40336;19,439651;4,7;1,341801;
2014-06-30;3;4,8;947,810447;19,343798;5,3;1,525435;
2014-07-31;4;37,2;949,841623;19,149987;4,5;1,677311;
2014-08-31;1;1,8;947,938429;21,341655;6,9;1,821201;
2014-09-30;5;30,2;945,412083;24,391806;9,4;2,159722;
2014-10-31;5;76;944,604167;25,579973;7,7;2,126882;
2014-11-30;15;185,2;942,656506;24,307268;11,1;1,69995;
2014-12-31;7;null;null;null;5,8;null;
2015-01-31;null;null;null;null;6,9;null;
2015-02-28;14;null;null;24,072917;8;null;
2015-03-31;23;237,8;944,251075;22,999059;6;1,306989;
2015-04-30;12;122,4;944,79625;22,529167;6,1;1,255556;
2015-05-31;14;103,6;947,112097;19,981452;7,5;1,353091;
2015-06-30;6;2,4;949,422917;19,541944;5;1,568472;
2015-07-31;3;14;948,348118;20,055242;5;1,527688;
2015-08-31;0;0;947,775269;21,078763;7;1,875403;
2015-09-30;8;118;944,427361;23,663333;8,3;1,787222;
2015-10-31;5;100,4;943,850672;26,517742;8,6;1,980376;
2015-11-30;19;301;942,448056;24,477361;12,8;1,5725;
2015-12-31;23;324,8;944,375403;24,372984;8,1;1,539843;
2016-01-31;22;425,6;942,034714;24,24306;6,1;1,549808;
2016-02-29;16;118;944,569828;24,543535;6,4;1,404023;
2016-03-31;17;208,8;945,288441;24,147043;6,4;1,413575;
2016-04-30;5;7;945,429583;23,103056;7,2;1,439167;
2016-05-31;8;19,6;947,59207;20,095564;5,9;1,411559;
2016-06-30;10;72,8;949,26375;18,375;6,9;1,436667;
2016-07-31;0;0;948,448522;19,076747;8,1;1,619758;
2016-08-31;5;31,8;947,019758;20,845968;9,1;1,816667;
2016-09-30;2;,8;945,842222;23,339445;8,3;1,944306;
2016-10-31;16;114,6;943,476373;24,411395;9,8;1,958964;
2016-11-30;18;198,8;942,796389;23,4075;6,2;1,691667;
2016-12-31;19;198,4;943,163978;24,224194;6,1;1,74879;
2017-01-31;22;239,8;943,887769;23,872446;5,8;1,514113;
2017-02-28;11;168,8;943,632887;24,468304;5,2;1,448661;
2017-03-31;12;72,4;943,993548;23,977419;5,4;1,49207;
2017-04-30;11;63,6;945,187222;22,775139;6;1,4675;
2017-05-31;11;75,2;946,2375;21,252957;6,9;1,33172;
2017-06-30;3;6,4;948,777083;18,801111;6,7;1,617778;
2017-07-31;1;,2;952,211828;17,592473;7,2;2,121774;
2017-08-31;2;1;946,817093;21,28198;9,9;1,982892;
2017-09-30;2;null;null;null;5,3;null;
2017-10-31;12;156,4;943,452016;25,402688;9,7;2,041532;
2017-11-30;17;207,4;942,100972;23,927222;10;1,779722;
2017-12-31;15;205,2;942,037903;24,050672;5,8;1,524194;
2018-01-31;20;311,8;943,240726;24,075538;7,8;1,497043;
2018-02-28;17;222,2;942,691667;23,702232;9,3;1,477679;
2018-03-31;16;80,2;942,949194;24,657258;6;1,379973;
2018-04-30;9;24,8;946,345871;21,951616;4,3;1,391578;
2018-05-31;4;50,4;947,712634;19,397177;5,7;1,424462;
2018-06-30;1;,2;948,483611;20,428056;4,5;1,396389;
2018-07-31;1;1,2;948,511828;19,237634;4,5;1,575134;
2018-08-31;6;17,2;947,869489;20,818011;8,2;1,79664;
