Nome: JARDIM
Codigo Estacao: A758
Latitude: -21.4786111
Longitude: -56.13777777
Altitude: 252.47
Situacao: Pane
Data Inicial: 2011-08-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-08-31;2;null;984,581597;23,263715;7,2;2,004167;
2011-09-30;8;79,2;984,964167;24,009861;7;1,631111;
2011-10-31;10;71,8;980,621371;26,166398;7,2;1,851882;
2011-11-30;4;129,6;980,496667;26,334444;8,2;1,835278;
2011-12-31;9;48,6;979,978764;27,04543;5,9;1,600538;
2012-01-31;13;138,4;979,826075;27,079973;7,1;1,791398;
2012-02-29;12;114,6;981,266379;26,677442;6,7;1,729454;
2012-03-31;9;173,2;983,035081;25,412231;6;1,345882;
2012-04-30;10;117,4;983,036389;24,366528;9,3;1,340556;
2012-05-31;7;66,2;985,641579;21,594215;6,7;1,370658;
2012-06-30;12;197,4;986,185556;19,961667;5,5;1,450556;
2012-07-31;5;8,2;987,056953;18,828128;6,1;1,504448;
2012-08-31;2;1,8;987,029301;23,228573;7,1;1,927701;
2012-09-30;6;64,8;984,198333;25,464444;8,9;1,774306;
2012-10-31;6;111,6;null;26,989113;8,7;1,8875;
2012-11-30;8;154,4;null;26,941389;8,7;1,544305;
2012-12-31;9;71,2;null;28,102016;8,3;2,286559;
2013-01-31;7;56,8;null;27,626075;6,5;1,569624;
2013-02-28;14;259,6;null;26,785119;6,6;1,92619;
2013-03-31;12;117,6;null;26,662356;6,6;1,564889;
2013-04-30;10;298,2;null;23,30125;5,3;1,332222;
2013-05-31;9;74,4;null;22,139651;8,8;1,554973;
2013-06-30;15;201,2;null;20,763194;5,6;1,244482;
2013-07-31;7;16,4;null;19,348264;5,8;1,452904;
2013-08-31;4;6,2;null;19,155511;6;1,828629;
2013-09-30;6;48,6;984,230139;23,627083;7,8;1,838889;
2013-10-31;14;207,4;982,789113;24,70457;6,6;1,6625;
2013-11-30;8;118,6;null;26,815;11,5;1,84;
2013-12-31;14;109,2;null;27,308468;5,9;1,623925;
2014-01-31;16;86,6;null;26,644624;6,2;1,931855;
2014-02-28;12;89,2;null;26,746875;5,7;1,791518;
2014-03-31;15;151,6;null;25,359677;5,8;1,509005;
2014-04-30;8;85;null;24,660833;7;1,408611;
2014-05-31;10;null;null;19,785638;6,5;1,366138;
2014-06-30;12;71;986,033472;21,155139;6,7;1,669722;
2014-07-31;11;126,6;988,243952;19,793683;6,5;1,443145;
2014-08-31;2;24;986,317946;22,663266;6,4;1,487979;
2014-09-30;7;45,4;982,313321;26,190163;7;2,037102;
2014-10-31;3;7,8;982,092707;28,531013;8,8;1,834905;
2014-11-30;14;284;980,844903;25,750851;8;1,702391;
2014-12-31;15;137;980,51624;26,618011;6,7;1,852273;
2015-01-31;13;165;982,82988;27,320979;6;1,544396;
2015-02-28;11;147,6;981,405661;26,743388;5,8;1,504671;
2015-03-31;10;30,2;982,39124;26,287114;5,4;1,309298;
2015-04-30;8;135,4;983,741673;25,099656;5,2;1,17308;
2015-05-31;11;146;985,683322;22,067269;6,5;1,288172;
2015-06-30;14;57,8;987,384179;21,410888;5,3;1,358557;
2015-07-31;16;98,8;986,322937;20,614037;7,5;1,567198;
2015-08-31;3;11;984,378255;23,906837;7;1,559502;
2015-09-30;10;197,8;982,129601;24,877736;7,3;1,683895;
2015-10-31;10;170,4;982,06714;26,230739;7,2;1,676455;
2015-11-30;14;174,4;980,065193;26,644577;5,4;1,668508;
2015-12-31;16;209,4;981,396391;26,854728;8;1,915621;
2016-01-31;18;295,8;null;26,667473;5,8;1,492876;
2016-02-29;20;324,2;null;26,872414;6,2;1,684339;
2016-03-31;6;null;null;26,270347;5;1,227999;
2016-04-30;null;null;null;null;6,4;null;
2016-05-31;null;null;null;null;5;null;
2016-06-30;null;null;null;null;4,7;null;
2016-07-31;3;13,8;986,852688;20,093683;6,1;1,431989;
2016-08-31;7;86,8;985,448253;21,745968;5,8;1,548387;
2016-09-30;6;21;986,316492;21,831316;5,8;1,305676;
2016-10-31;7;73,6;982,09543;25,674731;7;1,835349;
2016-11-30;9;64;981,440417;25,904306;6,9;1,49375;
2016-12-31;19;303;980,820758;26,147598;6,8;1,867315;
2017-01-31;10;63,4;null;26,962664;6,8;1,591865;
2017-02-28;9;198,6;null;27,00625;4,4;1,532589;
2017-03-31;13;50,8;null;26,546909;5,2;1,376747;
2017-04-30;11;161,4;null;23,638345;6,2;1,322796;
2017-05-31;14;209,4;null;23,231177;5,7;1,418905;
2017-06-30;12;50,8;null;20,367053;6;1,455719;
2017-07-31;1;,2;989,67918;19,853576;6,7;1,614317;
2017-08-31;9;64;984,585227;23,180856;6,6;1,723323;
2017-09-30;3;11,4;984,246528;26,237639;5,8;1,677222;
2017-10-31;8;202,4;981,302343;25,676736;8,9;1,832895;
2017-11-30;14;169,4;980,022639;25,654028;7,2;1,494444;
2017-12-31;15;null;979,885425;26,37556;6,6;1,413719;
2018-01-31;11;null;null;26,720573;6,5;null;
2018-02-28;3;null;null;null;5;null;
2018-03-31;null;null;null;null;6,6;null;
2018-04-30;7;null;null;25,417214;5,5;null;
2018-05-31;6;110,4;986,228436;22,285916;5,3;1,262921;
2018-06-30;6;36;988,211196;18,995978;6,8;1,504541;
2018-07-31;1;,2;987,477069;19,859075;5,9;1,496552;
2018-08-31;7;55,6;987,919028;19,61662;6,7;1,425953;
2018-09-30;13;232;983,200851;22,6241;9,2;1,516425;
2018-10-31;12;329;981,265352;26,036676;4,9;1,579213;
2018-11-30;13;182,6;980,629656;25,945725;5,5;1,598889;
2018-12-31;11;111,6;981,862471;27,050368;5,5;1,583888;
2019-01-31;10;34,6;982,736156;28,022715;6,2;1,818548;
2019-02-28;8;158;981,301624;27,221435;5,8;1,482039;
2019-03-31;12;154,2;983,322569;26,17808;5,4;1,274661;
