Nome: SONORA
Codigo Estacao: A761
Latitude: -17.63527777
Longitude: -54.76055555
Altitude: 495.25
Situacao: Operante
Data Inicial: 2012-11-29
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-11-30;null;null;null;null;null;null;
2012-12-31;14;130,6;954,239653;25,764469;11,8;3,351186;
2013-01-31;19;215,8;954,488324;25,081609;8,3;3,023451;
2013-02-28;19;265,4;955,36369;24,286756;9,1;3,0875;
2013-03-31;18;183,2;955,611667;25,203879;7,7;2,8979;
2013-04-30;9;45,6;957,289306;23,845694;7,9;3,042841;
2013-05-31;6;24,4;958,040188;23,261694;9,2;3,010618;
2013-06-30;9;73;958,667538;22,982879;10,2;3,045126;
2013-07-31;4;25,4;960,214785;21,745699;11,7;3,88871;
2013-08-31;0;0;959,06371;22,32164;10,7;4,370161;
2013-09-30;6;52,2;957,103472;25,315;10,5;4,39375;
2013-10-31;13;119,4;955,962365;25,427016;14,3;3,643414;
2013-11-30;16;175,8;954,073611;25,240694;10,5;3,348195;
2013-12-31;23;182,2;953,43078;24,692339;11,9;3,16586;
2014-01-31;24;190,8;956,484274;24,186022;11,9;2,945296;
2014-02-28;24;269;955,101637;23,987202;10,7;2,853869;
2014-03-31;22;283;955,757527;24,683065;8;3,076747;
2014-04-30;10;88,4;956,904583;24,756111;9,4;3,014444;
2014-05-31;7;72,2;958,08293;22,325806;9,5;3,254167;
2014-06-30;7;18,6;959,06875;22,515972;8,4;3,420833;
2014-07-31;8;140;960,831586;21,92621;8,5;3,290323;
2014-08-31;1;,2;958,966532;24,780914;11,2;3,742608;
2014-09-30;7;46,8;956,387222;26,577361;12,5;4,038472;
2014-10-31;8;82;955,818145;27,113038;11,7;3,526747;
2014-11-30;19;218;954,666944;24,705833;14,3;3,295833;
2014-12-31;23;354,4;954,914382;24,46129;8,1;3,095699;
2015-01-31;22;184,8;956,834946;25,29543;10,1;2,79328;
2015-02-28;19;178,4;955,794792;24,607292;8,9;2,921429;
2015-03-31;23;233,4;955,96586;24,588038;10,2;2,67836;
2015-04-30;15;197;956,888333;24,699722;9,2;2,612361;
2015-05-31;7;101,4;958,453763;23,186559;7,1;2,976075;
2015-06-30;2;14,6;960,173889;22,8475;8,2;3,1725;
2015-07-31;5;9;959,460215;22,942876;9;3,398118;
2015-08-31;2;19;957,979436;26,020296;11,3;4,005376;
2015-09-30;3;null;null;null;10,8;null;
2015-10-31;12;127,8;955,752285;26,811425;11,9;3,356452;
2015-11-30;18;141,6;954,477639;26,137917;13;3,584167;
2015-12-31;17;108,8;956,029839;25,928629;10,3;3,547178;
2016-01-31;24;259,8;953,93078;25,029167;9;3,456522;
2016-02-29;null;null;956,362644;25,662213;7,6;2,826868;
2016-03-31;10;77,6;957,211425;25,390323;9,3;2,9072;
2016-04-30;6;58;957,039028;25,27;9,4;2,858279;
2016-05-31;5;1,2;959,423253;23,195565;9,7;3,22891;
2016-06-30;0;0;961,105556;21,311111;7,9;3,195924;
2016-07-31;0;0;959,61922;23,042876;8,4;3,499462;
2016-08-31;1;,2;958,509677;24,018145;12,6;3,654704;
2016-09-30;null;null;958,263472;24,388056;8,3;3,758611;
2016-10-31;null;null;955,574223;25,547984;11,2;3,598007;
2016-11-30;null;null;954,717917;24,791667;13,2;3,534722;
2016-12-31;null;null;955,084274;25,070161;10,2;3,316398;
2017-01-31;null;null;955,750269;24,852554;9,6;2,917473;
2017-02-28;null;null;955,381994;24,596131;9,7;2,704464;
2017-03-31;null;null;955,937366;25,052688;7,7;2,472715;
2017-04-30;null;null;956,97375;24,327083;9,8;2,924722;
2017-05-31;14;55,6;957,691129;24,334005;8,2;2,718548;
2017-06-30;4;2,8;959,590278;22,064306;7,7;3,182083;
2017-07-31;1;1;962,202083;21,700481;7,7;3,675481;
2017-08-31;1;null;957,475822;26,156205;10,2;3,594292;
2017-09-30;6;24,4;957,443391;27,30977;8,8;3,391379;
2017-10-31;3;null;null;null;9,8;null;
2017-11-30;12;186,6;953,739722;25,618056;8,1;3,165139;
2017-12-31;13;null;null;24,747396;8,5;null;
2018-01-31;23;207;955,197312;24,64207;9,9;2,952554;
2018-02-28;24;318,4;954,681696;24,416071;9;2,770536;
2018-03-31;21;250,6;955,408064;25,078226;7,9;2,517742;
2018-04-30;14;209,2;957,671528;24,812778;8;2,598889;
2018-05-31;12;69,8;959,032258;23,175;9,6;2,874866;
2018-06-30;6;3,4;960,569306;21,459861;7,1;2,991389;
2018-07-31;2;1,4;960,022043;22,459274;6,8;2,942742;
2018-08-31;4;18,2;959,610618;23,123253;11,9;3,645565;
2018-09-30;9;94;956,148194;25,584167;10,1;3,436389;
2018-10-31;4;null;null;null;9,2;null;
2018-11-30;7;null;null;null;10,4;null;
2018-12-31;15;214,4;955,821774;25,595161;15,6;3,238441;
2019-01-31;20;140,2;957,134677;25,38871;9,9;3,13871;
2019-02-28;16;316;955,652827;25,213095;11;2,88631;
2019-03-31;17;148,6;956,732393;25,210618;10,7;2,98078;
2019-04-30;null;null;956,781944;24,546389;7,1;2,417083;
2019-05-31;null;null;957,953091;23,025538;6,7;2,844892;
2019-06-30;2;,4;960,034833;23,220377;8,4;3,280823;
2019-07-31;0;0;960,009005;21,713844;9,6;3,301882;
2019-08-31;0;0;960,167607;24,201344;11,2;3,740323;
2019-09-30;2;11,8;956,278611;28,047917;8,6;3,46;
2019-10-31;7;45,8;955,538575;26,777688;17,9;3,907661;
2019-11-30;19;142,6;954,308472;25,59625;13,1;3,450694;
2019-12-31;20;143,2;954,988038;25,427419;11,9;2,9;
2020-01-31;null;null;954,633199;26,030107;8;2,846909;
2020-02-29;null;null;955,682328;25,220833;7,2;2,724425;
2020-03-31;null;null;955,682124;25,925538;9,9;2,790457;
2020-04-30;null;null;957,849167;24,905694;10,3;2,969444;
2020-05-31;null;null;959,558602;21,422581;8;3,06465;
2020-06-30;null;null;959,005556;23,055556;8;3,112083;
2020-07-31;null;0;958,836559;23,235753;8,7;3,487366;
2020-08-31;0;0;958,041129;25,267473;11,6;4,18414;
2020-09-30;0;0;956,158889;28,588195;8,9;3,676389;
2020-10-31;3;6,6;954,524328;28,060753;13,3;3,55793;
2020-11-30;null;null;null;26,611458;14;null;
