Nome: MARILIA
Codigo Estacao: A763
Latitude: -22.235222
Longitude: -49.965111
Altitude: 660
Situacao: Operante
Data Inicial: 2017-05-14
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;4;null;null;20,845278;4,3;null;
2017-06-30;4;26,4;942,9625;19,018889;4,9;1,909306;
2017-07-31;1;,2;946,414919;18,642742;5,4;2,248387;
2017-08-31;7;98,4;941,524405;19,995089;5,5;2,265179;
2017-09-30;2;8,8;941,535278;24,518194;5,3;2,300555;
2017-10-31;16;204;937,938979;23,201882;5,2;2,234005;
2017-11-30;15;217,8;936,283056;22,720833;7,4;2,086806;
2017-12-31;17;132,2;936,179839;24,209409;4,9;1,791532;
2018-01-31;21;281,6;937,374193;23,700672;4,9;1,81129;
2018-02-28;10;191,8;937,243155;23,399107;4,8;1,916369;
2018-03-31;15;120;937,175806;25,163306;4,5;1,636559;
2018-04-30;4;8,6;940,966389;22,956667;4,1;1,7075;
2018-05-31;3;22;941,968952;21,032258;4,4;1,745027;
2018-06-30;3;5,2;942,6625;20,886389;4,5;1,747778;
2018-07-31;2;,6;942,494355;21,908199;4,3;1,796774;
2018-08-31;7;141;942,542204;18,715726;null;null;
2018-09-30;12;91;938,817222;21,495833;5,6;null;
2018-10-31;17;298,6;937,740591;22,958602;4,5;2,037231;
2018-11-30;12;164;937,299167;23,162778;6,1;2,318611;
2018-12-31;13;94;937,715054;25,182392;5;1,764919;
2019-01-31;17;231,8;939,314785;26,146505;5,2;1,682796;
2019-02-28;18;244,6;937,34881;24,397917;4,5;1,8785;
2019-03-31;16;294,2;939,285484;23,86371;3,7;null;
2019-04-30;8;53,6;938,99125;23,529583;3,9;1,459722;
2019-05-31;10;36,4;940,127016;21,700538;4,8;1,590188;
2019-06-30;3;38,4;943,430417;20,993333;5;1,762917;
2019-07-31;6;27,8;942,835262;19,599252;4,7;1,932639;
2019-08-31;1;null;null;null;5,1;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;7;null;null;null;4,4;null;
2019-11-30;15;115,8;936,551806;24,197917;5,2;2,123056;
2019-12-31;18;236,6;937,050403;24,167204;4,1;1,763038;
2020-01-31;19;125,4;936,362231;24,456452;4,3;1,71129;
2020-02-29;20;453,2;937,844684;23,274138;3,9;1,791523;
2020-03-31;5;45,6;939,014785;23,58871;4,5;1,855645;
2020-04-30;4;55,2;940,599445;21,93375;4,4;1,62625;
2020-05-31;3;50;941,809543;19,360215;4,4;1,604704;
2020-06-30;9;99;942,044445;20,848472;4,6;1,880417;
2020-07-31;3;7;941,926478;20,711021;4,9;1,894489;
2020-08-31;7;121,8;942,324328;20,241532;4,3;null;
2020-09-30;2;7,6;939,80375;25,645694;null;null;
2020-10-31;9;60,8;937,341667;25,106586;null;null;
2020-11-30;11;71,4;937,746111;24,270556;null;null;
2020-12-31;20;281;936,936156;23,966398;null;null;
2021-01-31;18;263;937,318414;23,947581;null;null;
2021-02-28;12;115,2;936,435268;23,908036;null;null;
2021-03-31;14;166,8;937,960887;24,308602;null;null;
2021-04-30;3;38,4;939,962639;21,723055;null;null;
2021-05-31;4;25;941,147178;20,79086;null;null;
2021-06-30;6;60,8;942,297639;18,648472;4,5;1,585556;
2021-07-31;2;3,2;943,9625;17,951344;4,8;1,836425;
2021-08-31;2;9,2;942,320027;22,182527;5,2;2,148925;
2021-09-30;6;55,2;939,118194;25,103333;6,6;2,046944;
2021-10-31;18;154;938,195161;21,605779;5,3;2,048118;
2021-11-30;8;143,6;936,179167;24,418333;5,1;1,973889;
2021-12-31;14;121,6;935,543548;23,929973;4,4;1,912769;
2022-01-31;21;268,2;936,541667;24,046774;5,8;1,721102;
2022-02-28;12;131;937,176191;24,749702;4,1;1,597024;
2022-03-31;16;141,4;938,043952;24,349731;4,7;1,607796;
2022-04-30;9;83,8;939,336528;22,511111;4,1;1,735694;
2022-05-31;7;59,8;941,181855;18,933737;4,4;1,720027;
2022-06-30;8;69,8;941,517222;19,203194;4,5;1,621111;
2022-07-31;1;,2;941,926882;21,938441;4,8;1,871371;
2022-08-31;9;79;941,905914;19,614113;5,4;2,213575;
2022-09-30;13;112,2;940,020972;19,705139;6,5;2,386111;
2022-10-31;10;127,8;938,339516;22,84086;7,7;1,985081;
2022-11-30;6;48,2;937,752639;21,980417;5;2,142222;
2022-12-31;19;185,8;935,795027;23,424597;4,8;1,932661;
2023-01-31;13;null;937,450049;22,592857;4,6;null;
2023-02-28;22;293,6;938,236504;23,181955;null;null;
2023-03-31;17;189,8;939,090783;24,177917;null;null;
2023-04-30;12;89,2;939,015556;21,785278;null;null;
2023-05-31;5;32,2;941,705511;20,372715;null;null;
2023-06-30;6;72,8;943,455;19,087639;4,4;null;
2023-07-31;1;,4;943,168952;20,14543;4;1,725134;
2023-08-31;5;20;940,551075;22,181989;4,7;1,964382;
2023-09-30;8;23,6;938,968195;25,54375;7,5;2,127222;
2023-10-31;9;null;null;null;null;null;

