Nome: SAO SEBASTIAO
Codigo Estacao: A767
Latitude: -23.81083333
Longitude: -45.4025
Altitude: 24
Situacao: Desativada
Data Inicial: 2017-10-24
Data Final: 2022-03-15
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;1;null;null;null;null;null;
2017-11-30;17;110,8;1012,117778;23,20875;13,1;3,970972;
2017-12-31;16;89,2;1011,014785;25,144624;9;3,544086;
2018-01-31;20;306,6;1011,365726;26,531317;9,2;3,122177;
2018-02-28;18;356,8;1011,96994;25,610565;10,3;2,948661;
2018-03-31;14;71,4;1011,146371;27,228629;9,1;3,265591;
2018-04-30;5;119;1016,360556;25,014444;7,5;2,849028;
2018-05-31;7;58;1017,909409;22,85;10,7;3,027688;
2018-06-30;13;33,8;1018,562361;21,441944;9,4;2,902778;
2018-07-31;6;44,2;1018,647177;20,877151;11,6;3,505914;
2018-08-31;14;56,8;1019,56586;19,67957;11,8;3,326344;
2018-09-30;14;83,2;1015,209861;21,915;11,8;3,579722;
2018-10-31;25;163,2;1013,800672;22,827554;null;null;
2018-11-30;13;120,8;1013,620694;23,715278;null;null;
2018-12-31;12;91,6;1012,276882;26,238978;null;null;
2019-01-31;12;304;1012,736694;28,808602;null;null;
2019-02-28;18;396,2;1011,353125;26,615774;null;null;
2019-03-31;20;549;1013,807124;26,097043;null;null;
2019-04-30;15;127,6;1013,298889;25,440139;null;null;
2019-05-31;18;361,4;1014,803629;23,982527;8,6;2,755511;
2019-06-30;7;91;1019,187361;22,502222;9,5;2,530417;
2019-07-31;7;113,6;1019,197581;20,801613;9,1;2,950538;
2019-08-31;11;48,2;1021,335618;20,985349;12,9;3,42164;
2019-09-30;18;59,8;1017,078333;21,378472;10,3;3,634722;
2019-10-31;10;64,8;1014,258333;23,979973;11;3,590188;
2019-11-30;15;122;1012,872083;23,4375;9,4;3,657083;
2019-12-31;10;76,6;1012,060215;25,128629;9,5;3,384543;
2020-01-31;16;238,6;1010,476344;26,180914;8,3;3,16371;
2020-02-29;17;324,6;1012,588362;25,532759;7,6;2,718534;
2020-03-31;9;118,4;1014,633065;25,218145;7,4;null;
2020-04-30;7;22,2;1016,320556;23,500833;7,5;2,735833;
2020-05-31;5;80,4;1017,0485;21,891667;9,5;2,722347;
2020-06-30;null;null;null;null;6,8;null;
2020-07-31;null;null;null;null;7,9;null;
2020-08-31;null;null;null;null;10,2;null;
2020-09-30;null;null;null;null;9,8;null;
2020-10-31;null;null;null;null;6,7;null;
2020-11-30;null;null;null;null;8,2;null;
2020-12-31;null;null;null;null;7,4;null;
2021-01-31;null;null;null;null;8;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;

