Nome: SANTA MARIA
Codigo Estacao: A803
Latitude: -29.72499999
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2001-11-25
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2001-11-30;null;null;null;null;null;null;
2001-12-31;0;0;998,878366;22,748749;6,2;1,916345;
2002-01-31;2;2,4;998,470847;24,652711;8,6;1,942396;
2002-02-28;3;,8;999,884524;23,0375;6,4;1,659821;
2002-03-31;2;1,2;999,286236;25,386422;8,7;1,88172;
2002-04-30;3;1,8;1001,955509;19,73378;7,1;1,594247;
2002-05-31;3;3,2;1003,765411;17,952324;10,1;1,757884;
2002-06-30;2;null;null;15,235592;9,8;null;
2002-07-31;3;null;1006,625196;13,571532;7,7;1,644203;
2002-08-31;6;null;1004,557424;16,554109;10,6;2,16325;
2002-09-30;4;null;1003,86604;15,65786;11;1,892188;
2002-10-31;7;null;999,963195;20,030503;8,7;2,240525;
2002-11-30;5;null;999,176189;21,142624;8,5;2,283114;
2002-12-31;6;null;998,823271;23,742084;7,5;1,856949;
2003-01-31;6;8,6;998,280419;24,868845;6,9;1,60437;
2003-02-28;8;null;999,142105;25,132246;5,9;1,507107;
2003-03-31;8;null;1001,696475;22,028192;5,3;null;
2003-04-30;11;7,4;1003,479308;18,613075;null;null;
2003-05-31;8;35;1004,778925;16,757611;null;null;
2003-06-30;10;null;1004,877174;16,323267;null;null;
2003-07-31;11;18,8;1007,480024;13,475947;null;null;
2003-08-31;10;2,2;1008,387843;13,868057;null;null;
2003-09-30;14;11,4;1005,939598;15,705127;null;null;
2003-10-31;15;281,2;1002,681655;19,519658;null;null;
2003-11-30;24;149,6;999,44792;21,188256;null;null;
2003-12-31;9;null;1001,995626;21,381718;9,8;2,549398;
2004-01-31;7;22,6;1000,304806;24,358267;8,4;2,379066;
2004-02-29;6;null;1003,228009;22,941988;7,4;2,075268;
2004-03-31;5;95,4;1003,494692;22,180005;7,1;2,197771;
2004-04-30;15;103,6;1003,569444;21,016111;10,2;2,032361;
2004-05-31;18;82;1008,635009;14,272005;5,2;1,768157;
2004-06-30;16;75;1008,325155;15,56316;8,7;2,018071;
2004-07-31;11;75,4;1009,344194;13,112597;8,4;2,288498;
2004-08-31;14;86,8;1009,36093;14,945509;8,8;2,201566;
2004-09-30;12;99,8;1005,889169;17,957075;8,5;2,561578;
2004-10-31;11;120,6;1003,985414;18,06274;10,7;2,351443;
2004-11-30;9;148,4;1001,864098;20,450694;9,3;2,403302;
2004-12-31;7;61,6;1001,808273;23,236624;8;2,677494;
2005-01-31;3;null;998,968741;25,754596;7,5;2,597673;
2005-02-28;8;63,2;1002,343049;23,630817;7,8;2,320189;
2005-03-31;9;null;1003,024916;23,106748;6,9;2,318429;
2005-04-30;12;null;null;17,830714;7,6;null;
2005-05-31;10;null;null;17,432677;9,2;null;
2005-06-30;15;107,2;1004,924476;17,994878;7,4;1,859762;
2005-07-31;14;null;1008,720632;14,224037;8,9;2,384171;
2005-08-31;10;null;1005,035763;16,500709;10,8;2,647172;
2005-09-30;12;null;1006,931269;14,436061;13,3;2,584294;
2005-10-31;17;271,6;1002,491798;18,151934;7,5;2,454745;
2005-11-30;7;59,2;1000,377299;21,829454;6,7;2,390374;
2005-12-31;10;100;999,634677;22,843817;8,8;2,522715;
2006-01-31;16;196;999,652285;24,980645;6,9;2,163038;
2006-02-28;10;null;998,823969;24,028533;11,5;2,088196;
2006-03-31;10;81,6;999,944378;22,920157;6,1;1,929179;
2006-04-30;15;null;1002,173115;18,830913;7,7;1,605032;
2006-05-31;10;null;null;14,561069;4,6;null;
2006-06-30;19;84,2;1006,425862;15,015086;9,7;2,356322;
2006-07-31;19;109,2;1005,342204;16,463844;9,7;2,43726;
2006-08-31;17;63,8;1004,739612;14,530417;11,3;2,237154;
2006-09-30;14;155,2;1004,843278;15,234998;7,2;2,321206;
2006-10-31;12;209,8;1001,644086;20,20914;6,9;2,625538;
2006-11-30;11;134,2;1001,230483;20,682941;8,7;2,853339;
2006-12-31;6;57,8;999,075436;25,118056;6,5;2,38958;
2007-01-31;13;165,2;998,428898;24,154167;7,9;2,228226;
2007-02-28;12;152,4;999,69375;24,051786;10;2,334077;
2007-03-31;16;171,8;1000,945009;23,594542;6,3;1,841147;
2007-04-30;17;124,8;1003,529982;20,613188;5,9;1,762742;
2007-05-31;10;null;null;16,080392;6,4;null;
2007-06-30;19;132;1004,77139;13,935908;10,3;2,227782;
2007-07-31;17;75,8;1005,961285;11,345873;10,3;2,297662;
2007-08-31;18;116,6;1006,929371;13,088008;9,2;2,055928;
2007-09-30;17;210;1005,441975;18,69596;7,4;2,501407;
2007-10-31;16;119,4;1001,272522;20,220617;7,7;2,569256;
2007-11-30;11;null;1000,109599;20,404968;6,5;2,255988;
2007-12-31;8;202;998,815323;23,40793;7,8;2,323656;
2008-01-31;9;96,2;1000,087366;23,72379;5,8;2,475134;
2008-02-29;12;131,2;999,900575;23,248994;6,9;2,027155;
2008-03-31;14;109,4;1001,129973;22,397312;5,2;1,914247;
2008-04-30;24;132,6;1001,435694;18,077917;6;1,467917;
2008-05-31;19;139,4;1005,695181;15,269559;8,5;1,817621;
2008-06-30;23;159,6;1007,054517;11,841004;6,8;1,771227;
2008-07-31;15;157,6;1006,231056;16,133333;7,3;2,20712;
2008-08-31;19;107,4;1004,542607;14,36129;10,4;2,251344;
2008-09-30;14;124,2;1006,385694;14,969167;8,8;2,574861;
2008-10-31;17;251,8;1003,799866;18,670296;7,9;2,77164;
2008-11-30;7;43,4;1001,454589;22,230236;7;2,807313;
2008-12-31;7;33,2;999,65121;23,450672;7,1;2,541667;
2009-01-31;12;118,8;1000,257087;23,075037;7,9;1,800367;
2009-02-28;11;165,4;999,601339;23,779464;5,7;1,470833;
2009-03-31;17;130,6;1000,401613;22,227151;5,2;1,111156;
2009-04-30;13;28;1004,596667;19,11875;5,3;,812083;
2009-05-31;16;98,4;1003,999194;16,51371;6,2;,840323;
2009-06-30;20;79,2;1007,200278;11,940517;10,3;1,052718;
2009-07-31;14;102,2;1007,27715;10,48414;11,4;1,77379;
2009-08-31;17;178,6;1004,884658;16,409722;11,1;2,618856;
2009-09-30;17;364,6;1004,344583;15,738218;7,3;2,552262;
2009-10-31;9;109,2;1001,727924;18,550169;11,5;2,643897;
2009-11-30;21;455;996,803448;22,733764;13,9;2,695833;
2009-12-31;14;310,8;999,067473;23,50914;8,6;2,681452;
2010-01-31;15;431,6;999,246579;24,182466;6,9;2,301625;
2010-02-28;14;134,8;999,27753;25,537946;10,2;2,378423;
2010-03-31;9;27,8;1000,859677;23,274059;7,4;2,059677;
2010-04-30;18;116;1005,200219;19,037363;7;1,863993;
2010-05-31;20;128,4;1006,116667;15,618414;5,6;1,810349;
2010-06-30;22;145,4;1007,54375;14,126528;10,1;2,026528;
2010-07-31;21;264,6;1007,491936;13,310887;11,7;2,276075;
2010-08-31;14;115;1008,082721;13,813868;10,6;2,470996;
2010-09-30;12;236;1003,854486;16,545216;9,3;2,625149;
2010-10-31;10;55,2;1003,52957;17,7;6,4;2,214247;
2010-11-30;7;78,6;1000,116389;20,348056;6,4;2,17375;
2010-12-31;9;167,6;997,402554;23,33871;6,3;2,721371;
2011-01-31;9;130,6;997,428091;25,372984;6,5;2,303091;
2011-02-28;16;183,8;999,980357;24,024405;6,6;2,370982;
2011-03-31;8;59,8;1002,118637;22,172367;6,4;2,418977;
2011-04-30;20;182,6;1003,236528;19,163056;6,3;1,692361;
2011-05-31;25;79,4;1007,080376;15,268952;7,4;1,831317;
2011-06-30;16;null;1004,990399;14,207428;9,6;2,038225;
2011-07-31;null;null;null;null;null;null;
2011-08-31;14;null;null;15,336174;13,5;null;
2011-09-30;10;69;1006,651944;16,484861;8,5;2,483056;
2011-10-31;12;201,4;1001,504973;19,03414;8,7;2,269086;
2011-11-30;3;46,2;1001,23125;22,104583;7,1;2,799028;
2011-12-31;6;13,8;999,147446;23,021371;7,4;2,686156;
2012-01-31;7;70,2;999,450672;25,26129;7,8;2,769624;
2012-02-29;12;146;998,860345;25,899713;6,4;2,035489;
2012-03-31;9;155,2;1002,054733;22,583035;5,2;1,688207;
2012-04-30;15;119,2;1003,189306;18,5125;7,2;1,606944;
2012-05-31;17;149;1006,310887;17,497581;5,3;1,668145;
2012-06-30;12;null;null;13,86;7,3;null;
2012-07-31;5;null;null;null;6,6;null;
2012-08-31;10;80,2;1007,245545;19,506806;12,2;2,600288;
2012-09-30;11;192,2;1005,194444;17,510417;8,6;2,399722;
2012-10-31;15;278,2;1000,693011;20,407796;10,4;2,243634;
2012-11-30;6;78,8;1000,451111;23,262639;7,3;2,328056;
2012-12-31;16;313,2;997,3;24,713844;9,7;2,152688;
2013-01-31;8;151,8;1001,227151;23,433602;5,5;2,066264;
2013-02-28;13;102,2;999,908482;23,539137;7,2;1,930357;
2013-03-31;15;203,6;1002,674778;20,562644;6,7;1,824278;
2013-04-30;17;186,4;1004,045;19,224722;5,7;1,534861;
2013-05-31;23;83,6;1004,565054;15,380511;10,1;null;
2013-06-30;23;92,8;1005,751275;13,532803;5,4;1,579646;
2013-07-31;21;126,4;1008,096085;13,496289;8;1,803448;
2013-08-31;21;178;1007,585081;13,230376;9,6;2,130914;
2013-09-30;12;76,8;1004,653472;17,413333;7,7;2,210278;
2013-10-31;13;115,4;1003,362634;19,34785;7,7;2,166398;
2013-11-30;13;305,6;1000,027083;22,466806;7,3;2,41625;
2013-12-31;11;97,6;997,799731;25,192339;7;2,068952;
2014-01-31;18;139,8;999,720968;25,948925;6,5;2,038575;
2014-02-28;13;123,2;1000,369494;25,162798;8,8;2,114137;
2014-03-31;19;241,8;1001,519893;21,785887;7,7;1,749194;
2014-04-30;15;115,4;1004,379167;19,940695;5,6;1,860694;
2014-05-31;24;190,8;1005,367204;15,588441;5,7;1,447715;
2014-06-30;23;308,4;1005,611945;13,897361;11;2,125695;
2014-07-31;19;280,4;1008,174328;15,075672;8,9;2,063441;
2014-08-31;22;104;1006,275672;15,878763;8,8;2,061883;
2014-09-30;14;null;1003,093872;17,995392;11,6;null;
2014-10-31;5;null;null;22,433056;8,1;null;
2014-11-30;7;null;null;22,71088;5,7;null;
2014-12-31;15;344,2;999,476081;23,211705;9;2,054839;
2015-01-31;20;190,2;1000,905295;24,198194;9,4;1,834251;
2015-02-28;8;90,8;1000,515327;23,664732;5,2;1,866071;
2015-03-31;8;142,4;1002,212231;22,489382;5,5;1,721371;
2015-04-30;20;131,2;1004,40625;19,31;5,3;1,53928;
2015-05-31;18;123;1006,080107;16,829167;8,1;1,721774;
2015-06-30;18;146,8;1007,138056;15,102778;null;null;
2015-07-31;24;236;1006,076613;14,779167;9,2;1,81922;
2015-08-31;15;94;1003,202016;20,010484;11,9;2,648925;
2015-09-30;14;185,2;1002,2825;16,515556;9,8;2,129028;
2015-10-31;17;459,4;1002,823925;18,185753;8,1;2,525806;
2015-11-30;15;182,8;1000,274583;20,265139;7,4;2,484167;
2015-12-31;14;366;999,141801;22,865457;7,9;2,130511;
2016-01-31;9;115;999,464919;24,934409;6;2,131586;
2016-02-29;11;106,6;999,92227;24,81092;5;1,776293;
2016-03-31;23;227,8;1003,311694;20,944758;8,7;1,934812;
2016-04-30;22;155;1002,14875;21,238611;9,3;1,975417;
2016-05-31;14;77,8;1007,972581;13,682527;9,4;1,59422;
2016-06-30;18;9,4;1010,511111;10,422778;5,3;1,345417;
2016-07-31;19;107,8;1006,379839;13,359946;9,7;1,948925;
2016-08-31;15;138,2;1005,393583;15,231189;8,4;1,775205;
2016-09-30;13;60,6;1006,86;14,896528;11,1;1,999861;
2016-10-31;11;400;1002,316667;18,420564;9,4;2,31129;
2016-11-30;10;176,2;1001,758472;20,146806;7,4;2,007778;
2016-12-31;15;148,4;998,95457;23,26922;7,4;2,116801;
2017-01-31;18;229,2;999,932258;23,925941;11,9;1,938575;
2017-02-28;19;234,6;999,411808;24,039687;7,7;1,673428;
2017-03-31;14;232,4;1002,565188;21,799194;6,8;1,989785;
2017-04-30;15;123,6;1004,033056;18,595694;11,8;1,928056;
2017-05-31;25;318,6;1004,396371;16,761694;12,7;1,93629;
2017-06-30;16;143,8;1006,075139;15,51625;8;2,249722;
2017-07-31;13;19,2;1010,312097;15,619624;10,8;2,108064;
2017-08-31;17;262;1005,054167;15,958199;9,7;2,259108;
2017-09-30;17;141,2;1005,03715;19,057868;10;2,454698;
2017-10-31;17;249,8;1000,824194;19,470968;9,4;2,25336;
2017-11-30;8;73,6;1000,33846;20,903623;6,5;2,116655;
2017-12-31;7;86,6;998,732258;24,565457;6,2;2,231317;
2018-01-31;14;131,8;999,271237;24,603226;6,2;2,07957;
2018-02-28;7;113,4;1000,877381;23,361161;7,9;1,901488;
2018-03-31;12;173,8;1000,285349;22,152823;6,2;1,629436;
2018-04-30;15;172;1004,375833;22,391806;6,8;1,53;
2018-05-31;19;66,2;1006,082258;17,222043;6,3;1,791667;
2018-06-30;3;null;1007,612361;12,129583;9,2;1,579722;
2018-07-31;22;155,6;1007,2625;13,395296;null;null;
2018-08-31;17;116,8;1007,928333;12,807222;7,4;null;
2018-09-30;15;210,4;1002,631124;18,518245;9,2;2,231793;
2018-10-31;9;89,6;1002,365562;19,509525;7,2;2,384888;
2018-11-30;10;216,4;1000,359861;22,759583;9;2,214583;
2018-12-31;9;159,2;1000,232258;23,734005;6,3;1,97957;
2019-01-31;15;237;1000,120833;25,480242;9,3;2,093952;
2019-02-28;10;75,8;1000,601773;23,697839;7,5;1,834433;
2019-03-31;11;123;1003,117608;21,675538;7,2;1,719086;
2019-04-30;14;197,6;1002,557917;20,673194;4,6;1,5475;
2019-05-31;23;231,2;1003,9375;17,957527;4,9;1,647849;
2019-06-30;11;31,4;1005,535833;18,303194;10,6;1,999861;
2019-07-31;15;159;1007,464113;12,885618;12,4;1,76586;
2019-08-31;6;78,8;1009,170349;14,850843;8,5;2,151072;
2019-09-30;11;80;1004,849167;16,155556;10,2;2,150694;
2019-10-31;17;419,2;1002,098253;20,222984;10,8;2,45696;
2019-11-30;12;145,2;1000,08625;22,339444;6,7;2,293333;
2019-12-31;4;67,6;999,22957;24,518414;8,9;1,922715;
2020-01-31;12;261;998,936425;24,615322;7,5;2,041532;
2020-02-29;6;51,6;1001,27931;23,802586;5,5;1,923276;
2020-03-31;5;35,4;1002,223439;24,341023;5,6;1,910745;
2020-04-30;4;32,2;1005,146806;19,215;5,6;1,603333;
2020-05-31;15;205,8;1005,097446;15,56586;7,2;1,485417;
2020-06-30;14;154,6;1003,871389;15,851806;11,2;2,356944;
2020-07-31;20;125,6;1005,843952;13,017339;7,5;null;
2020-08-31;14;56,2;1006,306855;15,647446;null;null;
2020-09-30;16;null;1005,2;15,833494;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;4;null;null;null;null;null;
2021-01-31;9;null;998,663889;24,614506;7;2,18858;
2021-02-28;11;83;1000,10625;22,748958;6,2;1,620685;
2021-03-31;15;104;1001,037453;22,229722;5,2;1,611477;
2021-04-30;8;14,2;1004,919306;20,165556;6,9;1,803056;
2021-05-31;19;177,4;1005,80457;13,733737;null;null;
2021-06-30;18;169,8;1007,280139;13,065139;null;null;
2021-07-31;15;34,2;1008,67164;12,317204;null;null;
