Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.6025
Longitude: -48.61999999
Altitude: 4.87
Situacao: Operante
Data Inicial: 2003-01-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-01-31;null;null;null;null;null;null;
2003-02-28;null;null;null;null;null;null;
2003-03-31;6;null;null;null;8;null;
2003-04-30;10;77,8;1015,673175;22,290655;6,3;2,12785;
2003-05-31;12;47,8;1017,016767;19,412648;7;1,827803;
2003-06-30;14;74,8;1017,300328;18,633211;7,9;1,893225;
2003-07-31;13;24,6;1020,503186;17,359662;7,2;2,158712;
2003-08-31;7;11,8;1020,64018;16,467903;7,3;2,413555;
2003-09-30;9;110,2;1019,084444;17,829306;7,9;2,758333;
2003-10-31;10;null;null;21,155444;7,6;null;
2003-11-30;11;114,2;1012,555;22,220417;9,3;2,931806;
2003-12-31;16;230,4;1012,691357;23,560083;9,4;2,844719;
2004-01-31;20;334,2;1011,962582;24,279295;7,7;2,323989;
2004-02-29;17;190;1013,279228;24,217704;8,4;2,456038;
2004-03-31;13;185,4;1014,06498;23,279678;7,2;2,34145;
2004-04-30;9;null;null;null;null;null;
2004-05-31;5;null;null;null;null;null;
2004-06-30;10;82,2;1019,490676;17,842262;7,8;2,185693;
2004-07-31;18;84,4;1020,547155;16,452016;9,9;2,318554;
2004-08-31;3;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;4;null;null;null;6,3;null;
2005-06-30;12;30,2;1017,631376;20,263996;7,7;1,961915;
2005-07-31;12;77,4;1020,431543;16,995217;6,9;2,038956;
2005-08-31;9;null;1017,566568;18,670506;13,4;2,686042;
2005-09-30;21;null;1019,667636;17,28453;8,6;2,327608;
2005-10-31;16;196,2;1014,965116;20,685492;9,2;2,76141;
2005-11-30;11;null;1013,456763;22,202885;7,7;3,073732;
2005-12-31;13;92,6;1012,769355;23,198118;7,9;2,921909;
2006-01-31;16;181,4;1012,259812;25,785484;7,6;2,617876;
2006-02-28;16;null;1010,080718;25,073296;6,9;1,919231;
2006-03-31;17;69,6;1012,044971;25,582328;7;2,233046;
2006-04-30;8;null;1013,785678;21,803856;6,7;1,618181;
2006-05-31;4;null;null;18,413367;7,2;null;
2006-06-30;8;null;1020,059992;18,137055;7,9;1,98771;
2006-07-31;6;null;null;18,619853;5,9;null;
2006-08-31;4;null;null;null;7,9;null;
2006-09-30;8;46,4;1017,629596;17,821692;7,3;2,518295;
2006-10-31;15;98,8;1015,597043;20,536828;7,5;2,477823;
2006-11-30;18;245,2;1014,107379;21,475779;8,8;2,732397;
2006-12-31;14;74,4;1012,851273;24,592952;7,1;2,57816;
2007-01-31;19;91,2;1010,928629;25,159005;7,7;2,616532;
2007-02-28;15;141,4;1012,812235;24,92093;7,8;2,542624;
2007-03-31;11;215,6;1012,858391;25,59375;8,4;2,026421;
2007-04-30;14;41,8;1015,774177;23,389734;11,2;,909984;
2007-05-31;7;null;null;19,7425;6,7;null;
2007-06-30;3;null;null;null;8,9;null;
2007-07-31;9;184,2;1018,324434;15,086751;7;1,894454;
2007-08-31;8;93,8;1020,445383;16,118367;8,5;2,297072;
2007-09-30;11;145,2;1019,734306;19,694583;8;2,413333;
2007-10-31;15;156,4;1015,478799;21,490673;9,3;2,502466;
2007-11-30;10;null;1012,362423;21,573279;9,9;2,863803;
2007-12-31;17;148,8;1011,656452;24,074328;7,3;2,492876;
2008-01-31;27;349,6;1012,957796;24,163172;9;2,553495;
2008-02-29;21;454;1012,294339;24,399554;7,7;2,149454;
2008-03-31;17;255,8;1013,313984;24,024994;7,6;2,057334;
2008-04-30;13;221,6;1012,656806;21,42;8,5;1,817222;
2008-05-31;7;76,6;1016,649819;18,566938;7,8;1,717814;
2008-06-30;15;72;1018,738811;16,292172;6,6;1,570231;
2008-07-31;8;10,2;1019,919957;18,296342;6,3;1,82216;
2008-08-31;14;63;1017,54879;18,102957;8,3;2,360215;
2008-09-30;15;234;1018,785821;17,658835;7,5;2,436081;
2008-10-31;23;294,2;1017,031025;19,988827;9,4;2,436793;
2008-11-30;29;632,4;1015,362083;21,169306;6,7;2,230278;
2008-12-31;17;305,8;1012,26129;23,039785;7,2;2,618548;
2009-01-31;19;223;1012,256387;23,974679;11;2,356691;
2009-02-28;17;140;1012,219792;25,0625;6,8;2,190774;
2009-03-31;16;218,8;1012,255511;24,819355;8,9;2,020027;
2009-04-30;9;321,4;1016,225139;22,333889;7,4;2,136806;
2009-05-31;12;87,8;1016,056317;20,011021;6,1;1,754301;
2009-06-30;11;36,8;1018,925694;16,228611;5,9;1,704306;
2009-07-31;17;124;1019,112506;15,535595;8,8;1,785326;
2009-08-31;15;133,8;1018,116754;17,501654;7,1;2,10959;
2009-09-30;15;217,4;1016,340762;18,701896;7,7;2,310118;
2009-10-31;14;81,4;1015,003017;19,691092;7,7;2,470546;
2009-11-30;16;128,2;1009,995972;24,555278;10,6;2,534306;
