Nome: URUSSANGA
Codigo Estacao: A814
Latitude: -28.53249999
Longitude: -49.31527777
Altitude: 40.56
Situacao: Operante
Data Inicial: 2008-05-28
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;1;null;null;null;null;null;
2008-06-30;17;68,4;1014,400565;13,686224;11,8;,828842;
2008-07-31;15;15,4;1015,065445;16,585056;5,1;,788502;
2008-08-31;16;39,8;1013,2253;16,651593;5,4;,934496;
2008-09-30;16;145,2;1014,313906;16,143416;5,4;1,098013;
2008-10-31;19;241,4;1012,463065;19,320139;5,6;1,168441;
2008-11-30;20;232,4;1010,932917;20,683889;5,1;1,028333;
2008-12-31;17;107;1007,801747;22,342204;6,3;1,0625;
2009-01-31;24;378;1008,20545;22,641899;5,1;,875024;
2009-02-28;16;238,2;1007,941964;23,782887;4,3;,785268;
2009-03-31;15;242;1008,101677;23,343455;3,6;,670939;
2009-04-30;16;83,6;1012,238889;20,541389;3,1;,651389;
2009-05-31;20;62;1011,729032;17,809543;4,4;,607258;
2009-06-30;20;39,4;1014,575972;14,015139;5,1;,639444;
2009-07-31;23;80,4;1014,87164;13,177957;4,5;,588172;
2009-08-31;21;183,8;1013,072715;16,63871;5,3;,899328;
2009-09-30;21;359,6;1012,103055;17,366111;5,7;,867778;
2009-10-31;16;59,8;1010,431293;18,924717;6,4;,907728;
2009-11-30;15;158,8;1005,304583;23,868194;4,7;,7525;
2009-12-31;16;157,4;1007,027688;23,714113;5,8;,808199;
2010-01-31;23;283,6;1007,293279;24,223194;8,8;,589593;
2010-02-28;17;149,8;1007,366815;25,705208;6,4;,691369;
2010-03-31;22;199,6;1008,34543;23,306586;5,3;,601479;
2010-04-30;16;158,6;1012,841528;20,349583;4,3;,649444;
2010-05-31;22;359;1012,869489;17,854167;4;,512097;
2010-06-30;18;71,6;1015,9975;15,245417;3,9;,47375;
2010-07-31;24;112;1015,974059;15,703763;5;,659543;
2010-08-31;13;73;1016,484081;15,482252;5,6;,682948;
2010-09-30;17;95,2;1012,496389;17,907639;6,3;,953611;
2010-10-31;17;86,2;1011,059409;18,322849;7,4;,760887;
2010-11-30;15;208,4;1007,528194;20,635139;5,3;,8325;
2010-12-31;19;82,4;1005,953763;22,652554;4,2;,692742;
2011-01-31;21;422,2;1004,840865;24,529808;4,7;,459615;
2011-02-28;9;null;null;null;null;null;
2011-03-31;18;151,6;1010,918383;22,600715;4,9;,919084;
2011-04-30;14;49,8;1011,085694;20,987639;3,7;,828333;
2011-05-31;20;100,4;1014,411559;17,642608;3,9;,772043;
2011-06-30;22;103,2;1013,086401;14,811734;4,7;,852158;
2011-07-31;12;null;null;12,005445;5,2;null;
2011-08-31;19;null;1013,162192;15,308654;5;1,101389;
2011-09-30;19;127,8;1015,706806;17,005833;8,1;1,165833;
2011-10-31;15;75,2;1009,631317;20,517473;5,2;1,177016;
2011-11-30;12;35;1010,5525;21,048472;5,3;1,0725;
2011-12-31;19;191,2;1007,454704;22,406317;5,2;1,020027;
2012-01-31;18;248,4;1007,975941;23,675806;6,5;,911425;
2012-02-29;12;174,2;1007,025431;26,039943;5,2;,844828;
2012-03-31;15;78;1009,805645;23,361694;4;,809409;
2012-04-30;15;30,2;1010,51125;20,860833;3,8;,72625;
2012-05-31;18;45,4;1014,697984;18,500941;3,5;,672177;
2012-06-30;22;106,8;1013,802083;15,764028;3,1;,627222;
2012-07-31;18;106,6;1014,73414;14,844758;5,5;,811693;
2012-08-31;12;22,4;1016,902035;19,706389;5,7;1,247177;
2012-09-30;16;168,6;1013,820139;18,7675;6,1;1,200556;
2012-10-31;15;167,8;1008,927285;21,962635;6,4;1,090054;
2012-11-30;9;60,4;1009,112778;22,478472;5,2;1,111944;
2012-12-31;16;95,8;1005,477823;25,522849;4,5;1,022581;
2013-01-31;14;125,8;1009,25914;23,796909;4,5;1,012903;
2013-02-28;22;355,2;1007,832589;24,240476;7;,743006;
2013-03-31;19;153,8;1010,385083;22,054167;4,2;,744861;
2013-04-30;20;46,4;1011,825417;20,509167;5;,740417;
2013-05-31;18;36,2;1012,032392;17,729839;4,5;,652688;
2013-06-30;24;100,4;1013,35077;16,398359;6,4;,535859;
2013-07-31;21;68;1016,033871;14,545699;4,3;,726075;
2013-08-31;17;372,4;1014,873387;15,173253;5,5;,958064;
2013-09-30;15;129,6;1012,640556;18,433472;6,2;,98125;
2013-10-31;17;74,2;1011,884005;19,965726;5,6;1,083602;
2013-11-30;10;86,4;1009,235972;22,550556;5,7;1,3075;
2013-12-31;14;173,6;1006,465591;24,143011;4,4;,924194;
2014-01-31;18;267,4;1007,980376;25,87164;6,9;,764785;
2014-02-28;17;210,4;1008,484673;26,005357;4,4;,875744;
2014-03-31;25;186,8;1009,58293;23,124597;4,7;,577688;
2014-04-30;22;210,8;1012,550972;21,213056;4;,602917;
2014-05-31;25;96,4;1012,925672;17,78871;5,5;,46586;
2014-06-30;26;278,4;1013,418194;16,254722;4,6;,514722;
2014-07-31;22;67,2;1016,871371;16,273253;4,6;,516129;
2014-08-31;15;93,4;1014,53172;16,836425;5,5;,743414;
2014-09-30;24;140,4;1011,655694;19,34375;5;,839306;
2014-10-31;14;145,2;1011,934543;21,679436;5,7;,968683;
2014-11-30;11;59,4;1008,861111;23,059722;5,7;,898333;
2014-12-31;17;190,4;1007,532527;24,545699;4,1;,728898;
2015-01-31;22;257,4;1008,681306;25,464651;6,5;,66835;
2015-02-28;23;243,2;1008,372024;24,227083;5,1;,578274;
2015-03-31;16;208,8;1009,910714;23,24122;4,5;,570238;
2015-04-30;20;118,4;1012,236852;21,047126;3,7;,396481;
2015-05-31;17;119;1014,385317;18,469753;3,9;,481449;
2015-06-30;7;null;1015,318037;16,870489;4,1;,587044;
2015-07-31;13;null;1013,437319;15,994203;3,4;,728623;
2015-08-31;8;41,4;1012,766954;19,89454;5,3;,983046;
2015-09-30;19;277,6;1010,354861;17,878611;8,4;1,008056;
2015-10-31;17;196,2;1011,930092;19,023148;4,4;,992438;
2015-11-30;null;null;1008,812778;20,950139;3,7;,867778;
2015-12-31;22;211,6;1007,513172;23,894624;4,5;,905242;
2016-01-31;17;74,8;1008,254704;24,304435;4,9;,890323;
2016-02-29;17;286,6;1008,371552;24,673132;3,8;,776868;
2016-03-31;14;251,8;1010,886694;22,474193;3,6;,788441;
2016-04-30;15;136,2;1009,936945;23,049028;3,9;,059722;
2016-05-31;22;52,4;1015,13871;15,902419;2;,01922;
2016-06-30;13;18,2;1017,855833;12,051389;1,5;,026944;
2016-07-31;10;140,2;1014,384005;14,688844;1,3;,01371;
2016-08-31;10;101,2;1013,294992;16,034442;1,3;,007407;
2016-09-30;8;27;1013,704497;17,203654;5,8;,625511;
2016-10-31;13;159,4;1011,157382;19,453043;8,1;,736207;
2016-11-30;11;52,4;1009,759722;21,418611;5,4;,359583;
2016-12-31;16;257,6;1007,486425;23,63629;5,4;,219489;
2017-01-31;15;293,8;1008,136022;24,831452;4,4;,135215;
2017-02-28;13;221,2;1007,688393;25,645685;4,6;,068006;
2017-03-31;21;142,8;1010,886828;22,847581;3,4;,059812;
2017-04-30;16;81,6;1012,61375;19,998611;3,7;,085139;
2017-05-31;18;227,2;1013,066129;18,795833;4,3;,095833;
2017-06-30;20;147;1014,280694;16,211111;4,1;,081111;
2017-07-31;5;null;null;null;3,9;null;
2017-08-31;null;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;null;null;null;null;null;null;
2017-11-30;12;119,6;1008,44;20,542083;null;null;
2017-12-31;16;267,6;1007,477285;23,050134;3,8;1,139651;
2018-01-31;24;251,6;1007,847043;23,555645;3,9;1,110081;
2018-02-28;14;81,6;1009,236607;22,75997;3,4;1,074405;
2018-03-31;19;148,8;1007,92379;22,880376;4,5;,938307;
2018-04-30;13;36,6;1012,705694;22,345417;5,2;1,005972;
2018-05-31;14;85,6;1014,174731;18,125269;3,6;,956317;
2018-06-30;15;98,2;1014,7825;15,278194;5,8;1,035972;
2018-07-31;18;143,8;1014,965054;15,640995;null;null;
2018-08-31;15;60,4;1015,775672;14,652285;null;null;
2018-09-30;19;170,4;1011,719306;18,825555;5;1,098056;
2018-10-31;19;174,6;1010,914651;19,88078;6,5;1,243952;
2018-11-30;14;85,2;1009,602222;22,085694;5,5;1,401389;
2018-12-31;18;217;1008,629301;23,290995;5,4;1,29751;
2019-01-31;15;261;1008,791161;25,603395;5;1,127917;
2019-02-28;null;null;null;null;null;null;
2019-03-31;null;null;null;null;null;null;
2019-04-30;null;null;null;null;null;null;
2019-05-31;13;null;null;null;3,4;null;
2019-06-30;5;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;1;null;null;null;null;null;
2019-10-31;14;null;1010,642278;21,496701;6;1,367014;
2019-11-30;15;82,8;1009,118548;22,016018;5,3;1,368209;
2019-12-31;8;84,4;1007,71362;23,749306;7;1,295923;
