Nome: MAL. CANDIDO RONDON
Codigo Estacao: A820
Latitude: -24.53333333
Longitude: -54.01916666
Altitude: 392.07
Situacao: Operante
Data Inicial: 2006-11-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;5;null;null;null;null;null;
2006-12-31;8;176,4;965,291294;25,206449;8,4;3,049746;
2007-01-31;18;183,8;964,176882;24,568414;7,9;2,812097;
2007-02-28;13;309,4;965,640769;25,009997;9,6;3,223785;
2007-03-31;9;69,4;967,257431;25,450139;7,5;3,174136;
2007-04-30;13;255,2;968,919129;22,425417;8,2;3,30851;
2007-05-31;13;124,2;970,790153;16,837325;8,6;3,354447;
2007-06-30;3;1,8;970,933847;17,760906;8,2;3,495248;
2007-07-31;11;71,4;970,922041;15,820296;12,9;3,757108;
2007-08-31;4;9;971,338042;18,192031;10,8;4,619672;
2007-09-30;5;37,4;969,650417;23,60125;10,8;4,77625;
2007-10-31;11;104,4;966,397832;24,314557;10,2;4,284351;
2007-11-30;9;null;964,793025;23,657372;12,4;3,852994;
2007-12-31;14;175,8;964,692742;24,567608;9,5;2,787231;
2008-01-31;9;137,6;964,933468;23,906048;8,6;3,262097;
2008-02-29;11;201,2;965,663793;24,312787;8,7;2,8625;
2008-03-31;11;32,8;966,617473;24,067473;7,8;3,203763;
2008-04-30;12;119,8;966,699861;21,415139;9,7;2,988611;
2008-05-31;7;75,2;970,78785;17,628557;9,9;3,046286;
2008-06-30;13;116,4;971,930383;15,434719;8,3;3,072736;
2008-07-31;5;48;971,908737;19,266801;9,3;3,839651;
2008-08-31;13;157,4;968,891667;19,647312;11,6;3,938441;
2008-09-30;8;66,6;970,0925;18,568333;11;4,170139;
2008-10-31;13;325,4;967,73871;23,163575;15,3;4,011425;
2008-11-30;9;177,8;965,771866;23,501359;8,3;3,123696;
2008-12-31;6;71;964,490054;24,89328;8,2;2,775134;
2009-01-31;13;151,2;965,692812;24,025748;10,1;2,697557;
2009-02-28;11;154,6;965,566815;25,274107;10,6;2,598512;
2009-03-31;9;92,6;966,131048;25,359005;13,7;2,135484;
2009-04-30;3;22,6;968,9975;23,018056;7,3;2,501806;
2009-05-31;13;216,2;969,420272;19,551788;10,4;2,916258;
2009-06-30;12;114,4;971,762252;15,078798;7,6;3,059286;
2009-07-31;15;127,8;971,093414;15,675;10,2;2,96371;
2009-08-31;10;53,8;970,177016;18,401613;9,3;4,093683;
2009-09-30;14;174,2;968,507361;19,489861;11,9;4,170556;
2009-10-31;11;205,8;965,874888;22,382271;13,7;3,694696;
2009-11-30;10;143;963,259028;25,802778;12,4;3,739028;
2009-12-31;15;237,8;964,55336;24,535753;8,5;2,895699;
2010-01-31;16;188,4;965,217632;24,85154;8,1;3,114932;
2010-02-28;16;211,8;965,838244;25,88497;9,5;3,358036;
2010-03-31;9;128;966,038172;24,59879;8,9;2,971505;
2010-04-30;8;165;969,549583;21,666667;7,8;3,124722;
2010-05-31;10;null;970,231604;17,866288;9,8;3,467078;
2010-06-30;5;19;971,759524;18,22753;8,5;3,670833;
2010-07-31;4;null;971,02845;18,02506;9,6;4,313723;
2010-08-31;1;null;970,908016;19,414108;11,6;4,694843;
2010-09-30;4;null;null;null;11,3;null;
2010-10-31;7;null;967,313369;21,326827;13,1;4,278047;
2010-11-30;9;127,8;964,935476;22,421264;11,9;3,562242;
2010-12-31;15;240,2;962,875135;23,424194;11,4;3,245296;
2011-01-31;17;165,4;963,785215;24,58871;7,1;2,481317;
2011-02-28;25;164,4;965,449851;24,520089;10;2,793899;
2011-03-31;10;20,8;966,053433;24,958447;9,2;3,993857;
