Nome: INACIO MARTINS
Codigo Estacao: A823
Latitude: -25.567879
Longitude: -51.077946
Altitude: 1208.85
Situacao: Operante
Data Inicial: 2006-10-15
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;4;null;null;null;7,3;null;
2006-11-30;14;null;null;18,659559;6,3;null;
2006-12-31;16;131,6;880,197545;19,466741;6,4;2,786803;
2007-01-31;21;248,6;878,773118;19,493548;8,8;2,766129;
2007-02-28;15;232,4;880,509291;19,377362;6,6;2,767023;
2007-03-31;15;171,6;881,688149;19,767356;5,8;2,1214;
2007-04-30;18;177,2;882,899426;16,955097;7,1;2,559191;
2007-05-31;22;295,6;882,590843;12,434093;8,3;3,034005;
2007-06-30;9;16;883,211455;14,157736;8;2,707059;
2007-07-31;10;69;882,587077;11,719274;7,8;2,794082;
2007-08-31;6;10,6;883,771324;14,00936;6,8;2,97626;
2007-09-30;10;36;884,328287;16,764655;8,5;2,880741;
2007-10-31;11;70,8;881,291104;17,065282;8,2;3,224689;
2007-11-30;11;null;878,654695;17,691101;7,2;3,102617;
2007-12-31;14;null;879,392108;18,868841;6,7;2,46718;
2008-01-31;11;null;879,464831;18,966768;7,5;3,138255;
2008-02-29;11;null;879,976772;18,952428;7,4;2,609889;
2008-03-31;16;34,4;880,890619;17,744028;7,9;2,738111;
2008-04-30;16;211,4;879,943611;15,896667;6,4;2,256389;
2008-05-31;10;78,6;882,467216;13,075592;7,9;2,618998;
2008-06-30;17;201,8;883,150517;11,336316;8;2,58626;
2008-07-31;6;61,4;884,962903;14,249731;7;2,316936;
2008-08-31;16;181,8;882,163306;14,318011;8,1;2,730108;
2008-09-30;13;79;882,49875;13,072083;7,7;3,208611;
2008-10-31;18;318,8;881,928495;16,050672;7,3;2,941263;
2008-11-30;16;129,2;880,133345;16,65785;7,5;3,044221;
2008-12-31;10;62;878,843414;18,199194;7;2,872849;
2009-01-31;20;184,8;879,657989;18,108801;9,5;2,989165;
2009-02-28;20;167,6;880,141518;19,283631;8,5;2,372917;
2009-03-31;12;132,2;880,420296;19,269892;6,8;2,24086;
2009-04-30;7;44,2;882,660694;16,4525;6;2,098333;
2009-05-31;23;114,2;882,202823;14,03535;7,4;2,169489;
2009-06-30;22;102;883,025139;10,205278;7,8;2,302917;
2009-07-31;25;322,4;882,531317;11,214382;6,8;2,168011;
2009-08-31;16;117,2;882,966263;13,636962;7,4;2,546371;
2009-09-30;27;193;881,23125;15,172639;8;2,433333;
2009-10-31;21;185,8;879,943235;15,867978;7,6;2,116673;
2009-11-30;21;162,8;878,445556;20,168333;8,1;2,298194;
2009-12-31;17;295,8;879,068952;19,037231;7,6;2,533468;
2010-01-31;24;294,8;879,971896;19,23684;6,9;2,512146;
2010-02-28;20;302,8;880,926637;20,094048;7;2,336161;
2010-03-31;17;204,8;880,309677;18,54422;6,9;2,390726;
2010-04-30;15;264;883,028611;15,840139;6,6;2,209722;
2010-05-31;24;107,2;882,038844;12,885618;6,8;2,660753;
2010-06-30;12;91,6;884,569722;12,405556;7,1;2,834306;
2010-07-31;17;138,4;884,6375;12,833065;7,5;2,879436;
2010-08-31;9;25,8;884,512536;13,634614;9;2,804034;
2010-09-30;12;44,8;881,805;15,048194;8,8;3,146389;
2010-10-31;16;172;880,137089;14,96082;8,2;2,645266;
2010-11-30;10;95,6;878,265695;17,171528;7,7;2,558889;
2010-12-31;22;229,6;877,38785;18,009864;7,5;2,681647;
2011-01-31;26;254,4;878,183871;19,502285;6,6;2,031317;
2011-02-28;22;null;880,166479;19,132295;5,8;2,373195;
2011-03-31;22;162,2;880,961755;17,341802;6,6;3,165471;
2011-04-30;18;97,6;882,057513;16,371275;8,3;2,235858;
2011-05-31;17;45,2;883,50399;12,733146;5,9;2,285217;
2011-06-30;19;103,4;882,424318;10,0925;9;2,332363;
2011-07-31;6;null;882,798154;13,605751;5,4;2,299365;
2011-08-31;10;null;882,256262;14,6056;7,8;null;
2011-09-30;10;null;884,258637;13,884667;6,3;2,771571;
2011-10-31;13;164,2;880,177888;16,208406;8;2,740899;
2011-11-30;9;66;880,262791;16,446688;7,4;2,703799;
2011-12-31;14;120,4;878,718669;17,985608;6,5;2,550389;
2012-01-31;14;190,6;879,697847;18,104463;6,1;2,38904;
2012-02-29;15;153,4;880,793391;20,096839;5,2;1,855316;
2012-03-31;11;68,4;881,86934;18,088893;6;2,070215;
2012-04-30;11;null;null;16,117363;5,9;null;
2012-05-31;16;null;884,405016;13,185935;6,3;2,291236;
2012-06-30;10;null;null;null;6;null;
2012-07-31;16;124,8;883,137231;12,464247;7,9;2,519086;
2012-08-31;7;10,6;886,373176;15,202778;6,6;2,010273;
2012-09-30;8;59,6;883,355;15,737083;9,6;2,591806;
2012-10-31;21;191,6;880,695833;17,249597;7,6;2,26129;
2012-11-30;16;138,6;879,585278;17,676806;5,8;2,290694;
2012-12-31;21;188,6;879,136694;20,28965;7,1;2,121505;
2013-01-31;22;162,4;880,56586;18,171102;6,3;2,503763;
2013-02-28;23;181,6;880,383631;19,003571;5,3;2,139137;
2013-03-31;19;245,4;881,215222;17,298994;5,6;2,212833;
2013-04-30;17;84,2;882,52875;15,650278;6,4;1,948889;
2013-05-31;23;112,8;882,556586;13,86371;6;1,763575;
2013-06-30;26;333,8;882,676659;12,699203;5,3;1,808927;
2013-07-31;18;138,2;884,743956;12,307844;7,2;1,849553;
2013-08-31;13;35;883,272864;13,382032;6,1;2,429568;
2013-09-30;10;null;883,117754;15,290675;6,5;2,074922;
2013-10-31;12;170,2;881,600278;16,043194;5,8;2,3125;
2013-11-30;17;124,2;880,313611;17,391389;7;2,500278;
2013-12-31;16;117,8;878,699598;19,171003;8,1;2,103149;
2014-01-31;16;null;881,487;20,611;5,2;1,657167;
2014-02-28;13;null;881,588722;20,349479;5,6;1,870111;
2014-03-31;15;197,4;881,460776;18,06984;5,5;1,797076;
2014-04-30;16;52,2;883,031636;15,955401;5,2;1,784105;
2014-05-31;19;null;882,625767;14,19214;4,4;1,538511;
2014-06-30;19;230,2;883,165604;12,929808;5,1;1,662103;
2014-07-31;11;null;885,35625;12,187326;3,9;1,528125;
2014-08-31;14;55;884,340189;14,311181;6,5;1,562542;
2014-09-30;10;null;null;15,918452;5,6;null;
2014-10-31;10;76,2;882,697043;18,003319;4,9;1,593993;
2014-11-30;16;null;null;17,900397;3,8;null;
2014-12-31;19;null;879,946149;19,299795;3,7;1,337326;
2015-01-31;18;null;882,025649;20,311751;3,9;1,245061;
2015-02-28;20;null;880,734632;19,046912;3;,855096;
2015-03-31;21;196,8;881,435378;18,372197;3,5;,884816;
2015-04-30;15;83,2;882,418428;16,395459;2,9;,939049;
2015-05-31;17;null;883,6407;13,914931;2,9;,799567;
2015-06-30;13;null;885,119941;13,506967;3;,716205;
2015-07-31;6;null;null;12,728966;2,6;null;
2015-08-31;3;null;884,298638;16,202604;3,1;,635961;
2015-09-30;14;117,4;880,561132;17,422364;4,1;,817387;
2015-10-31;16;null;881,543598;17,427734;3,7;,590022;
2015-11-30;15;null;null;18,283928;2,8;null;
2015-12-31;24;235,6;880,259946;19,316935;2,1;,281183;
2016-01-31;19;246;879,847984;19,662231;1,8;,06707;
2016-02-29;26;324,8;881,186494;19,995115;1,5;,043966;
2016-03-31;9;220,2;882,157796;18,168145;1,6;,102151;
2016-04-30;14;70,4;882,425833;18,512639;,7;,012917;
2016-05-31;19;192,8;883,478091;12,604032;,5;,006586;
2016-06-30;16;87;884,854722;10,028333;,6;,012222;
2016-07-31;13;88,8;883,455316;12,372414;2,4;,081897;
2016-08-31;null;null;null;null;null;null;
2016-09-30;3;null;882,752717;14,077355;2,9;,090036;
2016-10-31;16;141,6;880,94962;15,513371;3,5;,106189;
2016-11-30;3;null;null;null;1,4;null;
2016-12-31;8;null;null;null;5,3;null;
2017-01-31;25;192,8;880,680376;19,922177;6,3;2,362634;
2017-02-28;17;223,4;880,894494;20,070833;6,9;2,140774;
2017-03-31;19;62,4;882,0125;18,016398;6,3;2,531855;
2017-04-30;14;78,8;882,63;15,453611;6,6;2,880417;
2017-05-31;23;227,2;882,678898;14,999731;11,9;2,487903;
2017-06-30;15;166,2;884,1075;12,822917;8,9;2,577639;
2017-07-31;5;null;887,821784;11,274275;10,5;2,381424;
2017-08-31;null;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;null;null;null;null;null;null;
2017-11-30;10;null;878,646377;17,787319;null;null;
2017-12-31;19;232,6;879,17836;18,84086;null;null;
2018-01-31;23;308,6;880,189516;18,862231;null;null;
2018-02-28;15;92,8;880,541518;17,863691;null;null;
2018-03-31;25;295,4;880,203629;19,292876;null;null;
2018-04-30;10;11,2;884,08625;17,312778;null;null;
2018-05-31;12;28,6;884,164113;14,205914;null;null;
2018-06-30;22;152,6;884,082917;12,735139;null;null;
2018-07-31;7;1,8;884,183065;14,37043;null;null;
2018-08-31;11;57,8;884,169355;12,032527;null;null;
2018-09-30;18;188,2;881,377639;15,020278;null;null;
2018-10-31;23;335,6;880,591129;15,797849;null;null;
2018-11-30;12;83,4;880,613472;17,727639;null;null;
2018-12-31;18;98;880,73639;20,007743;6,7;2,320417;
2019-01-31;21;249,8;882,40336;20,890995;6,3;2,247715;
2019-02-28;25;313,6;880,549107;18,537649;6,6;2,520536;
2019-03-31;18;81,2;882,444624;18,589516;5,9;2,443683;
2019-04-30;8;null;null;null;6,4;null;
2019-05-31;24;264,6;882,231826;15,333953;8,2;2,300643;
2019-06-30;17;98,4;885,157917;14,596944;6,4;2,368611;
2019-07-31;6;17;884,352419;12,910349;6,8;2,685081;
2019-08-31;6;44,8;885,909677;13,162903;7,2;2,860618;
2019-09-30;11;103,4;882,689444;16,43;6,3;2,777222;
2019-10-31;13;110,8;881,702285;18,388575;8,6;2,681586;
2019-11-30;16;141,8;880,044445;18,099583;6,9;2,866806;
2019-12-31;14;108,8;880,078629;18,769086;6,2;2,427285;
