Nome: ICARAIMA
Codigo Estacao: A824
Latitude: -23.39027777
Longitude: -53.63583333
Altitude: 381.29
Situacao: Pane
Data Inicial: 2006-11-15
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;6;null;null;null;9,9;null;
2006-12-31;12;299,6;966,902405;26,378353;10,2;3,240217;
2007-01-31;21;348,4;965,944758;25,303898;9,7;3,010215;
2007-02-28;12;148;967,313147;25,664357;10,2;3,130991;
2007-03-31;10;31;968,969039;26,265124;8,4;2,765387;
2007-04-30;10;96;970,38625;24,271945;9,2;3,415694;
2007-05-31;5;29,4;972,287106;19,087369;10,1;3,723932;
2007-06-30;1;2;972,686667;19,939848;9;3,641174;
2007-07-31;3;null;972,956787;17,864053;9,1;3,97258;
2007-08-31;null;0;972,714786;20,02346;9,9;4,732523;
2007-09-30;1;2,2;971,185139;25,049583;11,9;4,38875;
2007-10-31;9;174,2;968,043893;25,313797;11,2;3,811331;
2007-11-30;8;null;966,283526;24,550167;14,7;3,724006;
2007-12-31;13;64,8;966,309005;25,910215;10,6;3,120027;
2008-01-31;12;85,4;966,412231;25,14543;10,2;3,668011;
2008-02-29;15;160;967,412787;25,127874;10,5;2,925144;
2008-03-31;7;38,4;968,249194;24,822312;8;3,028091;
2008-04-30;10;65,8;968,259167;23,038472;8,1;2,878889;
2008-05-31;3;67;972,323608;19,990726;9,6;3,081368;
2008-06-30;7;null;973,250456;17,1209;9,1;3,047653;
2008-07-31;5;17;973,593952;21,027957;8,3;3,177016;
2008-08-31;6;null;970,6032;21,772538;10,8;1,519867;
2008-09-30;3;18,4;971,611379;20,458642;10,5;1,591255;
2008-10-31;9;104,6;969,31006;24,116081;10,5;1,63119;
2008-11-30;3;null;967,384139;25,058953;12,7;1,671958;
2008-12-31;5;42,8;965,974597;26,259583;9,4;1,537903;
2009-01-31;17;137,4;967,34747;24,611892;9,9;1,557544;
2009-02-28;13;131,4;967,31131;25,628274;11,9;1,136012;
2009-03-31;5;24;967,755108;26,196102;11,4;1,198253;
2009-04-30;1;3,6;970,448194;24,930278;10,5;1,430139;
2009-05-31;4;null;971,26579;21,964583;8;1,453064;
2009-06-30;null;null;null;null;7,9;null;
2009-07-31;null;null;null;null;10,8;null;
2009-08-31;null;null;null;null;9,6;null;
2009-09-30;2;null;null;null;11,7;null;
2009-10-31;5;null;967,644288;24,162836;14,7;2,720787;
2009-11-30;12;170,2;965,2025;26,251111;16,3;2,4525;
2009-12-31;14;293,6;966,284543;25,35;8,6;2,002285;
2010-01-31;20;242;967,042595;25,448399;8,4;2,380303;
2010-02-28;13;110,4;967,665476;26,229167;8,5;2,390923;
2010-03-31;10;139,2;967,662903;25,344624;8,7;2,215995;
2010-04-30;7;57;971,110417;23,171667;8,6;2,235556;
2010-05-31;9;110,6;972,038979;18,47379;8,6;2,605242;
2010-06-30;4;20;973,79;19,577778;8,4;3,015972;
2010-07-31;6;55,8;973,341072;19,394359;11,3;4,041301;
2010-08-31;2;8;973,283721;20,860365;11,7;4,139292;
2010-09-30;7;216,2;969,623491;22,476488;11,9;3,874891;
2010-10-31;13;164,6;968,94363;21,917689;13,4;3,586588;
2010-11-30;9;142,4;966,564167;23,469167;10,9;3,170833;
2010-12-31;14;213,8;964,524597;24,671505;12,6;3,189247;
2011-01-31;8;90,4;965,512097;25,917473;9;2,227823;
2011-02-28;21;258,4;967,26622;24,892262;6,9;2,634524;
2011-03-31;12;87,8;967,592847;24,671537;8;3,325082;
2011-04-30;13;184,2;970,114167;22,942917;11,2;3,006806;
