Nome: BAGE
Codigo Estacao: A827
Latitude: -31.34777777
Longitude: -54.01333333
Altitude: 226.19
Situacao: Operante
Data Inicial: 2007-01-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-01-31;7;null;984,938272;22,88071;10,3;3,322685;
2007-02-28;10;117,8;985,508954;23,429128;9,2;3,528966;
2007-03-31;11;91,6;986,884753;22,294729;10,7;3,534262;
2007-04-30;14;62,8;989,351141;19,470513;8,5;3,006624;
2007-05-31;10;26,8;992,088721;11,98054;10;2,745336;
2007-06-30;17;196;989,704982;11,762427;9,7;2,896443;
2007-07-31;13;74,4;991,147331;9,577307;10,9;3,655127;
2007-08-31;18;183,8;992,406089;11,074275;9,9;4,405908;
2007-09-30;10;66,2;991,197222;17,424028;11,3;4,166582;
2007-10-31;16;142,8;987,073305;18,631183;12,3;3,983047;
2007-11-30;7;null;985,533526;19,025333;9,1;3,226474;
2007-12-31;6;85;984,856452;22,518548;9,2;3,492742;
2008-01-31;7;72;986,359409;23,074731;10,3;4,134677;
2008-02-29;10;125;986,039459;22,540426;8,1;3,475052;
2008-03-31;11;55,4;987,070161;21,25672;9,1;3,172446;
2008-04-30;13;76,8;986,874066;17,729904;7,9;2,478124;
2008-05-31;6;null;990,878031;null;10,2;2,923889;
2008-06-30;14;181,2;991,861461;10,748871;12,2;3,210471;
2008-07-31;13;104;991,656679;14,665024;14,3;3,245006;
2008-08-31;12;138;989,890995;12,554032;10;3,424328;
2008-09-30;9;82;991,964167;13,241389;9,9;3,774861;
2008-10-31;7;86,8;989,717876;17,124059;11,7;3,940995;
2008-11-30;3;36,2;987,779819;20,938194;11;4,145586;
2008-12-31;12;108,6;986,037231;21,692473;10,8;3,609005;
2009-01-31;11;123;986,248551;22,11035;10,6;3,861892;
