Nome: ERECHIM
Codigo Estacao: A828
Latitude: -27.65777777
Longitude: -52.30583333
Altitude: 777.08
Situacao: Operante
Data Inicial: 2006-11-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;1;null;null;null;null;null;
2006-12-31;6;84,2;924,673072;22,747697;7,5;2,204747;
2007-01-31;12;162,8;923,632661;21,945699;6,4;1,961559;
2007-02-28;14;134,4;925,314739;21,608644;6,9;2,061581;
2007-03-31;14;119;926,457936;21,952969;5,4;1,854885;
2007-04-30;20;5,6;928,214149;19,031703;5,6;2,008931;
2007-05-31;13;205,8;929,047403;12,685127;7,8;2,062593;
2007-06-30;9;38,8;928,366554;14,676992;7,1;2,462963;
2007-07-31;12;153;928,546041;11,37651;6,6;2,326281;
2007-08-31;13;119;929,631052;13,7578;6,8;2,706529;
2007-09-30;11;48,2;929,904938;18,45463;7,8;2,494907;
2007-10-31;14;136,6;926,41297;18,900691;9,3;2,547538;
2007-11-30;7;null;924,050214;19,155435;9;2,16422;
2007-12-31;12;118,2;924,028763;21,95457;5,8;2,098925;
2008-01-31;10;86,4;924,861828;21,25;7;2,172581;
2008-02-29;11;85,4;924,950575;21,073276;5,7;2,141379;
2008-03-31;16;144,4;925,98078;20,026613;5,1;1,877554;
2008-04-30;15;226;925,67567;16,966135;7,6;1,839547;
2008-05-31;5;null;928,766672;14,755246;5,9;1,995681;
2008-06-30;10;null;null;11,283382;6,4;null;
2008-07-31;10;27,8;930,450115;16,094345;6,1;2,384368;
2008-08-31;8;null;927,333367;15,301894;7,2;2,434557;
2008-09-30;11;null;928,757929;14,362326;7,5;2,439418;
2008-10-31;12;null;927,592248;17,055662;6,3;2,336838;
2008-11-30;9;153;925,570839;19,431016;8,5;2,285151;
2008-12-31;11;30,2;924,281944;21,201389;5,9;2,212917;
2009-01-31;15;141,2;925,039132;20,690278;6,6;2,216839;
2009-02-28;14;157;925,138505;21,640492;5,1;1,990373;
2009-03-31;14;36,8;925,539919;21,10121;6,5;1,821371;
2009-04-30;9;15,2;928,413362;19,359914;5,5;1,939081;
2009-05-31;6;null;928,03653;16,846558;6;2,026075;
2009-06-30;13;null;929,698008;11,758369;6,7;2,049009;
2009-07-31;6;null;null;10,230925;6,6;null;
2009-08-31;7;null;929,278398;16,311748;6,6;2,404617;
2009-09-30;10;null;926,379784;15,198548;6,9;2,385183;
2009-10-31;10;144,2;925,485058;17,948994;6,4;2,157471;
2009-11-30;19;274,6;922,90875;21,845833;8,7;2,384028;
2009-12-31;16;173,6;924,149597;21,963844;5,4;2,023656;
2010-01-31;16;157,6;924,836351;21,720846;6,4;2,003617;
2010-02-28;11;140,2;925,629762;22,761905;5,7;2,121131;
2010-03-31;15;115,4;925,827688;20,459543;5,8;1,727285;
2010-04-30;12;242;929,155417;17,386944;5,7;2,091389;
2010-05-31;22;187,8;928,868279;13,782796;6,6;1,904301;
2010-06-30;15;85,2;930,6975;13,539583;6,6;2,384444;
2010-07-31;12;195,2;930,765457;13,001613;6,9;2,529704;
2010-08-31;7;64,4;930,802867;13,914596;6,9;2,51885;
2010-09-30;16;195,4;927,5475;15,499306;10;2,410417;
2010-10-31;14;107,8;926,61922;16,041801;7;2,108333;
2010-11-30;12;114,6;924,020278;18,848889;6;2,074028;
2010-12-31;19;262,8;922,658871;20,504032;7,9;2,253763;
2011-01-31;19;129,8;923,241129;22,350269;5;1,730511;
2011-02-28;22;205,4;925,187202;21,26503;6,6;1,883631;
2011-03-31;10;160,6;926,609267;19,913427;6,2;2,056309;
2011-04-30;12;100,6;927,773889;18,186111;9,3;1,919583;
2011-05-31;15;84,4;930,081586;14,030511;5,4;2,048656;
2011-06-30;18;248,2;928,859583;11,728611;6,9;2,280833;
2011-07-31;19;292;928,908199;12,992339;6,4;2,270833;
2011-08-31;20;237,2;928,24422;13,568145;12,1;2,827957;
2011-09-30;12;100,6;930,047222;15,07875;7,1;2,390139;
2011-10-31;10;149,8;925,616667;17,854704;7,6;2,367742;
2011-11-30;10;116,8;925,970972;19,185556;5,5;2,229583;
2011-12-31;12;16,4;924,118817;20,69879;5,4;2,152016;
2012-01-31;4;70,6;924,88629;21,618683;6,1;2,06129;
2012-02-29;11;21,2;925,652012;23,13046;7,5;2,091236;
2012-03-31;4;3;927,404436;20,339516;6,1;1,879704;
