Nome: SAO JOSE DOS AUSENTES
Codigo Estacao: A829
Latitude: -28.7486111
Longitude: -50.05777777
Altitude: 1228.59
Situacao: Operante
Data Inicial: 2006-10-25
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;null;null;null;null;null;null;
2006-11-30;7;null;null;null;14,9;null;
2006-12-31;17;85,8;877,22127;17,688908;12,7;5,637799;
2007-01-31;20;140,4;876,062634;17,344355;13,2;5,42715;
2007-02-28;19;194,8;877,775822;17,212933;14,9;5,906748;
2007-03-31;23;258,2;878,608097;18,614541;10,5;4,921133;
2007-04-30;22;99,8;879,911528;15,274583;11,4;5,276806;
2007-05-31;20;176,8;879,169466;9,343952;13,7;5,894279;
2007-06-30;12;70,2;878,815719;11,342416;14,8;6,470671;
2007-07-31;16;220,6;878,353659;8,643593;15;6,432621;
2007-08-31;15;107,8;880,36527;10,570138;14,4;7,132573;
2007-09-30;11;109,4;881,745198;14,34003;14,5;5,963021;
2007-10-31;19;129,4;878,0474;14,705096;14,4;6,198908;
2007-11-30;13;null;875,491725;14,11042;14,7;5,545067;
2007-12-31;22;113,8;876,197581;16,373656;13,4;5,655914;
2008-01-31;21;102,4;877,364247;15,800941;12,9;6,098387;
2008-02-29;19;93;877,094253;16,289799;11,7;5,583477;
2008-03-31;23;114;877,934677;15,897312;10;5,437769;
2008-04-30;20;84,2;876,630278;13,45;13,7;4,81681;
2008-05-31;12;71,8;878,976487;10,535614;14,7;5,597138;
2008-06-30;11;null;879,002598;8,293758;14,8;null;
2008-07-31;9;31,4;881,002037;12,397511;14,6;6,124716;
2008-08-31;10;82;878,288774;11,479793;14,9;6,723829;
2008-09-30;11;null;879,505167;9,8125;14,9;6,254449;
