Nome: SANTIAGO
Codigo Estacao: A833
Latitude: -29.191599
Longitude: -54.885653
Altitude: 390.03
Situacao: Operante
Data Inicial: 2009-02-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2009-02-28;11;null;966,201563;23,368229;null;null;
2009-03-31;13;135,8;966,999293;22,249118;6,6;null;
2009-04-30;8;14,2;970,640139;19,861528;8,6;2,983889;
2009-05-31;8;127,2;969,821909;16,802957;8,1;3,117339;
2009-06-30;18;115,6;972,429028;11,211945;9,8;3,174167;
2009-07-31;10;76,4;972,28629;10,679435;9,7;2,981989;
2009-08-31;12;119,4;970,390995;15,642473;9,6;3,97957;
2009-09-30;19;262,8;969,774306;15,042917;10;3,834861;
2009-10-31;10;61,4;967,329741;18,565086;10,9;3,792385;
2009-11-30;19;593,2;963,19;22,379722;11,6;3,678333;
2009-12-31;13;128;965,447177;22,930242;8,7;3,345699;
2010-01-31;18;421,6;965,830694;23,428299;8,3;3,052786;
2010-02-28;14;222,6;966,020089;24,36756;9,1;3,405952;
2010-03-31;10;51;967,300941;22,74328;7,5;2,893952;
2010-04-30;15;66,8;971,163889;18,643333;9;3,034028;
2010-05-31;21;9,4;971,57164;14,690591;7,5;2,967742;
2010-06-30;29;13,6;972,6225;14,02375;7,9;3,283194;
2010-07-31;19;207,6;972,694489;12,788575;7,9;3,350269;
2010-08-31;13;32,4;972,763472;14,031956;8,6;3,570876;
2010-09-30;18;209,4;969,310278;16,111806;8,5;3,404444;
2010-10-31;9;66,2;969,190188;17,458737;8,7;3,084946;
2010-11-30;8;48,4;966,261945;20,202361;8,7;2,944583;
2010-12-31;9;178,6;963,694489;23,231452;8,6;3,207392;
2011-01-31;19;103;964,182661;24,628763;6,9;2,602285;
2011-02-28;19;197,8;966,376637;23,304762;5,7;2,895536;
2011-03-31;11;106;967,993601;21,794291;7,2;2,960578;
2011-04-30;16;133,8;969,222083;19,268194;6,8;null;
2011-05-31;21;69,2;972,459677;15,335618;7,3;2,912019;
2011-06-30;16;100;970,887639;12,764167;9,6;3,153889;
2011-07-31;11;null;971,363694;12,556439;9,4;2,797192;
2011-08-31;15;88;970,314856;14,384077;9,6;3,623477;
2011-09-30;9;112,2;971,900972;16,383889;8,9;3,391111;
2011-10-31;12;162;967,459543;18,391263;10,8;3,038575;
2011-11-30;5;77;967,281667;21,849861;7,5;3,017222;
2011-12-31;10;33,2;965,678091;22,202554;9;2,923253;
2012-01-31;11;64;966,013172;24,535349;7,4;3,026344;
2012-02-29;9;83,4;965,998707;25,094397;7,8;2,886063;
2012-03-31;6;73;968,75457;22,436828;6,9;2,545161;
2012-04-30;13;86,4;969,3125;18,294722;6,4;2,419028;
2012-05-31;7;52,6;972,127016;17,55;7,1;2,527419;
2012-06-30;15;81,4;971,54375;13,669306;7,5;2,723472;
2012-07-31;13;59,8;972,265457;11,606048;9,2;3,023656;
2012-08-31;9;94;972,950269;18,011528;8,4;3,666321;
2012-09-30;10;112,2;970,709306;17,177917;8,7;3,383472;
2012-10-31;18;384,8;966,840591;18,989516;9,6;3,29422;
2012-11-30;8;72,8;966,772917;22,632639;6,4;2,834444;
2012-12-31;17;346;964,188172;23,344892;9,5;3,074059;
2013-01-31;10;181,8;967,620161;22,691667;6,9;2,633602;
2013-02-28;14;141,4;966,569494;22,710714;8,2;2,480804;
2013-03-31;8;null;null;19,846824;6,2;null;
2013-04-30;5;null;null;19,713201;6,2;null;
2013-05-31;null;null;null;null;6,8;null;
2013-06-30;2;null;null;null;5,9;null;
2013-07-31;10;116,2;973,468665;13,038575;7,3;2,652244;
2013-08-31;14;92,4;972,735081;12,124059;7,8;2,989516;
2013-09-30;15;67,4;970,501528;16,235139;7,1;2,85;
2013-10-31;10;139,6;969,174866;18,866129;9,6;2,717742;
2013-11-30;11;270,4;966,312778;21,257778;8,6;3,02875;
2013-12-31;8;143;964,608737;24,516263;6,9;2,253898;
2014-01-31;13;152,2;966,797312;24,531989;6,8;2,569624;
2014-02-28;11;151,4;967,126935;24,378423;6,8;2,727827;
2014-03-31;12;240,6;967,99664;20,961694;7,8;2,134812;
2014-04-30;13;81,2;970,370556;19,146945;7;1,677778;
2014-05-31;19;194,2;971,007258;15,268414;6,8;1,493952;
2014-06-30;17;221,2;971,077778;13,451111;6,7;2,095278;
2014-07-31;16;266;973,485887;14,261962;8,5;2,740457;
2014-08-31;12;63,4;971,926747;15,708065;8,7;2,836425;
2014-09-30;7;null;null;null;null;null;
2014-10-31;6;null;null;22,219531;18,6;null;
2014-11-30;9;150,4;967,028333;22,002361;7,8;2,460139;
2014-12-31;13;262,8;966,093145;22,575403;7,9;2,596237;
2015-01-31;20;273,8;967,737477;23,193151;7,6;2,370062;
2015-02-28;12;114;967,124702;23,22619;5,4;2,010268;
2015-03-31;14;129;968,72621;22,053898;6,3;2,051747;
2015-04-30;9;99,8;970,491944;19,650139;5,2;1,772778;
2015-05-31;16;128,8;971,779973;16,469624;8,7;2,205242;
2015-06-30;13;182,8;972,718056;14,901111;7,6;2,619306;
2015-07-31;21;124,2;971,502016;13,807527;7,1;null;
2015-08-31;12;105,6;969,291129;18,541532;8,7;3,073077;
2015-09-30;17;156,8;967,981944;16,356806;8,7;null;
2015-10-31;19;421;968,361425;17,954973;null;null;
2015-11-30;15;271,6;966,249167;19,672778;6,6;2,39625;
2015-12-31;20;400,6;965,763645;22,237605;7,8;2,365311;
2016-01-31;10;78,2;966,095161;24,922984;6,2;2,089382;
2016-02-29;13;115;966,846552;24,405747;6,8;1,990086;
2016-03-31;15;197,4;969,7125;20,400403;6,5;2,01129;
2016-04-30;17;165,6;968,599722;20,39125;7,8;1,877083;
2016-05-31;10;116,2;973,263038;13,121371;5,2;1,303226;
2016-06-30;8;27,6;975,607222;11,03375;3,5;1,015972;
2016-07-31;10;66,6;971,910215;13,391935;6,1;1,663307;
2016-08-31;10;114,4;971,09086;15,712903;5,8;1,608871;
2016-09-30;9;36,8;972,529583;15,24625;6,5;1,664861;
2016-10-31;14;296,4;968,205739;18,44048;5,6;1,582918;
2016-11-30;12;260,8;968,122222;20,4325;6,5;1,436667;
2016-12-31;14;270,6;965,810349;23,095833;5,5;1,674866;
2017-01-31;17;247;966,749866;23,507124;5,6;1,532527;
2017-02-28;16;267;966,430804;23,368452;7,6;1,483929;
2017-03-31;14;220,2;968,779436;21,73629;7,8;1,911962;
2017-04-30;14;292,4;970,1225;18,338333;10,9;2,175;
2017-05-31;21;369,4;969,978763;16,338306;null;null;
2017-06-30;12;159,2;971,738056;14,686667;7,8;null;
2017-07-31;4;4,6;975,881183;16,234543;7,8;2,761694;
2017-08-31;16;243,8;970,648118;16,029435;6,9;2,357124;
2017-09-30;16;162;970,952083;19,075;5,4;1,63375;
2017-10-31;16;220,2;966,935753;18,475403;11,1;2,047446;
2017-11-30;11;90,2;966,668062;20,611461;7,7;2,07224;
2017-12-31;13;152,6;null;23,866263;8,3;1,932661;
2018-01-31;16;289,4;null;23,519684;6,8;2,076427;
2018-02-28;8;35,6;967,381548;23,181994;6,4;1,747917;
2018-03-31;12;200,4;966,689167;22,006111;8,6;1,766806;
2018-04-30;13;163,2;970,925972;22;6,5;1,774583;
2018-05-31;15;114,6;971,883199;16,744624;7,3;1,972446;
2018-06-30;16;151,4;973,064722;11,889028;10,2;2,095972;
2018-07-31;1;null;null;null;null;null;
2018-08-31;8;null;null;13,239063;7,1;null;
2018-09-30;16;213,6;968,624583;17,971389;7,6;2,030972;
2018-10-31;10;146,4;968,338038;18,640995;5,3;1,156855;
2018-11-30;12;332,6;967,043472;22,041111;6,8;null;
2018-12-31;11;205,6;967,311693;22,855376;7,3;null;
2019-01-31;18;482;967,281048;24,310753;7,2;2,316264;
2019-02-28;10;88,8;967,531101;22,961607;6,8;1,835417;
2019-03-31;10;203;969,797581;20,977016;6,8;1,816532;
2019-04-30;15;161,8;969,199028;20,230417;7;null;
2019-05-31;19;219,2;970,445701;17,140545;5,5;null;
2019-06-30;10;39,6;971,793452;17,521726;7,7;2,72128;
2019-07-31;14;155,4;973,062634;12,718952;6,6;2,073253;
2019-08-31;9;62,4;974,517204;14,111962;6,9;2,344489;
2019-09-30;9;90,8;970,494583;16,577778;8,1;2,112222;
2019-10-31;19;373;968,291129;19,760887;7,9;2,374597;
2019-11-30;10;181,2;966,545695;22,242639;8;1,967778;
2019-12-31;5;91,8;966,501181;23,677222;9,9;1,946541;
2020-01-31;9;155,2;965,933333;24,066398;7,6;1,966801;
2020-02-29;9;80,6;968,130747;23,318247;5,7;1,968822;
2020-03-31;3;19,2;969,077957;24,705376;5,6;1,74086;
2020-04-30;7;90,8;971,726598;19,108471;7,7;1,892482;
2020-05-31;7;null;972,006769;14,846347;null;null;
2020-06-30;13;159,6;970,121728;15,341522;null;null;
2020-07-31;5;null;null;null;6,2;null;
2020-08-31;6;null;972,553735;16,834314;6,2;2,426963;
2020-09-30;13;null;971,171358;15,253097;6,4;2,058132;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;4;null;null;null;6,5;null;
2021-01-31;17;172,4;965,913441;23,194892;7,3;2,126344;
2021-02-28;9;128,6;967,155208;22,487351;5,4;1,636161;
2021-03-31;16;85;967,968683;21,748925;6,5;1,620027;
2021-04-30;9;118,8;971,220139;19,763194;6,3;1,809722;
