Nome: JOACABA
Codigo Estacao: A841
Latitude: -27.16916666
Longitude: -51.55888888
Altitude: 767.63
Situacao: Operante
Data Inicial: 2007-09-19
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-09-30;null;null;null;null;null;null;
2007-10-31;null;null;null;null;null;null;
2007-11-30;7;null;924,349679;19,551333;9,4;2,85407;
2007-12-31;12;133,2;924,425941;21,715457;7,7;2,795565;
2008-01-31;10;162,8;925,221371;21,164247;9,2;3,213038;
2008-02-29;14;71,4;925,332902;20,825431;8,1;2,786494;
2008-03-31;12;74,8;926,271909;20,459946;9,1;2,583602;
2008-04-30;21;227,6;926,037778;16,564306;10;2,391667;
2008-05-31;15;40,6;929,074034;13,685151;8;2,787005;
2008-06-30;17;233;930,024495;11,776667;9,5;2,87029;
2008-07-31;10;26;930,953495;15,377285;7,9;2,943145;
2008-08-31;15;117,8;928,15793;15,612231;10,9;3,184005;
2008-09-30;14;164,2;929,169028;14,249306;10;3,574306;
2008-10-31;21;319;927,840323;17,663307;8,9;3,17379;
2008-11-30;13;154,4;925,978158;19,321745;10;3,600326;
2008-12-31;6;113,2;924,446371;20,779032;9,2;3,071774;
2009-01-31;17;268,2;925,281276;20,282831;18,5;2,870547;
2009-02-28;13;79;925,440476;21,693452;8,5;2,571577;
2009-03-31;12;73,2;925,795296;21,260753;12,8;2,663306;
2009-04-30;5;34;928,579861;18,817778;7,9;2,525833;
2009-05-31;15;174,4;928,296505;15,453226;7,9;2,760618;
2009-06-30;19;60,4;929,999444;11,288472;7,9;2,778333;
2009-07-31;19;182,6;929,563306;11,147715;8,2;2,525538;
2009-08-31;14;219,2;929,061962;15,554435;9;3,091667;
2009-09-30;17;385,6;927,433225;15,364505;10;2,989052;
2009-10-31;12;96,8;925,73344;18,233508;8,9;2,956509;
2009-11-30;21;162,4;923,230972;22,098889;10;2,922222;
2009-12-31;15;260,4;924,339516;21,960618;8,1;2,659409;
2010-01-31;18;210,8;925,077151;21,809836;9;2,648167;
2010-02-28;16;205;925,921726;22,640327;11,6;2,688839;
2010-03-31;14;152,8;926,000088;20,15762;10,6;2,524106;
2010-04-30;12;292,6;929,345556;17,366111;6,6;2,469722;
2010-05-31;22;203,6;928,942339;13,974328;7,1;2,323253;
2010-06-30;15;73,8;931,039623;13,532184;10;3,049484;
2010-07-31;15;128,2;931,153629;13,506989;9;3,152823;
2010-08-31;8;62,4;930,906582;14,515;9,6;3,464704;
2010-09-30;9;90,2;927,844583;16,763333;8,8;3,428889;
2010-10-31;12;158,4;926,668548;16,431989;9;2,806048;
2010-11-30;13;101,2;924,076111;18,89375;9;2,877778;
2010-12-31;18;362,6;922,861022;20,268011;8,8;2,693011;
2011-01-31;25;124,2;923,320565;21,983871;7,6;2,223925;
2011-02-28;22;250,6;925,28378;21,470089;7,1;2,188839;
2011-03-31;9;172,6;926,804935;20,047205;7,7;3,101199;
2011-04-30;18;138;927,962222;17,85125;9,9;2,343194;
2011-05-31;19;74,4;930,149731;13,911828;8,2;2,181048;
2011-06-30;22;171,6;929,073333;11,741806;8,8;2,763055;
2011-07-31;18;255,8;929,145027;13,341398;9,6;2,869355;
2011-08-31;14;279;928,490457;14,279839;9,9;3,569489;
2011-09-30;14;187,8;930,288472;15,340694;11,5;3,620417;
2011-10-31;13;286,6;925,754167;18,200134;10,4;3,067742;
2011-11-30;10;138,6;926,110833;18,957778;8,2;3,243194;
2011-12-31;12;106,4;924,200538;20,229167;8;3,00336;
2012-01-31;13;107,8;924,955108;21,209677;7,8;2,739247;
2012-02-29;12;130,8;925,794828;22,815948;8,1;2,59727;
2012-03-31;10;40,8;927,400134;20,274059;7,8;2,595565;
2012-04-30;18;139,8;927,303056;17,518056;10,7;2,360833;
2012-05-31;13;59,4;930,65578;14,834005;7;2,696774;
2012-06-30;22;119,2;929,55875;13,043472;9,2;2,478611;
2012-07-31;14;203,8;929,805242;12,674866;8,9;2,722581;
2012-08-31;4;13;932,496217;17,277778;8,6;3,214785;
2012-09-30;9;76,6;929,359861;17,232917;10,8;3,601389;
2012-10-31;20;186,8;926,195699;18,773253;10,6;3,269892;
2012-11-30;5;16,6;925,13875;21,402361;8,4;3,177083;
2012-12-31;21;244;923,902554;22,666263;9,2;2,892339;
2013-01-31;7;104;926,163038;21,342608;8,1;2,903226;
2013-02-28;20;145,4;925,659673;21,099851;7,2;2,400595;
2013-03-31;17;203,8;927,0945;18,807615;8,8;2,581944;
2013-04-30;15;121,4;928,755278;16,805972;8;2,701945;
2013-05-31;21;84,4;928,738306;14,870564;10,4;2,461828;
2013-06-30;28;212;929,073056;13,377121;7,4;2,240316;
2013-07-31;13;82,4;931,310081;12,39207;8,6;2,707661;
2013-08-31;14;260;929,899866;13,385618;9,6;3,021237;
2013-09-30;18;239;928,840278;15,734583;9,8;3,085;
2013-10-31;14;229,8;927,60121;17,762097;8,3;2,983871;
2013-11-30;14;127,4;925,706806;20,325417;10,8;3,686944;
2013-12-31;12;125,8;923,905914;21,971102;7,6;2,74664;
2014-01-31;22;269,2;926,622849;22,09328;10,2;2,242742;
2014-02-28;18;182;926,775446;21,869048;10,2;2,586161;
2014-03-31;21;266,4;926,966129;19,54207;6,7;2,168414;
2014-04-30;14;135,4;928,846528;18,11125;8,5;2,020833;
2014-05-31;24;243;929,056452;14,459543;9,3;1,93293;
2014-06-30;23;461,4;929,187222;13,997222;7,7;2,256667;
2014-07-31;12;70,6;932,238172;13,514785;8,5;2,640457;
2014-08-31;14;99,2;930,618952;15,338441;9,3;2,04207;
2014-09-30;20;282,8;927,642639;17,355139;10,7;1,947639;
2014-10-31;7;76,8;928,096102;20,076479;11;1,527419;
2014-11-30;13;212,4;925,761528;20,307778;8,1;,697778;
2014-12-31;17;266,2;925,366263;21,24664;8,6;,833199;
2015-01-31;21;254,6;927,210513;21,804044;8,6;,45959;
2015-02-28;20;111;926,064435;21,239583;6,4;,131399;
2015-03-31;13;127,8;927,138979;20,756989;6,7;,184543;
2015-04-30;16;77,8;928,586528;18,211944;8,6;,230695;
2015-05-31;19;150,4;929,879435;15,533064;9,8;,299194;
2015-06-30;19;210,6;931,428194;13,982361;8,7;,635694;
2015-07-31;24;312,6;929,707527;13,896102;8,2;,422312;
2015-08-31;7;49,2;929,511694;18,036021;7,1;,598522;
2015-09-30;15;250,8;926,124583;17,453055;10,4;,672778;
2015-10-31;19;321;926,860081;19,062634;11,7;,440188;
2015-11-30;19;258,8;924,711389;19,654167;6,9;,28625;
2015-12-31;21;344;925,252554;21,684409;8,3;,335349;
2016-01-31;12;87;925,152688;22,905242;6,5;,308333;
2016-02-29;22;192,8;926,271983;22,495546;6,8;,096264;
2016-03-31;15;240,8;927,86875;19,555139;5,5;,24125;
2016-04-30;7;null;null;null;4,8;null;
2016-05-31;null;null;null;null;8,1;null;
2016-06-30;9;44,4;933,225;10,097068;7,9;2,384722;
2016-07-31;13;67,4;930,100941;13,415591;8,2;2,942876;
2016-08-31;15;191,2;929,331989;14,385618;11,9;2,735753;
2016-09-30;10;71,6;929,845417;15,247917;8,7;2,8775;
2016-10-31;9;null;null;17,736708;9,7;null;
2016-11-30;null;null;null;null;null;null;
2016-12-31;10;null;null;null;null;null;
2017-01-31;14;118;925,975;22,294758;9,9;2,40914;
2017-02-28;15;183,6;926,037202;22,209673;8;2,485863;
2017-03-31;15;171;927,67043;20,394086;9,4;2,675806;
2017-04-30;12;null;928,473371;18,294133;8,5;2,978272;
2017-05-31;21;358,2;928,719614;16,392887;8,6;2,635368;
2017-06-30;11;null;930,553455;15,401968;9;2,805891;
2017-07-31;4;null;934,650974;16,136896;9,4;2,996755;
2017-08-31;5;null;928,894844;16,619524;11,1;3,315978;
2017-09-30;8;24,6;930,005278;20,302222;9,7;3,202778;
2017-10-31;20;251,8;925,978213;18,19747;10,2;3,221537;
2017-11-30;10;137,2;924,85973;19,23598;8,8;2,881255;
2017-12-31;15;151,8;924,339247;22,179704;10,1;2,82621;
2018-01-31;22;262,4;925,399194;21,247849;8;2,590188;
2018-02-28;12;106,8;926,155804;20,601934;6,2;2,497173;
2018-03-31;20;237,4;925,569104;20,882369;7,9;1,99609;
2018-04-30;14;39;929,991528;19,479861;6,3;2,429306;
2018-05-31;9;null;930,508556;17,561756;8,3;2,889794;
2018-06-30;11;null;null;15,653627;8,3;null;
2018-07-31;7;null;930,201648;16,822123;9,1;2,704224;
2018-08-31;5;null;930,662942;null;7,7;2,919911;
2018-09-30;14;210,2;926,968826;17,444739;8;3,040165;
2018-10-31;19;346,8;926,509161;18,165507;7,9;3,028213;
2018-11-30;11;186,8;926,108056;20,627222;9,2;3,167222;
2018-12-31;15;188,2;926,189605;21,759077;10,3;2,651843;
2019-01-31;23;185,6;927,271774;23,28172;7,5;2,493011;
2019-02-28;14;null;null;20,472818;null;null;
2019-03-31;22;204,8;928,250806;19,746774;null;null;
2019-04-30;21;157,6;927,526062;19,207478;null;null;
2019-05-31;20;313,2;928,283127;17,250322;null;null;
2019-06-30;9;null;931,234262;17,285196;null;null;
2019-07-31;5;null;930,011298;15,961276;null;null;
2019-08-31;3;null;931,314993;17,311862;null;null;
2019-09-30;8;null;928,499951;19,349217;null;null;
