Nome: XANXERE
Codigo Estacao: A858
Latitude: -26.938666
Longitude: -52.39809
Altitude: 878.74
Situacao: Operante
Data Inicial: 2008-03-14
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;4;null;null;20,706667;7,9;null;
2008-04-30;18;287,8;913,969861;17,496944;13,3;3,442083;
2008-05-31;10;82,4;916,906718;14,857453;12,6;3,754646;
2008-06-30;15;211;917,497035;12,472265;12,3;3,973936;
2008-07-31;8;39,8;918,649083;17,086664;11,8;4,615638;
2008-08-31;13;110,6;916,103779;15,883952;12,7;4,477005;
2008-09-30;12;196,6;916,637313;14,663981;11,3;4,228502;
2008-10-31;1;null;null;null;null;null;
2008-11-30;10;167,8;913,645695;19,5625;12,2;3,593889;
2008-12-31;7;96;912,442742;21,208871;9,1;3,398656;
2009-01-31;15;194,2;913,343385;20,268437;10,8;3,591269;
2009-02-28;12;148,8;913,512351;21,90625;9,8;3,419048;
2009-03-31;11;83,2;913,967742;21,665995;8,4;3,074731;
2009-04-30;4;35,4;916,531805;19,749028;9,2;3,081389;
2009-05-31;11;243,6;916,147235;16,774167;9,9;3,639343;
2009-06-30;13;98,8;917,493588;12,308984;12,3;3,776771;
2009-07-31;16;161,4;916,902124;12,8287;17,1;3,534758;
2009-08-31;12;190,2;916,7758;16,236867;14,5;4,627577;
2009-09-30;16;362,6;915,145175;15,767504;14;4,02445;
2009-10-31;14;231,8;913,614512;18,563649;12;3,548563;
2009-11-30;18;237,8;911,404028;22,418194;12,4;4,489861;
2009-12-31;14;143,4;912,55672;22,093683;9,1;3,298118;
2010-01-31;16;242,8;913,225012;21,997324;12,3;3,821835;
2010-02-28;12;151;914,055506;22,974702;10;4,425298;
2010-03-31;16;234;914,081545;20,77164;10,5;2,939247;
2010-04-30;11;339;917,108194;18,056111;9,5;3,588194;
2010-05-31;15;207,6;916,727419;14,179167;10,9;3,512903;
2010-06-30;10;71;918,576389;14,765556;11,8;4,51375;
2010-07-31;13;183,2;918,600305;14,600831;14;4,487414;
2010-08-31;7;70,2;918,628664;15,148878;13,8;2,727174;
2010-09-30;12;19,6;915,4425;17,121111;13,6;2,379167;
2010-10-31;1;2;914,586962;17,011559;15,8;1,056855;
2010-11-30;8;49,8;912,269324;19,311292;11,3;1,740266;
2010-12-31;17;359,6;910,98172;20,531048;14,7;3,53414;
2011-01-31;21;109,4;911,694892;22,123522;8,8;2,846505;
2011-02-28;22;248,8;913,486905;21,300893;11,9;3,351488;
2011-03-31;12;149,2;914,588388;20,593683;10;3,480721;
2011-04-30;10;139,4;915,955556;18,779583;13,1;3,312917;
2011-05-31;10;73,2;917,944355;14,954435;11,3;3,274731;
2011-06-30;14;321;916,834365;13,577679;13,3;4,010857;
2011-07-31;11;258;916,797972;14,537023;11,7;4,245174;
2011-08-31;16;226,2;916,258199;14,920027;13,9;4,698387;
2011-09-30;9;175,2;917,882361;16,412361;10,4;3,676528;
2011-10-31;11;256,2;913,710063;18,587582;10,6;3,391976;
2011-11-30;11;98,4;913,98625;19,684444;11,1;3,007778;
2011-12-31;11;79;912,404301;21,087097;9,1;2,720161;
2012-01-31;11;106;913,072248;21,746751;9,3;3,160122;
2012-02-29;13;68,4;914,069109;23,341379;13,3;3,354598;
2012-03-31;6;94;915,580376;21,21922;8,7;2,365188;
2012-04-30;18;204;915,378611;18,298056;10,3;2,554167;
2012-05-31;8;56,8;918,336022;15,824462;9,9;3,151747;
2012-06-30;16;171,2;917,34225;14,214819;15,2;2,982719;
2012-07-31;14;205,6;917,542274;13,125345;11,9;3,365778;
2012-08-31;4;,8;920,074829;18,094611;10,5;4,528837;
2012-09-30;8;85,8;917,133611;18,808046;11,3;3,525873;
2012-10-31;18;269;914,128226;19,454839;11,9;3,644758;
2012-11-30;8;82,6;913,188611;21,3475;7,1;2,179861;
2012-12-31;23;257,8;912,252016;22,458064;9,9;2,994355;
2013-01-31;10;119;914,278898;21,197849;8,2;1,49879;
2013-02-28;null;null;null;null;9,1;null;
2013-03-31;17;312,2;915,041092;19,167672;8,9;1,151293;
2013-04-30;8;199,8;916,70625;18,025139;10,6;,931806;
2013-05-31;21;114,6;916,687366;15,698656;10,9;1,803763;
2013-06-30;21;270;916,890278;14,29569;9,2;1,173512;
2013-07-31;9;87,6;918,649832;15,341345;8,7;1,239976;
2013-08-31;10;198,4;917,127983;14,833447;10,2;1,617133;
2013-09-30;11;null;916,996235;16,883494;11;1,668056;
2013-10-31;15;256;915,501075;18,026479;12,7;2,983468;
2013-11-30;10;136,2;913,672778;20,579306;11,3;3,618056;
2013-12-31;12;133,8;912,147312;22,285753;11;2,771909;
2014-01-31;13;179,8;914,922984;22,616263;10,5;3,242607;
2014-02-28;16;118,6;914,851935;22,865774;10,8;3,386458;
2014-03-31;17;290,8;914,97164;20,203898;11,4;3,025134;
2014-04-30;13;111,4;916,629167;18,925321;11,6;2,72484;
2014-05-31;null;null;null;null;null;null;
2014-06-30;3;null;null;null;null;null;
2014-07-31;11;115,2;919,819355;14,273521;11,2;3,764516;
2014-08-31;14;105,4;918,430108;16,461962;9,7;3,238172;
2014-09-30;17;401,4;915,444722;17,854722;11,8;3,50875;
2014-10-31;8;92,6;915,963038;21,085081;9,4;2,762634;
2014-11-30;14;224,8;913,824861;20,665139;8,1;2,338056;
2014-12-31;19;296,4;913,526075;21,077957;8,5;2,667876;
2015-01-31;24;272,6;915,459742;22,010192;8,6;2,472604;
2015-02-28;20;265;914,272173;21,40506;6,9;2,080506;
2015-03-31;20;84,8;915,315457;21,017339;7;1,636425;
2015-04-30;13;103,2;916,516944;18,797083;7,7;1,78875;
2015-05-31;17;201,2;917,670699;16,139382;10,3;2,358871;
2015-06-30;13;200,8;919,152917;15,191667;9,4;3,047917;
2015-07-31;23;434,6;917,468817;14,421505;12,6;2,879167;
2015-08-31;5;84,4;917,360753;19,346774;9,8;3,894086;
2015-09-30;12;325;914,191806;18,198472;10,7;2,7875;
2015-10-31;16;311,6;914,757258;19,678898;11,4;2,585081;
2015-11-30;26;275;912,836806;19,749167;9,9;2,082917;
2015-12-31;22;324,8;913,565591;21,32379;9,5;2,664247;
2016-01-31;13;146,6;913,297446;22,95;8,2;1,963038;
2016-02-29;24;243,8;914,622845;22,439943;6,9;2,003736;
2016-03-31;17;254,4;916,147446;20,031048;7,5;2,262634;
2016-04-30;13;120,2;916,143889;20,966111;8,4;2,579167;
2016-05-31;21;209,2;918,157124;14,189247;8,9;1,802016;
2016-06-30;16;62,8;920,101944;11,273333;6;1,472083;
2016-07-31;14;80,2;917,931855;14,406855;8,6;3,00336;
2016-08-31;15;220,4;917,120027;15,563038;10,4;2,634812;
2016-09-30;10;83,8;917,815139;15,804306;8,8;2,048472;
2016-10-31;6;null;null;16,756111;8,8;null;
2016-11-30;12;115,4;914,277222;19,845556;7,6;2,245833;
2016-12-31;17;139,2;913,447446;20,976344;7,9;2,234946;
2017-01-31;21;188,8;914,282527;22,097446;7,6;1,86035;
2017-02-28;15;163,2;914,287946;22,612351;8,4;2,103572;
2017-03-31;11;95,2;915,678495;20,962903;6,7;1,815457;
2017-04-30;12;107,2;916,574444;17,913611;8;2,379167;
2017-05-31;21;433,4;916,455914;16,623925;7,7;2,231183;
2017-06-30;12;144,2;918,25;14,724028;10,8;2,345;
2017-07-31;3;13,4;922,484677;15,292473;7,7;2,843548;
2017-08-31;10;163,4;917,251075;16,639785;9,8;2,83871;
2017-09-30;9;51,4;917,894583;21,306528;9,5;2,846389;
2017-10-31;21;349,4;913,981317;18,360349;9,7;2,807796;
2017-11-30;13;182,6;912,973333;19,370417;9,4;2,250417;
2017-12-31;17;192;912,824425;21,949425;6,3;2,24842;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;1;null;null;null;null;null;
2018-05-31;12;93,4;918,37957;16,859677;6,4;2,266129;
2018-06-30;20;133,8;918,514444;13,434306;10,2;1,736111;
2018-07-31;14;41,6;918,399194;15,561425;7,2;2,416263;
2018-08-31;13;119;918,687097;13,618548;8,6;2,342339;
2018-09-30;15;207;915,15625;17,67625;8,4;2,067083;
2018-10-31;19;360,4;914,375;18,278091;6,1;2,240726;
2018-11-30;12;206;914,10625;20,614722;6,6;2,045417;
2018-12-31;9;121,2;914,499866;21,913172;8,5;1,907124;
2019-01-31;20;204,6;915,589113;23,279167;8,1;1,990054;
2019-02-28;15;422;914,250149;21,132292;5,7;1,618304;
2019-03-31;16;201,2;916,299597;20,281855;6,1;1,564785;
2019-04-30;15;149,6;915,694722;19,739167;5,3;1,236944;
2019-05-31;24;339,4;916,196371;17,101613;6,9;1,999866;
