Nome: ITUPORANGA
Codigo Estacao: A863
Latitude: -27.41833332
Longitude: -49.64694444
Altitude: 479.79
Situacao: Pane
Data Inicial: 2008-03-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;12;null;null;21,02769;5,5;null;
2008-04-30;8;null;null;null;4,1;null;
2008-05-31;12;null;962,287306;13,436119;7,6;,845718;
2008-06-30;6;null;null;null;5,6;null;
2008-07-31;5;null;null;null;4,3;null;
2008-08-31;3;null;null;null;5,2;null;
2008-09-30;10;null;null;14,598026;6,7;null;
2008-10-31;22;365,4;961,364113;17,892607;6,6;1,750135;
2008-11-30;26;188,8;959,735562;18,912234;5,6;1,836926;
2008-12-31;12;99,8;957,315323;20,757661;6,4;1,462366;
2009-01-31;20;140,6;957,701549;21,134707;6,4;1,565048;
2009-02-28;17;156,2;957,907738;22,528423;6,8;1,31756;
2009-03-31;16;116,4;958,051613;21,890726;10,4;1,30336;
2009-04-30;17;75,6;961,336945;19,078889;5,7;1,144444;
2009-05-31;18;72;961,300403;15,534812;5,3;,974059;
2009-06-30;17;57,6;963,380972;11,640556;5;1,020278;
2009-07-31;24;189,8;963,047446;12,0375;4,7;,992339;
2009-08-31;19;163,6;962,653091;14,668011;5,4;1,141398;
2009-09-30;21;307,4;960,744444;16,151528;5,8;1,526528;
2009-10-31;17;123,4;959,404885;17,539224;6,4;1,373563;
2009-11-30;17;155;955,772222;22,636944;9,1;1,472917;
2009-12-31;18;159;956,808333;22,584677;6;1,620161;
2010-01-31;23;251,4;957,394758;22,846725;6,6;1,432417;
2010-02-28;11;101,2;958,120387;23,675;9,7;1,275149;
2010-03-31;21;181,4;958,152151;21,407393;7,1;,659409;
2010-04-30;19;173;962,149306;18,190833;3,7;,113611;
2010-05-31;27;168,6;961,463844;15,246909;5,9;,150269;
2010-06-30;20;66,4;964,805833;13,81;4,3;,063333;
2010-07-31;22;89;965,113844;13,458737;4,7;,062634;
2010-08-31;17;88,8;964,905888;13,638696;8,5;,123333;
2010-09-30;13;84,4;961,726667;16,590278;2,9;,033333;
2010-10-31;19;167,6;959,683871;16,859946;6,6;,843683;
2010-11-30;14;180,8;956,762917;19,53125;7,3;1,245833;
2010-12-31;21;203,2;955,514516;20,784005;8;,598118;
2011-01-31;24;145,2;955,353226;23,064382;7,3;,360887;
2011-02-28;22;67,8;957,536012;22,783036;9,5;,209821;
2011-03-31;20;162,8;960,036765;20,275731;6,7;,182735;
2011-04-30;21;62,6;960,678472;18,50375;4,7;,176111;
2011-05-31;23;103;963,081317;14,816801;5,3;,229301;
2011-06-30;21;87,6;962,339028;12,139306;6,4;,331528;
2011-07-31;26;227,2;962,898387;12,675806;3,9;,143145;
2011-08-31;26;331,8;962,335215;13,635618;7,6;,45336;
2011-09-30;21;246,4;964,560694;14,465833;7;,171111;
2011-10-31;15;127,2;958,873656;18,685753;6,9;,33414;
2011-11-30;13;80,8;959,567639;18,884583;6,1;,148056;
2011-12-31;18;70,8;956,825806;20,483064;4,8;,093952;
2012-01-31;22;196,2;957,624328;21,561425;5,3;,128226;
2012-02-29;12;172,8;958,037644;23,27931;7,2;,085488;
2012-03-31;13;60,4;959,821371;20,974328;5;,057527;
2012-04-30;17;140,2;959,767168;18,589903;5;,402404;
2012-05-31;17;84,8;963,775941;15,543548;4,9;,671371;
2012-06-30;20;144,8;962,849167;13,310695;4,3;,478333;
2012-07-31;28;164,8;963,124059;12,245833;5,6;,609409;
2012-08-31;9;16;966,552957;16,620278;6,3;,807104;
2012-09-30;16;69,6;962,990139;16,474861;5,4;1,091528;
2012-10-31;18;197,4;959,332258;18,848253;5,5;1,071371;
2012-11-30;17;78,4;958,446528;20,325833;5,6;,060972;
2012-12-31;21;155,8;956,096774;22,957258;10,3;,993683;
2013-01-31;16;155,2;958,900269;21,202554;9,5;1,190726;
2013-02-28;18;119;957,900595;22,257441;10,6;1,217411;
2013-03-31;17;161,4;959,642697;20,218822;5,2;1,13154;
2013-04-30;19;52,8;961,432436;17,650833;6;,762164;
2013-05-31;21;64,6;961,530341;15,232428;8,3;,597348;
2013-06-30;6;null;null;null;4;null;
2013-07-31;7;null;null;null;5,3;null;
2013-08-31;18;null;963,76124;13,0827;5,7;,734154;
2013-09-30;20;319;962,200139;15,881528;6,4;1,069861;
2013-10-31;17;93,4;961,001344;18,020161;5,5;1,387231;
2013-11-30;15;47,8;959,215556;19,768472;6,1;1,458889;
2013-12-31;15;157,2;956,371774;22,085887;6,6;1,333602;
2014-01-31;18;240,4;958,757661;23,486022;6,9;1,100941;
2014-02-28;14;147,2;958,979018;23,835714;7,6;1,358333;
2014-03-31;19;160;959,608994;21,035034;8;,894916;
2014-04-30;17;37,8;961,848438;18,870885;6,1;,801928;
2014-05-31;24;101;961,937768;15,708483;5,2;,538865;
2014-06-30;23;255,6;962,624306;14,588056;6,5;,726528;
2014-07-31;21;17,6;966,065591;13,683468;5,2;,555376;
2014-08-31;24;88,6;964,002688;14,553629;6,8;,675672;
2014-09-30;23;159,8;961,198859;17,212277;5,7;1,083044;
2014-10-31;14;152;961,668255;19,474108;4,7;1,181757;
2014-11-30;23;118;958,806111;20,436806;5,9;1,04;
2014-12-31;18;212,6;957,955914;21,791667;10;,996909;
2015-01-31;24;310,8;959,261068;22,771663;9,6;1,087038;
2015-02-28;20;140;958,304613;22,597768;7,5;1,026935;
2015-03-31;16;95,2;959,574866;21,396909;4,5;1,015457;
2015-04-30;21;50,2;961,445139;18,620833;6,2;,72875;
2015-05-31;25;125,4;963,037231;16,143952;5,1;,675134;
2015-06-30;23;146,2;964,96125;13,296111;5,7;,49875;
