Nome: LAGES
Codigo Estacao: A865
Latitude: -27.80222222
Longitude: -50.33555555
Altitude: 952.7
Situacao: Operante
Data Inicial: 2014-11-05
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2014-11-30;8;null;null;17,876042;8,3;null;
2014-12-31;16;181,4;906,593087;19,428793;8,2;3,257416;
2015-01-31;24;199,4;908,154856;20,612956;8,9;2,77994;
2015-02-28;18;126,6;907,171726;19,957143;8,5;2,734375;
2015-03-31;15;126;908,180511;18,942339;7,5;2,872144;
2015-04-30;13;93,2;909,531528;16,310278;7,2;2,671389;
2015-05-31;17;66,8;910,588038;13,983333;8,5;3,177151;
2015-06-30;22;130,8;912,043889;11,707917;8,3;2,706479;
2015-07-31;26;249;910,150672;12,502554;8,8;2,802554;
2015-08-31;9;66,6;910,666895;15,606791;10,8;3,164452;
2015-09-30;19;311,6;907,05622;15,042234;7,6;3,212144;
2015-10-31;23;337,8;908,194892;16,034677;8,6;3,753763;
2015-11-30;20;119,8;905,961854;17,383587;8,7;3,617536;
2015-12-31;20;192,2;906,402665;19,997645;10,5;3,18968;
2016-01-31;14;101,6;906,682527;20,64879;7,4;3,477688;
2016-02-29;19;225;907,403742;21,063856;6,9;2,815292;
2016-03-31;15;173;908,903898;18,212231;9,2;3,101882;
2016-04-30;19;132,4;908,80526;18,642566;7,5;2,562585;
2016-05-31;19;123,8;910,683199;12,302688;8,4;2,801479;
2016-06-30;13;25;912,382639;8,968333;9,5;2,788056;
2016-07-31;17;121,2;910,511559;11,397177;9,7;3,161425;
2016-08-31;21;136;909,881048;12,45672;9,2;2,850134;
2016-09-30;11;110,4;910,180972;13,273195;11,3;3,435139;
2016-10-31;19;207,8;907,916141;15,179891;12,7;4,170266;
2016-11-30;13;70,4;907,178889;17,316389;7,9;3,456667;
2016-12-31;18;151,4;906,215317;19,205861;7,8;3,127963;
2017-01-31;16;114,2;907,034701;20,819548;8,6;3,064288;
2017-02-28;10;102,6;907,311361;21,301533;9,8;3,136232;
2017-03-31;14;86,6;908,804704;18,775941;8,4;3,161022;
2017-04-30;13;null;910,23673;15,993783;9,1;3,151073;
2017-05-31;15;108,2;909,708333;14,550134;10,5;3,322312;
2017-06-30;null;null;911,05625;12,237361;8,4;3,061389;
2017-07-31;2;null;915,666935;11,938844;9,4;3,120296;
2017-08-31;13;106,2;910,61126;12,298611;9,5;3,848809;
2017-09-30;3;null;null;null;8,7;null;
2017-10-31;6;null;null;null;11,5;null;
2017-11-30;8;null;906,343068;17,221057;10,2;3,568921;
2017-12-31;16;145,8;905,661962;19,849462;10,2;3,408836;
2018-01-31;22;192;906,395027;19,664651;9,5;3,025806;
2018-02-28;11;61,2;907,185203;19,003875;6,6;2,949359;
