Nome: CIDADE GAUCHA
Codigo Estacao: A869
Latitude: -23.35916666
Longitude: -52.93194443
Altitude: 365.79
Situacao: Operante
Data Inicial: 2008-03-10
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;6;null;null;24,496667;5,3;null;
2008-04-30;12;49,4;969,748333;22,922083;7,2;1,695695;
2008-05-31;4;89,8;973,956528;19,234016;6,5;1,772512;
2008-06-30;11;51;975,059088;17,638255;7,4;1,852953;
2008-07-31;3;6,2;975,453764;20,794893;6,3;1,973925;
2008-08-31;15;252,8;972,343952;21,251747;8,4;2,272446;
2008-09-30;6;53,8;973,214596;20,464886;8,1;2,361856;
2008-10-31;11;177,4;971,018548;24,373522;11,9;2,261559;
2008-11-30;8;113,4;968,964167;24,715833;8,7;2,094861;
2008-12-31;8;26;967,489516;26,474866;6,4;2,145833;
2009-01-31;14;263,6;968,852472;24,773025;13;2,094554;
2009-02-28;14;311;968,845982;25,701637;8;1,571131;
2009-03-31;7;28,4;969,243969;25,709397;8,1;1,161927;
2009-04-30;2;5,4;972,007222;24,432222;5;,350278;
2009-05-31;11;106,8;972,815054;20,819624;7,4;1,182796;
2009-06-30;12;129,6;975,212222;16,554583;5,9;1,62;
2009-07-31;15;145,4;974,242473;17,894355;6,6;1,689113;
2009-08-31;10;83;973,676882;20,114113;5,8;2,007258;
2009-09-30;13;98,8;971,731353;21,603883;8,3;2,127573;
2009-10-31;12;314,6;969,285201;23,350287;10,4;2,245115;
2009-11-30;14;226,8;966,938889;26,427639;11,4;2,029444;
2009-12-31;16;253,8;967,864382;25,424731;7,2;1,872984;
2010-01-31;16;208,4;968,758698;25,55125;6,2;1,613921;
2010-02-28;13;151,6;969,354167;26,523066;7,8;,735119;
2010-03-31;11;118;969,193817;25,13293;8,7;,411156;
2010-04-30;7;53,4;972,661528;23,168889;6,6;,255833;
2010-05-31;7;86,2;973,484005;18,663172;7,4;,251747;
2010-06-30;5;21,2;975,557639;19,430694;6,2;,246944;
2010-07-31;5;32,4;975,244489;19,645027;5,1;,198253;
2010-08-31;6;19,4;975,06371;20,413038;6,7;,458602;
2010-09-30;11;165,4;971,276667;22,819583;10;,758056;
2010-10-31;14;217,2;970,414516;21,984274;8,2;,564113;
2010-11-30;8;99,6;967,955316;23,689634;7,9;,413119;
2010-12-31;2;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;2;null;null;null;null;null;
2011-03-31;null;null;null;null;7,8;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;5;53,8;973,70125;22,265417;7,3;2,577083;
2011-10-31;11;262,8;969,293145;23,466935;8,5;2,306452;
2011-11-30;7;100;969,330139;24,163472;7,2;2,320278;
2011-12-31;8;24;967,798656;26,035887;6,6;1,909677;
2012-01-31;12;174,2;968,409005;25,303091;5,8;2,161021;
2012-02-29;9;137,8;969,427586;26,625431;7,4;1,781178;
2012-03-31;9;99,6;971,025403;24,811828;7,3;1,751747;
2012-04-30;15;120;971,121528;22,840278;6,8;1,743194;
2012-05-31;9;118,8;974,411694;19,90793;8;2,136559;
