Nome: CAMPO BOM
Codigo Estacao: A884
Latitude: -29.674293
Longitude: -51.064042
Altitude: 23.35
Situacao: Operante
Data Inicial: 2013-11-28
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2013-11-30;null;null;null;null;null;null;
2013-12-31;6;121,2;1007,496408;24,955029;4,8;1,544253;
2014-01-31;13;137;1009,286962;26,483602;5,5;1,410887;
2014-02-28;15;290;1009,98006;26,100298;5,6;1,607589;
2014-03-31;14;154,8;1011,078763;23,049731;5,5;1,311156;
2014-04-30;13;108,8;1014,179076;20,668786;6,8;1,302573;
2014-05-31;18;74;1014,99422;16,577823;5,3;1,075806;
2014-06-30;18;264,6;1015,140972;15,391389;5,5;1,131528;
2014-07-31;16;168;1018,433065;14,956855;7;1,186425;
2014-08-31;16;85,6;1016,171774;16,142339;6,1;1,299731;
2014-09-30;16;263;1012,790139;18,877917;5,6;1,514583;
2014-10-31;15;200,6;1013,076075;21,288172;6,3;1,45405;
2014-11-30;13;139,4;1010,231806;23,129167;5,7;1,490833;
2014-12-31;15;244,2;1009,05121;24,490323;6,3;1,510887;
2015-01-31;18;300,4;1010,305703;25,518414;6;1,334192;
2015-02-28;16;95,8;1010,026488;24,700298;5,7;1,376637;
2015-03-31;10;95,4;1011,729301;23,646236;3,6;1,299462;
2015-04-30;14;115,6;1014,024167;20,738056;4;1,093889;
2015-05-31;17;159,2;1015,685349;17,941129;5,2;,995565;
2015-06-30;20;218;1017,184028;15,264444;5,4;,943889;
2015-07-31;24;448,4;1015,827063;15,631206;7;1,165673;
2015-08-31;10;97,4;1013,463575;20,743145;5,5;1,417473;
2015-09-30;18;247,2;1011,981389;17,321667;5,1;1,342222;
2015-10-31;15;367,8;1012,652016;19,302151;7,6;1,450806;
2015-11-30;17;157,2;1009,98;21,427083;5,1;1,7025;
2015-12-31;16;157;1008,777151;24,232661;7,5;1,429687;
2016-01-31;15;65,8;1009,139247;25,885215;4,3;1,543683;
2016-02-29;7;null;1009,044712;26,45;4,8;1,420513;
2016-03-31;15;187,6;1012,528898;22,815591;4,8;1,353629;
2016-04-30;14;202,4;1011,647639;22,670694;6,8;1,379167;
2016-05-31;14;66,8;1017,505376;15,184543;4,8;1,113038;
2016-06-30;10;6,2;1020,150417;11,493889;5,2;1,06125;
2016-07-31;6;64,2;1016,155242;14,182527;6,3;1,370027;
2016-08-31;15;129,6;1015,078763;16,207124;3,9;1,143683;
2016-09-30;11;81;1016,146111;16,89625;6,2;1,557778;
2016-10-31;12;275,2;1012,126747;19,748387;7,1;1,608602;
2016-11-30;10;107,4;1011,321111;21,365139;5,2;1,408611;
