Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Operante
Data Inicial: 2019-07-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-07-31;6;null;null;null;null;null;
2019-08-31;6;99,8;1020,56544;12,837759;10;3,155063;
2019-09-30;9;142,2;1016,963056;14,694167;10,6;3,198417;
2019-10-31;17;259;1014,049059;18,543548;10,7;3,50336;
2019-11-30;8;99;1012,217917;21,12125;9,1;3,794444;
2019-12-31;7;37,6;1010,309409;22,715995;8;3,370161;
2020-01-31;9;38,4;1010,438575;23,754301;8,4;3,315054;
2020-02-29;9;33,4;1012,720833;23,392241;9;3,682615;
2020-03-31;9;36,8;1014,24088;23,030272;7,2;3,138636;
2020-04-30;13;102,6;1015,687361;18,96;11,3;3,733194;
2020-05-31;10;91,4;1014,942339;15,568683;9,6;2,967876;
2020-06-30;15;209,8;1014,904028;14,356806;9,9;3,02;
2020-07-31;11;126,8;1016,413038;12,15672;13,8;3,0125;
2020-08-31;12;51,2;1017,862366;13,855376;8,2;2,83871;
2020-09-30;14;190,8;1016,447083;14,695972;9,8;3,293056;
2020-10-31;13;130,4;1014,342204;17,404704;9,6;3,7875;
2020-11-30;7;29,6;1014,692222;19,851528;10,6;3,33;
2020-12-31;9;143,8;1011,229973;22,115457;8,8;3,795591;
2021-01-31;11;null;1010,068364;24,039815;8,1;3,235494;
2021-02-28;18;210,6;1010,899521;22,777381;11,2;2,951132;
2021-03-31;19;227,6;1012,073971;21,995752;7;2,808947;
2021-04-30;11;29,8;1016,550417;19,830556;7,7;3,018889;
2021-05-31;10;37;1015,994489;13,934409;9,4;2,790323;
2021-06-30;13;101,4;1017,793194;13,356528;9,2;3,368472;
2021-07-31;13;70;1019,076882;11,905511;12,7;2,893817;
2021-08-31;15;143,4;1018,590323;14,462634;8,9;2,868145;
2021-09-30;15;222;1015,1725;16,691528;12,5;3,713056;
2021-10-31;7;82,2;1014,912903;17,835887;8,9;3,493683;
2021-11-30;10;48,2;1011,676389;20,438333;10;3,599028;
2021-12-31;8;35,4;1012,415323;21,712769;8,3;3,444086;
2022-01-31;13;94,2;1010,006966;24,967987;7,7;3,180967;
2022-02-28;5;83;1010,532887;23,171429;8,3;3,150446;
2022-03-31;12;113,2;1012,076578;21,126151;9;3,02109;
2022-04-30;9;112,6;1014,516822;17,928604;7,4;2,755781;
2022-05-31;3;null;null;null;11,1;null;
2022-06-30;null;null;null;null;9,8;null;
2022-07-31;16;263,2;1014,642109;13,862841;11,7;2,854394;
2022-08-31;13;118,8;1019,111343;13,124743;9,2;2,889382;
2022-09-30;13;48,4;1017,709861;14,385972;9,7;3,430417;
2022-10-31;20;109,6;1014,225134;17,334946;8,9;3,761156;
2022-11-30;4;40,8;1015,75516;20,14341;9,3;3,704585;
2022-12-31;11;18,6;1010,722388;22,704038;9,4;3,446862;
2023-01-31;7;71,4;1010,711933;24,646085;7,3;3,113733;
2023-02-28;13;119,2;1010,645769;23,490852;9;3,05777;
2023-03-31;14;138,6;1012,250892;24,312429;8,3;2,941856;
2023-04-30;9;24;1014,428611;18,668056;7,6;2,597083;
2023-05-31;12;139,8;1016,840465;16,929143;7,1;2,379885;
2023-06-30;12;62,2;1017,850833;14,433333;7,9;2,402639;
2023-07-31;13;252,8;1018,411688;13,43376;14,6;2,870576;
2023-08-31;10;100,6;1015,370565;14,334812;8,8;2,886828;
2023-09-30;20;477,4;1013,72625;15,959028;10,2;3,602778;
2023-10-31;3;null;null;null;null;null;

